genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE,powdery_mildew_BLUE,leaf_rust_BLUE,septoria_tritici_ssp_BLUE,protein_content_BLUE,sds_sedimentation_volume_BLUE
TA00093,123.22,102.14,39.47,1.68,2.3,3.09,14.5,28.44
TA00094,124.58,106.39,40.37,2.88,2.08,2.97,15.16,55.21
TA00095,124.2,101.58,41.71,2.47,2.55,3.33,15.48,52.07
TA00096,134.55,113.32,36.72,1.74,1.13,3.06,14.42,61.91
TA00097,124.71,100.07,41.28,1.27,2.29,3.04,15.09,54.04
TA00098,124.53,102.97,NA,2.19,2.7,3.31,NA,NA
TA00099,125.22,91.66,NA,2.1,2.41,3.31,NA,NA
TA00100,128.79,59.21,NA,3.46,0.95,3.08,NA,NA
TA00101,123.05,105.38,NA,1.11,0.95,3.08,NA,NA
TA00102,123.05,95.92,NA,1,2.13,3.31,NA,NA
TA00103,NA,105.84,NA,NA,NA,NA,NA,NA
TA00104,NA,122.45,NA,NA,NA,NA,NA,NA
TA00105,NA,121.98,NA,NA,NA,NA,NA,NA
TA00106,127.11,63.08,NA,NA,NA,NA,NA,NA
TA00107,NA,NA,NA,NA,NA,NA,NA,NA
TA00108,126.13,81.19,NA,0.9,3.24,3.08,NA,NA
TA00109,127.71,80.81,NA,2.2,2.95,3.31,NA,NA
TA00110,126.48,107.84,NA,2.01,-0.67,3.08,NA,NA
TA00111,136.38,127.95,NA,1.97,3.48,3.08,NA,NA
TA00112,116.2,82.94,36.39,2.86,2.52,3.49,17.79,41.35
TA00113,118.96,85.54,NA,2.73,2.11,3.31,NA,NA
TA00114,122.49,99.88,NA,5.23,3.32,3.31,NA,NA
TA00115,131.07,92.35,NA,3.98,2.11,3.08,NA,NA
TA00116,134.23,108.12,NA,1.97,0.74,2.86,NA,NA
TA00117,130.96,88.43,NA,5.98,0.21,3.08,NA,NA
TA00118,123.42,68.56,31.44,NA,0.42,3.23,14.07,42.88
TA00119,123.16,89.45,43.2,1.93,2.38,3.12,14.57,48.06
TA00120,NA,98.71,NA,NA,NA,NA,NA,NA
TA00121,133.8,73.22,NA,1.35,2.11,3.08,NA,NA
TA00122,126.77,57.86,33.94,1.93,2.82,3.19,13.64,51.27
TA00123,122.07,99.59,NA,3.22,1.48,2.86,NA,NA
TA00124,129.65,101.35,NA,1.35,2.11,3.08,NA,NA
TA00125,139.54,84.68,NA,1.97,3.48,3.31,NA,NA
TA00126,125.38,97.02,NA,1.97,2.74,3.31,NA,NA
TA00127,128.69,88.47,NA,2.6,1.37,3.31,NA,NA
TA00128,NA,69.45,NA,NA,NA,NA,NA,NA
TA00129,NA,72.97,NA,NA,NA,NA,NA,NA
TA00130,126.91,109.67,NA,2.6,-0.52,3.08,NA,NA
TA00131,124.65,97.17,NA,6.6,4.11,3.54,NA,NA
TA00132,121.22,105.04,43.23,1.99,1.58,3.57,14.02,37.28
TA00133,137.69,139.72,NA,-0.62,-0.18,NA,NA,NA
TA00134,138.36,136.08,38.81,0.98,1.46,2.78,15.48,38.95
TA00135,135.78,129.38,39.84,1.73,3.13,2.9,13.28,40.61
TA00136,136.18,138.15,NA,0.45,-0.67,2.86,NA,NA
TA00137,135.8,136.37,NA,0.73,-0.52,2.86,NA,NA
TA00138,122.87,106.26,NA,0.99,2.79,3.31,NA,NA
TA00139,135.97,135.42,45.11,1.44,1.98,2.89,15.67,40.4
TA00140,133.01,123.56,43.01,1.69,2.37,3.03,15.21,42.65
TA00141,133.12,133.07,47.71,1.17,2.78,3.06,15.55,37.17
TA00142,122.43,60.82,33.67,1.51,3.27,3.23,13.68,48.88
TA00143,136.8,63.65,NA,1.35,3.48,2.86,NA,NA
TA00144,124.38,57.69,NA,0.1,2.11,3.31,NA,NA
TA00145,125.16,65.26,38.51,0.88,2.87,3.54,13.46,51.48
TA00146,NA,89.19,NA,NA,NA,NA,NA,NA
TA00147,NA,91.41,NA,NA,NA,NA,NA,NA
TA00148,NA,87.19,NA,NA,NA,NA,NA,NA
TA00149,NA,100.32,NA,NA,NA,NA,NA,NA
TA00150,NA,102.37,NA,NA,NA,NA,NA,NA
TA00151,NA,97.8,NA,NA,NA,NA,NA,NA
TA00152,NA,NA,NA,NA,NA,NA,NA,NA
TA00153,127.58,60.6,37.96,1.51,1.7,3.84,13.55,52.56
TA00154,120.91,96.52,NA,3.35,3.48,3.31,NA,NA
TA00155,128.96,105.23,NA,5.98,2.74,3.31,NA,NA
TA00156,125.07,92.99,NA,3.48,4.58,3.31,NA,NA
TA00157,NA,NA,NA,NA,NA,NA,NA,NA
TA00158,127.5,63.05,35.53,1.51,2.64,2.66,12.91,41.91
