accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign
C0100272,NA,NA,228,46.2,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100274,NA,NA,NA,50.3,105,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100277,NA,NA,NA,40.9,122,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100411,NA,NA,NA,43.2,97,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100411,NA,NA,235,32.6,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100411,NA,NA,224,47.5,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100411,NA,NA,226,43.2,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100687,NA,NA,NA,45.5,107,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100687,NA,NA,NA,45.7,105,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100687,NA,NA,226,54,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100687,NA,NA,242,29.6,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100691,NA,NA,238,26.1,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100691,NA,NA,222,42.6,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100692,NA,NA,237,34.9,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100693,NA,NA,226,45.6,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101162,NA,NA,NA,39.9,114,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101162,NA,NA,NA,42.5,125,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101162,NA,NA,227,53.7,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101355,NA,NA,NA,48.3,100,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101355,NA,NA,234,30.1,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101355,NA,NA,223,42.7,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101355,NA,NA,222,42.4,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101418,NA,NA,NA,36.9,98,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101473,NA,NA,222,42.3,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101473,NA,NA,219,42.7,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101473,NA,NA,NA,38,77,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,NA,47,118,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,NA,47.8,120,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,235,38.2,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,241,37.8,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,238,41.3,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,231,54.3,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,230,56.3,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,229,53.2,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101675,NA,NA,229,38.1,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101675,NA,NA,221,54.1,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101696,NA,NA,NA,37.5,105,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101696,NA,NA,242,20,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101696,NA,NA,230,45.1,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101705,NA,NA,236,34.7,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101705,NA,NA,228,42.5,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101715,NA,NA,NA,42.6,90,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101715,NA,NA,236,41.5,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101732,NA,NA,243,21.2,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101732,NA,NA,235,46.8,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101732,NA,NA,232,44.2,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101741,NA,NA,NA,30,82,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101741,NA,NA,239,38.4,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101741,NA,NA,233,52.5,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101753,NA,NA,NA,44.9,104,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101753,NA,NA,237,30.2,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101753,NA,NA,227,51.8,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101999,NA,NA,NA,39.4,86,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101999,NA,NA,224,41.3,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102055,NA,NA,NA,50.9,85,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102055,NA,NA,NA,48,78,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102055,NA,NA,226,34.3,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102055,NA,NA,216,40.5,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102055,NA,NA,213,47.7,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102132,NA,NA,NA,37.9,110,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102132,NA,NA,233,44.8,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102132,NA,NA,238,43.5,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102132,NA,NA,248,27.7,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102199,NA,NA,NA,48,130,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102228,NA,NA,236,21.05,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102228,NA,NA,222,57.6,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102334,NA,NA,242,24.8,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102334,NA,NA,234,51.5,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102474,NA,NA,NA,38.6,95,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102474,NA,NA,237,31.9,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102474,NA,NA,255,42.8,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0102916,NA,NA,NA,46.4,97,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103286,NA,NA,NA,40.5,115,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103397,NA,NA,234,44.8,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103397,NA,NA,237,39.4,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103397,NA,NA,221,54,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103397,NA,NA,228,51,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103552,NA,NA,241,27.1,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103552,NA,NA,235,43.2,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103552,NA,NA,235,41.1,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103850,NA,NA,241,24.7,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103917,NA,NA,NA,46.8,122,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103920,NA,NA,232,30.4,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103920,NA,NA,222,45,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103924,NA,NA,NA,46.8,89,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103924,NA,NA,220,47.6,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103928,NA,NA,231,42.4,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103928,NA,NA,220,54.5,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103928,NA,NA,218,50.6,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103929,NA,NA,NA,40.9,91,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103931,NA,NA,241,36.9,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103935,NA,NA,239,27.8,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103935,NA,NA,226,46.6,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103938,NA,NA,NA,39.4,96,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103940,NA,NA,NA,39,109,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103940,NA,NA,236,43.2,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103941,NA,NA,239,34.2,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103941,NA,NA,228,38.7,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103941,NA,NA,230,40,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103942,NA,NA,NA,41.6,90,ZS261,Triticum aestivum trials Piešťany,1973-1974
