experiment_id,instcode,genus,accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign,site_name,longitude,latitude,remarks
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600053,NA,NA,94,39.8,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600066,NA,NA,81,43.73,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600068,NA,NA,87,41.93,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600068,NA,NA,87,41.2,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600068,NA,NA,87,41.87,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600068,NA,NA,87,42.55,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600068,NA,NA,101,41.5,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600069,NA,NA,81,45.1,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600069,NA,NA,81,45.23,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600069,NA,NA,81,44.77,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600069,NA,NA,81,44.5,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600069,NA,NA,90,42.1,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600128,NA,NA,99,42,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600154,NA,NA,90,43.4,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600306,NA,NA,80,47.15,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600348,NA,NA,85,47.9,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600393,NA,NA,97,46.15,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600393,NA,NA,104,45.4,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600415,NA,NA,88,46.35,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600426,NA,NA,85,47.65,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600442,NA,NA,83,45.15,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600444,NA,NA,87,47.37,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600469,NA,NA,94,38.8,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600470,NA,NA,90,48.3,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600506,NA,NA,87,46.85,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600521,NA,NA,94,46.3,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600595,NA,NA,83,41.23,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600833,NA,NA,87,45.65,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600835,NA,NA,82,44.83,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600848,NA,NA,81,41.53,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600930,NA,NA,79,45.73,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0600939,NA,NA,80,43.03,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0601148,NA,NA,83,45.43,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600020,NA,NA,84,46.33,NA,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600020,NA,NA,NA,41.9,78.75,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600046,NA,NA,83,48.06,NA,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600068,NA,NA,86,40.4,NA,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600069,NA,NA,81,44.53,NA,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600069,NA,NA,NA,38.6,104,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600069,NA,NA,NA,39.7,98.2,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600069,NA,NA,NA,38.3,102,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600069,NA,NA,NA,39,99.2,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600069,NA,NA,NA,42.5,84,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600069,NA,NA,NA,36.9,86,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600069,NA,NA,NA,44.1,86,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600069,NA,NA,NA,33.3,87,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600069,NA,NA,NA,36.7,85.62,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600069,NA,NA,NA,38.4,90.87,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600069,NA,NA,NA,39.4,88.62,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600069,NA,NA,NA,39.9,89.87,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600075,NA,NA,86,47.36,NA,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600128,NA,NA,89,43.53,NA,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600154,NA,NA,82,45.53,NA,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600306,NA,NA,82,44.83,NA,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600393,NA,NA,85,45.43,NA,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600393,NA,NA,NA,37.8,79.7,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600393,NA,NA,NA,36.2,84.7,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600393,NA,NA,NA,36.5,83.2,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1977-1,SVK001,Hordeum,C0600393,NA,NA,NA,36,93.2,ZS423,Hordeum vulgare trials Piešťany,1975-1977,NA,48.585755,17.815290,Annual paper report
