genotype,days_to_heading_BLUE,plant_height_BLUE
C0101352,222.91,103.63
C0101353,221.95,91.24
C0101354,229.04,93.93
C0101355,227.83,98.71
C0101356,221.99,100.55
C0101357,NA,NA
C0101358,224.91,125.01
C0101359,226.61,98.12
C0101360,223.08,82.2
C0101361,NA,NA
C0101362,NA,NA
C0101363,228.91,77.76
C0101364,NA,NA
C0101365,228.14,87.97
C0101366,228.91,63.59
C0101367,NA,NA
C0101368,NA,NA
C0101369,NA,86.04
C0101370,NA,101.29
C0101371,NA,77.29
C0101373,NA,NA
C0101374,224.83,110.1
C0101375,223.83,106.16
C0101376,224.21,108.4
C0101377,NA,NA
C0101378,NA,93.54
C0101379,NA,NA
C0101380,NA,NA
C0101381,NA,NA
C0101382,NA,NA
C0101383,NA,NA
C0101384,223.65,91.67
C0101385,221.79,81.48
C0101386,NA,NA
C0101387,224.72,89.28
C0101388,NA,85.54
C0101389,NA,NA
C0101390,NA,NA
C0101391,NA,NA
C0101392,NA,NA
C0101393,NA,104.79
C0101394,226.6,93.35
C0101395,NA,83.04
C0101396,NA,NA
C0101397,225.01,85.71
C0101398,227.74,94.41
C0101399,NA,NA
C0101400,222.29,104.12
C0101401,225.37,100.65
C0101402,223.29,94.99
C0101403,224.45,95.42
C0101404,NA,95.29
C0101405,NA,86.04
C0101406,227.45,100.37
C0101407,NA,74.29
C0101408,NA,NA
C0101409,NA,82.79
C0101410,223.68,88.74
C0101411,NA,NA
C0101412,NA,NA
C0101413,NA,75.29
C0101414,NA,NA
C0101415,NA,NA
C0101416,NA,76.54
C0101417,NA,NA
C0101418,NA,85.16
C0101419,NA,NA
C0101420,NA,NA
C0101421,NA,84.95
C0101422,NA,100.16
C0101423,221.95,104.37
C0101424,NA,NA
C0101425,NA,89.32
C0101426,NA,NA
C0101427,NA,NA
C0101428,NA,NA
C0101429,NA,95.56
C0101430,NA,NA
C0101431,NA,NA
C0101432,NA,96.02
C0101433,NA,89.09
C0101434,NA,110.29
C0101435,NA,97.7
C0101436,NA,NA
C0101437,NA,NA
C0101438,NA,NA
C0101439,NA,NA
C0101440,NA,NA
C0101441,NA,NA
C0101442,NA,NA
C0101443,NA,NA
C0101444,NA,NA
C0101447,230.77,80.5
C0101448,NA,99.06
C0101449,NA,NA
C0101450,NA,NA
C0101451,NA,92.94
C0101452,NA,106.43
C0101453,NA,NA
C0101454,NA,NA
C0101455,NA,NA
C0101456,NA,NA
C0101457,NA,NA
C0101458,NA,NA
C0101459,NA,NA
C0101460,NA,NA
C0101461,NA,NA
C0101462,NA,90.37
C0101463,NA,NA
C0101464,227.17,101.77
C0101465,227.45,94.32
C0101466,NA,NA
C0101467,NA,84.72
C0101468,NA,NA
C0101469,NA,NA
C0101470,221.25,94.51
C0101471,229.77,101.85
C0101472,220.25,79.52
C0101473,220.81,89.95
C0101474,NA,83.17
C0101475,NA,NA
C0101476,NA,NA
C0101477,NA,73.6
C0101478,NA,NA
C0101479,NA,NA
C0101480,NA,NA
C0101481,NA,NA
C0101482,NA,NA
C0101483,NA,NA
C0101484,NA,NA
C0101485,NA,NA
C0101486,NA,NA
C0101487,NA,NA
C0101488,NA,NA
C0101489,NA,NA
C0101490,NA,NA
C0101494,NA,NA
C0101495,NA,NA
C0101496,224.14,101.26
C0101497,NA,NA
C0101498,NA,NA
C0101499,NA,NA
C0101500,NA,NA
C0101501,222.24,78.75
C0101502,219.51,65.49
C0101503,NA,NA
C0101504,NA,NA
C0101505,233.31,90.83
C0101506,NA,NA
C0101507,NA,NA
C0101508,230.03,89.1
C0101509,229.77,80.98
C0101510,224.25,89.91
C0101512,230.03,86.31
C0101513,224.44,93.29
C0101514,NA,NA
C0101516,225.44,110.07
C0101517,NA,NA
C0101518,NA,NA
C0101521,NA,NA
C0101522,NA,NA
C0101523,232.08,71.65
C0101524,NA,NA
C0101525,NA,NA
C0101526,NA,NA
C0101527,NA,NA
C0101528,NA,NA
C0101529,NA,NA
C0101530,NA,NA
C0101531,NA,NA
C0101532,NA,NA
C0101533,NA,NA
C0101534,229.19,94.1
C0101535,226.51,100.95
C0101536,228.61,72.55
C0101537,NA,NA
C0101538,NA,NA
C0101539,NA,NA
C0101540,NA,NA
C0101542,NA,NA
C0101545,NA,NA
C0101548,NA,NA
C0101550,222.44,76.72
C0101551,NA,NA
C0101552,NA,NA
C0101553,222.33,88.18
C0101554,NA,NA
C0101555,NA,NA
C0101556,NA,NA
C0101557,NA,NA
C0101559,NA,NA
C0101560,NA,NA
C0101561,NA,NA
C0101562,NA,NA
C0101563,NA,NA
C0101564,232.09,NA
C0101565,229.15,94.43
C0101566,227.4,87.22
C0101567,222.02,92.31
C0101568,228.21,91.8
C0101569,227.15,92.47
C0101570,224.77,99.1
C0101571,NA,NA
C0101572,NA,NA
C0101573,NA,NA
C0101574,NA,NA
C0101575,NA,NA
C0101576,NA,NA
C0101577,NA,NA
C0101578,NA,NA
C0101579,NA,NA
C0101580,NA,NA
C0101581,NA,NA
C0101582,NA,NA
C0101583,NA,NA
C0101584,221.84,111.14
C0101585,NA,NA
C0101586,NA,NA
C0101587,227.68,99.59
C0101588,NA,83.79
C0101589,NA,NA
C0101590,NA,NA
C0101591,NA,NA
C0101592,224.45,108.51
C0101593,225.38,120.6
C0101594,NA,NA
C0101595,223.73,118.23
C0101596,227.42,83.42
C0101597,NA,NA
C0101598,NA,NA
C0101599,221.7,89.5
C0101600,NA,NA
C0101601,NA,NA
C0101602,NA,NA
C0101603,NA,101.97
C0101604,NA,NA
C0101605,NA,88.54
C0101606,NA,NA
C0101607,230.4,NA
C0101608,222.78,85.17
C0101609,NA,80.04
C0101610,NA,86.54
C0101611,NA,NA
C0101612,NA,72.04
C0101613,NA,NA
C0101614,NA,NA
C0101615,NA,NA
C0101616,NA,NA
C0101617,NA,NA
C0101618,NA,82.2
C0101619,NA,NA
C0101620,NA,NA
C0101621,NA,NA
C0101622,NA,NA
C0101623,NA,NA
C0101624,NA,75.33
C0101625,227.36,82.2
C0101626,NA,NA
C0101627,NA,NA
C0101628,NA,NA
C0101629,221.51,98.98
C0101631,NA,NA
C0101632,NA,81.79
C0101633,NA,NA
C0101634,NA,NA
C0101635,NA,NA
C0101636,220.53,80.86
C0101637,212.45,92.33
C0101638,217.77,82.18
C0101639,230.54,104.69
C0101640,NA,NA
C0101641,216.61,80.32
C0101642,NA,NA
C0101643,NA,NA
C0101644,NA,NA
C0101645,NA,NA
C0101646,NA,NA
C0101647,223.58,95.17
C0101648,NA,NA
C0101649,NA,NA
C0101650,NA,NA
C0101651,NA,NA
C0101653,NA,NA
C0101654,NA,91.86
C0101655,NA,78.58
C0101656,215.45,97.23
C0101657,218.45,73.93
C0101658,NA,72.86
C0101659,NA,NA
C0101660,NA,88.33
C0101661,NA,NA
C0101662,NA,82.64
C0101663,222.77,90.38
C0101664,NA,NA
C0101665,225.88,91.33
C0101666,220.82,89.19
C0101667,NA,NA
C0101668,212.61,84.89
C0101669,NA,NA
C0101671,NA,NA
C0101673,NA,NA
C0101675,225.45,NA
C0101676,NA,NA
C0101677,NA,NA
C0101678,NA,96.74
C0101679,NA,NA
C0101680,NA,NA
C0101681,NA,NA
C0101682,NA,NA
C0101683,NA,NA
C0101684,NA,NA
C0101685,NA,NA
C0101686,NA,NA
C0101687,NA,NA
C0101688,NA,NA
C0101689,NA,NA
C0101690,NA,NA
C0101691,NA,73.41
C0101692,NA,NA
C0101693,NA,NA
C0101694,NA,NA
C0101695,NA,NA
C0101696,229.26,104.31
C0101697,NA,NA
C0101698,NA,NA
C0101700,NA,NA
C0101701,NA,NA
C0101702,NA,NA
C0101703,NA,NA
C0101704,NA,NA
C0101705,222.76,NA
C0101706,NA,NA
C0101707,NA,NA
C0101708,NA,NA
C0101709,NA,NA
C0101710,NA,NA
C0101711,NA,NA
C0101712,NA,NA
C0101713,NA,NA
C0101714,NA,NA
C0101715,229.27,100.63
C0101716,NA,NA
C0101717,NA,NA
C0101718,NA,NA
C0101720,NA,NA
C0101721,NA,NA
C0101722,NA,NA
C0101723,NA,NA
C0101724,NA,NA
C0101725,NA,NA
C0101726,NA,78.84
C0101727,NA,94.85
C0101728,NA,NA
C0101729,NA,NA
C0101730,NA,NA
C0101731,NA,NA
C0101732,229.56,NA
C0101733,NA,NA
C0101734,NA,NA
C0101735,NA,NA
C0101736,NA,NA
C0101737,NA,NA
C0101738,NA,NA
C0101739,NA,94.05
C0101740,NA,89.11
C0101741,230.3,87.86
C0101742,NA,NA
C0101743,NA,NA
C0101744,NA,NA
C0101745,NA,NA
C0101746,NA,96.3
C0101747,NA,NA
C0101748,NA,NA
C0101749,NA,NA
C0101750,NA,NA
C0101751,NA,NA
C0101752,NA,NA
C0101753,225.26,109.33
C0101754,NA,115.99
C0101755,NA,NA
C0101756,NA,NA
C0101757,NA,NA
C0101758,NA,NA
C0101759,NA,NA
C0101760,NA,NA
C0101761,NA,NA
C0101762,NA,NA
C0101763,NA,NA
C0101764,NA,NA
C0101765,NA,NA
C0101766,NA,NA
C0101767,NA,NA
C0101768,NA,NA
C0101769,NA,NA
C0101770,NA,NA
C0101771,NA,95.11
C0101772,NA,NA
C0101773,NA,NA
C0101774,NA,NA
C0101775,NA,NA
C0101776,NA,118.99
C0101777,NA,NA
C0101778,NA,NA
C0101779,NA,NA
C0101780,NA,NA
C0101781,NA,NA
C0101782,NA,NA
C0101783,NA,71.38
C0101784,NA,NA
C0101785,NA,NA
C0101786,NA,NA
C0101787,NA,NA
C0101788,NA,NA
C0101789,NA,NA
C0101790,NA,NA
C0101791,NA,92.88
C0101792,NA,NA
C0101793,NA,NA
C0101794,NA,NA
C0101795,NA,102.11
C0101796,NA,102.36
C0101797,NA,NA
C0101799,NA,NA
C0101800,NA,NA
C0101801,NA,NA
C0101802,NA,109.29
C0101803,NA,NA
C0101804,NA,NA
C0101805,NA,NA
C0101806,NA,115.99
C0101807,NA,NA
C0101808,NA,NA
C0101809,NA,NA
C0101811,NA,NA
C0101812,NA,NA
C0101813,NA,NA
C0101814,NA,NA
C0101815,NA,NA
C0101816,NA,NA
C0101817,NA,NA
C0101818,NA,NA
C0101819,NA,NA
C0101820,NA,NA
C0101821,NA,NA
C0101822,NA,NA
C0101823,NA,NA
C0101824,NA,NA
C0101825,NA,NA
C0101826,NA,113.49
C0101827,NA,117.86
C0101828,NA,NA
C0101829,NA,NA
C0101830,NA,115.61
C0101831,NA,NA
C0101832,NA,NA
C0101833,NA,120.18
C0101834,NA,NA
C0101835,NA,88.22
C0101836,NA,NA
C0101837,NA,NA
C0101838,NA,113.74
C0101839,NA,113.36
C0101840,NA,NA
C0101841,NA,NA
C0101842,NA,123.11
C0101843,NA,120.49
C0101845,NA,98.36
C0101846,NA,92.24
C0101847,NA,NA
C0101848,NA,94.24
C0101849,NA,108.49
C0101850,NA,109.74
C0101851,NA,NA
C0101852,NA,NA
C0101853,NA,NA
C0101854,NA,NA
C0101855,NA,NA
C0101856,NA,118.11
C0101857,NA,NA
C0101858,NA,87.49
C0101859,NA,NA
C0101861,NA,99.43
C0101862,NA,NA
C0101863,NA,57.02
C0101864,NA,NA
C0101865,NA,NA
C0101866,NA,95.51
C0101867,NA,NA
C0101868,NA,96.23
C0101869,NA,64.2
C0101870,NA,78.85
C0101871,NA,NA
C0101872,NA,NA
C0101873,NA,108.05
C0101874,NA,NA
C0101875,NA,NA
C0101876,NA,81.88
C0101877,NA,96.2
C0101878,NA,94.68
C0101879,NA,NA
C0101880,NA,95.38
C0101881,NA,87.71
C0101882,NA,119.42
C0101884,NA,143.15
C0101885,NA,147.09
C0101886,NA,86.5
C0101887,NA,95.8
C0101888,NA,102.23
C0101889,NA,115.7
C0101890,NA,96.61
C0101891,NA,108.42
C0101892,NA,111.6
C0101893,NA,100.72
C0101894,NA,90.36
C0101895,NA,115.52
C0101896,NA,NA
C0101897,NA,121.09
C0101898,NA,111.55
C0101899,NA,109.79
C0101900,NA,102.5
C0101901,NA,116.64
C0101902,NA,114.5
C0101903,NA,89.64
C0101904,NA,124.13
C0101905,NA,122.56
C0101906,NA,108.71
C0101907,NA,111.25
C0101908,NA,93.4
C0101909,NA,NA
C0101910,NA,111.55
C0101911,NA,100.78
C0101912,NA,123.24
C0101913,NA,132.91
C0101914,NA,118.22
C0101915,NA,128.69
C0101916,NA,107.04
C0101917,NA,113.82
C0101918,NA,130.43
C0101919,NA,123.64
C0101920,NA,132.09
C0101921,NA,81.22
C0101922,NA,108.45
C0101923,NA,95.01
C0101924,NA,133.04
C0101925,NA,119.95
C0101926,NA,128.63
C0101927,NA,137.06
C0101928,NA,145.45
C0101929,NA,132.93
C0101930,NA,127.36
C0101931,NA,130.34
C0101932,NA,121.61
C0101933,NA,128.97
C0101934,NA,125.55
C0101935,NA,NA
C0101936,NA,114.53
C0101937,219.78,95.04
C0101938,NA,108.71
C0101939,NA,130.62
C0101940,NA,83.66
C0101941,NA,108.27
C0101942,NA,112.1
C0101943,NA,102.34
C0101944,NA,119.78
C0101945,NA,150.99
C0101946,NA,117.79
C0101947,NA,127.09
C0101948,NA,NA
C0101949,NA,84.08
C0101950,NA,88.15
C0101951,NA,NA
C0101952,NA,NA
C0101953,NA,114.53
C0101954,NA,131.13
C0101955,NA,NA
C0101956,NA,116.49
C0101957,NA,125.53
C0101958,NA,129.3
C0101959,NA,138.65
C0101960,NA,NA
C0101961,NA,125.01
C0101962,NA,124.62
C0101963,NA,111.12
C0101964,NA,103.01
C0101965,NA,106.36
C0101966,NA,NA
C0101967,NA,122.55
C0101968,NA,NA
C0101969,NA,110.27
C0101970,NA,107.8
C0101971,NA,115.39
C0101972,NA,129.75
C0101973,NA,91.97
C0101974,NA,84.79
C0101975,NA,100.27
C0101976,NA,82.66
C0101977,NA,99.69
C0101978,NA,111.03
C0101979,NA,120.83
C0101980,NA,NA
C0101981,NA,102.75
C0101982,NA,122.15
C0101983,NA,96.5
C0101984,NA,96.95
C0101985,NA,115.04
C0101986,NA,124.22
C0101987,NA,91.29
C0101988,NA,91.64
C0101989,NA,101.17
C0101990,NA,131.22
C0101991,NA,101.2
C0101992,NA,NA
C0101993,NA,NA
C0101994,NA,NA
C0101995,NA,NA
C0101996,NA,NA
C0101997,NA,NA
C0101998,NA,NA
C0101999,NA,88.32
C0102000,NA,NA
C0102001,NA,NA
C0102002,NA,NA
C0102003,NA,NA
C0102004,NA,NA
C0102005,NA,NA
C0102006,NA,NA
C0102007,NA,NA
C0102008,NA,NA
C0102009,NA,NA
C0102010,NA,NA
C0102011,NA,NA
C0102012,NA,NA
C0102013,NA,NA
C0102014,NA,NA
C0102015,NA,NA
C0102016,NA,NA
C0102017,NA,NA
C0102018,NA,NA
C0102019,NA,NA
C0102020,NA,NA
C0102021,NA,NA
C0102022,NA,NA
C0102030,NA,NA
C0102032,NA,NA
C0102033,NA,NA
C0102034,NA,NA
C0102035,NA,NA
C0102036,NA,NA
C0102037,NA,NA
C0102038,NA,NA
C0102041,NA,NA
C0102042,NA,NA
C0102043,NA,NA
C0102044,NA,NA
C0102045,NA,NA
C0102046,NA,NA
C0102047,NA,NA
C0102048,NA,NA
C0102049,NA,NA
C0102050,NA,NA
C0102051,NA,NA
C0102052,NA,NA
C0102053,NA,94.63
C0102054,NA,NA
C0102055,212.72,81.98
C0102056,NA,NA
C0102057,NA,NA
C0102058,NA,81.84
C0102059,NA,NA
C0102060,NA,NA
C0102061,NA,NA
C0102062,NA,NA
C0102063,NA,NA
C0102064,NA,NA
C0102065,NA,NA
C0102066,NA,NA
C0102067,NA,NA
C0102068,NA,NA
C0102069,NA,NA
C0102070,NA,NA
C0102071,NA,NA
C0102075,NA,NA
C0102076,NA,NA
C0102077,NA,NA
C0102078,NA,NA
C0102079,NA,NA
C0102080,NA,NA
C0102081,NA,NA
C0102082,NA,NA
C0102083,NA,NA
C0102085,NA,NA
C0102086,NA,NA
C0102087,NA,NA
C0102088,NA,NA
C0102091,NA,77.93
C0102092,NA,NA
C0102093,NA,NA
C0102094,NA,58.34
C0102095,NA,NA
C0102096,NA,NA
C0102097,NA,NA
C0102099,NA,NA
C0102100,NA,NA
C0102101,NA,NA
C0102102,NA,NA
C0102103,NA,NA
C0102104,NA,NA
C0102106,NA,NA
C0102107,NA,NA
C0102109,NA,NA
C0102110,NA,NA
C0102111,NA,NA
C0102112,NA,NA
C0102113,NA,NA
C0102114,NA,NA
C0102115,NA,NA
C0102116,NA,NA
C0102117,NA,NA
C0102119,NA,NA
C0102120,NA,NA
C0102121,NA,NA
C0102122,NA,NA
C0102123,NA,NA
C0102124,NA,NA
C0102125,NA,NA
C0102126,NA,NA
C0102127,NA,NA
C0102128,NA,NA
C0102129,NA,NA
C0102130,NA,NA
C0102131,NA,NA
C0102132,225.89,NA
C0102133,NA,NA
C0102134,NA,NA
C0102136,NA,NA
C0102137,NA,NA
C0102138,NA,NA
C0102139,NA,NA
C0102140,NA,NA
C0102141,NA,NA
C0102142,NA,NA
C0102143,NA,NA
C0102144,NA,NA
C0102145,NA,NA
C0102146,NA,NA
C0102147,NA,NA
C0102148,NA,NA
C0102149,NA,NA
C0102150,NA,NA
C0102151,NA,NA
C0102152,NA,NA
C0102153,NA,NA
C0102154,NA,NA
C0102155,NA,NA
C0102156,NA,NA
C0102158,NA,NA
C0102159,NA,NA
C0102160,NA,NA
C0102161,NA,61.3
C0102162,NA,NA
C0102163,NA,90.86
C0102164,NA,NA
C0102165,NA,NA
C0102166,NA,NA
C0102167,NA,NA
C0102168,NA,NA
C0102169,NA,NA
C0102170,NA,NA
C0102171,NA,NA
C0102172,NA,NA
C0102173,NA,NA
C0102174,NA,NA
C0102175,NA,NA
C0102176,NA,NA
C0102177,NA,NA
C0102178,NA,NA
C0102179,NA,NA
C0102180,NA,NA
C0102181,NA,NA
C0102182,NA,NA
C0102183,NA,NA
C0102184,NA,NA
C0102185,NA,NA
C0102186,NA,NA
C0102188,NA,NA
C0102189,NA,NA
C0102190,NA,NA
C0102191,NA,NA
C0102192,NA,NA
C0102193,NA,NA
C0102194,NA,NA
C0102195,NA,NA
C0102196,NA,NA
C0102197,NA,NA
C0102198,NA,NA
C0102199,NA,128.77
C0102200,NA,NA
C0102201,NA,NA
C0102202,NA,NA
C0102203,NA,NA
C0102204,NA,NA
C0102205,NA,NA
C0102206,NA,NA
C0102207,NA,NA
C0102208,NA,NA
C0102209,NA,NA
C0102210,NA,NA
C0102211,NA,NA
C0102212,NA,NA
C0102213,NA,NA
C0102214,NA,NA
C0102215,NA,NA
C0102216,NA,NA
C0102217,NA,NA
C0102218,NA,NA
C0102219,NA,NA
C0102220,NA,NA
C0102221,NA,102.93
C0102222,NA,105.24
C0102223,NA,NA
C0102224,NA,74.95
C0102225,NA,107.74
C0102226,NA,91.33
C0102227,NA,82.39
C0102228,227.32,84.9
C0102229,NA,86.76
C0102230,NA,80.71
C0102231,NA,79.81
C0102232,NA,77.18
C0102233,NA,80.57
C0102234,NA,88.49
C0102235,NA,96.56
C0102236,NA,79.53
C0102237,NA,101.53
C0102238,NA,78.38
C0102239,NA,NA
C0102240,NA,80.3
C0102241,NA,75.21
C0102242,NA,101.89
C0102243,NA,94.07
C0102244,NA,79.9
C0102245,NA,102.35
C0102246,NA,93.15
C0102247,NA,97.96
C0102248,NA,100.87
C0102249,NA,69
C0102250,NA,80.94
C0102251,NA,103.95
C0102252,NA,75.05
C0102253,NA,79.07
C0102254,NA,101.28
C0102255,NA,114.8
C0102256,NA,93.8
C0102257,NA,101.16
C0102258,NA,80.55
C0102259,NA,110.29
C0102260,NA,117.05
C0102261,NA,100.13
C0102262,NA,76
C0102263,NA,91.45
C0102264,NA,109.76
C0102265,NA,102.07
C0102266,NA,107.68
C0102269,NA,NA
C0102270,NA,NA
C0102271,NA,NA
C0102272,NA,84.67
C0102273,NA,75.12
C0102274,NA,NA
C0102275,NA,NA
C0102276,NA,84.59
C0102277,NA,NA
C0102278,NA,NA
C0102279,NA,91.82
C0102280,NA,101.27
C0102281,NA,100.59
C0102282,NA,97.32
C0102283,NA,100.58
C0102284,NA,82.74
C0102285,NA,NA
C0102286,NA,NA
C0102287,NA,NA
C0102288,NA,NA
C0102289,NA,NA
C0102290,NA,NA
C0102291,NA,NA
C0102292,NA,NA
C0102293,NA,NA
C0102294,NA,NA
C0102295,NA,NA
C0102296,NA,NA
C0102297,NA,NA
C0102298,NA,NA
C0102299,NA,NA
C0102300,NA,NA
C0102301,NA,NA
C0102302,NA,NA
C0102303,NA,NA
C0102304,NA,NA
C0102305,NA,NA
C0102307,NA,NA
C0102308,NA,83.2
C0102309,NA,NA
C0102310,NA,57.24
C0102311,NA,71.46
C0102312,NA,NA
C0102313,NA,NA
C0102314,NA,91.7
C0102315,NA,NA
C0102316,NA,NA
C0102317,NA,NA
C0102318,NA,NA
C0102319,NA,NA
C0102320,NA,NA
C0102321,NA,82.35
C0102322,NA,NA
C0102323,NA,74.15
C0102324,NA,NA
C0102325,NA,69.88
C0102326,NA,NA
C0102327,NA,76.37
C0102328,NA,72.32
C0102329,NA,60.31
C0102330,NA,NA
C0102331,NA,NA
C0102332,NA,NA
C0102333,NA,NA
C0102334,231.24,NA
C0102335,NA,NA
C0102336,NA,101.51
C0102337,NA,82.59
C0102338,NA,NA
C0102339,NA,NA
C0102340,NA,NA
C0102341,NA,NA
C0102342,NA,NA
C0102343,NA,NA
C0102344,NA,NA
C0102345,NA,NA
C0102346,NA,NA
C0102347,NA,NA
C0102348,NA,NA
C0102349,NA,NA
C0102350,NA,NA
C0102351,NA,NA
C0102352,NA,NA
C0102353,NA,NA
C0102354,NA,NA
C0102355,NA,NA
C0102356,NA,NA
C0102357,NA,NA
C0102358,NA,NA
C0102359,NA,NA
C0102360,NA,NA
C0102361,NA,NA
C0102362,NA,NA
C0102363,NA,NA
C0102364,NA,NA
C0102365,NA,NA
C0102366,NA,NA
C0102367,NA,NA
C0102368,NA,NA
C0102369,NA,NA
C0102370,NA,106.31
C0102371,NA,NA
C0102372,NA,NA
C0102373,NA,NA
C0102374,NA,NA
C0102375,NA,NA
C0102376,NA,89.48
C0102377,NA,NA
C0102378,NA,NA
C0102379,218.64,94.75
C0102380,NA,77.26
C0102381,NA,NA
C0102383,NA,NA
C0102384,NA,70.13
C0102385,NA,70.26
C0102386,NA,85.49
C0102387,NA,NA
C0102388,NA,NA
C0102389,NA,NA
C0102391,NA,NA
C0102392,NA,86.56
C0102393,NA,82.87
C0102394,NA,73.09
C0102395,NA,80.68
C0102396,NA,NA
C0102397,NA,NA
C0102398,NA,NA
C0102400,NA,83.56
C0102401,NA,NA
C0102402,NA,NA
C0102403,NA,NA
C0102404,NA,NA
C0102405,NA,NA
C0102406,NA,NA
C0102407,NA,NA
C0102408,NA,NA
C0102409,NA,NA
C0102411,NA,NA
C0102412,NA,NA
C0102413,NA,NA
C0102415,NA,NA
C0102416,NA,NA
C0102417,NA,NA
C0102418,NA,NA
C0102419,NA,NA
C0102420,NA,NA
C0102421,NA,NA
C0102422,NA,NA
C0102423,NA,NA
C0102424,NA,NA
C0102425,NA,NA
C0102426,NA,NA
C0102427,NA,NA
C0102428,NA,NA
C0102433,NA,NA
C0102435,NA,NA
C0102437,NA,NA
C0102438,NA,NA
C0102439,NA,NA
C0102442,NA,NA
C0102443,NA,NA
C0102444,NA,NA
C0102445,NA,NA
C0102446,NA,NA
C0102448,NA,NA
C0102449,NA,NA
C0102467,NA,NA
C0102468,NA,NA
C0102469,NA,NA
C0102470,NA,NA
C0102471,NA,NA
C0102472,NA,NA
C0102473,225.66,85.07
C0102474,224.6,91.67
C0102475,NA,NA
C0102476,NA,NA
C0102477,NA,NA
C0102482,NA,NA
C0102483,NA,NA
C0102484,NA,NA
C0102485,NA,NA
C0102486,NA,NA
C0102487,NA,NA
C0102488,NA,NA
C0102489,NA,NA
C0102490,NA,NA
C0102491,NA,NA
C0102506,NA,NA
C0102513,NA,NA
C0102518,NA,NA
C0102519,NA,119.49
C0102524,215.45,NA
C0102525,NA,NA
C0102553,NA,NA
C0102554,NA,NA
C0102555,NA,NA
C0102556,NA,NA
C0102557,NA,NA
C0102558,NA,NA
C0102559,NA,NA
C0102560,NA,NA
C0102561,NA,NA
C0102562,NA,NA
C0102563,NA,NA
C0102564,NA,NA
C0102565,NA,NA
C0102566,NA,NA
C0102567,NA,NA
C0102568,NA,NA
C0102569,NA,NA
C0102570,NA,NA
C0102571,NA,NA
C0102572,NA,NA
C0102573,NA,NA
C0102574,NA,NA
C0102575,NA,NA
C0102576,NA,NA
C0102577,NA,NA
C0102578,NA,NA
C0102579,NA,NA
C0102580,NA,NA
C0102581,NA,NA
C0102582,NA,NA
C0102583,NA,NA
C0102584,NA,NA
C0102585,NA,NA
C0102586,NA,NA
C0102587,NA,NA
C0102588,NA,NA
C0102589,NA,NA
C0102590,NA,NA
C0102591,NA,NA
C0102592,NA,NA
C0102593,NA,NA
C0102594,NA,NA
C0102595,NA,NA
C0102596,NA,NA
C0102597,NA,NA
C0102598,NA,NA
C0102599,NA,NA
C0102600,NA,NA
C0102601,NA,NA
C0102602,NA,NA
C0102603,NA,NA
C0102604,NA,NA
C0102605,NA,NA
C0102606,NA,NA
C0102607,212.98,NA
C0102608,NA,NA
C0102609,NA,NA
C0102610,NA,NA
C0102611,NA,NA
C0102612,NA,NA
C0102613,NA,NA
C0102614,NA,NA
C0102615,NA,NA
C0102616,NA,NA
C0102618,NA,NA
C0102622,NA,NA
C0102630,NA,NA
C0102636,NA,NA
C0102642,NA,NA
C0102643,NA,NA
C0102644,NA,NA
C0102647,NA,NA
C0102648,NA,NA
C0102649,NA,NA
C0102650,NA,NA
C0102653,NA,NA
C0102655,NA,NA
C0102658,NA,NA
C0102660,NA,NA
C0102661,NA,NA
C0102664,NA,NA
C0102672,NA,NA
C0102673,NA,NA
C0102674,NA,NA
C0102675,NA,NA
C0102681,NA,NA
C0102682,NA,NA
C0102683,NA,NA
C0102685,NA,NA
C0102700,NA,NA
C0102704,NA,NA
C0102705,NA,NA
C0102706,NA,NA
C0102707,NA,NA
C0102708,NA,NA
C0102709,NA,NA
C0102711,NA,NA
C0102712,NA,NA
C0102716,NA,NA
C0102718,NA,NA
C0102721,NA,NA
C0102723,NA,NA
C0102730,NA,129.84
C0102731,NA,NA
C0102732,217.45,NA
C0102733,NA,NA
C0102734,NA,NA
C0102735,NA,NA
C0102736,223.51,91.23
C0102737,NA,NA
C0102738,NA,94.47
C0102739,223.68,82.75
C0102740,NA,NA
C0102741,NA,83.79
C0102742,NA,82.29
C0102743,217.45,83.14
C0102745,NA,NA
C0102746,NA,NA
C0102747,NA,NA
C0102748,NA,NA
C0102749,NA,NA
C0102750,NA,NA
C0102751,NA,NA
C0102752,NA,NA
C0102753,NA,NA
C0102754,NA,NA
C0102755,NA,NA
C0102756,NA,NA
C0102757,NA,NA
C0102758,NA,NA
C0102759,NA,NA
C0102760,NA,NA
C0102762,NA,NA
C0102763,NA,NA
C0102764,NA,NA
C0102765,NA,NA
C0102766,NA,NA
C0102767,NA,NA
C0102768,NA,NA
C0102769,NA,NA
C0102770,NA,NA
C0102772,NA,NA
C0102773,NA,NA
C0102774,NA,NA
C0102775,NA,NA
C0102776,NA,NA
C0102777,NA,NA
C0102778,NA,NA
C0102779,NA,NA
C0102780,NA,NA
C0102781,NA,NA
C0102782,NA,NA
C0102783,NA,NA
C0102784,NA,NA
C0102785,NA,NA
C0102786,NA,NA
C0102787,NA,NA
C0102790,NA,NA
C0102791,NA,NA
C0102792,NA,NA
C0102793,NA,NA
C0102794,NA,NA
C0102795,NA,86.12
C0102796,NA,NA
C0102797,NA,NA
C0102799,NA,NA
C0102800,NA,NA
C0102801,NA,NA
C0102802,NA,NA
C0102803,NA,NA
C0102804,NA,NA
C0102805,NA,NA
