genotype,days_to_heading_BLUE,plant_height_BLUE
C0100337,NA,NA
C0100338,229.67,97.77
C0100339,NA,NA
C0100340,NA,NA
C0100341,221.78,90.21
C0100342,NA,NA
C0100344,230.57,78.16
C0100345,216.58,91.06
C0100346,NA,NA
C0100347,219.48,89.8
C0100348,NA,NA
C0100349,NA,NA
C0100351,NA,NA
C0100352,NA,NA
C0100353,NA,NA
C0100354,NA,NA
C0100355,NA,NA
C0100356,NA,NA
C0100357,NA,NA
C0100358,NA,NA
C0100359,NA,NA
C0100360,NA,NA
C0100361,NA,NA
C0100362,NA,NA
C0100363,NA,NA
C0100364,NA,NA
C0100365,NA,NA
C0100366,NA,NA
C0100367,NA,NA
C0100368,NA,87.08
C0100369,NA,NA
C0100370,NA,82.03
C0100371,NA,NA
C0100372,NA,NA
C0100373,NA,NA
C0100374,NA,NA
C0100375,NA,99.07
C0100376,NA,NA
C0100377,229.4,96.62
C0100378,NA,NA
C0100379,NA,NA
C0100380,NA,NA
C0100381,233.29,78.42
C0100382,NA,NA
C0100384,NA,NA
C0100386,NA,NA
C0100388,NA,NA
C0100389,NA,NA
C0100390,NA,NA
C0100391,NA,NA
C0100392,NA,NA
C0100393,NA,119.16
C0100394,NA,NA
C0100395,NA,NA
C0100396,221.52,106.13
C0100397,NA,NA
C0100398,NA,NA
C0100399,NA,NA
C0100401,NA,NA
C0100402,NA,NA
C0100403,226.72,91.32
C0100404,NA,NA
C0100405,NA,NA
C0100406,NA,NA
C0100407,NA,NA
C0100409,NA,NA
C0100410,NA,NA
C0100411,220.45,93.41
C0100412,NA,NA
C0100413,NA,NA
C0100414,NA,NA
C0100415,NA,NA
C0100418,NA,NA
C0100420,NA,NA
C0100421,NA,NA
C0100422,222.74,82.38
C0100423,NA,NA
C0100424,NA,NA
C0100425,NA,NA
C0100426,NA,NA
C0100427,220.69,76.71
C0100428,NA,NA
C0100429,NA,NA
C0100431,NA,NA
C0100432,NA,NA
C0100433,NA,NA
C0100434,NA,NA
C0100435,NA,NA
C0100436,NA,NA
C0100437,NA,NA
C0100438,NA,NA
C0100439,NA,NA
C0100440,NA,NA
C0100441,NA,NA
C0100442,NA,NA
C0100443,NA,NA
C0100444,NA,NA
C0100445,NA,NA
C0100446,NA,NA
C0100447,NA,NA
C0100448,NA,NA
C0100449,NA,NA
C0100450,NA,NA
C0100451,NA,NA
C0100453,NA,NA
C0100454,NA,NA
C0100455,NA,NA
C0100458,NA,NA
C0100460,NA,NA
C0100461,NA,NA
C0100462,NA,NA
C0100463,NA,NA
C0100464,NA,NA
C0100466,NA,NA
C0100467,NA,NA
C0100469,NA,NA
C0100470,NA,NA
C0100471,NA,NA
C0100472,NA,NA
C0100475,NA,NA
C0100476,NA,NA
C0100477,NA,NA
C0100478,NA,NA
C0100479,NA,NA
C0100480,NA,NA
C0100481,NA,NA
C0100482,NA,NA
C0100483,NA,NA
C0100484,NA,82
C0100485,NA,NA
C0100486,NA,95.96
C0100487,NA,NA
C0100488,NA,77.13
C0100490,NA,NA
C0100491,NA,NA
C0100492,NA,NA
C0100493,NA,NA
C0100494,NA,NA
C0100495,NA,NA
C0100496,NA,NA
C0100497,NA,NA
C0100498,NA,93.43
C0100499,NA,NA
C0100500,NA,NA
C0100501,NA,NA
C0100502,NA,NA
C0100503,NA,NA
C0100504,NA,NA
C0100505,NA,NA
C0100506,NA,NA
C0100507,NA,99.76
C0100508,NA,NA
C0100509,NA,NA
C0100510,NA,NA
C0100511,NA,NA
C0100512,NA,NA
C0100513,221.66,87.87
C0100514,NA,NA
C0100515,NA,NA
C0100516,NA,NA
C0100517,NA,NA
C0100519,228.28,NA
C0100520,NA,NA
C0100521,NA,NA
C0100522,NA,110.98
C0100523,NA,NA
C0100524,NA,NA
C0100525,NA,NA
C0100526,NA,104.32
C0100527,NA,97.5
C0100528,NA,NA
C0100531,NA,NA
C0100532,NA,NA
C0100533,NA,72.52
C0100534,223.23,84.2
C0100536,NA,NA
C0100537,NA,NA
C0100538,NA,NA
C0100542,NA,NA
C0100544,219.52,NA
C0100545,NA,NA
C0100546,NA,NA
C0100547,NA,NA
C0100548,NA,NA
C0100549,NA,65.36
C0100550,231.32,98.21
C0100551,NA,NA
C0100552,NA,NA
C0100553,NA,NA
C0100554,NA,91.66
C0100555,NA,NA
C0100556,NA,NA
C0100557,NA,NA
C0100558,NA,NA
C0100559,NA,NA
C0100560,NA,NA
C0100561,NA,NA
C0100562,NA,NA
C0100563,NA,NA
C0100564,NA,NA
C0100565,NA,NA
C0100567,NA,NA
C0100568,NA,NA
C0100569,NA,NA
C0100570,NA,NA
C0100571,NA,NA
C0100572,223.16,97.64
C0100573,NA,NA
C0100574,NA,NA
C0100575,NA,NA
C0100576,NA,NA
C0100577,NA,NA
C0100578,NA,NA
C0100579,NA,NA
C0100580,NA,NA
C0100582,NA,NA
C0100583,NA,NA
C0100584,219.59,NA
C0100586,NA,NA
C0100587,NA,NA
C0100588,221.11,98.08
C0100589,NA,97.06
C0100590,NA,NA
C0100591,NA,NA
C0100592,NA,NA
C0100593,NA,NA
C0100594,NA,NA
C0100595,NA,NA
C0100596,NA,NA
C0100597,NA,NA
C0100598,NA,NA
C0100599,NA,NA
C0100600,NA,NA
C0100601,NA,NA
C0100602,NA,NA
C0100603,NA,NA
C0100605,NA,NA
C0100606,NA,94.28
C0100607,NA,NA
C0100608,NA,NA
C0100609,NA,73.96
C0100610,NA,NA
C0100611,NA,77.87
C0100612,NA,NA
C0100613,NA,NA
C0100614,NA,NA
C0100615,NA,NA
C0100616,NA,NA
C0100617,NA,NA
C0100618,NA,NA
C0100620,NA,NA
C0100621,NA,NA
C0100622,NA,NA
C0100624,NA,NA
C0100625,NA,83.55
