genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
1983-TRT-AE-438,144.41,97.88,33.23
1983-TRT-AE-442,142.6,96,34.33
1983-TRT-AE-451,145.6,90,35.67
1983-TRT-AE-459,141.72,126.55,32.48
1983-TRT-AE-47,139.06,82.1,27.05
1983-TRT-AE-56,131.41,81.22,33.17
1984-TRT-AE-113,131.6,91.5,37.04
1984-TRT-AE-13,146.48,70.47,32.16
1984-TRT-AE-207,135.36,84.55,43.27
1984-TRT-AE-30,139.71,96.82,42.29
1984-TRT-AE-4,144.06,75.64,33.77
1984-TRT-AE-5,144.17,70.69,31.27
1984-TRT-AE-7,133.6,80.02,32.52
1984-TRT-AE-74,110.6,96.52,37.96
1984-TRT-AE-80,117.29,90.19,40.14
1984-TRT-AE-81,146.06,84.2,31.93
1984-TRT-AE-82,140.75,75.51,30.81
1984-TRT-AE-83,147.06,102.68,38.38
1984-TRT-AE-85,141.17,79.65,32.37
1984-TRT-AE-89,130.64,65.79,42.99
1985-TRT-AE-112,144.6,129.75,29.29
1985-TRT-AE-113,144.77,125.34,37.03
1985-TRT-AE-166,139.06,79.39,40.53
1985-TRT-AE-168,138.48,96.38,29.87
1985-TRT-AE-169,140.06,70.9,19.51
1985-TRT-AE-170,138.68,102.45,20.29
1985-TRT-AE-190,131.83,84.88,42.72
1985-TRT-AE-198,130.83,69.71,37.68
1986-TRT-AE-1,137.75,85.65,45.49
1986-TRT-AE-10,139.36,86.37,36.77
1986-TRT-AE-11,136.08,89.83,36.38
1986-TRT-AE-191,129.1,81.26,31.29
1986-TRT-AE-192,137.83,71.6,25.39
1986-TRT-AE-194,137.06,74.93,34.74
1986-TRT-AE-195,142.06,92.61,27.4
1986-TRT-AE-196,137.06,82.33,31.16
1986-TRT-AE-197,139.48,90.33,28.92
1986-TRT-AE-198,139.06,93.93,33.87
1986-TRT-AE-199,139.87,78.91,25.93
1986-TRT-AE-3,137.29,90.41,41.17
1986-TRT-AE-344,137.14,101.3,37.53
1986-TRT-AE-347,139.06,100,38.29
1986-TRT-AE-356,131.06,113.59,38.81
1986-TRT-AE-4,137.08,87.48,38.96
1986-TRT-AE-431,130.06,91.96,43.79
1986-TRT-AE-438,129.64,97.8,48.38
1986-TRT-AE-439,130.48,97.02,37.59
1986-TRT-AE-5,136.48,90.46,37.31
1986-TRT-AE-516,141.86,69.06,29.77
1986-TRT-AE-517,145.92,80.57,35.77
1986-TRT-AE-537,143.8,75.1,35.17
1986-TRT-AE-6,136.75,91.81,42.08
1986-TRT-AE-62,131.83,86.53,28.76
1986-TRT-AE-640,143.86,75.05,40.66
1986-TRT-AE-641,143.86,58.99,34.58
1986-TRT-AE-645,143.86,76.72,26.77
1986-TRT-AE-648,141.92,66.04,30.19
1986-TRT-AE-650,143.86,57.51,37.35
1986-TRT-AE-651,138.99,70.73,30.68
1986-TRT-AE-658,140.8,69.81,37.69
1986-TRT-AE-661,141.92,84.47,32.06
1986-TRT-AE-662,142.18,78.89,33.02
1986-TRT-AE-663,148.99,80.57,39.05
1986-TRT-AE-665,146.99,91.95,40.79
1986-TRT-AE-666,141.92,85.03,34.91
1986-TRT-AE-668,140.99,75.95,35.68
1986-TRT-AE-681,156.73,64.23,21.17
1986-TRT-AE-7,137.36,86.35,30.03
1986-TRT-AE-803,137.49,100.74,47.17
1986-TRT-AE-804,131.69,94.18,27.96
1986-TRT-AE-805,137,105.18,30.53
1986-TRT-AE-806,128.56,120.21,34.31
1986-TRT-AE-807,129,124.22,35.45
1986-TRT-AE-9,136.63,90.77,34.53
1987-TRT-AE-266,140.97,121.81,37.19
1987-TRT-AE-456,138.43,98.62,38.41
1987-TRT-AE-602,129.81,117.63,43.17
1987-TRT-AE-701,154.63,136.24,36.67
1988-TRT-AE-144,136.59,96.66,46.13
1988-TRT-AE-361,128.3,93.03,35.44
1989-TRT-AE-121,147.1,126.24,36.87
1990-TRT-AE-238,128.13,81.59,39.74
1990-TRT-AE-247,137.67,100.88,38.42
1996-TRT-DU-3,129.51,98.12,54.91
1997-TRT-AE-1,131.08,91.85,40.23
1997-TRT-AE-2,130.19,95.45,39.58
1997-TRT-AE-31,130.43,99.05,38.24
1997-TRT-AE-42,128.46,70.77,44.35
1998-TRT-AE-1,130.72,97.93,38.79
1998-TRT-AE-16,129.63,99.92,43.14
1998-TRT-AE-17,129.99,99.59,44.49
1998-TRT-AE-18,129.5,95.85,41.17
1998-TRT-AE-2,130.96,96.53,40.66
1998-TRT-AE-23,131.11,95.84,42.08
1998-TRT-AE-3,130.58,88.67,34.99
1998-TRT-AE-4,132.26,99.83,40.44
1998-TRT-AE-6,130.35,88.51,36.4
2000-TRT-AE-100,129.08,93.64,37.98
2000-TRT-AE-101,129.87,102.05,41.7
2000-TRT-AE-102,130.83,93.72,42.81
2000-TRT-AE-104,129.59,92.12,43.45
2000-TRT-AE-107,131.07,86.98,34.61
2000-TRT-AE-111,130.42,92.16,39.55
2000-TRT-AE-113,131.99,91.28,36.39
2000-TRT-AE-117,131.37,91.35,38.31
2000-TRT-AE-119,128.36,98.87,39.12
2000-TRT-AE-120,129.66,91.89,42.45
2000-TRT-AE-121,130.59,96.41,41.68
2000-TRT-AE-127,130.32,94.58,38.94
2000-TRT-AE-128,130.11,92.69,41.62
2000-TRT-AE-129,130.72,93.52,41.21
2000-TRT-AE-130,131.72,102.41,41.61
2000-TRT-AE-141,128.91,102.52,43.27
2000-TRT-AE-142,131.5,98.1,43.61
2000-TRT-AE-143,131.03,93.97,44.77
2000-TRT-AE-144,129.73,95.11,44.53
2000-TRT-AE-145,130.23,77.53,35.4
2000-TRT-AE-30,129.69,85.5,38.98
2000-TRT-AE-35,129.04,102.98,39.57
2000-TRT-AE-40,129.63,95.88,43.47
2000-TRT-AE-41,130.9,92.7,38.52
2000-TRT-AE-42,131.43,100.25,42.37
2000-TRT-AE-49,129.87,91.25,38.92
2000-TRT-AE-50,132.01,93.5,39.08
2000-TRT-AE-60,129.95,94.5,43.53
2000-TRT-AE-67,130.51,93.31,41.53
2000-TRT-AE-75,130.04,93.16,42.7
2000-TRT-AE-77,130.87,93.48,37.67
2000-TRT-AE-78,130.49,88.59,40.2
2000-TRT-AE-80,131.83,98.41,43.28
2000-TRT-AE-83,131.17,99.95,42.29
2000-TRT-AE-84,131.55,102.24,41.11
2000-TRT-AE-85,127.5,90.6,45.15
