accenumb,campaign,days_to_heading
1953-HOR-VU-5,1993-1994,130
1956-HOR-VU-15,1993-1994,130
1959-HOR-VU-3,1993-1994,127
1962-HOR-VU-13,1993-1994,123
1964-HOR-VU-53,1993-1994,127
1979-HOR-VU-233,1993-1994,124
1980-HOR-VU-232,1993-1994,120
1981-HOR-VU-31,1993-1994,130
1988-HOR-VU-142,1993-1994,122
1988-HOR-VU-143,1993-1994,125
1988-HOR-VU-144,1993-1994,123
1988-HOR-VU-145,1993-1994,124
1988-HOR-VU-146,1993-1994,119
1988-HOR-VU-147,1993-1994,120
1988-HOR-VU-148,1993-1994,121
1988-HOR-VU-149,1993-1994,125
1988-HOR-VU-150,1993-1994,119
1988-HOR-VU-151,1993-1994,117
1988-HOR-VU-152,1993-1994,120
1988-HOR-VU-153,1993-1994,122
1988-HOR-VU-154,1993-1994,123
1988-HOR-VU-155,1993-1994,126
1988-HOR-VU-156,1993-1994,120
1989-HOR-VU-328,1993-1994,119
1989-HOR-VU-329,1993-1994,130
1991-HOR-VU-10,1993-1994,122
1991-HOR-VU-11,1993-1994,128
1991-HOR-VU-12,1993-1994,129
1991-HOR-VU-13,1993-1994,128
1991-HOR-VU-14,1993-1994,129
1991-HOR-VU-15,1993-1994,128
1991-HOR-VU-16,1993-1994,130
1991-HOR-VU-17,1993-1994,127
1991-HOR-VU-18,1993-1994,129
1991-HOR-VU-19,1993-1994,128
1991-HOR-VU-2,1993-1994,126
1991-HOR-VU-20,1993-1994,128
1991-HOR-VU-22,1993-1994,130
1991-HOR-VU-23,1993-1994,129
1991-HOR-VU-24,1993-1994,130
1991-HOR-VU-25,1993-1994,127
1991-HOR-VU-26,1993-1994,131
1991-HOR-VU-29,1993-1994,128
1991-HOR-VU-3,1993-1994,128
1991-HOR-VU-30,1993-1994,128
1991-HOR-VU-31,1993-1994,120
1991-HOR-VU-32,1993-1994,121
1991-HOR-VU-33,1993-1994,123
1991-HOR-VU-35,1993-1994,124
1991-HOR-VU-36,1993-1994,120
1991-HOR-VU-37,1993-1994,120
1991-HOR-VU-4,1993-1994,128
1991-HOR-VU-40,1993-1994,124
1991-HOR-VU-41,1993-1994,132
1991-HOR-VU-42,1993-1994,120
1991-HOR-VU-43,1993-1994,119
1991-HOR-VU-44,1993-1994,123
1991-HOR-VU-45,1993-1994,119
1991-HOR-VU-46,1993-1994,118
1991-HOR-VU-47,1993-1994,124
1991-HOR-VU-48,1993-1994,118
1991-HOR-VU-49,1993-1994,121
1991-HOR-VU-50,1993-1994,121
1991-HOR-VU-51,1993-1994,131
1991-HOR-VU-52,1993-1994,118
1991-HOR-VU-53,1993-1994,120
1991-HOR-VU-56,1993-1994,120
1991-HOR-VU-6,1993-1994,129
1991-HOR-VU-7,1993-1994,128
1991-HOR-VU-8,1993-1994,129
1991-HOR-VU-82,1993-1994,124
1991-HOR-VU-83,1993-1994,130
1991-HOR-VU-85,1993-1994,124
1991-HOR-VU-87,1993-1994,130
1991-HOR-VU-88,1993-1994,126
1991-HOR-VU-89,1993-1994,126
1991-HOR-VU-9,1993-1994,130
1991-HOR-VU-90,1993-1994,128
1991-HOR-VU-94,1993-1994,131
1992-HOR-VU-1003,1993-1994,125
1992-HOR-VU-1004,1993-1994,117
1992-HOR-VU-1005,1993-1994,124
1992-HOR-VU-1007,1993-1994,119
1992-HOR-VU-101,1993-1994,111
1992-HOR-VU-1010,1993-1994,121
1992-HOR-VU-1012,1993-1994,117
1992-HOR-VU-1015,1993-1994,124
1992-HOR-VU-1016,1993-1994,130
1992-HOR-VU-1017,1993-1994,117
1992-HOR-VU-1018,1993-1994,119
1992-HOR-VU-1019,1993-1994,124
1992-HOR-VU-1020,1993-1994,116
1992-HOR-VU-1022,1993-1994,117
1992-HOR-VU-1023,1993-1994,116
1992-HOR-VU-1028,1993-1994,124
1992-HOR-VU-103,1993-1994,116
1992-HOR-VU-1032,1993-1994,120
1992-HOR-VU-1033,1993-1994,117
1992-HOR-VU-1034,1993-1994,129
1992-HOR-VU-1035,1993-1994,119
1992-HOR-VU-104,1993-1994,119
1992-HOR-VU-106,1993-1994,119
1992-HOR-VU-107,1993-1994,119
1992-HOR-VU-108,1993-1994,119
1992-HOR-VU-110,1993-1994,119
1992-HOR-VU-111,1993-1994,123
1992-HOR-VU-112,1993-1994,117
1992-HOR-VU-113,1993-1994,118
1992-HOR-VU-114,1993-1994,113
1992-HOR-VU-115,1993-1994,118
1992-HOR-VU-116,1993-1994,128
1992-HOR-VU-118,1993-1994,120
1992-HOR-VU-119,1993-1994,123
1992-HOR-VU-120,1993-1994,119
1992-HOR-VU-122,1993-1994,129
1992-HOR-VU-123,1993-1994,119
1992-HOR-VU-124,1993-1994,129
1992-HOR-VU-126,1993-1994,124
1992-HOR-VU-126,1993-1994,122
1992-HOR-VU-127,1993-1994,128
1992-HOR-VU-129,1993-1994,119
1992-HOR-VU-131,1993-1994,128
1992-HOR-VU-132,1993-1994,128
1992-HOR-VU-133,1993-1994,115
1992-HOR-VU-135,1993-1994,128
