experiment_id,instcode,genus,accenumb,agent_id,doi,days_to_heading,total_tillers_per_plant,productive_tillers_per_plant,plant_height,spike_length,number_of_spikelets_per_spike,number_of_grains_per_spike,grain_mass_per_spike,grain_mass_per_plant,thousand_kernel_weight,spike_type,spike_shape,spike_branching,spike_density,spike_awnedness,rigidity,habit_of_awns,spike_colour,glume_pubescence,rachis_internodes,rachis_brittleness,rachis_pubescence,caryopsis_hull,caryopsis_shape,caryopsis_colour,caryopsis_groove,caryopsis_basal_seta,caryopsis_base,resistance_to_grain_sprouting_in_spike,resistance_to_grain_shattering,name,description,campaign,site_name,longitude,latitude,remarks
1993,BGR001,Hordeum,1988-HOR-VU-147,NA,10.18730/10J9SK,120,NA,NA,103,8,30,NA,NA,NA,58,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1988-HOR-VU-148,NA,10.18730/10J7KQ,121,NA,NA,95,7.5,22,NA,NA,NA,48,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1988-HOR-VU-149,NA,10.18730/10J7MR,125,NA,NA,110,8.5,33,NA,NA,NA,35,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1988-HOR-VU-150,NA,10.18730/10J9F9,119,NA,NA,102,5,18,NA,NA,NA,34,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1988-HOR-VU-151,NA,10.18730/10J9E8,117,NA,NA,104,6.5,20,NA,NA,NA,35,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1988-HOR-VU-152,NA,10.18730/10J9B5,120,NA,NA,110,6,22,NA,NA,NA,43,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1988-HOR-VU-153,NA,10.18730/10J9C6,122,NA,NA,95,7,17,NA,NA,NA,39,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1988-HOR-VU-154,NA,10.18730/10J9D7,123,NA,NA,103,8.5,27,NA,NA,NA,40,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1988-HOR-VU-155,NA,10.18730/10J7HN,126,NA,NA,91,4,18,NA,NA,NA,48,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1988-HOR-VU-156,NA,10.18730/10J7JP,120,NA,NA,101,5.5,21,NA,NA,NA,46,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
