accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,date_of_heading,type_of_bush,leaf-flag_attitude,spike_attitude,spike_shape,spike_branching,spike_awnedness,glume_colour,name,description,campaign
1978-TRT-AE-181,NA,10.18730/ZBFZK,143,33.1,85,19850524,3,5,3,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1978-TRT-AE-285,NA,10.18730/ZEYM8,161,31.5,106,19850610,5,1,1,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1979-TRT-AE-270,NA,10.18730/ZEYN9,145,34.8,78,19850525,3,3,3,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1980-TRT-AE-189,NA,10.18730/ZEYPA,139,35.7,49.7,19850519,3,3,7,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1980-TRT-AE-190,NA,10.18730/ZEYQB,139,37.6,50,19850519,5,3,3,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1981-TRT-AE-78,NA,10.18730/ZBGWB,140,34.1,89,19850520,5,1,5,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1981-TRT-AE-79,NA,10.18730/ZEYRC,146,30.4,78.9,19850526,5,3,3,1,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1982-TRT-AE-923,NA,10.18730/ZEYSD,135,36.9,98.3,19850515,7,3,1,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-172,NA,10.18730/ZEYWG,151,35.8,123.2,19850531,5,3,7,1,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-279,NA,10.18730/ZEYXH,148,37,123,19850528,5,1,3,3,1,3,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-285,NA,10.18730/ZEYYJ,145,29.8,112,19850525,5,3,3,1,1,5,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-288,NA,10.18730/ZEYZK,144,36.9,97.4,19850524,5,1,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-292,NA,10.18730/ZEZ0M,151,35.4,75.6,19850531,7,3,3,3,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-294,NA,10.18730/ZEZ1N,153,36.5,132,19850602,5,5,3,3,1,7,8,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-301,NA,10.18730/ZEZ2P,144,38.2,118.3,19850524,5,1,3,3,1,7,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-306,NA,10.18730/ZEZ3Q,160,39.5,119.6,19850609,7,1,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-314,NA,10.18730/ZEZ4R,157,32.5,128.2,19850506,7,1,5,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-315,NA,10.18730/ZEZ5S,156,33.2,69.4,19850605,9,3,3,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-319,NA,10.18730/ZEZ6T,155,37.3,139,19850604,7,1,5,1,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-323,NA,10.18730/ZEZ7V,154,30.9,110.5,19850603,7,1,3,1,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-324,NA,10.18730/ZEZ8W,150,37.6,110,19850530,7,5,1,2,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-431,NA,10.18730/ZEZYD,159,36.1,79.6,19850608,5,1,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-435,NA,10.18730/ZEZZE,164,20.8,68.6,19850613,7,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-436,NA,10.18730/ZF00F,160,38.7,127,19850609,5,5,5,1,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-437,NA,10.18730/ZF01G,158,35.7,73,19850607,5,3,1,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-438,NA,10.18730/ZF02H,157,33.7,93.3,19850506,3,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-442,NA,10.18730/ZF03J,155,33.4,91.4,19850604,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-451,NA,10.18730/ZF04K,157,35.6,85.2,19850506,7,3,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-459,NA,10.18730/ZF05M,154,33.5,122.6,19850603,7,5,3,1,1,1,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-47,NA,10.18730/ZEYTE,151,27.1,78,19850531,3,5,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1983-TRT-AE-56,NA,10.18730/ZEYVF,144,32.9,76.5,19850524,5,1,3,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1984-TRT-AE-113,NA,10.18730/ZF0Z9,143,38.0434782608696,87,19850523,5,3,7,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1984-TRT-AE-13,NA,10.18730/ZF09R,158,33.5,66,19850607,5,3,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1984-TRT-AE-30,NA,10.18730/ZF12C,151,42.654028436019,92.4,19850531,5,5,7,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1984-TRT-AE-4,NA,10.18730/ZF06N,156,33.9,71,19850605,7,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1984-TRT-AE-5,NA,10.18730/ZF07P,156,32.8,66.3,19850605,7,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1984-TRT-AE-7,NA,10.18730/ZF08Q,145,33.1,75.6,19850525,5,5,5,3,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1984-TRT-AE-74,NA,10.18730/ZF11B,122,38,92.6,19850502,5,3,7,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1984-TRT-AE-80,NA,10.18730/ZF10A,129,39.1156462585034,85.8,19850509,5,3,5,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1984-TRT-AE-81,NA,10.18730/ZF0AS,158,32.2,79.3,19850607,5,3,5,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1984-TRT-AE-82,NA,10.18730/ZF0BT,153,30.9,70.7,19850602,5,3,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1984-TRT-AE-83,NA,10.18730/ZF0CV,159,39.6,98.2,19850608,5,3,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1984-TRT-AE-85,NA,10.18730/ZF0DW,153,32.5,74.4,19850602,5,3,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1984-TRT-AE-89,NA,10.18730/ZF0EX,143,43.1,60.8,19850523,3,3,3,3,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1985-TRT-AE-112,NA,10.18730/ZNC3$,157,29.54,125.4,19850606,3,1,1,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
