accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,date_of_heading,type_of_bush,leaf-flag_attitude,spike_attitude,spike_shape,spike_branching,spike_awnedness,glume_colour,name,description,campaign
1978-TRT-AE-200,NA,10.18730/ZBEZR,130,48.2,95,20000509,3,3,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1999-2000
1978-TRT-AE-201,NA,10.18730/ZBF0S,132,41.8,95,20000511,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1999-2000
1978-TRT-AE-202,NA,10.18730/ZBF1T,133,38.6,95,20000512,3,5,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1999-2000
1978-TRT-AE-203,NA,10.18730/ZBF2V,131,35.9,90,20000510,3,5,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1999-2000
1978-TRT-AE-204,NA,10.18730/ZBF3W,136,27.3,81,20000515,3,5,5,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1999-2000
1978-TRT-AE-205,NA,10.18730/ZBF4X,135,36.5,94,20000514,1,5,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1999-2000
1978-TRT-AE-206,NA,10.18730/ZBF5Y,134,28.4,87,20000513,1,5,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1999-2000
1978-TRT-AE-207,NA,10.18730/ZBF6Z,131,38.1,94,20000510,1,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1999-2000
1978-TRT-AE-209,NA,10.18730/ZBEHA,131,33.7,94,20000510,5,3,3,6,1,7,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1999-2000
1978-TRT-AE-29,NA,10.18730/ZBG4R,132,31.6,86,20000511,1,3,5,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1999-2000
1978-TRT-AE-80,NA,10.18730/ZBG1N,134,34.9,82,20000513,3,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1999-2000
1980-TRT-AE-616,NA,10.18730/ZBG5S,136,39,103,20000515,5,1,1,5,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1999-2000
1978-TRT-AE-107,NA,10.18730/ZBG3Q,129,27.5,96,20010509,1,3,5,1,1,1,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-108,NA,10.18730/ZBE0Y,130,35.9,104,20010510,7,3,5,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-109,NA,10.18730/ZBE1Z,131,36.9,106,20010511,7,1,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-110,NA,10.18730/ZBE2*,131,34.6,106,20010511,5,3,5,3,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-111,NA,10.18730/ZBE3~,129,32.8,105,20010509,5,3,1,6,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-112,NA,10.18730/ZBE4$,130,29.9,86,20010510,5,3,1,6,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-117,NA,10.18730/ZBDYW,129,37.6,97,20010509,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-119,NA,10.18730/ZBDXV,129,38.9,98,20010509,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-120,NA,10.18730/ZBE5=,131,30.7,93,20010511,5,3,3,6,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-121,NA,10.18730/ZBE6U,130,37.8,95,20010510,3,3,3,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-122,NA,10.18730/ZBE70,130,32.8,94,20010510,5,3,1,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-123,NA,10.18730/ZBE81,130,33.9,103,20010510,7,3,5,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-124,NA,10.18730/ZBE92,135,34,108,20010515,5,3,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-125,NA,10.18730/ZBEA3,136,31.8,106,20010516,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-126,NA,10.18730/ZBEB4,135,32.5,92,20010515,5,5,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-127,NA,10.18730/ZBEC5,131,34.6,104,20010511,5,3,5,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-128,NA,10.18730/ZBED6,131,38.5,103,20010511,3,3,3,3,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-129,NA,10.18730/ZBEE7,135,35.9,101,20010515,5,1,3,3,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-130,NA,10.18730/ZBEF8,131,37.5,100,20010511,5,3,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-143,NA,10.18730/ZBDZX,129,26.9,96,20010509,5,3,3,5,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-144,NA,10.18730/ZBDJG,128,39.4,90,20010508,5,7,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-145,NA,10.18730/ZBEJB,129,35.4,102,20010509,1,3,3,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-147,NA,10.18730/ZBDKH,129,32.8,90,20010509,5,7,3,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-148,NA,10.18730/ZBDNK,129,30.1,98,20010509,5,7,5,1,1,7,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-149,NA,10.18730/ZBDMJ,128,29.5,100,20010508,7,5,7,3,1,7,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-150,NA,10.18730/ZBDPM,127,31.5,100,20010507,5,5,1,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-151,NA,10.18730/ZBDQN,126,36,100,20010506,5,3,5,3,1,1,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-152,NA,10.18730/ZBDRP,129,35.6,105,20010509,5,3,3,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-153,NA,10.18730/ZBDSQ,131,31.8,98,20010511,7,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-154,NA,10.18730/ZBDTR,134,31.9,92,20010514,3,3,3,5,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-155,NA,10.18730/ZBDVS,130,30.7,104,20010510,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-156,NA,10.18730/ZBDWT,129,41.8,98,20010509,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-158,NA,10.18730/ZBFN9,131,25.4,102,20010511,5,1,1,6,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-159,NA,10.18730/ZBFA=,130,30.9,105,20010510,3,3,3,1,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-160,NA,10.18730/ZBFBU,130,29.6,86,20010510,3,3,5,3,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-161,NA,10.18730/ZBFC0,131,28.4,108,20010511,3,3,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-162,NA,10.18730/ZBFD1,131,23.5,82,20010511,3,3,3,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-163,NA,10.18730/ZBFE2,130,26.8,94,20010510,1,3,5,1,1,7,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-164,NA,10.18730/ZBFF3,132,25.9,107,20010512,3,5,1,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-165,NA,10.18730/ZBFG4,131,29,103,20010511,1,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-166,NA,10.18730/ZBFH5,130,32.8,101,20010510,3,3,1,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-167,NA,10.18730/ZBFJ6,123,35.8,93,20010503,1,5,3,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-169,NA,10.18730/ZBEG9,135,27.4,103,20010515,5,3,1,3,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-170,NA,10.18730/ZBFM8,129,37.9,97,20010509,5,3,1,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-171,NA,10.18730/ZBF7*,135,35.1,98,20010515,1,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-172,NA,10.18730/ZBFPA,130,41.4,103,20010510,3,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-173,NA,10.18730/ZBFQB,124,41,101,20010504,3,5,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-174,NA,10.18730/ZBFRC,128,39,97,20010508,3,5,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-175,NA,10.18730/ZBFSD,127,30.4,93,20010507,5,3,1,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-176,NA,10.18730/ZBFTE,130,39.7,90,20010510,3,5,7,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-177,NA,10.18730/ZBFVF,130,40.7,120,20010510,9,1,5,6,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-178,NA,10.18730/ZBFWG,131,30.8,106,20010511,5,3,9,3,1,1,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-179,NA,10.18730/ZBFXH,130,26,101,20010510,3,3,1,3,1,1,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-180,NA,10.18730/ZBFYJ,132,27.8,104,20010512,3,5,1,1,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-182,NA,10.18730/ZBG0M,130,28.1,97,20010510,3,3,5,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-183,NA,10.18730/ZBFK7,129,32.8,106,20010509,3,3,1,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-184,NA,10.18730/ZBEXP,130,29.9,102,20010510,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-186,NA,10.18730/ZBEKC,130,30.9,101,20010510,1,3,5,1,1,7,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-187,NA,10.18730/ZBEMD,130,27.4,100,20010510,1,5,5,1,1,7,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-188,NA,10.18730/ZBENE,130,29.7,94,20010510,3,3,1,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-189,NA,10.18730/ZBEPF,131,24.9,98,20010511,3,5,1,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-190,NA,10.18730/ZBEQG,131,29.9,103,20010511,3,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-191,NA,10.18730/ZBERH,129,31.4,106,20010509,5,3,1,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-192,NA,10.18730/ZBESJ,131,29.9,98,20010511,3,5,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-193,NA,10.18730/ZBETK,135,24.9,102,20010515,3,5,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-194,NA,10.18730/ZBEVM,131,24.7,107,20010511,5,3,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-196,NA,10.18730/ZBF9$,129,29.1,84,20010509,3,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-197,NA,10.18730/ZBEWN,132,33.6,104,20010512,3,5,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-198,NA,10.18730/ZBF8~,131,33.1,97,20010511,1,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-199,NA,10.18730/ZBEYQ,129,35.8,107,20010509,7,3,5,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-2,NA,10.18730/ZBG2P,130,31.4,85,20010510,1,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-200,NA,10.18730/ZBEZR,131,45.4,103,20010511,3,3,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-201,NA,10.18730/ZBF0S,131,36.9,106,20010511,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-202,NA,10.18730/ZBF1T,131,34.9,105,20010511,3,5,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-203,NA,10.18730/ZBF2V,130,32.7,98,20010510,3,5,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-204,NA,10.18730/ZBF3W,135,24.9,90,20010515,3,5,5,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-205,NA,10.18730/ZBF4X,135,32.9,100,20010515,1,5,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-206,NA,10.18730/ZBF5Y,131,25.2,92,20010511,1,5,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-207,NA,10.18730/ZBF6Z,130,35.9,102,20010510,1,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-209,NA,10.18730/ZBEHA,129,29.4,100,20010509,5,3,3,6,1,7,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-29,NA,10.18730/ZBG4R,129,29,100,20010509,1,3,5,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-80,NA,10.18730/ZBG1N,131,31.7,84,20010511,3,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2000-2001
1978-TRT-AE-157,NA,10.18730/ZBDGE,133,45.4,90,20020513,7,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2001-2002
1978-TRT-AE-124,NA,10.18730/ZBE92,140,37,94,20030520,5,3,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-125,NA,10.18730/ZBEA3,140,35.5,85,20030520,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-130,NA,10.18730/ZBEF8,139,40.1,80,20030519,5,3,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-143,NA,10.18730/ZBDZX,134,29.5,70,20030514,5,3,3,5,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-144,NA,10.18730/ZBDJG,135,44.1,85,20030515,5,7,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-145,NA,10.18730/ZBEJB,132,37.8,95,20030512,1,3,3,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-147,NA,10.18730/ZBDKH,136,35.6,70,20030516,5,7,3,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-148,NA,10.18730/ZBDNK,133,33.9,90,20030513,5,7,5,1,1,7,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-149,NA,10.18730/ZBDMJ,132,31.8,88,20030512,7,5,7,3,1,7,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-152,NA,10.18730/ZBDRP,135,38.9,88,20030515,5,3,3,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-153,NA,10.18730/ZBDSQ,136,34,80,20030516,7,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-154,NA,10.18730/ZBDTR,134,34.9,85,20030514,3,3,3,5,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-155,NA,10.18730/ZBDVS,135,33,90,20030515,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-157,NA,10.18730/ZBDGE,134,48,75,20030514,7,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-169,NA,10.18730/ZBEG9,140,29,85,20030520,5,3,1,3,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-184,NA,10.18730/ZBEXP,135,33.5,82,20030515,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-186,NA,10.18730/ZBEKC,132,33.8,85,20030512,1,3,5,1,1,7,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-189,NA,10.18730/ZBEPF,135,27.8,75,20030515,3,5,1,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-190,NA,10.18730/ZBEQG,135,33.7,83,20030515,3,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-191,NA,10.18730/ZBERH,135,33.9,85,20030515,5,3,1,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-192,NA,10.18730/ZBESJ,136,33.6,83,20030516,3,5,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-193,NA,10.18730/ZBETK,136,22.5,80,20030516,3,5,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-194,NA,10.18730/ZBEVM,135,27.8,76,20030515,5,3,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-201,NA,10.18730/ZBF0S,135,40.9,79,20030515,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-202,NA,10.18730/ZBF1T,135,38.9,75,20030515,3,5,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-204,NA,10.18730/ZBF3W,140,26.8,75,20030520,3,5,5,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-205,NA,10.18730/ZBF4X,140,40.2,83,20030520,1,5,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-206,NA,10.18730/ZBF5Y,140,27.9,90,20030520,1,5,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-209,NA,10.18730/ZBEHA,135,31.6,92,20030515,5,3,3,6,1,7,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2002-2003
1978-TRT-AE-108,NA,10.18730/ZBE0Y,130,42.1,84,20040509,7,3,5,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2003-2004
1978-TRT-AE-109,NA,10.18730/ZBE1Z,130,41.7,81,20040509,7,1,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2003-2004
1978-TRT-AE-111,NA,10.18730/ZBE3~,133,39.3,78,20040512,5,3,1,6,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2003-2004
1978-TRT-AE-112,NA,10.18730/ZBE4$,130,37.3,74,20040509,5,3,1,6,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2003-2004
1978-TRT-AE-117,NA,10.18730/ZBDYW,130,45.1,81,20040509,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2003-2004
1978-TRT-AE-119,NA,10.18730/ZBDXV,130,46.1,78,20040509,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2003-2004
1978-TRT-AE-120,NA,10.18730/ZBE5=,130,36.9,79,20040509,5,3,3,6,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2003-2004
1978-TRT-AE-121,NA,10.18730/ZBE6U,137,44.5,76,20040516,3,3,3,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,2003-2004
