genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
C0600342,NA,NA,NA
C0600343,NA,NA,NA
C0600344,NA,NA,NA
C0600347,NA,NA,44.5
C0600348,75.02,85.14,45.57
C0600350,75.75,81.51,NA
C0600354,NA,NA,NA
C0600355,NA,NA,NA
C0600356,NA,80.59,NA
C0600359,NA,NA,NA
C0600364,NA,NA,NA
C0600368,NA,NA,NA
C0600369,NA,NA,NA
C0600371,NA,NA,NA
C0600372,NA,NA,42.14
C0600373,NA,NA,NA
C0600377,NA,NA,36.42
C0600380,NA,NA,NA
C0600381,74.07,92.22,NA
C0600386,NA,95.1,NA
C0600387,NA,NA,NA
C0600388,NA,90.12,50.44
C0600393,83.46,75.12,44.34
C0600394,NA,NA,NA
C0600396,NA,NA,NA
C0600397,NA,NA,NA
C0600398,79.78,95.48,NA
C0600400,NA,NA,NA
C0600402,NA,NA,NA
C0600404,NA,NA,NA
C0600409,NA,NA,NA
C0600410,64.79,80.54,NA
C0600415,74.12,NA,46.39
C0600417,NA,NA,NA
C0600418,NA,NA,NA
C0600419,NA,NA,NA
C0600420,NA,NA,NA
C0600421,NA,NA,NA
C0600424,74.88,77.77,46.38
C0600425,NA,NA,NA
C0600426,NA,NA,NA
C0600428,NA,90.75,36.59
C0600429,NA,NA,NA
C0600431,NA,NA,NA
C0600435,NA,73.68,46.94
C0600439,NA,NA,NA
C0600441,NA,NA,NA
C0600442,NA,NA,NA
C0600443,NA,NA,NA
C0600444,NA,NA,NA
C0600445,NA,NA,NA
C0600447,NA,NA,NA
C0600448,NA,NA,NA
C0600451,72.7,81.48,32.11
C0600453,76.78,89.48,32.36
C0600455,77.79,82.54,30.42
C0600461,76.7,81.47,26.23
C0600466,NA,82.4,NA
C0600468,76.76,98.33,43.67
C0600469,79.3,78.51,38.48
C0600470,75.54,NA,48.69
C0600472,NA,77.92,39.92
C0600473,NA,NA,NA
C0600474,NA,78.6,NA
C0600475,NA,NA,NA
C0600478,NA,NA,NA
C0600479,NA,NA,NA
C0600480,NA,NA,NA
C0600481,NA,NA,NA
C0600482,NA,NA,NA
C0600483,NA,NA,NA
C0600485,73.85,68.82,44.07
C0600487,NA,NA,NA
C0600488,NA,NA,NA
C0600490,NA,NA,NA
C0600492,NA,NA,NA
C0600493,NA,NA,NA
C0600494,68.99,69.64,46.83
C0600495,NA,NA,NA
C0600496,NA,NA,NA
C0600497,NA,NA,NA
C0600498,NA,NA,NA
C0600500,NA,NA,NA
C0600501,NA,NA,NA
C0600502,NA,NA,NA
C0600503,NA,NA,NA
C0600504,NA,NA,NA
C0600505,NA,NA,NA
C0600506,NA,NA,NA
C0600507,NA,NA,NA
C0600508,NA,78.95,43.81
C0600509,NA,NA,NA
C0600510,NA,69.84,42.07
C0600511,NA,NA,NA
C0600512,NA,NA,NA
C0600513,NA,84.85,46.85
C0600514,NA,NA,NA
C0600515,NA,NA,NA
C0600516,NA,NA,NA
C0600517,NA,NA,NA
C0600518,NA,NA,NA
C0600520,NA,82.84,42.9
C0600521,78.95,NA,46.47
C0600522,NA,NA,NA
C0600524,NA,76.7,38.53
C0600525,NA,NA,NA
C0600527,71.16,87.52,51.19
C0600533,NA,NA,NA
C0600534,NA,NA,NA
C0600535,NA,NA,NA
C0600537,NA,NA,NA
C0600538,NA,NA,NA
C0600540,NA,NA,NA
C0600541,NA,NA,NA
C0600544,NA,NA,NA
C0600545,NA,NA,NA
C0600546,NA,NA,NA
C0600547,NA,NA,NA
C0600548,NA,NA,NA
C0600550,NA,NA,NA
C0600551,68.83,69.85,43.16
C0600552,NA,NA,NA
C0600553,NA,NA,NA
C0600554,NA,NA,NA
C0600555,NA,NA,NA
C0600556,NA,NA,NA
C0600557,NA,89.71,39.28
C0600559,NA,NA,NA
C0600560,NA,NA,NA
C0600561,NA,NA,NA
C0600562,NA,NA,41.21
C0600563,NA,NA,NA
C0600564,NA,NA,NA
C0600565,NA,NA,NA
C0600567,73.89,70.57,46.29
C0600568,72.85,71.56,46.11
C0600569,NA,NA,NA
C0600571,NA,78.19,NA
C0600572,NA,NA,NA
C0600574,NA,NA,NA
C0600575,NA,NA,NA
C0600577,NA,NA,NA
C0600579,NA,NA,NA
C0600583,NA,95.44,44.77
C0600584,NA,NA,NA
C0600586,NA,NA,NA
C0600590,NA,NA,NA
C0600593,74.69,83.48,NA
C0600595,72.61,85.75,43.99
C0600596,NA,NA,NA
C0600597,NA,89.36,43.12
C0600598,NA,80.25,47.32
C0600600,NA,91.34,42.53
C0600601,75.78,91.33,44.82
C0600604,75.83,72.82,47.59
C0600605,NA,NA,NA
C0600607,NA,NA,NA
C0600608,NA,96.47,44.28
C0600611,NA,NA,NA
C0600615,NA,NA,NA
C0600619,NA,NA,NA
C0600622,74.85,73.57,44.46
C0600623,NA,NA,NA
C0600624,NA,NA,NA
C0600625,NA,NA,NA
C0600626,NA,NA,NA
C0600627,NA,NA,NA
C0600628,NA,NA,NA
C0600629,NA,NA,NA
C0600630,NA,NA,NA
C0600632,NA,NA,NA
C0600633,NA,NA,NA
C0600635,NA,87.87,45.85
C0600636,NA,NA,NA
C0600642,NA,NA,NA
C0600643,NA,NA,NA
C0600644,NA,NA,NA
C0600645,NA,86.31,45.48
C0600646,NA,92.26,45.76
C0600648,NA,NA,NA
C0600651,NA,NA,NA
C0600655,NA,NA,NA
C0600656,NA,NA,NA
C0600658,NA,NA,NA
C0600659,NA,NA,NA
C0600663,NA,NA,NA
C0600667,NA,78.17,NA
C0600668,NA,NA,NA
C0600669,NA,78.63,NA
C0600670,NA,NA,NA
C0600671,61.82,56.1,49.64
C0600673,NA,NA,NA
C0600675,NA,NA,NA
C0600677,NA,NA,NA
C0600678,NA,NA,NA
C0600684,NA,NA,NA
C0600685,NA,NA,NA
C0600686,NA,NA,NA
C0600688,70.83,73.65,47.08
C0600689,NA,NA,NA
C0600690,NA,NA,NA
C0600696,NA,NA,NA
C0600697,NA,NA,NA
C0600698,NA,NA,NA
C0600702,NA,NA,NA
C0600703,NA,NA,NA
C0600704,NA,NA,NA
C0600706,NA,NA,NA
C0600709,NA,72.52,43.57
C0600710,NA,77.75,42.98
C0600711,NA,NA,40.87
C0600712,NA,NA,NA
C0600713,NA,NA,NA
C0600714,NA,76.06,43.19
C0600715,NA,NA,NA
C0600716,NA,NA,NA
C0600717,NA,75.65,NA
C0600718,NA,62.59,45.12
C0600719,NA,80.28,45.17
C0600720,NA,NA,NA
C0600721,NA,72.48,36.22
C0600722,NA,74.67,45.87
C0600723,NA,NA,NA
C0600724,NA,81.81,44.53
C0600725,NA,NA,NA
C0600727,NA,NA,NA
C0600728,NA,77.15,43.17
C0600729,67.95,77.92,43.1
C0600730,NA,81.17,47.04
C0600731,NA,NA,NA
C0600732,NA,NA,NA
C0600733,NA,66.51,NA
C0600734,NA,79.33,42.25
C0600735,NA,NA,NA
C0600736,NA,NA,NA
C0600737,NA,NA,NA
C0600738,NA,NA,NA
C0600739,NA,NA,NA
C0600740,NA,74.4,43.47
C0600741,NA,NA,NA
C0600742,NA,NA,NA
C0600743,NA,72.67,44.14
C0600744,NA,80.46,40.68
C0600745,NA,74.65,42.36
C0600746,NA,NA,NA
C0600747,NA,NA,NA
C0600748,NA,NA,NA
C0600749,NA,NA,NA
C0600750,NA,NA,NA
C0600751,NA,NA,NA
C0600752,NA,79.25,46.71
C0600753,72.47,83.43,45.31
C0600754,NA,73.28,45.3
C0600755,NA,NA,NA
C0600756,NA,NA,NA
C0600757,NA,80.92,47.9
C0600758,NA,85.84,45.25
C0600759,NA,NA,NA
C0600760,NA,74.71,44.6
C0600761,76.85,67.6,45.01
C0600762,74.29,71.11,44.95
C0600763,NA,NA,NA
C0600764,NA,NA,NA
C0600765,NA,NA,NA
C0600766,NA,NA,NA
C0600767,NA,79.04,44.63
C0600769,NA,NA,NA
C0600770,NA,NA,NA
C0600773,NA,NA,NA
C0600774,NA,NA,NA
C0600775,NA,92.3,39.44
C0600776,NA,NA,NA
C0600777,69.85,72.86,44.68
C0600778,NA,NA,NA
C0600780,NA,82.23,45.74
C0600781,79.4,67.46,41.69
C0600783,NA,86.11,45.93
C0600785,NA,NA,NA
C0600794,NA,NA,NA
C0600796,70.42,82.58,44.3
C0600798,NA,84.23,45.98
C0600799,NA,NA,NA
C0600800,NA,NA,NA
C0600801,84.02,74.58,38.44
C0600803,77.63,76.34,46.88
C0600804,NA,NA,NA
C0600806,NA,NA,NA
C0600807,72.77,68.96,46.38
C0600808,74.01,83.58,48.4
C0600809,70.72,93.62,53.18
C0600810,NA,NA,NA
C0600811,NA,NA,NA
C0600812,76.39,78.59,42.78
C0600814,NA,NA,NA
C0600816,NA,NA,NA
C0600818,NA,NA,NA
C0600821,NA,NA,NA
C0600824,NA,NA,NA
C0600825,75.75,98.5,NA
C0600827,NA,NA,NA
C0600831,NA,NA,NA
C0600833,NA,NA,NA
C0600834,NA,85.1,27.42
C0600835,NA,NA,NA
C0600839,74.88,78.55,48
C0600844,64.79,81.48,NA
C0600846,80.79,89.41,35.3
C0600847,NA,NA,NA
C0600848,NA,NA,NA
C0600849,NA,NA,NA
C0600850,62.76,76.49,NA
C0600852,NA,NA,NA
C0600854,NA,NA,NA
C0600855,73.04,75.54,44.93
C0600856,72.76,87.11,46.8
C0600857,NA,NA,NA
C0600858,NA,NA,NA
C0600860,NA,72.05,NA
C0600862,NA,NA,NA
C0600863,NA,NA,NA
C0600864,NA,NA,NA
C0600865,NA,81.75,NA
C0600866,NA,NA,NA
C0600867,NA,NA,NA
C0600868,NA,NA,NA
C0600869,NA,NA,NA
C0600870,NA,NA,NA
C0600873,NA,NA,NA
C0600884,NA,NA,NA
C0600895,NA,NA,NA
C0600901,72.83,77.84,47.62
C0600904,74.88,79.2,49.85
C0600905,68,78.55,47.02
C0600912,81.78,96.47,NA
C0600913,82.78,84.55,NA
C0600914,NA,NA,NA
C0600917,NA,NA,NA
C0600919,NA,NA,NA
C0600922,NA,NA,NA
C0600923,NA,NA,NA
C0600925,NA,NA,NA
C0600926,66.76,77.56,34.51
C0600927,72.98,81.04,42.78
C0600929,NA,82.79,44.56
C0600930,70.36,NA,45.9
C0600931,NA,NA,NA
C0600932,NA,NA,NA
C0600933,NA,NA,NA
C0600934,66.76,86.53,43.12
C0600936,NA,91.91,NA
C0600937,NA,NA,NA
C0600938,NA,85.44,53.44
C0600939,NA,NA,NA
C0600940,NA,NA,NA
C0600941,NA,82.1,43.87
C0600942,83.72,92.54,NA
C0600943,NA,NA,NA
C0600945,NA,NA,NA
C0600947,NA,NA,NA
C0600948,NA,82.12,44
C0600950,76.72,104.53,NA
C0600956,NA,NA,NA
C0600967,NA,NA,NA
C0600973,NA,NA,NA
C0600974,NA,NA,NA
C0600975,NA,NA,NA
C0601026,NA,NA,NA
C0601030,74.83,72.67,41.96
C0601031,70.07,76.6,44.58
C0601034,NA,NA,NA
C0601035,NA,NA,NA
C0601039,70.73,90.49,28.71
C0601040,NA,NA,NA
C0601041,72.81,80.72,54.39
C0601043,77.78,85.39,29.31
C0601045,70.89,83.56,48.49
C0601046,69.85,84.55,46.7
C0601047,73.89,70.53,45.88
C0601048,NA,NA,NA
C0601051,78.79,75.51,29.79
C0601060,NA,NA,NA
C0601062,73.87,70.34,42.28
C0601063,74.79,77.84,35.83
C0601066,NA,NA,NA
C0601068,NA,NA,NA
C0601077,73.87,76.53,46.93
C0601078,65.75,82.53,NA
C0601084,NA,NA,NA
C0601085,68.83,72.13,46.72
C0601086,70.18,71.63,47.76
