accenumb,campaign,days_to_heading,thousand_kernel_weight,plant_height
C0103938,1973-1974,NA,39.4,96
C0103940,1973-1974,NA,39,109
C0103940,1973-1974,236,43.2,NA
C0103941,1973-1974,239,34.2,NA
C0103941,1973-1974,228,38.7,NA
C0103941,1973-1974,230,40,NA
C0103942,1973-1974,NA,41.6,90
C0103942,1973-1974,227,42.9,NA
C0103944,1973-1974,NA,60.6,98
C0104191,1973-1974,NA,42.8,112
C0104191,1973-1974,241,32.1,NA
C0104191,1973-1974,232,46.8,NA
C0104273,1973-1974,NA,37,80
C0104792,1973-1974,241,38.6,NA
C0104792,1973-1974,235,48.05,NA
C0104824,1973-1974,NA,51.5,98
C0104824,1973-1974,238,34.3,NA
C0104824,1973-1974,224,54.2,NA
C0104825,1973-1974,NA,45,99
C0104825,1973-1974,NA,50.1,102
C0104825,1973-1974,237,44.8,NA
C0104825,1973-1974,227,52.6,NA
C0104923,1973-1974,NA,48.7,85
C0105393,1973-1974,NA,41.4,89
C0105794,1973-1974,NA,41.3,132
C0100246,1976-1977,207,47.4,143
C0100246,1976-1977,215,51.6,127.5
C0100246,1976-1977,208,56,113.3
C0100261,1976-1977,215,54.6,85
C0100262,1976-1977,195,47.1,92
C0100262,1976-1977,216,58.8,88
C0100262,1976-1977,206,52.7,90
C0100263,1976-1977,195,54,94
C0100263,1976-1977,211,62.7,77.3
C0100263,1976-1977,205,58.3,85.7
C0100264,1976-1977,218,45.9,101
C0100274,1976-1977,200,32.5,98
C0100274,1976-1977,219,44.4,88.6
C0100274,1976-1977,210,38.1,93.3
C0100283,1976-1977,197,50,102
C0100283,1976-1977,215,61.3,94
C0100283,1976-1977,206,55.1,98
C0100287,1976-1977,196,45.6,87
C0100287,1976-1977,216,51.2,86
C0100287,1976-1977,209,48.5,86
C0100294,1976-1977,198,50.9,96
C0100294,1976-1977,216,47.8,70.3
C0100294,1976-1977,207,50.1,85.4
C0100698,1976-1977,218,51,110
C0100702,1976-1977,205,57.8,104
C0100702,1976-1977,216,57.8,74.6
C0100707,1976-1977,194,38.2,92
C0100707,1976-1977,210,62.2,82.3
C0100707,1976-1977,205,50.2,87.2
C0100711,1976-1977,201,53.3,105
C0100711,1976-1977,218,56,95
C0100711,1976-1977,210,54.6,100
C0100960,1976-1977,211,50.2,126
C0100960,1976-1977,221,53.1,126
C0100960,1976-1977,215,52,115
C0100965,1976-1977,207,42.9,83.3
C0100966,1976-1977,216,50,97
C0101045,1976-1977,200,45.8,96
C0101045,1976-1977,214,45.8,91
C0101045,1976-1977,207,47.3,96.2
C0101154,1976-1977,188,39.7,60
C0101162,1976-1977,201,38,138
C0101162,1976-1977,215,51.8,110
C0101162,1976-1977,211,44.9,124
C0101164,1976-1977,202,46.5,81
C0101164,1976-1977,215,48.8,86.5
C0101164,1976-1977,208,45.3,75.8
C0101165,1976-1977,198,45,78
C0101165,1976-1977,213,46.1,73.5
C0101165,1976-1977,208,45.5,75.8
C0101166,1976-1977,196,45,92
C0101166,1976-1977,213,40.9,77
C0101166,1976-1977,207,42.8,84.5
C0101177,1976-1977,202,45.6,75
C0101177,1976-1977,217,50.2,52
C0101177,1976-1977,208,47.7,63.5
C0101191,1976-1977,193,42.8,126
C0101191,1976-1977,212,48.2,89.6
C0101191,1976-1977,202,45,107
C0101194,1976-1977,222,37.1,95.6
C0101359,1976-1977,201,45.2,96
C0101359,1976-1977,217,52.4,111.6
C0101359,1976-1977,209,48.2,104
C0101374,1976-1977,198,50,96
C0101374,1976-1977,216,56.2,106.3
C0101374,1976-1977,207,53,101.2
C0101375,1976-1977,194,48.9,96
C0101375,1976-1977,213,40.4,76.3
C0101375,1976-1977,208,49.9,86.2
C0101394,1976-1977,214,43.6,91
C0101397,1976-1977,194,44.3,80
C0101397,1976-1977,209,50.1,80
C0101397,1976-1977,204,47.5,80
C0101398,1976-1977,196,48.8,96
C0101398,1976-1977,214,52.6,82
C0101398,1976-1977,206,51,110
C0101401,1976-1977,198,43.7,96
C0101401,1976-1977,216,50.9,103
C0101401,1976-1977,208,47.8,99.5
C0101410,1976-1977,201,45.7,96
C0101410,1976-1977,220,67.7,75.6
C0101410,1976-1977,206,56.7,84.5
C0101470,1976-1977,215,57.5,70
C0101473,1976-1977,190,36.5,83
C0101473,1976-1977,206,37.3,54.3
C0101473,1976-1977,204,36.7,68.7
C0101521,1976-1977,210,49.3,90
C0101553,1976-1977,192,46,96
C0101553,1976-1977,208,50.1,74
C0101553,1976-1977,204,52,85.7
C0101595,1976-1977,197,44.4,112
C0101595,1976-1977,219,55.4,100.5
C0101595,1976-1977,209,49.9,106.3
C0101599,1976-1977,202,43.7,96
C0101599,1976-1977,218,33.7,66.6
C0101599,1976-1977,210,38.9,80
C0102379,1976-1977,195,46.4,95
C0102379,1976-1977,215,55.2,86
C0102379,1976-1977,205,50.3,90.5
C0102743,1976-1977,193,47.3,78
C0102743,1976-1977,209,45.8,86
C0102743,1976-1977,203,46.5,70.5
C0103142,1976-1977,191,43.1,78
C0103142,1976-1977,206,45.3,81
C0103142,1976-1977,203,44.5,93
C0103696,1976-1977,197,47.6,98
C0103696,1976-1977,210,49.2,96.6
C0103696,1976-1977,209,48.4,97.3
C0104824,1976-1977,203,48.1,106
C0104824,1976-1977,217,50.8,97.5
