accenumb,campaign,days_to_heading,thousand_kernel_weight,plant_height
C0101654,1995-1996,NA,42.6,105.03
C0101655,1995-1996,NA,43.8,89.37
C0101691,1995-1996,228,39.6,81.33
C0101727,1995-1996,NA,42.9,95.33
C0101739,1995-1996,NA,46.8,99.17
C0101746,1995-1996,231,53.9,94.67
C0101783,1995-1996,239,35.9,76
C0101791,1995-1996,239,38.5,100
C0101841,1995-1996,239,38.6,72.33
C0101854,1995-1996,242,32.3,83
C0101863,1995-1996,244,35.5,58.33
C0101865,1995-1996,239,40.6,115
C0101866,1995-1996,NA,49.1,102
C0101867,1995-1996,240,46.4,107
C0101868,1995-1996,242,48,97
C0101869,1995-1996,239,37.9,61.67
C0101870,1995-1996,232,42.2,85.33
C0101873,1995-1996,NA,38.9,113.17
C0101876,1995-1996,NA,34.2,87
C0101877,1995-1996,NA,42.7,94.84
C0101878,1995-1996,NA,31.5,95.84
C0101880,1995-1996,NA,43.7,100.5
C0101881,1995-1996,NA,43.9,89.84
C0101882,1995-1996,NA,42.6,120.67
C0101884,1995-1996,NA,45.3,144.5
C0101885,1995-1996,NA,41.8,154.83
C0101886,1995-1996,NA,42.1,99.83
C0101887,1995-1996,NA,41.9,94.34
C0101888,1995-1996,NA,41.3,101.83
C0101889,1995-1996,NA,37.2,115.5
C0101890,1995-1996,NA,37.1,93.5
C0101891,1995-1996,NA,44.4,109.67
C0101892,1995-1996,NA,42.3,112.17
C0101893,1995-1996,NA,42.3,101
C0101894,1995-1996,NA,33.8,92
C0101895,1995-1996,NA,32.8,116
C0101897,1995-1996,NA,36.2,124.67
C0101898,1995-1996,NA,35.9,113
C0101899,1995-1996,NA,43.9,110.17
C0101900,1995-1996,NA,43.2,106.17
C0101901,1995-1996,NA,46.7,116.83
C0101902,1995-1996,NA,41.8,118.17
C0101903,1995-1996,NA,38.3,91.67
C0101904,1995-1996,NA,40.9,126.84
C0101905,1995-1996,NA,42.1,127.68
C0101906,1995-1996,NA,35.2,113.83
C0101907,1995-1996,NA,40.2,113.67
C0101908,1995-1996,NA,46.7,94.17
C0101910,1995-1996,NA,37.7,114.84
C0101911,1995-1996,NA,49.3,100.67
C0101912,1995-1996,NA,38.2,125.17
C0101913,1995-1996,NA,35.7,133
C0101914,1995-1996,NA,37.1,121.5
C0101915,1995-1996,NA,37.5,136.34
C0101916,1995-1996,NA,36.6,111
C0101917,1995-1996,NA,26.8,119.17
C0101918,1995-1996,NA,32.9,129.84
C0101919,1995-1996,NA,32.4,131.67
C0101920,1995-1996,NA,34.7,135.67
C0101921,1995-1996,NA,41.8,82.67
C0101922,1995-1996,NA,40.1,110.67
C0101923,1995-1996,NA,28.4,109
C0101924,1995-1996,NA,42,135.17
C0101925,1995-1996,NA,39.5,123.33
C0101926,1995-1996,NA,34.4,130.17
C0101927,1995-1996,NA,35.8,139.67
C0101928,1995-1996,NA,38.3,147.67
C0101929,1995-1996,NA,37.9,137.67
C0101930,1995-1996,NA,37.3,135
C0101931,1995-1996,NA,36.7,139.34
C0101932,1995-1996,NA,39.8,128.67
C0101933,1995-1996,NA,33.8,132.84
C0101934,1995-1996,NA,36.1,127
C0101936,1995-1996,NA,41.2,117.33
C0101937,1995-1996,NA,41.3,97.17
C0101938,1995-1996,NA,38.7,110.84
C0101939,1995-1996,NA,39.4,134
C0101940,1995-1996,NA,35.7,88.83
C0101941,1995-1996,NA,39.3,107
C0101942,1995-1996,NA,30.6,113.84
C0101943,1995-1996,NA,38.3,103.5
C0101944,1995-1996,NA,40.8,122
C0101945,1995-1996,NA,39.7,155.34
C0101946,1995-1996,NA,35.3,128.34
C0101947,1995-1996,NA,35.6,136.67
C0101949,1995-1996,NA,35.7,87.17
C0101950,1995-1996,NA,41.6,89.5
C0101953,1995-1996,NA,38,117.34
C0101954,1995-1996,NA,30.5,127.83
C0101955,1995-1996,NA,38.4,142.83
C0101956,1995-1996,NA,41.2,107.67
C0101957,1995-1996,NA,33.8,130.17
C0101958,1995-1996,NA,37.2,130.84
C0101959,1995-1996,NA,34.4,134.67
C0101960,1995-1996,NA,31.9,144
C0101961,1995-1996,NA,37.2,126.17
C0101962,1995-1996,NA,38.9,135.4
C0101963,1995-1996,NA,38.8,125.84
C0101964,1995-1996,NA,49.9,110.17
C0101965,1995-1996,NA,44.8,99.67
C0101967,1995-1996,NA,45.1,124
C0101969,1995-1996,NA,38.2,113.17
C0101970,1995-1996,NA,40.3,108.67
C0101971,1995-1996,NA,39.4,118
C0101972,1995-1996,NA,42.7,131
C0101973,1995-1996,NA,43.3,95.84
C0101974,1995-1996,NA,37.9,85.17
C0101975,1995-1996,NA,45.6,101.33
C0101976,1995-1996,NA,37.7,87.83
C0101977,1995-1996,NA,40.5,101.33
C0101978,1995-1996,NA,42.2,112.67
C0101979,1995-1996,NA,30.6,124.5
C0101981,1995-1996,NA,33.7,104
C0101982,1995-1996,NA,44.1,123.5
C0101983,1995-1996,NA,40.8,94.17
C0101984,1995-1996,NA,40.6,100.33
C0101985,1995-1996,NA,48,119
C0101986,1995-1996,NA,42.2,127.5
C0101987,1995-1996,NA,43.9,90.5
C0101988,1995-1996,NA,38.6,91.34
C0101989,1995-1996,NA,41.7,103
C0101990,1995-1996,NA,40.4,134.51
C0101991,1995-1996,NA,40.7,99.84
C0101992,1995-1996,NA,43.6,99.84
C0101994,1995-1996,229,NA,92
C0101995,1995-1996,231,NA,102.33
C0101996,1995-1996,239,NA,105.67
C0101997,1995-1996,231,NA,89.33
C0101998,1995-1996,231,NA,78.67
C0101999,1995-1996,229,NA,92.33
C0102000,1995-1996,227,NA,116
C0102002,1995-1996,231,NA,110
C0102004,1995-1996,230,NA,89
C0102006,1995-1996,231,NA,82.67
C0102007,1995-1996,236,NA,91.33
C0102009,1995-1996,232,NA,78
C0102013,1995-1996,224,NA,115
C0102015,1995-1996,223,NA,105.67
C0102017,1995-1996,223,NA,127.33
C0102019,1995-1996,223,NA,82.33
C0102021,1995-1996,223,NA,139.67
C0102032,1995-1996,232,NA,132.67
C0102033,1995-1996,230,NA,118.33
C0102035,1995-1996,237,NA,130
C0102036,1995-1996,223,NA,82.33
C0102037,1995-1996,237,NA,97.67
C0102046,1995-1996,231,NA,117.67
C0102047,1995-1996,228,NA,108
C0102050,1995-1996,229,NA,103.67
C0102051,1995-1996,223,NA,97.33
C0102054,1995-1996,224,NA,112.33
C0102058,1995-1996,244,45.1,84.67
C0102059,1995-1996,223,NA,90
C0102063,1995-1996,228,NA,94.67
C0102064,1995-1996,229,NA,73
C0102067,1995-1996,224,NA,125.67
C0102068,1995-1996,232,NA,84.33
C0102069,1995-1996,231,NA,108.33
C0102075,1995-1996,224,NA,96.67
C0102076,1995-1996,231,NA,113
C0102078,1995-1996,240,NA,113.33
C0102079,1995-1996,231,NA,93
C0102082,1995-1996,231,NA,89.67
C0102083,1995-1996,237,NA,108.67
C0102091,1995-1996,229,44.9,79.33
C0102094,1995-1996,242,40.1,62.33
C0102126,1995-1996,239,41.4,111.33
C0102163,1995-1996,238,42.1,88.33
C0102241,1995-1996,238,38.9,68
C0102245,1995-1996,237,48.3,105.67
C0102274,1995-1996,241,36.8,89.67
C0102279,1995-1996,236,NA,96.67
C0102280,1995-1996,238,44.5,104.33
C0102281,1995-1996,239,NA,106.33
C0102282,1995-1996,238,48.6,102.67
C0102283,1995-1996,236,49,104.67
C0102286,1995-1996,230,NA,84.33
C0102292,1995-1996,231,NA,99.75
C0102298,1995-1996,231,NA,103.25
C0102299,1995-1996,231,NA,113.75
C0102300,1995-1996,231,NA,99.75
C0102301,1995-1996,232,NA,110
C0102302,1995-1996,237,NA,118
C0102303,1995-1996,237,NA,107.75
C0102304,1995-1996,238,NA,104.5
C0102305,1995-1996,237,NA,109.75
C0102307,1995-1996,232,39,77.67
C0102308,1995-1996,243,41.7,85.67
C0102310,1995-1996,244,34.1,59
C0102311,1995-1996,239,37.5,80
C0102312,1995-1996,249,38.2,131.67
C0102321,1995-1996,235,32.7,90
C0102322,1995-1996,236,39,85.67
C0102323,1995-1996,225,36,76
C0102325,1995-1996,239,30,74.67
C0102326,1995-1996,244,38.9,69.33
C0102327,1995-1996,236,47.3,75
C0102328,1995-1996,239,44.9,71.67
C0102329,1995-1996,223,39.4,62.33
C0102335,1995-1996,238,NA,87.67
C0102336,1995-1996,238,41.6,103
C0102337,1995-1996,228,35.8,83
C0102353,1995-1996,251,NA,140.67
C0102357,1995-1996,239,NA,115
C0102360,1995-1996,240,NA,148
C0102365,1995-1996,239,NA,123.33
C0102370,1995-1996,249,37,103.33
C0102371,1995-1996,240,36.8,112.33
C0102372,1995-1996,238,40,127.33
C0102373,1995-1996,243,40.8,107
C0102374,1995-1996,249,36.8,87
C0102375,1995-1996,244,35,109.33
C0102376,1995-1996,239,39,94
C0102378,1995-1996,244,29.4,130
C0102381,1995-1996,NA,47,134.67
C0102383,1995-1996,239,34.4,117.33
C0102384,1995-1996,240,38.7,78.67
C0102385,1995-1996,244,35,73
C0102386,1995-1996,228,54,86
C0102388,1995-1996,238,33.8,68.33
C0102389,1995-1996,242,54,108.33
C0102391,1995-1996,249,55,99
C0102392,1995-1996,228,37.7,92.33
C0102393,1995-1996,228,43.9,84
C0102395,1995-1996,231,41,83.33
C0102397,1995-1996,231,46.8,70
C0102398,1995-1996,244,NA,80
C0102400,1995-1996,241,38.7,85.67
C0102402,1995-1996,240,NA,97
C0102403,1995-1996,237,NA,94
C0102442,1995-1996,239,NA,137.67
C0102444,1995-1996,NA,NA,119
C0102445,1995-1996,NA,NA,141.67
C0102446,1995-1996,249,NA,146.67
C0102448,1995-1996,243,NA,158.35
C0102730,1995-1996,NA,38.8,131
C0102747,1995-1996,231,33.6,90.75
C0102748,1995-1996,231,44.2,89
C0102749,1995-1996,238,39.4,71
C0102750,1995-1996,231,32,70
C0102751,1995-1996,232,43.6,74.75
C0102752,1995-1996,231,41.2,59.75
C0102753,1995-1996,231,36.8,76.75
C0102754,1995-1996,237,37.4,75.5
C0102755,1995-1996,225,36.4,85.5
C0102756,1995-1996,237,35.2,71.75
C0102823,1995-1996,244,33.9,59.33
C0102827,1995-1996,238,42.2,74
C0102832,1995-1996,240,37.7,71.53
C0102852,1995-1996,240,39.7,65
C0103848,1995-1996,NA,41.3,113.67
C0100010,1996-1997,224,NA,75
C0100014,1996-1997,220,NA,98.5
C0100088,1996-1997,222,NA,89.25
C0100167,1996-1997,223,NA,91.67
C0100173,1996-1997,220,NA,76.5
C0100174,1996-1997,222,NA,66.75
C0100372,1996-1997,221,NA,82
C0100415,1996-1997,219,NA,93.5
C0100636,1996-1997,222,NA,91.25
C0100673,1996-1997,221,NA,84
C0100676,1996-1997,220,NA,94.5
C0100693,1996-1997,221,NA,97.33
C0100711,1996-1997,221,NA,101.67
C0100737,1996-1997,226,NA,78.67
C0100738,1996-1997,219,NA,83.67
C0100739,1996-1997,218,NA,77
C0100740,1996-1997,219,NA,88
C0100744,1996-1997,232,NA,115.33
C0100745,1996-1997,230,NA,114
C0100749,1996-1997,219,NA,121.67
C0100793,1996-1997,218,NA,89.33
C0100794,1996-1997,218,NA,87.65
C0100803,1996-1997,221,NA,83.67
C0100806,1996-1997,223,NA,89.33
C0100809,1996-1997,218,NA,83.33
C0100810,1996-1997,221,NA,96
C0100811,1996-1997,222,NA,92.33
C0100846,1996-1997,220,NA,115.67
C0100848,1996-1997,218,NA,106.67
C0100864,1996-1997,228,NA,126.67
C0100865,1996-1997,234,NA,117
C0100869,1996-1997,223,NA,82
C0100872,1996-1997,220,NA,84.67
C0100938,1996-1997,223,NA,98.67
C0100939,1996-1997,222,NA,88
C0100943,1996-1997,218,NA,86
C0100951,1996-1997,217,NA,140
C0101024,1996-1997,221,NA,133.67
C0101026,1996-1997,232,NA,76
C0101135,1996-1997,217,NA,83.33
C0101233,1996-1997,220,NA,87.67
C0101478,1996-1997,224,NA,86.33
C0101622,1996-1997,221,NA,86.33
C0101637,1996-1997,NA,38.1,99.03
C0101654,1996-1997,NA,39.4,97.38
C0101656,1996-1997,NA,48.6,104
C0101708,1996-1997,220,NA,94.67
C0101755,1996-1997,216,NA,87.67
C0101788,1996-1997,221,NA,102.33
C0101797,1996-1997,218,NA,75.33
C0101824,1996-1997,218,NA,97
C0101829,1996-1997,220,NA,95.67
C0101834,1996-1997,220,NA,88
C0101872,1996-1997,224,NA,81.33
C0101875,1996-1997,222,NA,97.67
C0101879,1996-1997,222,NA,94.67
C0101896,1996-1997,220,NA,97.33
C0101966,1996-1997,221,NA,84
C0101992,1996-1997,221,43.6,78.33
C0102003,1996-1997,218,NA,90.33
C0102048,1996-1997,216,NA,82.67
C0102087,1996-1997,217,NA,98.67
C0102093,1996-1997,220,NA,86.33
C0102099,1996-1997,228,NA,110
C0102100,1996-1997,225,NA,98
C0102104,1996-1997,226,NA,136
C0102107,1996-1997,225,NA,104.33
C0102110,1996-1997,210,NA,150.67
C0102111,1996-1997,220,NA,198.33
C0102112,1996-1997,223,NA,126.67
C0102114,1996-1997,221,NA,79.67
C0102115,1996-1997,229,NA,145
C0102119,1996-1997,222,NA,104.67
C0102121,1996-1997,233,NA,124
C0102134,1996-1997,229,NA,105.33
C0102138,1996-1997,221,NA,84
C0102144,1996-1997,222,NA,85
C0102146,1996-1997,223,NA,107.33
C0102151,1996-1997,222,NA,73.67
C0102158,1996-1997,225,NA,101.67
C0102162,1996-1997,219,NA,101.67
C0102164,1996-1997,221,NA,110.67
C0102165,1996-1997,220,NA,77.67
C0102167,1996-1997,220,NA,89.67
C0102215,1996-1997,222,NA,88
C0102221,1996-1997,NA,45.1,107.34
C0102222,1996-1997,NA,41.6,110.5
C0102223,1996-1997,NA,41.6,NA
C0102224,1996-1997,NA,37.5,82.67
C0102225,1996-1997,NA,46.4,111.5
C0102226,1996-1997,NA,40.9,98.5
C0102227,1996-1997,NA,36.7,89
C0102228,1996-1997,NA,39.7,94.17
C0102229,1996-1997,NA,43,91.67
C0102230,1996-1997,NA,36.8,86.17
C0102231,1996-1997,NA,33.6,89.34
C0102232,1996-1997,NA,32.7,85
C0102233,1996-1997,NA,45.9,86.84
C0102234,1996-1997,NA,42.8,93
C0102235,1996-1997,NA,41,101.67
C0102236,1996-1997,NA,37.4,85.34
C0102237,1996-1997,NA,35.7,109.5
C0102238,1996-1997,NA,32.3,84.71
C0102239,1996-1997,NA,49.8,11.67
C0102240,1996-1997,NA,36.5,87.17
C0102242,1996-1997,NA,37.9,106
C0102243,1996-1997,NA,32.2,99.83
C0102244,1996-1997,NA,45.3,87.75
C0102245,1996-1997,NA,48.3,108.5
C0102246,1996-1997,NA,41.2,99.67
C0102247,1996-1997,NA,44.2,103.67
C0102248,1996-1997,NA,42.9,106.83
C0102249,1996-1997,NA,41.8,76.17
C0102250,1996-1997,NA,40.6,86.5
C0102251,1996-1997,NA,40.7,111.67
C0102252,1996-1997,NA,41.8,81.67
C0102253,1996-1997,NA,35.2,84.84
C0102254,1996-1997,NA,38.4,105.84
C0102255,1996-1997,NA,44.7,122.17
C0102256,1996-1997,NA,38.9,101.17
C0102257,1996-1997,NA,41.3,106.67
C0102258,1996-1997,NA,39.2,88.67
C0102259,1996-1997,NA,42.2,116
C0102260,1996-1997,NA,46.1,124.67
C0102261,1996-1997,NA,42.3,108.5
C0102262,1996-1997,NA,40.4,83.17
C0102263,1996-1997,NA,44,100.67
C0102264,1996-1997,NA,35.9,115.67
C0102265,1996-1997,NA,41.3,107.84
C0102266,1996-1997,NA,38.6,116
C0102269,1996-1997,NA,41.1,98.17
C0102270,1996-1997,NA,43.3,98
C0102271,1996-1997,NA,37.1,102.34
C0102272,1996-1997,NA,43.2,92.84
C0102273,1996-1997,NA,38.6,82.34
C0102275,1996-1997,NA,42.1,101
C0102276,1996-1997,NA,37.4,88
C0102278,1996-1997,NA,41,90.34
C0102279,1996-1997,NA,51.2,97.5
C0102280,1996-1997,NA,44.5,107.5
C0102281,1996-1997,NA,45.1,106
C0102282,1996-1997,NA,48.6,102.84
C0102283,1996-1997,NA,49,106.5
C0102284,1996-1997,NA,44.7,88.5
C0102315,1996-1997,218,47.4,96.67
C0102316,1996-1997,221,40,99
C0102317,1996-1997,219,51.6,106.33
C0102318,1996-1997,220,48.4,96.33
C0102320,1996-1997,238,52,111
C0102330,1996-1997,218,36.4,85.67
C0102332,1996-1997,226,42.8,99
C0102333,1996-1997,228,43.8,119
C0102334,1996-1997,231,42,108
C0102340,1996-1997,218,40.8,96
C0102341,1996-1997,219,33.2,86.33
C0102342,1996-1997,227,41,100
C0102344,1996-1997,233,42.5,106
C0102345,1996-1997,234,33.6,95
C0102346,1996-1997,240,35.4,107.33
C0102347,1996-1997,237,NA,129.33
C0102349,1996-1997,224,47.2,135
C0102409,1996-1997,239,40.6,121
C0102411,1996-1997,238,42.8,107.33
C0102412,1996-1997,234,38.3,114.33
C0102413,1996-1997,242,32,120
C0102415,1996-1997,241,39,134.34
C0102416,1996-1997,232,36.6,99
C0102417,1996-1997,237,31,73.67
C0102418,1996-1997,232,37.4,111.67
C0102419,1996-1997,231,40.4,108.33
C0102420,1996-1997,239,32,123.33
C0102423,1996-1997,228,39.4,120.33
C0102427,1996-1997,220,30,64.67
C0102428,1996-1997,218,35.6,77.33
C0102473,1996-1997,223,NA,90.25
C0102474,1996-1997,219,NA,97.5
C0102475,1996-1997,228,NA,130
C0102476,1996-1997,228,NA,141
C0102477,1996-1997,221,NA,101
C0102482,1996-1997,224,NA,NA
C0102484,1996-1997,229,NA,NA
C0102486,1996-1997,222,NA,NA
C0102490,1996-1997,222,NA,100.67
C0102491,1996-1997,223,NA,75.33
C0102730,1996-1997,240,NA,136.67
C0102795,1996-1997,NA,39.2,94.83
C0102824,1996-1997,234,43.6,108.33
C0102828,1996-1997,221,46,86
C0100039,1997-1998,216,42,89.67
C0100403,1997-1998,224,39.7,96.67
C0100454,1997-1998,222,49.2,94.67
C0100680,1997-1998,232,43.5,143
C0100713,1997-1998,222,45,134.33
C0100836,1997-1998,232,55,124
C0100940,1997-1998,232,48.7,143.67
C0100971,1997-1998,225,47.7,69.17
C0101092,1997-1998,224,76.8,98.67
C0101109,1997-1998,222,44.3,93.67
C0101131,1997-1998,216,40,82
C0101133,1997-1998,216,45.2,77.33
C0101134,1997-1998,217,40,86.67
C0101145,1997-1998,218,44,101
C0101241,1997-1998,222,45,94.67
C0101527,1997-1998,225,43.1,89.67
C0101528,1997-1998,222,47.2,82.33
C0101821,1997-1998,225,45,99
C0101828,1997-1998,225,48.3,90.67
C0101874,1997-1998,216,50.8,100.67
C0101917,1997-1998,236,26.8,119.17
C0101959,1997-1998,235,31.9,144
C0101993,1997-1998,216,46.7,124
C0102008,1997-1998,222,43,93.33
C0102012,1997-1998,210,45.5,100.67
C0102014,1997-1998,217,46.1,120.33
C0102018,1997-1998,214,49,97.67
C0102020,1997-1998,210,38,82
C0102034,1997-1998,222,50,98.67
C0102041,1997-1998,223,48.1,98.67
C0102042,1997-1998,226,45.8,92.33
C0102043,1997-1998,225,50.3,110.33
C0102044,1997-1998,231,47,108.67
C0102049,1997-1998,222,39.7,89
C0102055,1997-1998,210,NA,87.33
C0102065,1997-1998,216,38.9,99.67
C0102066,1997-1998,216,45,89.67
C0102070,1997-1998,225,35.2,107.67
C0102071,1997-1998,216,46.5,80.67
C0102189,1997-1998,233,45.1,137.67
C0102297,1997-1998,218,43,95.67
C0102319,1997-1998,217,46.3,73
C0102351,1997-1998,232,49.8,127.67
C0102352,1997-1998,239,40,148
C0102358,1997-1998,231,45.3,142
C0102361,1997-1998,231,42,135
C0102362,1997-1998,232,45,145.33
C0102363,1997-1998,230,42,144.67
C0102366,1997-1998,231,41.1,138.33
C0102377,1997-1998,222,49,91.33
C0102401,1997-1998,216,51.1,86.67
C0102408,1997-1998,230,37.7,57
C0102467,1997-1998,216,45,92
C0102468,1997-1998,232,NA,89.33
C0102525,1997-1998,224,46.1,108.67
C0102553,1997-1998,228,34,61.5
C0102554,1997-1998,NA,38.4,85.67
C0102555,1997-1998,NA,34.6,74.17
C0102556,1997-1998,228,42.1,73.67
C0102557,1997-1998,223,32.8,60.84
C0102558,1997-1998,228,39.6,63.84
C0102559,1997-1998,222,42.2,75.33
C0102560,1997-1998,223,38.7,90
C0102561,1997-1998,228,39.8,79.84
C0102562,1997-1998,225,41.4,87.67
C0102563,1997-1998,222,36.6,75.34
C0102564,1997-1998,229,39.5,79
C0102565,1997-1998,222,37,71.17
C0102566,1997-1998,223,42,109
C0102567,1997-1998,225,39.6,77
C0102568,1997-1998,223,38.6,75.5
C0102569,1997-1998,222,33.4,80.83
C0102570,1997-1998,225,41.9,79.17
C0102571,1997-1998,224,45.6,80.34
C0102572,1997-1998,222,39.7,80.67
C0102573,1997-1998,222,44.3,93.67
C0102574,1997-1998,224,35.7,70.33
C0102575,1997-1998,225,33.9,69
C0102576,1997-1998,230,35.3,67.5
C0102577,1997-1998,230,41.5,86.67
C0102578,1997-1998,222,38.5,77.5
C0102579,1997-1998,223,35.9,78.67
C0102580,1997-1998,225,37.6,82.84
C0102581,1997-1998,223,42.3,93.33
C0102582,1997-1998,225,42.6,87.67
C0102583,1997-1998,222,40.6,90
C0102584,1997-1998,225,33.5,78.5
C0102585,1997-1998,228,41.8,82.33
C0102586,1997-1998,225,37.4,81.33
C0102588,1997-1998,214,48.1,69
C0102589,1997-1998,222,45.7,91.34
C0102590,1997-1998,223,39,83.34
C0102591,1997-1998,222,43.7,86.5
C0102592,1997-1998,218,47,88.34
C0102594,1997-1998,215,43.8,70.67
C0102595,1997-1998,215,40.9,73.17
C0102596,1997-1998,218,44.6,85.17
C0102597,1997-1998,218,46.7,81.67
C0102598,1997-1998,216,45.1,65.67
C0102599,1997-1998,215,41.9,64
C0102600,1997-1998,216,42.3,71
C0102601,1997-1998,216,45.1,71.34
C0102602,1997-1998,215,49.5,72.5
C0102603,1997-1998,229,36,105
C0102604,1997-1998,232,47.1,96.33
C0102605,1997-1998,235,42,84
C0102606,1997-1998,232,43.8,104.33
C0102608,1997-1998,223,49,100.67
C0102609,1997-1998,218,53,102.67
C0102610,1997-1998,217,41.5,56.94
C0102611,1997-1998,217,46.3,85.67
C0102613,1997-1998,226,43.4,98.67
C0102614,1997-1998,222,53.9,103.33
C0102616,1997-1998,223,45,93
C0102745,1997-1998,225,47,111.67
C0102757,1997-1998,218,44,94.33
C0102759,1997-1998,223,50,104.33
C0102762,1997-1998,223,49.3,89
C0102763,1997-1998,222,45,86.33
C0102764,1997-1998,222,49.9,90.33
C0102765,1997-1998,229,42.3,89
C0102766,1997-1998,216,45.1,87
C0102767,1997-1998,232,42.6,86.67
C0102768,1997-1998,218,46.2,71
C0102769,1997-1998,217,43.4,82.34
C0102770,1997-1998,214,38.9,81.17
C0102773,1997-1998,231,44,140.67
C0102774,1997-1998,223,45.8,68.33
C0102775,1997-1998,229,46.9,91.67
C0102776,1997-1998,223,46.7,80.67
C0102777,1997-1998,229,48.5,89
C0102778,1997-1998,229,47.9,85.67
C0102779,1997-1998,228,43,87
C0102780,1997-1998,214,35.6,102.33
C0102781,1997-1998,223,49.5,80
C0102782,1997-1998,229,47.5,84.33
C0102783,1997-1998,224,48.6,88.67
C0102784,1997-1998,222,44.8,95
C0102785,1997-1998,217,50,85.67
C0102786,1997-1998,222,48,95.67
C0102787,1997-1998,224,45,85
C0102790,1997-1998,217,47.3,81.67
C0102791,1997-1998,223,50,86.33
C0102792,1997-1998,222,47,95.33
C0102793,1997-1998,224,43.9,85
C0102794,1997-1998,222,45,85
C0102797,1997-1998,222,46.9,94.67
C0102799,1997-1998,222,52.9,95.67
C0102800,1997-1998,222,44.9,97.33
C0102801,1997-1998,223,49,97.67
C0102802,1997-1998,225,41.8,95.33
C0102803,1997-1998,216,45.1,73.67
C0102804,1997-1998,222,46,63.33
C0102805,1997-1998,222,43,60.33
C0102806,1997-1998,214,49.8,82.67
C0102808,1997-1998,216,44.8,93.67
C0102810,1997-1998,222,43.1,82.33
C0102811,1997-1998,216,51,90.67
C0102812,1997-1998,222,52.9,97
C0102813,1997-1998,217,47,76.33
C0102814,1997-1998,214,49.7,70.33
C0102815,1997-1998,218,46.1,79.33
C0102816,1997-1998,216,43,79
C0102817,1997-1998,225,44,110.33
C0102818,1997-1998,222,40.5,92.75
C0102819,1997-1998,210,46.5,83.33
C0102820,1997-1998,222,45.2,92.33
C0102821,1997-1998,223,45.2,94.33
C0102826,1997-1998,225,43,81.33
C0102835,1997-1998,217,43,81.33
C0102836,1997-1998,222,51,88.67
C0102837,1997-1998,218,43.5,87
C0102838,1997-1998,222,52.2,97.33
C0102840,1997-1998,222,51.6,87.33
C0102841,1997-1998,222,NA,70.67
C0102842,1997-1998,222,49.8,87.33
C0102843,1997-1998,226,42.5,102.33
C0102844,1997-1998,222,41,106.33
C0102845,1997-1998,232,30,72.33
C0102847,1997-1998,218,52,82
C0102848,1997-1998,216,48.2,84
C0102849,1997-1998,224,42.1,85.67
C0102850,1997-1998,214,49.8,70
C0102851,1997-1998,225,NA,98.67
C0102853,1997-1998,226,40.5,84.67
C0102854,1997-1998,223,41,81
C0102856,1997-1998,222,46.5,93.67
C0102857,1997-1998,216,46.3,100.33
C0102860,1997-1998,232,55,108
C0103120,1997-1998,210,NA,87.8
C0100327,1998-1998,NA,43.8,88.67
C0100488,1998-1998,NA,41.1,89.83
C0100549,1998-1998,NA,38.1,78.84
C0101071,1998-1998,NA,31.7,71.83
C0101176,1998-1998,NA,42.2,99.67
C0101266,1998-1998,NA,32.8,106.67
C0101294,1998-1998,NA,30.3,92.17
C0101313,1998-1998,NA,44.4,94.5
C0101318,1998-1998,NA,41.1,92.84
C0101654,1998-1998,NA,41.8,87.74
C0101691,1998-1998,NA,39.6,81.17
C0101746,1998-1998,NA,53.9,112.33
C0101783,1998-1998,NA,35.9,82
C0101791,1998-1998,NA,38.5,101.33
C0101863,1998-1998,NA,35.5,70.5
C0101866,1998-1998,NA,49.1,104.5
C0101868,1998-1998,NA,48,110.17
C0101869,1998-1998,NA,37.9,81
C0101870,1998-1998,NA,42.2,87.84
C0102053,1998-1998,NA,39.4,105.5
C0102058,1998-1998,NA,45.1,94
C0102091,1998-1998,NA,44.9,91.34
C0102094,1998-1998,NA,40.1,69.5
C0102161,1998-1998,NA,37.9,72.17
C0102163,1998-1998,NA,42.1,107.67
C0102241,1998-1998,NA,48.4,96.07
C0102308,1998-1998,NA,41.7,95.67
C0102309,1998-1998,NA,47.5,110.34
C0102310,1998-1998,NA,34.1,70.33
C0102311,1998-1998,NA,37.5,78.67
C0102314,1998-1998,NA,35.2,105.84
C0102321,1998-1998,NA,32.7,90.34
C0102323,1998-1998,NA,36,87.17
C0102325,1998-1998,NA,30,80.34
C0102327,1998-1998,NA,47.3,92.17
C0102328,1998-1998,NA,44.9,87.5
C0102329,1998-1998,NA,39.4,73.17
C0102336,1998-1998,NA,41.6,114.83
C0102337,1998-1998,NA,35.8,96.84
C0102370,1998-1998,NA,37,123.5
C0102376,1998-1998,NA,39,100.17
C0102380,1998-1998,NA,45.4,89.17
C0102384,1998-1998,NA,38.7,77.34
C0102385,1998-1998,NA,35,82.5
C0102386,1998-1998,NA,54,99.67
C0102392,1998-1998,NA,37.7,96.17
C0102393,1998-1998,NA,43.9,96.5
C0102394,1998-1998,NA,43.5,85
C0102395,1998-1998,NA,41,93
C0102400,1998-1998,NA,38.7,96.34
C0102404,1998-1998,NA,40.8,93.5
C0102795,1998-1998,NA,41.6,91.84
C0102823,1998-1998,NA,33.9,73.84
C0102825,1998-1998,NA,39.4,82
C0102826,1998-1998,225,40.6,90.5
C0102827,1998-1998,NA,42.2,84.84
C0102829,1998-1998,NA,37.3,89.84
C0102830,1998-1998,NA,44.2,117.67
