genotype,days_to_heading_BLUE,plant_height_BLUE,plant_density_BLUE,thousand_kernel_weight_BLUE,dry_matter_yield_BLUE,powdery_mildew_BLUE
CGF-266,NA,NA,NA,NA,NA,NA
CGF-267,NA,NA,NA,NA,NA,NA
CGF-268,NA,NA,NA,NA,NA,NA
CGF-2705,NA,NA,NA,NA,NA,NA
CGF-272,NA,NA,NA,NA,NA,NA
CGF-274,NA,NA,NA,NA,NA,NA
CGF-277,NA,NA,NA,NA,NA,NA
CGF-278,136,107.76,NA,NA,4991.95,1.84
CGF-282,NA,NA,NA,NA,NA,NA
CGF-283,NA,NA,NA,NA,NA,NA
CGF-2842,139.64,105.28,NA,NA,NA,1.96
CGF-2867,NA,NA,NA,NA,NA,NA
CGF-2872,NA,NA,NA,NA,NA,NA
CGF-2873,NA,NA,NA,NA,NA,NA
CGF-2874,NA,NA,NA,NA,NA,NA
CGF-2877,NA,NA,NA,NA,NA,NA
CGF-2878,NA,NA,NA,NA,NA,NA
CGF-2880,NA,NA,NA,NA,NA,NA
CGF-2887,NA,NA,NA,NA,NA,NA
CGF-2889,NA,NA,NA,NA,NA,NA
CGF-2912,NA,NA,NA,NA,NA,NA
CGF-2921,141.9,107.68,NA,NA,NA,1.81
CGF-2925,141.14,100.78,NA,NA,NA,2.96
CGF-2926,139.14,105.28,NA,NA,NA,3.46
CGF-2927,NA,NA,NA,NA,NA,NA
CGF-2928,NA,NA,NA,NA,NA,NA
CGF-2929,139.14,107.28,NA,NA,NA,2.46
CGF-2931,NA,NA,NA,NA,NA,NA
CGF-2938,NA,NA,NA,NA,NA,NA
CGF-3023,NA,NA,NA,NA,NA,NA
CGF-3068,138,104.55,NA,NA,NA,NA
CGF-3071,136.14,99.28,NA,NA,NA,2.96
CGF-308,NA,NA,NA,NA,NA,NA
CGF-3098,140.36,96.36,652.16,43.12,5730.86,1.24
CGF-3114,NA,NA,NA,NA,NA,NA
CGF-3115,NA,NA,NA,NA,NA,NA
CGF-3194,NA,NA,NA,NA,NA,NA
CGF-3199,NA,NA,NA,NA,NA,NA
CGF-326,141.64,104.78,NA,NA,NA,2.96
CGF-328,NA,NA,NA,NA,NA,NA
CGF-3376,NA,NA,NA,NA,NA,NA
CGF-344,141.14,102.28,NA,NA,NA,NA
CGF-347,NA,NA,NA,NA,NA,NA
CGF-361,NA,NA,NA,NA,NA,NA
CGF-368,146.29,99.87,NA,NA,NA,1.14
CGF-375,135.1,113.5,NA,NA,4501.95,3.08
CGF-4501,NA,NA,NA,NA,NA,NA
CGF-4506,NA,NA,NA,NA,NA,NA
CGF-4513,NA,NA,NA,NA,NA,NA
CGF-4535,NA,NA,NA,NA,NA,NA
CGF-4564,NA,NA,NA,NA,NA,NA
CGF-4567,NA,NA,NA,NA,NA,NA
CGF-4576,NA,NA,NA,NA,NA,NA
CGF-4590,NA,NA,NA,NA,NA,NA
CGF-4870,158.33,89.1,599.87,39.94,6135.55,1.97
CGF-4882,NA,NA,NA,NA,NA,NA
CGF-4883,NA,NA,NA,NA,NA,NA
CGF-4884,NA,NA,NA,NA,NA,NA
CGF-49,NA,NA,NA,NA,NA,NA
CGF-4901,NA,NA,NA,NA,NA,NA
CGF-4903,139.14,95.31,NA,NA,NA,1.32
CGF-4908,138.49,93.16,621.59,NA,4045.88,0.99
CGF-4909,NA,NA,NA,NA,NA,NA
CGF-4910,NA,NA,NA,NA,NA,NA
CGF-4911,NA,NA,NA,NA,NA,NA
CGF-4912,NA,NA,NA,NA,NA,NA
CGF-4913,NA,NA,NA,NA,NA,NA
CGF-4914,139.14,98.28,NA,NA,NA,1.96
CGF-4915,145.58,95.25,NA,NA,3188.97,1.5
CGF-4942,136.86,93.86,NA,NA,NA,NA
CGF-4946,NA,NA,NA,NA,NA,NA
CGF-4957,139.14,108.28,NA,NA,NA,2.46
CGF-4963,NA,NA,NA,NA,NA,NA
CGF-50,NA,NA,NA,NA,NA,NA
CGF-51,NA,NA,NA,NA,NA,NA
CGF-52,NA,NA,NA,NA,NA,NA
CGF-555,139.14,107.78,NA,NA,NA,2.96
CGF-566,NA,NA,NA,NA,NA,NA
CGF-568,NA,NA,NA,NA,NA,NA
CGF-569,NA,NA,NA,NA,NA,NA
CGF-576,NA,NA,NA,NA,NA,NA
CGF-578,NA,NA,NA,NA,NA,NA
CGF-580,NA,NA,NA,NA,NA,NA
CGF-5816,NA,NA,NA,NA,NA,NA
CGF-5817,NA,NA,NA,NA,NA,NA
CGF-5822,NA,NA,NA,NA,NA,NA
CGF-586,NA,NA,NA,NA,NA,NA
