genotype,days_to_heading_BLUE,plant_height_BLUE,plant_density_BLUE,thousand_kernel_weight_BLUE,dry_matter_yield_BLUE,powdery_mildew_BLUE
CGF-6793,NA,NA,NA,NA,NA,NA
CGF-6794,NA,NA,NA,NA,NA,NA
CGF-6795,NA,NA,NA,NA,NA,NA
CGF-6796,NA,NA,NA,NA,NA,NA
CGF-6797,NA,NA,NA,NA,NA,NA
CGF-6798,NA,NA,NA,NA,NA,NA
CGF-6799,140.11,104.93,573.78,45.54,5879.56,1.84
CGF-6829,NA,NA,NA,NA,NA,NA
CGF-6830,NA,NA,NA,NA,NA,NA
CGF-6831,NA,NA,NA,NA,NA,NA
CGF-6832,NA,NA,NA,NA,NA,NA
CGF-6835,NA,NA,NA,NA,NA,NA
CGF-6853,NA,NA,NA,NA,NA,NA
CGF-6854,NA,NA,NA,NA,NA,NA
CGF-6855,NA,NA,NA,NA,NA,NA
CGF-6868,NA,NA,NA,NA,NA,NA
CGF-6869,NA,NA,NA,NA,NA,NA
CGF-6870,NA,NA,NA,NA,NA,NA
CGF-6871,NA,NA,NA,NA,NA,NA
CGF-6872,NA,NA,NA,NA,NA,NA
CGF-6873,NA,NA,NA,NA,NA,NA
CGF-6874,NA,NA,NA,NA,NA,NA
CGF-6877,NA,NA,NA,NA,NA,NA
CGF-6888,NA,NA,NA,NA,NA,NA
CGF-6899,NA,NA,NA,NA,NA,NA
CGF-6902,143.82,88.65,NA,NA,4835.48,2.87
CGF-6921,NA,NA,NA,NA,NA,NA
CGF-6922,NA,NA,NA,NA,NA,NA
CGF-6924,NA,NA,NA,NA,NA,NA
CGF-6925,NA,NA,NA,NA,NA,NA
CGF-6938,NA,NA,NA,NA,NA,NA
CGF-6940,NA,NA,NA,NA,NA,NA
CGF-6950,NA,NA,NA,NA,NA,NA
CGF-6954,NA,NA,NA,NA,NA,NA
CGF-6956,NA,NA,NA,NA,NA,NA
CGF-6958,NA,NA,NA,NA,NA,NA
CGF-6959,NA,NA,NA,NA,NA,NA
CGF-6961,NA,NA,NA,NA,NA,NA
CGF-6962,NA,NA,NA,NA,NA,NA
CGF-6963,NA,NA,NA,NA,NA,NA
CGF-6964,NA,NA,NA,NA,NA,NA
CGF-6965,NA,NA,NA,NA,NA,NA
CGF-6966,NA,NA,NA,NA,NA,NA
CGF-6967,NA,NA,NA,NA,NA,NA
CGF-6968,NA,NA,NA,NA,NA,NA
CGF-6969,NA,NA,NA,NA,NA,NA
CGF-697,NA,NA,NA,NA,NA,NA
CGF-6971,140.79,84.06,NA,NA,NA,2.23
CGF-6972,NA,NA,NA,NA,NA,NA
CGF-6973,NA,NA,NA,NA,NA,NA
CGF-6975,NA,NA,NA,NA,NA,NA
CGF-6976,NA,NA,NA,NA,NA,NA
CGF-6977,NA,NA,NA,NA,NA,NA
CGF-6978,NA,NA,NA,NA,NA,NA
CGF-6979,NA,NA,NA,NA,NA,NA
CGF-6980,NA,NA,NA,NA,NA,NA
CGF-6981,NA,NA,NA,NA,NA,NA
CGF-6982,NA,NA,NA,NA,NA,NA
CGF-6984,NA,NA,NA,NA,NA,NA
CGF-7022,NA,NA,NA,NA,NA,NA
CGF-7035,NA,NA,NA,NA,NA,NA
CGF-7036,NA,NA,NA,NA,NA,NA
CGF-7038,142.21,103.24,626.7,NA,5587.81,1.33
CGF-7042,NA,NA,NA,NA,NA,NA
CGF-7044,NA,NA,NA,NA,NA,NA
CGF-7046,144.99,111.32,NA,NA,3490.42,1.63
CGF-7047,137.1,92.5,613.27,41.31,5885.98,3.06
CGF-7048,138.92,89.31,607.77,42.33,6334.34,2.15
CGF-7049,139.28,93.26,628.31,43.2,6676.8,2.4
CGF-7050,141.39,87.63,603.21,41.54,6501.88,3.04
CGF-7051,137.33,89.28,558.4,47.96,6147.33,1.61
CGF-7052,143.57,89.38,587.01,37.58,6536.61,3.66
CGF-7053,142.35,88.03,596.21,39.34,6603.83,3.06
CGF-7054,145.58,83.4,563.93,38.08,5979.85,2.74
CGF-7055,142.39,85.22,602.12,40.73,6321.22,3.23
CGF-7056,139.29,90.95,550.4,43.87,5903.45,1.7
CGF-7057,140.34,102.99,596.1,48.35,5879.11,2.58
CGF-7059,139.8,86.75,595.69,39.86,5727.7,2.53
CGF-7060,139.12,86.81,620.34,41.4,5802.87,2.31
CGF-7061,NA,NA,NA,NA,NA,NA
CGF-7062,NA,NA,NA,NA,NA,NA
CGF-7063,NA,NA,NA,NA,NA,NA
CGF-7064,NA,NA,NA,NA,NA,NA
CGF-7065,NA,NA,NA,NA,NA,NA
CGF-7066,NA,NA,NA,NA,NA,NA
CGF-7067,NA,NA,NA,NA,NA,NA
CGF-7070,138.69,84.54,NA,31.21,NA,1.49
CGF-7071,134.6,84.88,NA,NA,NA,1.23
CGF-7072,NA,NA,NA,NA,NA,NA
CGF-7073,NA,NA,NA,NA,NA,NA
CGF-7074,NA,NA,NA,NA,NA,NA
CGF-7075,140.26,94.92,589.62,41.62,6809.97,1.47
CGF-7076,138,88.16,565.87,43.25,5879.74,2.85
CGF-7077,145.14,96.8,523.5,47.27,6311.49,3
CGF-7078,NA,NA,NA,NA,NA,NA
CGF-7079,141.89,90.49,564.81,48.15,5292.95,2.16
CGF-7080,138.83,89.48,631.02,40.62,5469.33,1.3
CGF-7082,NA,NA,NA,NA,NA,NA
CGF-7083,NA,NA,NA,NA,NA,NA
CGF-7084,NA,NA,NA,NA,NA,NA
CGF-7085,139.64,84.28,NA,NA,NA,3.96
CGF-7086,NA,NA,NA,NA,NA,NA
CGF-7087,NA,NA,NA,NA,NA,NA
CGF-7088,NA,NA,NA,NA,NA,NA
CGF-7089,NA,NA,NA,NA,NA,NA
CGF-7090,NA,NA,NA,NA,NA,NA
CGF-7091,NA,NA,NA,NA,NA,NA
CGF-7092,137.43,88.93,568.12,46.27,5303.8,1.92
CGF-7093,NA,NA,NA,NA,NA,NA
CGF-7094,NA,NA,NA,NA,NA,NA
CGF-7095,NA,NA,NA,NA,NA,NA
CGF-7096,NA,NA,NA,NA,NA,NA
CGF-7097,NA,NA,NA,NA,NA,NA
CGF-7098,NA,NA,NA,NA,NA,NA
CGF-7099,NA,NA,NA,NA,NA,NA
CGF-7100,NA,NA,NA,NA,NA,NA
CGF-7101,NA,NA,NA,NA,NA,NA
CGF-7102,NA,NA,NA,NA,NA,NA
CGF-7103,NA,NA,NA,NA,NA,NA
CGF-7104,NA,NA,NA,NA,NA,NA
CGF-7105,NA,NA,NA,NA,NA,NA
CGF-7106,NA,NA,NA,NA,NA,NA
CGF-7107,NA,NA,NA,NA,NA,NA
CGF-7108,136.99,82.09,NA,NA,4266.78,2.12
CGF-7109,NA,NA,NA,NA,NA,NA
CGF-7110,NA,NA,NA,NA,NA,NA
CGF-7111,NA,NA,NA,NA,NA,NA
CGF-7113,NA,NA,NA,NA,NA,NA
CGF-7114,NA,NA,NA,NA,NA,NA
CGF-7115,NA,NA,NA,NA,NA,NA
CGF-7116,NA,NA,NA,NA,NA,NA
CGF-7117,NA,NA,NA,NA,NA,NA
CGF-7118,NA,NA,NA,NA,NA,NA
CGF-7119,NA,NA,NA,NA,NA,NA
CGF-7120,NA,NA,NA,NA,NA,NA
CGF-7121,NA,NA,NA,NA,NA,NA
CGF-7122,NA,NA,NA,NA,NA,NA
CGF-7123,NA,NA,NA,NA,NA,NA
CGF-7124,141.34,114.92,NA,NA,NA,NA
CGF-7125,142.04,100.27,641.89,53.11,5430.99,1.02
CGF-7126,141.2,98.59,666.09,38.91,5542.66,3.18
CGF-7127,145.6,104.14,647.61,51.74,5802.24,2.73
CGF-7128,142.39,108.11,637.31,47.22,5934.45,1.24
CGF-7130,142.73,105.57,638.9,43.7,5174.4,0.94
CGF-7131,NA,NA,NA,NA,NA,NA
CGF-7132,139.22,109.06,581.5,43.19,4961.95,3.03
CGF-7133,141.41,92.49,560.29,46.63,5966.44,3.14
CGF-7134,NA,NA,NA,NA,NA,NA
CGF-7135,NA,NA,NA,NA,NA,NA
CGF-7136,NA,NA,NA,NA,NA,NA
CGF-7137,NA,NA,NA,NA,NA,NA
CGF-7138,135.64,103.78,NA,NA,NA,NA
CGF-7139,139.14,109.28,NA,NA,NA,NA
CGF-7140,NA,NA,NA,NA,NA,NA
CGF-7141,NA,NA,NA,NA,NA,NA
CGF-7142,NA,NA,NA,NA,NA,NA
CGF-7143,NA,NA,NA,NA,NA,NA
CGF-7144,NA,NA,NA,NA,NA,NA
CGF-7145,NA,NA,NA,NA,NA,NA
CGF-7146,NA,NA,NA,NA,NA,NA
CGF-7148,NA,NA,NA,NA,NA,NA
CGF-7149,NA,NA,NA,NA,NA,NA
CGF-7150,NA,NA,NA,NA,NA,NA
CGF-7151,NA,NA,NA,NA,NA,NA
CGF-7152,NA,NA,NA,NA,NA,NA
CGF-7153,NA,NA,NA,NA,NA,NA
CGF-7154,NA,NA,NA,NA,NA,NA
CGF-7155,138.14,109.28,NA,NA,NA,3.96
CGF-7156,NA,NA,NA,NA,NA,NA
CGF-7157,NA,NA,NA,NA,NA,NA
CGF-7159,NA,NA,NA,NA,NA,NA
CGF-7160,NA,NA,NA,NA,NA,NA
CGF-7161,NA,NA,NA,NA,NA,NA
CGF-7162,NA,NA,NA,NA,NA,NA
CGF-7163,NA,NA,NA,NA,NA,NA
CGF-7164,NA,NA,NA,NA,NA,NA
CGF-7165,NA,NA,NA,NA,NA,NA
CGF-7166,NA,NA,NA,NA,NA,NA
CGF-7167,NA,NA,NA,NA,NA,NA
CGF-7168,NA,NA,NA,NA,NA,NA
CGF-7169,NA,NA,NA,NA,NA,NA
CGF-7170,NA,NA,NA,NA,NA,NA
CGF-7171,NA,NA,NA,NA,NA,NA
CGF-7172,NA,NA,NA,NA,NA,NA
CGF-7174,NA,NA,NA,NA,NA,NA
CGF-7175,NA,NA,NA,NA,NA,NA
CGF-7176,NA,NA,NA,NA,NA,NA
CGF-7177,NA,NA,NA,NA,NA,NA
CGF-7178,NA,NA,NA,NA,NA,NA
CGF-7179,NA,NA,NA,NA,NA,NA
CGF-7180,NA,NA,NA,NA,NA,NA
CGF-7182,NA,NA,NA,NA,NA,NA
CGF-7183,NA,NA,NA,NA,NA,NA
CGF-7184,NA,NA,NA,NA,NA,NA
CGF-7185,NA,NA,NA,NA,NA,NA
CGF-7186,NA,NA,NA,NA,NA,NA
CGF-7187,141.42,108.02,NA,47.87,7180.3,1.72
CGF-7188,137.28,91.36,595.1,47.11,5643.63,3.31
CGF-7189,140.52,95.86,565.54,43.56,5696.74,2.55
CGF-7190,142.06,106.64,NA,NA,NA,1.57
CGF-7191,136.16,88.74,554.03,46.72,5183.7,1.89
CGF-7193,137.83,88.55,699.82,37.54,5276.4,2.23
CGF-7194,NA,NA,NA,NA,NA,NA
CGF-7195,141.06,94.3,NA,43.33,6696.84,2.7
CGF-7196,139.94,91.22,837.21,41.17,6752.34,1.17
CGF-721,NA,NA,NA,NA,NA,NA
CGF-734,136.48,101.61,NA,NA,NA,NA
CGF-737,NA,NA,NA,NA,NA,NA
CGF-812,NA,NA,NA,NA,NA,NA
CGF-902,NA,NA,NA,NA,NA,NA
CGF-904,NA,NA,NA,NA,NA,NA
CGF-905,NA,NA,NA,NA,NA,NA
CGF-924,140.34,96.22,NA,NA,NA,0.87
CGF-927,NA,NA,NA,NA,NA,NA
CGF-956,NA,NA,NA,NA,NA,NA
CGF-957,138.14,97.28,NA,NA,NA,NA
CGF-962,NA,NA,NA,NA,NA,NA
CGF-969,NA,NA,NA,NA,NA,NA
CGF-970,NA,NA,NA,NA,NA,NA
CGF-977,NA,NA,NA,NA,NA,NA
