genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
COF 3186,130.87,NA,43.17
COF 3187,131.39,NA,42.01
COF 3188,130.07,NA,41.95
COF 3189,130.07,NA,43.38
COF 3190,132.43,NA,43.8
COF 3191,131.43,NA,45.12
COF 3192,131.91,NA,42.05
COF 3193,131.1,NA,43.75
COF 3194,131.91,NA,34.77
COF 3195,131.43,NA,43.37
COF 3196,131.69,NA,42.45
COF 3197,132.75,NA,42.14
COF 3198,129.47,NA,34.94
COF 3199,131.47,NA,39.13
COF 3200,130.91,NA,42.5
COF 3201,132.99,NA,40.29
COF 3202,130.31,NA,40.11
COF 3203,130.95,NA,40.67
COF 3204,131.1,NA,44.42
COF 3205,129.03,NA,35.56
COF 3206,131.91,NA,38.59
COF 3207,133.1,NA,39.02
COF 3208,131.43,NA,34.51
COF 3209,129.49,NA,35.75
COF 3210,131.97,NA,39.61
COF 3211,128.87,NA,34.84
COF 3212,129.35,NA,34.78
COF 3213,129.83,NA,37.08
COF 3214,132.79,NA,38.06
COF 3215,129.89,NA,40.87
COF 3216,133.55,NA,39.46
COF 3217,133.12,NA,39.45
COF 3218,130.87,NA,39.11
COF 3219,132.8,98.66,40.75
COF 3220,128.86,103.85,36.26
COF 3221,132.58,104.37,41.22
COF 3222,130.37,NA,41.08
COF 3223,131.75,NA,35.27
COF 3224,131.17,NA,38.43
COF 3225,131.91,NA,39.32
COF 3226,132.96,NA,40
COF 3227,131.03,NA,33.38
COF 3228,131.95,NA,42.18
COF 3229,133.39,NA,37.38
COF 3230,132.39,NA,39.97
COF 3231,132.24,110.85,34.98
COF 3232,131.53,NA,36.71
COF 3233,127.82,NA,35.36
COF 3234,132.83,NA,37.51
COF 3235,131.35,NA,40.93
COF 3236,132.98,NA,41.67
COF 3238,134.01,NA,38.82
COF 3239,134.53,NA,38.33
COF 3240,135.9,NA,35.45
COF 3241,131.53,99.1,41.74
COF 3242,131.31,NA,42.24
COF 3243,135.27,NA,39.4
COF 3244,131.87,NA,35.62
COF 3245,132.79,NA,39.16
COF 3246,130.18,NA,41.21
COF 3247,132.41,NA,38.37
COF 3248,132.21,NA,35.63
COF 3249,131.86,NA,36.87
COF 3250,131.91,NA,35.89
COF 3251,133.49,NA,38.4
COF 3252,131.67,NA,41.3
COF 3253,133.55,NA,37.18
COF 3254,132.39,NA,39.94
COF 3255,133.83,NA,36.44
COF 3256,131.91,NA,38.82
COF 3257,132.91,NA,42.01
COF 3258,134.31,NA,42.2
COF 3259,135.35,NA,39.28
COF 3260,133.27,NA,33.82
COF 3261,133.78,NA,37.99
COF 3262,131.37,NA,37.29
COF 3263,132.93,99.99,38.38
COF 3264,130.43,NA,40.56
COF 3265,133.53,97.99,39.77
COF 3266,125.72,104.85,35.3
COF 3267,132.27,109.57,39.5
COF 3268,132.57,NA,39.13
COF 3269,129.59,NA,38.08
COF 3270,128.38,NA,33.62
COF 3271,134.86,NA,38.56
COF 3272,NA,NA,33.35
COF 3273,NA,NA,43.36
COF 3274,132.04,NA,41.21
COF 3275,NA,NA,38.45
COF 3276,129.94,NA,37.8
COF 3277,130.93,NA,36.11
COF 3278,130.93,NA,45.32
COF 3279,132.33,NA,40.68
COF 3280,NA,NA,38.82
COF 3281,134.87,NA,36.84
COF 3282,132.96,NA,35.69
COF 3283,135.39,NA,37.28
COF 3284,132.69,86.67,37.93
COF 3285,134.75,NA,39.96
COF 3286,134.24,NA,37.88
COF 3287,133.93,89.56,36.2
COF 3288,134.83,NA,38.01
COF 3289,128.83,NA,43.71
COF 3290,135.31,NA,40.41
COF 3291,130.67,NA,37.59
COF 3292,130.78,NA,37.09
COF 3293,131.91,NA,37.41
COF 3294,131.79,NA,36.28
COF 3295,131.5,NA,35.66
COF 3296,132.47,NA,39
COF 3297,131.43,NA,36.94
COF 3298,134.91,NA,43.35
COF 3299,133.47,NA,40.04
COF 3300,132.97,NA,39.79
COF 3301,132.34,NA,40.52
COF 3302,131.62,NA,41.26
COF 3303,NA,NA,31.36
COF 3304,NA,NA,34.64
COF 3305,NA,NA,33.5
COF 3306,135.92,NA,43.83
COF 3307,NA,NA,35.17
COF 3308,NA,NA,37.36
COF 3309,129.94,NA,41.58
COF 3310,131.21,NA,42.52
COF 3311,NA,NA,42.53
COF 3312,133.39,NA,42.66
COF 3313,132.95,NA,46.59
COF 3314,131.22,NA,44.17
COF 3315,133.87,NA,43.23
COF 3316,132.91,NA,44.3
COF 3317,132.91,NA,37.3
COF 3318,132.69,NA,43.43
COF 3319,130.03,106.04,32.29
COF 3320,133.87,NA,44.56
COF 3321,134.35,NA,37.88
COF 3322,132.39,NA,35.7
COF 3323,132.39,NA,34.77
COF 3324,129.86,NA,34.75
COF 3325,132.35,NA,48.4
COF 3326,131.95,NA,42.43
COF 3327,132.9,NA,38.81
COF 3328,131.6,NA,36.91
COF 3329,130.75,NA,39.06
COF 3330,129.6,NA,41.44
COF 3331,128.35,NA,43.44
COF 3332,134.24,NA,43.94
COF 3333,130.66,105.05,36.48
COF 3334,131.15,NA,38.49
COF 3335,134.22,NA,41.72
COF 3336,134.27,90.29,37.83
COF 3337,133.13,94.99,42.4
COF 3338,128.66,102.79,34.32
COF 3339,133.36,NA,39.58
COF 3340,132.62,83.33,38.4
COF 3341,132.66,85.57,37.29
COF 3342,132.77,NA,38.98
COF 3343,132.49,NA,44.05
COF 3344,133.91,NA,40.24
COF 3345,128.69,NA,37.3
COF 3346,130.29,NA,39.2
COF 3347,132.98,NA,39.96
COF 3348,129.45,NA,37.2
COF 3349,127.36,NA,34.53
COF 3350,133.35,NA,40.01
COF 3351,132.97,NA,42.97
COF 3352,132.87,NA,43.26
COF 3353,132.43,NA,35.24
COF 3354,131.95,NA,38.99
COF 3355,131.14,NA,40.77
COF 3356,132.83,NA,37.41
COF 3357,133.91,NA,40.96
COF 3358,133.87,NA,45.89
COF 3359,131.87,NA,42.87
COF 3360,134.16,NA,39.91
COF 3361,132.39,NA,40.91
COF 3362,131.91,NA,46.5
COF 3363,133.43,NA,48.53
COF 3364,133.87,NA,43.79
COF 3365,134.39,NA,47.19
COF 3366,132.43,NA,40.98
COF 3367,131.95,NA,41.8
COF 3368,131.43,NA,40.69
COF 3369,132.43,NA,35.87
COF 3370,133.43,NA,40.86
COF 3372,132.55,NA,37.25
COF 3373,132.83,NA,41.2
COF 3374,133.34,NA,42.92
COF 3375,132.91,NA,40.68
COF 3376,131.91,NA,40.4
COF 3377,130.91,NA,45.15
COF 3378,133.95,NA,45.34
COF 3379,132.43,NA,47.64
COF 3380,131.46,NA,41.6
COF 3381,132.2,NA,38.75
COF 3382,133.39,NA,39.62
COF 3383,132.27,NA,37.33
COF 3384,132.91,NA,41.38
COF 3385,130.28,NA,40.74
COF 3386,133.05,NA,44.99
COF 3387,132.35,NA,38.5
COF 3388,132.18,NA,33.05
COF 3389,131.96,NA,42.55
COF 3390,133.32,NA,37.84
COF 3391,133.74,NA,39.89
COF 3392,135.72,NA,41.04
COF 3393,130.79,NA,39.15
COF 3394,129.18,NA,37.09
COF 3395,130.17,NA,37.79
COF 3396,131.71,NA,39.47
COF 3397,132.87,NA,37.33
COF 3398,132.32,NA,39.51
COF 3399,132.83,NA,40.67
COF 3400,132.31,NA,39.33
COF 3401,131.19,NA,40.19
COF 3402,130.53,NA,41.81
COF 3403,132.09,NA,42.03
COF 3404,129.92,NA,43.65
COF 3405,133.43,NA,40.43
COF 3406,132.87,NA,44.88
COF 3407,132.74,NA,45.72
COF 3408,132.95,NA,41.94
COF 3409,131.83,NA,36.57
COF 3410,132.66,NA,41.71
COF 3411,131.71,NA,42.49
COF 3412,132.83,NA,48.54
COF 3413,131.91,NA,38.05
COF 3414,132.22,NA,42.42
COF 3415,131.87,NA,40.12
COF 3416,132.91,NA,38.87
COF 3417,135.99,NA,45.44
COF 3418,136.47,NA,46.07
COF 3419,129.73,NA,42.4
COF 3420,130.01,NA,45.23
COF 3421,133.39,NA,42.47
COF 3422,133.17,NA,41.68
COF 3423,130.95,NA,37.28
COF 3424,132.41,NA,42.36
COF 3425,132.02,NA,38.3
COF 3426,129.45,NA,39.9
COF 3427,133.37,NA,39.45
COF 3428,133.57,NA,38.4
COF 3429,132.76,NA,46.31
COF 3430,130.01,NA,45.19
COF 3431,133.43,NA,45.12
COF 3432,132.91,NA,42.62
COF 3433,132.32,NA,42.09
COF 3434,133.13,NA,39.19
COF 3435,130.91,NA,35.53
COF 3436,131.5,NA,41.56
COF 3437,132.71,NA,42.15
COF 3438,132.87,NA,47.33
COF 3439,131.37,NA,41.01
COF 3440,132.12,NA,41.27
COF 3441,131.39,NA,38.18
COF 3442,132.12,NA,40.45
COF 3443,132.85,NA,41.17
COF 3444,131.71,NA,43.14
COF 3445,129.99,NA,44.06
COF 3446,131.56,100.33,44.13
COF 3447,130.27,NA,38.95
COF 3448,131.89,NA,42
COF 3449,131.87,NA,41.34
COF 3450,133.35,NA,38.55
COF 3451,131.87,NA,38.01
COF 3452,129.83,NA,36.36
COF 3453,130.27,NA,37.65
COF 3454,132.83,NA,39.91
COF 3455,134.98,NA,41.08
COF 3456,133.87,NA,41.71
COF 3457,132.39,NA,39.58
COF 3458,131.91,NA,41.69
COF 3459,128.54,NA,40.95
COF 3460,130.91,NA,39.82
COF 3461,134.47,NA,40.02
COF 3462,133,NA,34.39
COF 3463,134.78,NA,42.29
COF 3464,132.88,NA,38
COF 3465,132.83,NA,35.56
COF 3466,136.92,NA,35.32
COF 3467,130.06,91.99,39.15
COF 3468,129.12,NA,38.3
COF 3469,131.59,NA,37.39
COF 3470,131.87,NA,38.76
COF 3471,132.1,NA,39.45
COF 3472,131.39,NA,38.76
COF 3473,132.35,NA,38.99
COF 3474,131.71,NA,37.4
COF 3475,133.53,NA,40.87
COF 3476,130.05,NA,41.3
COF 3477,133.03,NA,40.08
COF 3478,131.6,NA,35.65
COF 3479,131.87,NA,36.52
COF 3480,132.35,NA,36.12
COF 3481,132.83,NA,42.83
COF 3482,132.87,NA,39.36
COF 3483,131.39,NA,40.75
COF 3484,132.35,NA,41.32
COF 3485,132.47,NA,42.13
COF 3486,132.39,NA,34.97
COF 3487,132.83,NA,37.91
COF 3488,133.41,NA,43.19
COF 3489,130.04,NA,37.92
COF 3490,131.5,NA,35.36
COF 3491,132.39,NA,44.47
COF 3492,132.21,NA,36.25
COF 3493,131.83,NA,32.93
COF 3494,131.83,NA,37.08
COF 3495,130.87,NA,41.87
COF 3496,131.2,NA,38.47
COF 3497,131.8,NA,38.89
COF 3498,129.8,NA,39.94
COF 3499,132.91,NA,42.78
COF 3500,129.32,NA,36.6
COF 3501,131.17,NA,41.29
COF 3502,132.08,NA,36.45
COF 3503,132.79,NA,41.65
COF 3504,133.35,NA,44.37
COF 3505,130.6,NA,41.04
COF 3506,132.39,NA,39.52
COF 3507,132.35,NA,41.92
COF 3508,127.07,NA,44.51
COF 3509,131.43,NA,41.13
COF 3510,135.51,NA,43.85
COF 3511,133.02,NA,40.33
COF 3512,134.08,NA,36.03
COF 3513,133.18,NA,45.36
COF 3514,130.51,NA,40.92
COF 3515,132.91,NA,42.57
COF 3516,131.27,NA,43.09
COF 3517,132.98,NA,40.78
COF 3518,131.83,NA,42.97
COF 3519,132.08,NA,40.43
COF 3520,132.91,NA,42.85
COF 3521,132.91,NA,36.11
COF 3522,130.95,NA,45.91
COF 3523,131.31,NA,34.02
COF 3524,130.87,NA,39.4
COF 3525,130.86,NA,34.63
COF 3526,133.87,NA,40.28
COF 3527,133.32,NA,39.94
COF 3528,134.39,NA,38.33
COF 3529,133.74,NA,39.94
COF 3530,135.65,NA,36.96
COF 3531,129.86,NA,36.78
COF 3532,133.82,NA,44.48
COF 3533,131.91,NA,41.71
COF 3534,133.44,NA,42.85
COF 3535,132.91,NA,37.67
COF 3536,135.31,NA,38.02
COF 3537,133.8,NA,37.45
COF 3538,134.13,NA,37.6
COF 3539,134.7,NA,39.71
COF 3540,132.07,NA,36.78
COF 3541,133.54,NA,42.28
COF 3542,131.11,NA,38.02
COF 3543,131.95,NA,38.74
COF 3544,133.35,NA,39.71
COF 3545,132.35,NA,38.92
COF 3546,133.35,NA,38.7
COF 3547,132.35,NA,39.38
COF 3548,130.79,NA,41.59
COF 3549,133.87,NA,40.2
COF 3550,132.83,NA,40.57
COF 3551,132.87,NA,41.84
COF 3552,132.35,NA,45.64
COF 3553,132.39,NA,45.03
COF 3554,134.91,NA,40.82
COF 3555,134.91,NA,42.45
COF 3556,133.87,NA,45.33
COF 3557,132.91,NA,46.55
COF 3558,132.39,NA,43.71
COF 3559,133.91,NA,42.48
COF 3560,133.87,NA,47.12
COF 3561,132.39,NA,42.34
COF 3562,134.39,NA,45.41
COF 3563,132.39,NA,44.06
COF 3564,131.95,NA,46.14
COF 3565,132.95,NA,42.66
COF 3566,133.35,NA,47.75
COF 3567,132.87,NA,46.02
COF 3568,133.35,NA,48.03
COF 3569,130.31,NA,37.75
COF 3570,129.83,NA,39.2
COF 3571,131.39,NA,40.8
COF 3572,130.91,NA,41.03
COF 3573,133.39,NA,40.16
COF 3574,132.91,NA,41.72
COF 3575,132.83,NA,36.29
COF 3576,130.79,NA,40.77
COF 3577,129.27,NA,37.11
COF 3578,132.87,NA,40.02
COF 3579,133.35,NA,34.24
COF 3580,133.39,NA,44.35
COF 3581,132.95,NA,46.03
COF 3582,133.43,NA,48.03
COF 3583,129.83,NA,37.98
COF 3584,132.99,NA,39.48
COF 3585,134.43,NA,43.75
COF 3586,133.47,NA,42.8
COF 3587,134.91,NA,41.68
COF 3588,134.91,NA,43.39
COF 3589,133.87,NA,41.66
COF 3590,132.87,NA,46.71
COF 3591,133.39,NA,41.2
COF 3592,133.87,NA,41.4
COF 3593,132.87,NA,40.91
COF 3594,133.35,NA,41.98
COF 3595,132.31,NA,39.4
COF 3596,132.35,NA,44.98
COF 3597,133.87,NA,43.43
COF 3598,130.79,NA,41.86
COF 3599,132.83,NA,44.69
COF 3600,132.35,NA,45.56
COF 3601,132.39,NA,40.09
COF 3602,133.39,NA,38.14
COF 3603,133.35,NA,43.19
COF 3604,134.87,NA,42.47
COF 3605,135.35,NA,42.1
COF 3606,130.79,NA,35.14
COF 3607,132.39,NA,41.95
COF 3608,131.87,NA,44.84
COF 3609,133.39,NA,43
COF 3610,NA,NA,NA
COF 3611,NA,NA,NA
COF 3612,NA,NA,NA
COF 3613,NA,NA,NA
