genotype,plant_height_BLUE,thousand_kernel_weight_BLUE
36095,NA,NA
36096,NA,NA
36097,111,35.11
36098,NA,NA
36099,126.5,32.08
36100,NA,NA
36102,NA,NA
36105,NA,35.48
36113,103.33,25.68
36114,NA,NA
36115,NA,NA
36116,NA,NA
36117,NA,NA
36118,NA,NA
36119,NA,NA
36120,NA,NA
36121,NA,NA
36122,NA,NA
36123,114.33,38.08
36124,118,34.48
36125,NA,NA
36126,NA,NA
36128,NA,NA
36129,NA,NA
36130,113,33.83
36131,NA,NA
36132,NA,NA
36133,NA,NA
36134,NA,NA
36135,NA,NA
36136,NA,NA
36137,NA,NA
36138,NA,NA
36141,124.5,37.48
36142,NA,NA
36143,NA,NA
36144,NA,NA
36145,NA,NA
36146,113,36.98
36147,NA,NA
36152,NA,NA
36155,NA,NA
36158,NA,NA
36159,NA,NA
36160,NA,NA
36161,103.67,49.28
36163,NA,NA
36165,NA,NA
36166,NA,NA
36167,NA,NA
36168,NA,NA
36171,119.5,34.33
36173,NA,NA
36175,NA,NA
36176,NA,NA
36177,NA,NA
36178,NA,NA
36181,NA,NA
36182,NA,NA
36183,NA,NA
36187,NA,NA
36188,NA,NA
36189,NA,NA
36190,110,39.73
36191,115.5,37.33
36192,112,35.98
36193,NA,NA
36194,114,37.94
36195,115,35.98
36197,NA,NA
36198,126,41.48
36199,NA,NA
36200,112.67,36.11
36201,NA,NA
36202,NA,NA
36206,NA,NA
36208,123.5,38.08
36209,NA,NA
36212,109.5,38.13
36214,NA,NA
36215,NA,NA
36218,109,30.34
36220,115.5,35.83
36221,NA,NA
36222,NA,NA
36223,NA,NA
36224,NA,NA
36226,NA,NA
36227,NA,NA
36229,NA,NA
36230,NA,NA
36231,NA,NA
36232,NA,NA
36233,NA,NA
36234,127.5,37.73
36235,NA,NA
36236,121,41.98
36237,NA,NA
36238,NA,NA
36239,NA,NA
36240,NA,NA
36241,NA,NA
36242,NA,NA
36243,NA,NA
36244,NA,NA
36245,124,35.58
36247,NA,NA
36251,NA,NA
36252,NA,NA
36254,NA,NA
36257,NA,NA
36261,112,37.24
36262,NA,NA
36263,NA,NA
36264,NA,NA
36265,NA,NA
36266,NA,NA
36267,NA,NA
36268,NA,NA
36279,NA,NA
36310,NA,NA
36401,NA,NA
36451,NA,NA
36452,NA,NA
36481,111.5,41.33
36498,NA,NA
36503,NA,NA
36507,NA,NA
36528,NA,NA
36529,NA,NA
36536,105,35.44
36566,NA,NA
36629,NA,NA
36638,NA,NA
36648,NA,NA
36652,NA,NA
36658,NA,NA
36661,NA,NA
36664,NA,NA
36670,118,41.69
36695,NA,NA
36714,NA,NA
36716,NA,NA
36722,NA,NA
36723,NA,NA
36727,95.5,46.77
36730,NA,NA
36737,NA,NA
36738,NA,NA
36739,NA,NA
36741,NA,NA
36743,101,43.31
36746,NA,NA
36752,105,NA
36766,NA,NA
36774,NA,NA
36806,NA,NA
36834,NA,NA
36921,116.67,46.35
36943,NA,NA
36945,116,45.48
36946,NA,NA
36951,114.5,49.55
36952,126,NA
36953,NA,NA
36954,NA,NA
36956,NA,NA
36958,NA,NA
36959,NA,NA
36960,NA,NA
36961,NA,NA
36962,NA,NA
36964,NA,NA
36965,NA,NA
36969,NA,NA
36971,NA,NA
36973,NA,NA
36976,NA,NA
36978,NA,NA
36980,NA,NA
36983,NA,NA
36984,NA,NA
36986,NA,NA
36988,NA,NA
36994,NA,NA
36996,NA,NA
36999,NA,NA
37000,NA,NA
37001,NA,NA
37003,NA,NA
37031,NA,NA
37032,NA,NA
37035,NA,NA
37041,NA,NA
37052,NA,NA
37054,106.14,NA
37107,NA,NA
37188,NA,NA
37237,NA,NA
41776,NA,NA
42625,NA,NA
42787,NA,NA
43236,NA,NA
500082,NA,NA
500089,NA,NA
500090,NA,NA
504150,NA,NA
504151,NA,NA
