experiment_id,instcode,genus,accenumb,agent_id,doi,sowing_date,beginning_of_heading_date,date_of_heading,end_of_heading_date,flowering_date,plant_height,thousand_kernel_weight,sowing_beginning_of_heading,sowing_full_heading,sowing_end_of_heading,sowing_flowering,beginning_of_heading_full_heading,beginning_of_heading_end_of_heading,beginning_of_heading_flowering,full_heading_end_of_heading,full_heading_flowering,end_of_heading_flowering,name,description,campaign,site_name,longitude,latitude,remarks,days_to_heading
11001,POL003,Hordeum,40538,NA,NA,19780404,19780615,19780619,NA,NA,86,60.2,72,76,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,169
11001,POL003,Hordeum,40539,NA,NA,19780404,19780612,19780615,NA,NA,90,50.5,69,72,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,165
11001,POL003,Hordeum,40541,NA,NA,19780404,19780614,19780616,NA,NA,105,52.1,71,73,NA,NA,2,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,166
11001,POL003,Hordeum,40542,NA,NA,19780404,19780619,19780621,NA,NA,112,46.7,76,78,NA,NA,2,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,171
11001,POL003,Hordeum,40543,NA,NA,19780404,19780610,19780613,NA,NA,86,59.6,67,70,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,163
11001,POL003,Hordeum,40544,NA,NA,19780404,19780619,19780622,NA,NA,107,54.2,76,79,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40545,NA,NA,19780404,19780623,19780626,NA,NA,103,50.8,80,83,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,176
11001,POL003,Hordeum,40546,NA,NA,19780404,19780610,19780613,NA,NA,80,47.6,67,70,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,163
11001,POL003,Hordeum,40547,NA,NA,19780404,19780619,19780622,NA,NA,101,66.5,76,79,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40548,NA,NA,19780404,19780610,19780613,NA,NA,80,61.6,67,70,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,163
11001,POL003,Hordeum,40549,NA,NA,19780404,19780610,19780613,NA,NA,73,53.2,67,70,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,163
11001,POL003,Hordeum,40550,NA,NA,19780404,19780619,19780622,NA,NA,100,64.1,76,79,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40551,NA,NA,19780404,19780617,19780620,NA,NA,126,44.7,74,77,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,170
11001,POL003,Hordeum,40552,NA,NA,19780404,19780620,19780623,NA,NA,109,54.3,77,80,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,173
11001,POL003,Hordeum,40553,NA,NA,19780404,19780615,19780620,NA,NA,110,44.6,72,77,NA,NA,5,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,170
11001,POL003,Hordeum,40555,NA,NA,19780404,19780622,19780628,NA,NA,103,62.4,79,85,NA,NA,6,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,178
11001,POL003,Hordeum,40556,NA,NA,19780404,19780619,19780622,NA,NA,96,51.9,76,79,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40557,NA,NA,19780404,19780619,19780622,NA,NA,101,54.8,76,79,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
