genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
40581,170.21,85.75,37.59
40582,171.45,88.77,38.03
40583,170.21,92.46,43.13
40584,161.51,93.34,35.34
40585,169.6,92.97,40.69
40586,169.6,89.59,43.8
40587,169.6,84.3,43.48
40588,173.37,82.4,43.82
40589,166.87,87.52,45.93
40590,167.75,92.12,33.68
40591,167.13,96.17,35.73
40592,166.51,87.76,52
40593,164.98,84.57,36.6
40594,168.82,94.4,39.13
40595,169.9,93.12,36.86
40596,166.29,93.13,41.58
40597,172.98,88.52,38.3
40598,172.67,84.88,39.12
40599,170.75,81.65,39.26
40600,172.52,75.69,34.42
40601,176.59,74.12,33.88
40602,179.07,84.94,42.08
40603,166.44,81.52,35.76
40604,168.59,89.07,43.04
40605,170.02,87.82,35.6
40606,169.52,95.48,36.73
40607,169.52,95.94,36.34
40608,167.83,88.58,37.96
40609,167.83,87.96,42.78
40610,168.59,90.81,36.42
40611,171.35,95.83,37.41
40612,166.73,95.66,40.47
40613,167.82,92.92,33.41
40614,167.82,93.51,39.58
40615,173.52,86.89,36.42
40616,170.75,84.1,37.27
40617,168.73,89.63,37.78
40618,173.14,87.61,39.74
40619,174.39,75.15,40.63
40622,171.97,86.85,43.17
40623,164.98,110.9,49.85
40625,NA,NA,NA
40626,NA,NA,NA
40628,NA,NA,NA
40629,NA,NA,NA
40630,NA,NA,NA
40631,NA,NA,NA
40632,175.13,89.33,42.93
40633,NA,NA,NA
40634,NA,NA,NA
40638,NA,NA,NA
40649,NA,NA,NA
40650,NA,NA,NA
40651,NA,NA,NA
40652,NA,NA,NA
40653,NA,NA,NA
40655,NA,NA,NA
40656,NA,NA,NA
40657,160.4,91.03,38.62
40658,NA,NA,NA
40662,NA,NA,NA
40677,176.43,86.84,41.89
40689,176.98,74.65,35.33
40704,NA,NA,NA
40711,NA,NA,NA
40733,NA,NA,NA
40752,NA,NA,NA
40798,NA,NA,NA
40817,157.06,73.35,38.43
40831,168.84,107.85,33.42
40857,166.87,88.63,48.86
40858,NA,NA,NA
40881,169.9,86.67,45.84
40904,163.18,87.87,36.37
40907,174.32,93.66,40.25
40910,NA,NA,NA
40920,NA,NA,NA
40921,166.41,75.25,36.24
40959,NA,NA,NA
40977,NA,NA,NA
41032,NA,NA,NA
41058,NA,NA,NA
41060,NA,NA,NA
41137,NA,NA,NA
41145,168.83,94.48,38.71
41149,NA,NA,NA
41151,NA,NA,NA
41152,NA,NA,NA
41153,NA,NA,NA
41154,NA,NA,NA
41155,NA,NA,NA
41156,NA,NA,NA
41157,170.96,88.02,48.41
41158,NA,NA,NA
41159,NA,NA,NA
41160,NA,NA,NA
41161,NA,NA,NA
41162,NA,NA,NA
41163,NA,NA,NA
41164,NA,NA,NA
41165,NA,NA,NA
41166,NA,NA,NA
41167,NA,NA,NA
41168,NA,NA,NA
41169,NA,NA,NA
41171,NA,NA,NA
41172,NA,NA,NA
41173,NA,NA,NA
41174,NA,NA,NA
41175,NA,NA,NA
41176,NA,NA,NA
41177,NA,NA,NA
41178,NA,NA,NA
41179,NA,NA,NA
41180,NA,NA,NA
41181,NA,NA,NA
41182,NA,NA,NA
41184,NA,NA,NA
41185,NA,NA,NA
41186,NA,NA,NA
41187,NA,NA,NA
41188,NA,NA,NA
41189,NA,NA,NA
41190,NA,NA,NA
41192,NA,NA,NA
41193,178.52,112.6,39.67
41194,NA,NA,NA
41195,NA,NA,NA
41196,NA,NA,NA
41197,NA,NA,NA
41198,NA,NA,NA
41201,NA,NA,NA
41202,165.64,87.73,49.39
41203,NA,NA,NA
41204,NA,NA,NA
41252,166.73,79.8,42.01
41253,NA,NA,NA
41254,NA,NA,NA
41255,NA,NA,NA
41256,NA,NA,NA
41257,NA,NA,NA
41258,NA,NA,NA
41259,NA,NA,NA
41260,NA,NA,NA
41261,NA,NA,NA
41262,NA,NA,NA
41263,NA,NA,NA
41264,NA,NA,NA
41265,167.92,91.8,43.48
41266,167.81,94.92,42.06
