accenumb,agent_id,doi,sowing_date,beginning_of_heading_date,date_of_heading,end_of_heading_date,plant_height,thousand_kernel_weight,sowing_-_beginning_of_heading,sowing_-_end_of_heading,sowing_-_end_of_flowering,beginning_of_heading-end_of_heading,beginning_of_heading-end_of_flowering,end_of_heading-end_of_flowering,name,description,campaign,beginning_of_heading,end_of_heading
20015,NA,NA,19780408,NA,NA,19780614,98,40.8,NA,67,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,164
20015,NA,NA,19780408,NA,NA,19780614,99,41.7,NA,67,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,164
20015,NA,NA,19780408,NA,NA,19780614,112,44.7,NA,67,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,164
20015,NA,NA,19780408,NA,NA,19780614,80,44.9,NA,67,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,164
20015,NA,NA,19780408,NA,NA,19780614,98,45.3,NA,67,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,164
20015,NA,NA,19780408,NA,NA,19780614,108,45.3,NA,67,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,164
20015,NA,NA,19780408,NA,NA,19780614,73,45.4,NA,67,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,164
20015,NA,NA,19780408,NA,NA,19780614,105,47.8,NA,67,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,164
20015,NA,NA,19780408,NA,NA,19780614,101,51.2,NA,67,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,164
20015,NA,NA,19780408,NA,NA,19780615,118,34.6,NA,68,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,165
20015,NA,NA,19780408,NA,NA,19780615,116,35.8,NA,68,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,165
20015,NA,NA,19780408,NA,NA,19780616,115,31.9,NA,69,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,166
20015,NA,NA,19780408,NA,NA,19780616,119,31.9,NA,69,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,166
20015,NA,NA,19780408,NA,NA,19780616,88,33.8,NA,69,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,166
20015,NA,NA,19780408,NA,NA,19780616,112,35.2,NA,69,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,166
20015,NA,NA,19780408,NA,NA,19780616,118,39.4,NA,69,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,166
20015,NA,NA,19780408,NA,NA,19780616,65,43.4,NA,69,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,166
20015,NA,NA,19780408,NA,NA,19780616,89,43.5,NA,69,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,166
20015,NA,NA,19780408,NA,NA,19780616,91,43.6,NA,69,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,166
20015,NA,NA,19780408,NA,NA,19780617,122,29,NA,70,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,167
20015,NA,NA,19780408,NA,NA,19780617,106,33.2,NA,70,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,167
20015,NA,NA,19780408,NA,NA,19780617,81,33.5,NA,70,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,167
20015,NA,NA,19780408,NA,NA,19780617,111,37.9,NA,70,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,167
20015,NA,NA,19780408,NA,NA,19780617,68,40,NA,70,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,167
20015,NA,NA,19780408,NA,NA,19780617,102,41.1,NA,70,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,167
20015,NA,NA,19780408,NA,NA,19780617,121,44,NA,70,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,167
20015,NA,NA,19780408,NA,NA,19780617,115,45.6,NA,70,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,167
20015,NA,NA,19780408,NA,NA,19780618,107,29.4,NA,71,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,168
20015,NA,NA,19780408,NA,NA,19780618,120,35,NA,71,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,168
20015,NA,NA,19780408,NA,NA,19780618,97,35.4,NA,71,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,168
