accenumb,campaign,trait,value
1191,1976-1977,thousand_kernel_weight,44.3
1193,1976-1977,end_of_heading,176
1193,1976-1977,plant_height,88.3
1193,1976-1977,thousand_kernel_weight,35.3
1198,1976-1977,end_of_heading,182
1198,1976-1977,plant_height,115.3
1198,1976-1977,thousand_kernel_weight,34.8
1202,1976-1977,end_of_heading,181
1202,1976-1977,plant_height,103.3
1202,1976-1977,thousand_kernel_weight,42.8
1218,1976-1977,end_of_heading,170
1218,1976-1977,plant_height,101
1218,1976-1977,thousand_kernel_weight,40.3
122,1976-1977,end_of_heading,177
122,1976-1977,plant_height,117.7
122,1976-1977,thousand_kernel_weight,39.3
1222,1976-1977,end_of_heading,181
1222,1976-1977,plant_height,103.7
1222,1976-1977,thousand_kernel_weight,47.5
1224,1976-1977,end_of_heading,180
1224,1976-1977,plant_height,108.7
1224,1976-1977,thousand_kernel_weight,31.8
1225,1976-1977,end_of_heading,181
1225,1976-1977,plant_height,102.3
1225,1976-1977,thousand_kernel_weight,40
1226,1976-1977,end_of_heading,181
1226,1976-1977,plant_height,107
1226,1976-1977,thousand_kernel_weight,46.8
1231,1976-1977,end_of_heading,165
1231,1976-1977,plant_height,111.7
1231,1976-1977,thousand_kernel_weight,45.8
1233,1976-1977,end_of_heading,172
1233,1976-1977,plant_height,84.3
1233,1976-1977,thousand_kernel_weight,50
1234,1976-1977,end_of_heading,169
1234,1976-1977,plant_height,121
1234,1976-1977,thousand_kernel_weight,46.8
1235,1976-1977,end_of_heading,175
1235,1976-1977,plant_height,90
1235,1976-1977,thousand_kernel_weight,52.3
1237,1976-1977,end_of_heading,169
1237,1976-1977,plant_height,94
1237,1976-1977,thousand_kernel_weight,43.5
1239,1976-1977,end_of_heading,169
1239,1976-1977,plant_height,98.3
1239,1976-1977,thousand_kernel_weight,38.5
1240,1976-1977,end_of_heading,183
1240,1976-1977,plant_height,97.3
1240,1976-1977,thousand_kernel_weight,34.5
1247,1976-1977,end_of_heading,181
1247,1976-1977,plant_height,105
1247,1976-1977,thousand_kernel_weight,43.3
1248,1976-1977,end_of_heading,177
1248,1976-1977,plant_height,100.3
1248,1976-1977,thousand_kernel_weight,42
1249,1976-1977,end_of_heading,173
1249,1976-1977,plant_height,102
1249,1976-1977,thousand_kernel_weight,45.5
125,1976-1977,end_of_heading,180
125,1976-1977,plant_height,109.3
125,1976-1977,thousand_kernel_weight,46.5
1251,1976-1977,end_of_heading,172
1251,1976-1977,plant_height,90.3
1251,1976-1977,thousand_kernel_weight,35.3
1252,1976-1977,end_of_heading,174
1252,1976-1977,plant_height,97.3
1252,1976-1977,thousand_kernel_weight,52.8
1254,1976-1977,end_of_heading,173
1254,1976-1977,plant_height,125
1254,1976-1977,thousand_kernel_weight,43.3
1256,1976-1977,end_of_heading,178
1256,1976-1977,plant_height,124.7
1256,1976-1977,thousand_kernel_weight,43.3
1258,1976-1977,end_of_heading,173
1258,1976-1977,plant_height,122
1258,1976-1977,thousand_kernel_weight,42
1259,1976-1977,end_of_heading,176
1259,1976-1977,plant_height,110
1259,1976-1977,thousand_kernel_weight,32.5
126,1976-1977,end_of_heading,176
126,1976-1977,plant_height,72.7
126,1976-1977,thousand_kernel_weight,39.3
1261,1976-1977,end_of_heading,171
1261,1976-1977,plant_height,122.7
1261,1976-1977,thousand_kernel_weight,40.3
1262,1976-1977,end_of_heading,174
1262,1976-1977,plant_height,62.3
1262,1976-1977,thousand_kernel_weight,44.3
1263,1976-1977,end_of_heading,176
1263,1976-1977,plant_height,120.7
1263,1976-1977,thousand_kernel_weight,40.3
1264,1976-1977,end_of_heading,176
1264,1976-1977,plant_height,108
1264,1976-1977,thousand_kernel_weight,50.5
127,1976-1977,end_of_heading,179
127,1976-1977,plant_height,102.7
127,1976-1977,thousand_kernel_weight,41.3
1270,1976-1977,end_of_heading,175
1270,1976-1977,plant_height,127.7
1270,1976-1977,thousand_kernel_weight,42.5
1272,1976-1977,end_of_heading,168
1272,1976-1977,plant_height,121.3
1272,1976-1977,thousand_kernel_weight,38.8
1276,1976-1977,end_of_heading,182
1276,1976-1977,plant_height,101.3
1276,1976-1977,thousand_kernel_weight,39.8
1279,1976-1977,end_of_heading,177
1279,1976-1977,plant_height,112.7
1279,1976-1977,thousand_kernel_weight,55.5
128,1976-1977,end_of_heading,168
128,1976-1977,plant_height,81.7
128,1976-1977,thousand_kernel_weight,47
1281,1976-1977,end_of_heading,179
1281,1976-1977,plant_height,100
1281,1976-1977,thousand_kernel_weight,43.8
1284,1976-1977,end_of_heading,170
1284,1976-1977,plant_height,84.7
1284,1976-1977,thousand_kernel_weight,53
1285,1976-1977,end_of_heading,179
1285,1976-1977,plant_height,119.7
1285,1976-1977,thousand_kernel_weight,47
1287,1976-1977,end_of_heading,181
1287,1976-1977,plant_height,83.3
1287,1976-1977,thousand_kernel_weight,33.3
1290,1976-1977,end_of_heading,179
1290,1976-1977,plant_height,83
1290,1976-1977,thousand_kernel_weight,44.5
1293,1976-1977,end_of_heading,172
1293,1976-1977,plant_height,117
1293,1976-1977,thousand_kernel_weight,44.8
1294,1976-1977,end_of_heading,167
1294,1976-1977,plant_height,96.7
1294,1976-1977,thousand_kernel_weight,42.5
1295,1976-1977,end_of_heading,167
1295,1976-1977,plant_height,94.7
1295,1976-1977,thousand_kernel_weight,50
1298,1976-1977,end_of_heading,176
1298,1976-1977,plant_height,83.3
1301,1976-1977,end_of_heading,174
1301,1976-1977,plant_height,100.7
1301,1976-1977,thousand_kernel_weight,40.5
1302,1976-1977,end_of_heading,176
1302,1976-1977,plant_height,99
1302,1976-1977,thousand_kernel_weight,37.8
1309,1976-1977,end_of_heading,181
1309,1976-1977,plant_height,108
1309,1976-1977,thousand_kernel_weight,39.5
1311,1976-1977,end_of_heading,169
1311,1976-1977,plant_height,104.3
1311,1976-1977,thousand_kernel_weight,41
1312,1976-1977,end_of_heading,170
1312,1976-1977,plant_height,99.3
1312,1976-1977,thousand_kernel_weight,36.3
1313,1976-1977,end_of_heading,176
1313,1976-1977,plant_height,105
1313,1976-1977,thousand_kernel_weight,37
1314,1976-1977,end_of_heading,179
1314,1976-1977,plant_height,108.3
1314,1976-1977,thousand_kernel_weight,38.8
1317,1976-1977,end_of_heading,179
1317,1976-1977,plant_height,108.7
1317,1976-1977,thousand_kernel_weight,39
1318,1976-1977,end_of_heading,176
1318,1976-1977,plant_height,104.3
1318,1976-1977,thousand_kernel_weight,40.5
1320,1976-1977,end_of_heading,176
1320,1976-1977,plant_height,99.7
1320,1976-1977,thousand_kernel_weight,39.8
1323,1976-1977,end_of_heading,180
1323,1976-1977,plant_height,103.3
1323,1976-1977,thousand_kernel_weight,39
1324,1976-1977,end_of_heading,175
1324,1976-1977,plant_height,100.3
1324,1976-1977,thousand_kernel_weight,40.3
1325,1976-1977,end_of_heading,172
1325,1976-1977,plant_height,101.3
1325,1976-1977,thousand_kernel_weight,37.3
1326,1976-1977,end_of_heading,171
1326,1976-1977,plant_height,100.7
1326,1976-1977,thousand_kernel_weight,36.8
1327,1976-1977,end_of_heading,176
1327,1976-1977,plant_height,103
1327,1976-1977,thousand_kernel_weight,43
1329,1976-1977,end_of_heading,170
1329,1976-1977,plant_height,110.7
1329,1976-1977,thousand_kernel_weight,42
1330,1976-1977,end_of_heading,172
1330,1976-1977,plant_height,100.7
1330,1976-1977,thousand_kernel_weight,45.3
1331,1976-1977,end_of_heading,181
1331,1976-1977,plant_height,110
1331,1976-1977,thousand_kernel_weight,41.3
1332,1976-1977,end_of_heading,173
1332,1976-1977,plant_height,120
1332,1976-1977,thousand_kernel_weight,39.3
1333,1976-1977,end_of_heading,172
1333,1976-1977,plant_height,108
1333,1976-1977,thousand_kernel_weight,39.5
1334,1976-1977,end_of_heading,181
1334,1976-1977,plant_height,112.3
1334,1976-1977,thousand_kernel_weight,49
1336,1976-1977,end_of_heading,182
1336,1976-1977,plant_height,121.3
1336,1976-1977,thousand_kernel_weight,40.5
1337,1976-1977,end_of_heading,169
1337,1976-1977,plant_height,106
1337,1976-1977,thousand_kernel_weight,40.5
1338,1976-1977,end_of_heading,170
1338,1976-1977,plant_height,112
1338,1976-1977,thousand_kernel_weight,45
134,1976-1977,end_of_heading,173
134,1976-1977,plant_height,82
134,1976-1977,thousand_kernel_weight,35
1340,1976-1977,end_of_heading,182
1340,1976-1977,plant_height,107.3
1340,1976-1977,thousand_kernel_weight,34.8
1341,1976-1977,end_of_heading,177
1341,1976-1977,plant_height,120.7
1341,1976-1977,thousand_kernel_weight,37.8
1344,1976-1977,end_of_heading,180
1344,1976-1977,plant_height,120.7
1344,1976-1977,thousand_kernel_weight,45.8
1346,1976-1977,end_of_heading,172
1346,1976-1977,plant_height,107.3
1346,1976-1977,thousand_kernel_weight,43.8
1349,1976-1977,end_of_heading,170
1349,1976-1977,plant_height,95.3
1349,1976-1977,thousand_kernel_weight,35.5
1350,1976-1977,end_of_heading,180
1350,1976-1977,plant_height,99.3
1350,1976-1977,thousand_kernel_weight,38.5
1352,1976-1977,end_of_heading,170
1352,1976-1977,plant_height,71.3
1352,1976-1977,thousand_kernel_weight,41.3
1354,1976-1977,end_of_heading,179
1354,1976-1977,plant_height,99.7
1354,1976-1977,thousand_kernel_weight,42.8
1356,1976-1977,end_of_heading,176
1356,1976-1977,plant_height,114
1356,1976-1977,thousand_kernel_weight,45.3
1357,1976-1977,end_of_heading,174
1357,1976-1977,plant_height,96.7
1358,1976-1977,end_of_heading,179
1358,1976-1977,plant_height,118.7
1358,1976-1977,thousand_kernel_weight,44.5
1359,1976-1977,end_of_heading,176
1359,1976-1977,end_of_heading,179
1359,1976-1977,plant_height,114.7
1359,1976-1977,plant_height,128
1359,1976-1977,thousand_kernel_weight,42.3
1359,1976-1977,thousand_kernel_weight,38.8
1360,1976-1977,end_of_heading,176
1360,1976-1977,plant_height,113
1360,1976-1977,thousand_kernel_weight,40.3
1361,1976-1977,end_of_heading,179
1361,1976-1977,plant_height,114.3
1361,1976-1977,thousand_kernel_weight,35
1362,1976-1977,end_of_heading,170
1362,1976-1977,plant_height,96.3
1362,1976-1977,thousand_kernel_weight,39.8
1363,1976-1977,end_of_heading,179
1363,1976-1977,plant_height,121
1363,1976-1977,thousand_kernel_weight,47.8
1364,1976-1977,end_of_heading,179
1364,1976-1977,plant_height,107.3
1364,1976-1977,thousand_kernel_weight,46.5
1366,1976-1977,end_of_heading,178
1366,1976-1977,plant_height,105
1366,1976-1977,thousand_kernel_weight,41
1367,1976-1977,end_of_heading,180
1367,1976-1977,plant_height,123
1367,1976-1977,thousand_kernel_weight,42
1368,1976-1977,end_of_heading,174
1368,1976-1977,plant_height,110.7
1368,1976-1977,thousand_kernel_weight,48.3
1369,1976-1977,end_of_heading,174
1369,1976-1977,plant_height,83.7
1369,1976-1977,thousand_kernel_weight,42
1370,1976-1977,end_of_heading,180
1370,1976-1977,plant_height,122.3
1370,1976-1977,thousand_kernel_weight,44.5
1371,1976-1977,end_of_heading,169
1371,1976-1977,plant_height,98.3
1371,1976-1977,thousand_kernel_weight,39
1372,1976-1977,end_of_heading,177
1372,1976-1977,plant_height,130.3
1372,1976-1977,thousand_kernel_weight,40.3
1373,1976-1977,end_of_heading,179
1373,1976-1977,plant_height,121.3
1373,1976-1977,thousand_kernel_weight,42.5
1374,1976-1977,end_of_heading,171
1374,1976-1977,end_of_heading,172
1374,1976-1977,plant_height,77
1374,1976-1977,plant_height,80
1374,1976-1977,thousand_kernel_weight,39
1374,1976-1977,thousand_kernel_weight,40.5
1375,1976-1977,end_of_heading,172
1375,1976-1977,plant_height,70
1375,1976-1977,thousand_kernel_weight,44
1379,1976-1977,end_of_heading,179
1379,1976-1977,plant_height,87.7
1379,1976-1977,thousand_kernel_weight,40.3
1381,1976-1977,end_of_heading,182
1381,1976-1977,plant_height,101.7
1381,1976-1977,thousand_kernel_weight,43
1382,1976-1977,end_of_heading,169
1382,1976-1977,plant_height,78
1382,1976-1977,thousand_kernel_weight,47.5
1384,1976-1977,end_of_heading,169
1384,1976-1977,plant_height,84.7
1384,1976-1977,thousand_kernel_weight,40.3
1385,1976-1977,end_of_heading,174
1385,1976-1977,plant_height,106
1385,1976-1977,thousand_kernel_weight,44.5
1386,1976-1977,end_of_heading,173
1386,1976-1977,plant_height,84.7
1386,1976-1977,thousand_kernel_weight,36.8
1387,1976-1977,end_of_heading,178
1387,1976-1977,plant_height,79
1387,1976-1977,thousand_kernel_weight,35.5
1389,1976-1977,end_of_heading,172
1389,1976-1977,plant_height,82
1389,1976-1977,thousand_kernel_weight,38.5
1390,1976-1977,end_of_heading,178
1390,1976-1977,plant_height,69
1390,1976-1977,thousand_kernel_weight,39.3
1393,1976-1977,end_of_heading,172
1393,1976-1977,plant_height,114
1393,1976-1977,thousand_kernel_weight,40
1395,1976-1977,end_of_heading,176
1395,1976-1977,plant_height,94
1395,1976-1977,thousand_kernel_weight,48.8
1396,1976-1977,end_of_heading,182
1396,1976-1977,plant_height,100.7
1396,1976-1977,thousand_kernel_weight,45.5
1397,1976-1977,end_of_heading,171
1397,1976-1977,plant_height,104
