genotype,days_to_heading_BLUE,plant_height_BLUE,plant_density_BLUE,thousand_kernel_weight_BLUE,dry_matter_yield_BLUE,powdery_mildew_BLUE
CGF-2634,NA,NA,NA,NA,NA,NA
CGF-2636,NA,NA,NA,NA,NA,NA
CGF-266,NA,NA,NA,NA,NA,NA
CGF-267,NA,NA,NA,NA,NA,NA
CGF-268,NA,NA,NA,NA,NA,NA
CGF-2705,NA,NA,NA,NA,NA,NA
CGF-272,NA,NA,NA,NA,NA,NA
CGF-274,NA,NA,NA,NA,NA,NA
CGF-277,NA,NA,NA,NA,NA,NA
CGF-278,136.17,107.76,NA,NA,4991.95,1.85
CGF-282,NA,NA,NA,NA,NA,NA
CGF-283,NA,NA,NA,NA,NA,NA
CGF-2842,139.84,105.28,NA,NA,NA,1.97
CGF-2867,NA,NA,NA,NA,NA,NA
CGF-2872,NA,NA,NA,NA,NA,NA
CGF-2873,NA,NA,NA,NA,NA,NA
CGF-2874,NA,NA,NA,NA,NA,NA
CGF-2877,NA,NA,NA,NA,NA,NA
CGF-2878,NA,NA,NA,NA,NA,NA
CGF-2880,NA,NA,NA,NA,NA,NA
CGF-2887,NA,NA,NA,NA,NA,NA
CGF-2889,NA,NA,NA,NA,NA,NA
CGF-2912,NA,NA,NA,NA,NA,NA
CGF-2921,142.14,107.68,NA,NA,NA,1.82
CGF-2925,141.34,100.78,NA,NA,NA,2.97
CGF-2926,139.34,105.28,NA,NA,NA,3.47
CGF-2927,NA,NA,NA,NA,NA,NA
CGF-2928,NA,NA,NA,NA,NA,NA
CGF-2929,139.34,107.28,NA,NA,NA,2.47
CGF-2931,NA,NA,NA,NA,NA,NA
CGF-2938,NA,NA,NA,NA,NA,NA
CGF-3023,NA,NA,NA,NA,NA,NA
CGF-3068,138.2,104.55,NA,NA,NA,NA
CGF-3071,136.34,99.28,NA,NA,NA,2.97
CGF-308,NA,NA,NA,NA,NA,NA
CGF-3098,140.55,96.36,650.01,43.02,5730.86,1.26
CGF-3114,NA,NA,NA,NA,NA,NA
CGF-3115,NA,NA,NA,NA,NA,NA
CGF-3194,NA,NA,NA,NA,NA,NA
CGF-3199,NA,NA,NA,NA,NA,NA
CGF-326,141.84,104.78,NA,NA,NA,2.97
CGF-328,NA,NA,NA,NA,NA,NA
CGF-3376,NA,NA,NA,NA,NA,NA
CGF-344,141.34,102.28,NA,NA,NA,NA
CGF-347,NA,NA,NA,NA,NA,NA
CGF-361,NA,NA,NA,NA,NA,NA
CGF-368,146.5,99.87,NA,NA,NA,1.16
CGF-375,135.31,113.5,NA,NA,4501.95,3.09
CGF-4501,NA,NA,NA,NA,NA,NA
CGF-4506,NA,NA,NA,NA,NA,NA
CGF-4513,NA,NA,NA,NA,NA,NA
CGF-4535,NA,NA,NA,NA,NA,NA
CGF-4564,NA,NA,NA,NA,NA,NA
CGF-4567,NA,NA,NA,NA,NA,NA
CGF-4576,NA,NA,NA,NA,NA,NA
CGF-4590,NA,NA,NA,NA,NA,NA
CGF-4870,158.58,89.1,597.98,39.85,6135.55,2
CGF-4882,NA,NA,NA,NA,NA,NA
CGF-4883,NA,NA,NA,NA,NA,NA
CGF-4884,NA,NA,NA,NA,NA,NA
CGF-49,NA,NA,NA,NA,NA,NA
CGF-4901,NA,NA,NA,NA,NA,NA
CGF-4903,139.33,95.31,NA,NA,NA,1.33
CGF-4908,138.68,93.16,619.38,NA,4045.88,1.01
CGF-4909,NA,NA,NA,NA,NA,NA
CGF-4910,NA,NA,NA,NA,NA,NA
CGF-4911,NA,NA,NA,NA,NA,NA
CGF-4912,NA,NA,NA,NA,NA,NA
CGF-4913,NA,NA,NA,NA,NA,NA
CGF-4914,139.34,98.28,NA,NA,NA,1.97
CGF-4915,145.78,95.25,NA,NA,3188.97,1.52
CGF-4942,137.09,93.86,NA,NA,NA,NA
CGF-4946,NA,NA,NA,NA,NA,NA
CGF-4957,139.34,108.28,NA,NA,NA,2.47
CGF-4963,NA,NA,NA,NA,NA,NA
CGF-50,NA,NA,NA,NA,NA,NA
CGF-51,NA,NA,NA,NA,NA,NA
CGF-52,NA,NA,NA,NA,NA,NA
CGF-555,139.34,107.78,NA,NA,NA,2.97
CGF-566,NA,NA,NA,NA,NA,NA
CGF-568,NA,NA,NA,NA,NA,NA
CGF-569,NA,NA,NA,NA,NA,NA
CGF-576,NA,NA,NA,NA,NA,NA
CGF-578,NA,NA,NA,NA,NA,NA
CGF-580,NA,NA,NA,NA,NA,NA
CGF-5816,134.5,NA,NA,NA,NA,1.2
CGF-5817,NA,NA,NA,NA,NA,NA
CGF-5822,NA,NA,NA,NA,NA,NA
CGF-586,NA,NA,NA,NA,NA,NA
CGF-593,NA,NA,NA,NA,NA,NA
CGF-595,NA,NA,NA,NA,NA,NA
CGF-596,NA,NA,NA,NA,NA,NA
CGF-5976,NA,NA,NA,NA,NA,NA
CGF-5983,NA,NA,NA,NA,NA,NA
CGF-5985,NA,NA,NA,NA,NA,NA
CGF-5986,NA,NA,NA,NA,NA,NA
CGF-599,NA,NA,NA,NA,NA,NA
CGF-5990,NA,NA,NA,NA,NA,NA
CGF-6002,NA,NA,NA,NA,NA,NA
CGF-6003,NA,NA,NA,NA,NA,NA
CGF-6005,NA,NA,NA,NA,NA,NA
CGF-6006,NA,NA,NA,NA,NA,NA
CGF-6007,NA,NA,NA,NA,NA,NA
CGF-6008,NA,NA,NA,NA,NA,NA
CGF-601,NA,NA,NA,NA,NA,NA
CGF-6010,NA,NA,NA,NA,NA,NA
CGF-6024,NA,NA,NA,NA,NA,NA
CGF-6031,NA,NA,NA,NA,NA,NA
CGF-6040,NA,NA,NA,NA,NA,NA
CGF-6041,NA,NA,NA,NA,NA,NA
CGF-6043,NA,NA,NA,NA,NA,NA
CGF-6044,NA,NA,NA,NA,NA,NA
CGF-6046,NA,NA,NA,NA,NA,NA
CGF-6049,NA,NA,NA,NA,NA,NA
CGF-6050,NA,NA,NA,NA,NA,NA
CGF-6055,NA,NA,NA,NA,NA,NA
CGF-6056,NA,NA,NA,NA,NA,NA
CGF-6058,NA,NA,NA,NA,NA,NA
CGF-6059,NA,NA,NA,NA,NA,NA
CGF-6060,NA,NA,NA,NA,NA,NA
CGF-6061,NA,NA,NA,NA,NA,NA
CGF-6062,NA,NA,NA,NA,NA,NA
CGF-6063,NA,NA,NA,NA,NA,NA
CGF-6064,NA,NA,NA,NA,NA,NA
CGF-6065,NA,NA,NA,NA,NA,NA
CGF-6074,135.24,97.36,651.35,37.51,5425.2,1.86
CGF-610,NA,NA,NA,NA,NA,NA
CGF-6103,NA,NA,NA,NA,NA,NA
CGF-6104,NA,NA,NA,NA,NA,NA
CGF-6105,NA,NA,NA,NA,NA,NA
CGF-6107,NA,NA,NA,NA,NA,NA
