accenumb,agent_id,doi,days_to_heading,plant_height,thousand_kernel_weight,hectolitric_weight,dry_matter_yield,lodging,protein_content,starch_content,name,description,campaign
COF 3040,NA,NA,138,NA,47,NA,NA,5,12.08,58.02,Fundulea,Winter barley,1961-1962
COF 3040,NA,NA,142,NA,46,NA,NA,5,12.54,57.91,Fundulea,Winter barley,1961-1962
COF 3040,NA,NA,140,NA,50.5,NA,NA,5,13.61,56.4,Fundulea,Winter barley,1961-1962
COF 3040,NA,NA,135,NA,47.5,NA,NA,5,13.59,57.18,Fundulea,Winter barley,1961-1962
COF 3043,NA,NA,133,NA,38.5,68.8,4430,3,11.24,59.92,Fundulea,Winter barley,1961-1962
COF 3146,NA,NA,136,NA,41.5,NA,NA,4,13.35,56.99,Fundulea,Winter barley,1961-1962
COF 3146,NA,NA,134,NA,49,NA,NA,4,14.67,55.29,Fundulea,Winter barley,1961-1962
COF 3173,NA,NA,137,NA,40,NA,NA,5,14.01,56.2,Fundulea,Winter barley,1961-1962
COF 3220,NA,NA,134,NA,42.5,NA,NA,3,14.49,53.7,Fundulea,Winter barley,1961-1962
COF 3264,NA,NA,135,NA,35,NA,NA,4,13.08,57.04,Fundulea,Winter barley,1961-1962
COF 3265,NA,NA,137,NA,40,NA,NA,NA,12.25,58.45,Fundulea,Winter barley,1961-1962
COF 3327,NA,NA,139,NA,41.5,NA,NA,4,12.89,58.56,Fundulea,Winter barley,1961-1962
COF 3327,NA,NA,139,NA,36,NA,NA,3,13.46,58.11,Fundulea,Winter barley,1961-1962
COF 3332,NA,NA,137,NA,46,NA,NA,4,14.45,54.67,Fundulea,Winter barley,1961-1962
COF 3337,NA,NA,136,NA,44,68.8,4155,5,11.33,59.15,Fundulea,Winter barley,1961-1962
COF 3391,NA,NA,138,NA,37.5,NA,NA,4,13.34,55.58,Fundulea,Winter barley,1961-1962
COF 3534,NA,NA,140,NA,43.5,NA,NA,4,10.8,60.57,Fundulea,Winter barley,1961-1962
COF 3644,NA,NA,140,NA,42,68.4,4670,4,11.48,59.54,Fundulea,Winter barley,1961-1962
COF 3644,NA,NA,142,NA,41,68,4900,4,11.95,58.36,Fundulea,Winter barley,1961-1962
