accenumb,agent_id,doi,days_to_heading,plant_height,thousand_kernel_weight,hectolitric_weight,dry_matter_yield,lodging,protein_content,starch_content,name,description,campaign
COF 3242,NA,NA,141,NA,NA,NA,5610,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3274,NA,NA,140,NA,NA,NA,6960,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3274,NA,NA,130,NA,NA,NA,7340,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3276,NA,NA,127,NA,NA,NA,6340,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3277,NA,NA,125,NA,NA,NA,6960,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3278,NA,NA,125,NA,NA,NA,7260,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3279,NA,NA,130,NA,NA,NA,5940,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3280,NA,NA,123,NA,NA,NA,6340,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3287,NA,NA,140,NA,NA,NA,7630,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3287,NA,NA,130,NA,NA,NA,7111,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3289,NA,NA,123,NA,44.8,NA,5560,NA,14.41,61.64,Fundulea,Winter barley,1975-1976
COF 3340,NA,NA,140,NA,NA,NA,6620,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3345,NA,NA,123,NA,NA,NA,7360,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,134,NA,38.3,NA,9040,NA,11.56,61.66,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,134,NA,36.6,NA,8578,NA,12.51,60.33,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,136,NA,38,NA,8573,NA,12.95,60.13,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,135,NA,36,NA,8300,NA,12.43,60.15,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,135,NA,38,NA,8962,NA,11.65,60.21,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,134,NA,38.4,NA,9182,NA,11.98,60.81,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,134,NA,NA,NA,8620,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,134,NA,NA,NA,8010,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,134,NA,NA,NA,8080,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,134,NA,NA,NA,8710,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,134,NA,NA,NA,8870,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,139,NA,NA,NA,7710,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,134,NA,NA,NA,7560,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,134,NA,NA,NA,8200,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,134,NA,NA,NA,9000,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,133,NA,NA,NA,8990,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,134,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,122,NA,28.3,NA,6910,NA,11.05,60.3,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,122,NA,26.6,NA,5870,NA,11.41,62.31,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,122,NA,26.7,NA,6340,NA,10.77,62.14,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,122,NA,30.5,NA,5710,NA,10.32,61.72,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,130,NA,NA,NA,8620,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,122,NA,NA,NA,8010,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,122,NA,NA,NA,8080,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,122,NA,NA,NA,8790,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,122,NA,NA,NA,8870,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3349,NA,NA,122,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3351,NA,NA,140,NA,45,NA,7252,NA,14.54,60.59,Fundulea,Winter barley,1975-1976
COF 3351,NA,NA,129,NA,36,NA,5720,NA,11.09,62.41,Fundulea,Winter barley,1975-1976
COF 3427,NA,NA,136,NA,NA,NA,7330,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3428,NA,NA,139,NA,41,NA,6513,NA,13.87,60.37,Fundulea,Winter barley,1975-1976
COF 3428,NA,NA,129,NA,34.8,NA,3610,NA,10.44,62.18,Fundulea,Winter barley,1975-1976
COF 3429,NA,NA,140,NA,NA,NA,6110,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3436,NA,NA,141,NA,NA,NA,5280,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3464,NA,NA,141,NA,NA,NA,5370,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3466,NA,NA,144,NA,35.4,NA,7255,NA,13.7,56.69,Fundulea,Winter barley,1975-1976
COF 3466,NA,NA,133,NA,29.3,NA,5200,NA,12.91,61.38,Fundulea,Winter barley,1975-1976
COF 3498,NA,NA,140,NA,NA,NA,6330,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3511,NA,NA,141,NA,45.4,NA,6853,NA,14.81,56.97,Fundulea,Winter barley,1975-1976
COF 3511,NA,NA,129,NA,29.8,NA,4070,NA,11.31,60.83,Fundulea,Winter barley,1975-1976
COF 3512,NA,NA,143,NA,40.2,NA,6818,NA,13.28,59.16,Fundulea,Winter barley,1975-1976
COF 3512,NA,NA,133,NA,29,NA,4600,NA,13.88,57.24,Fundulea,Winter barley,1975-1976
COF 3513,NA,NA,140,NA,40.6,NA,7168,NA,13.39,60.98,Fundulea,Winter barley,1975-1976
COF 3643,NA,NA,139,NA,44,NA,7240,NA,14.89,59.42,Fundulea,Winter barley,1975-1976
COF 3643,NA,NA,138,NA,46.2,NA,7240,NA,14.55,59.68,Fundulea,Winter barley,1975-1976
COF 3643,NA,NA,137,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3643,NA,NA,130,NA,36.1,NA,4630,NA,13.55,61.04,Fundulea,Winter barley,1975-1976
COF 3643,NA,NA,128,NA,35.5,NA,4570,NA,12.82,61.06,Fundulea,Winter barley,1975-1976
COF 3644,NA,NA,142,NA,NA,NA,6050,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3841,NA,NA,137,NA,46,NA,8440,NA,13.58,60.15,Fundulea,Winter barley,1975-1976
COF 3841,NA,NA,137,NA,45.2,NA,7887,NA,14.08,60.46,Fundulea,Winter barley,1975-1976
COF 3841,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3841,NA,NA,124,NA,38.9,NA,6150,NA,12.01,62.22,Fundulea,Winter barley,1975-1976
COF 3841,NA,NA,124,NA,32.1,NA,6040,NA,14.14,60.99,Fundulea,Winter barley,1975-1976
COF 3841,NA,NA,124,NA,31.7,NA,6040,NA,12.84,62.18,Fundulea,Winter barley,1975-1976
COF 3841,NA,NA,124,NA,37.9,NA,5820,NA,11.01,61.87,Fundulea,Winter barley,1975-1976
COF 3863,NA,NA,137,NA,52.4,NA,8070,NA,13.79,59.83,Fundulea,Winter barley,1975-1976
COF 3863,NA,NA,125,NA,38.9,NA,5590,NA,12.31,61.68,Fundulea,Winter barley,1975-1976
COPF 2107,NA,NA,140,NA,NA,NA,5140,NA,NA,NA,Fundulea,Winter barley,1975-1976
COPF 2107,NA,NA,130,NA,NA,NA,6950,NA,NA,NA,Fundulea,Winter barley,1975-1976
COF 3196,NA,NA,132,NA,43.9,NA,6870,NA,14.02,61.3,Fundulea,Winter barley,1976-1977
COF 3224,NA,NA,134,NA,41.5,NA,3750,NA,15.15,56.23,Fundulea,Winter barley,1976-1977
COF 3349,NA,NA,121,NA,26.2,NA,6900,NA,NA,NA,Fundulea,Winter barley,1976-1977
COF 3349,NA,NA,125,NA,29.5,NA,7230,NA,14.2,58.08,Fundulea,Winter barley,1976-1977
COF 3428,NA,NA,133,NA,40.9,NA,3830,NA,15.02,60.88,Fundulea,Winter barley,1976-1977
COF 3681,NA,NA,122,NA,28.5,NA,NA,NA,NA,NA,Fundulea,Winter barley,1976-1977
COF 3841,NA,NA,123,NA,30.4,NA,6180,NA,NA,NA,Fundulea,Winter barley,1976-1977
COF3513,NA,NA,135,NA,38,NA,4000,NA,14.1,58.09,Fundulea,Winter barley,1976-1977
COF 3008,NA,NA,143,NA,NA,NA,4170,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3008,NA,NA,138,NA,NA,NA,5130,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3009,NA,NA,134,NA,NA,NA,3200,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3044,NA,NA,140,NA,NA,NA,4700,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3045,NA,NA,137,NA,NA,NA,4390,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3120,NA,NA,140,NA,NA,NA,4530,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3175,NA,NA,129,NA,45.5,NA,6350,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3178,NA,NA,137,NA,37.8,NA,4130,NA,13.8,61.1,Fundulea,Winter barley,1977-1978
COF 3196,NA,NA,137,NA,NA,NA,4800,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3224,NA,NA,138,NA,NA,NA,4650,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3224,NA,NA,134,NA,40.4,NA,6930,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3241,NA,NA,141,NA,42.7,NA,5620,NA,14.7,57.9,Fundulea,Winter barley,1977-1978
COF 3241,NA,NA,133,NA,46,NA,5800,NA,11.63,60.47,Fundulea,Winter barley,1977-1978
COF 3277,NA,NA,136,NA,NA,NA,2970,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3278,NA,NA,136,NA,NA,NA,3850,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3279,NA,NA,137,NA,NA,NA,4260,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3289,NA,NA,129,NA,44.5,NA,3460,NA,15.2,55.7,Fundulea,Winter barley,1977-1978
COF 3345,NA,NA,130,NA,NA,NA,4920,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3346,NA,NA,131,NA,41,NA,6000,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3347,NA,NA,135,NA,41.6,NA,6650,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3349,NA,NA,131,NA,39.2,NA,4060,NA,13.91,56.31,Fundulea,Winter barley,1977-1978
COF 3349,NA,NA,130,NA,36.9,NA,4100,NA,14.2,57,Fundulea,Winter barley,1977-1978
COF 3349,NA,NA,130,NA,38.6,NA,4330,NA,13.9,67.9,Fundulea,Winter barley,1977-1978
COF 3349,NA,NA,131,NA,36.6,NA,4660,NA,13.6,57.2,Fundulea,Winter barley,1977-1978
COF 3349,NA,NA,130,NA,36.7,NA,5135,NA,15.2,55.9,Fundulea,Winter barley,1977-1978
COF 3349,NA,NA,130,NA,NA,NA,4350,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3349,NA,NA,130,NA,NA,NA,4400,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3349,NA,NA,130,NA,NA,NA,4380,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3349,NA,NA,130,NA,NA,NA,4700,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3349,NA,NA,131,NA,NA,NA,3580,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3349,NA,NA,131,NA,NA,NA,4050,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3349,NA,NA,127,NA,36.8,NA,6480,NA,11.67,61.48,Fundulea,Winter barley,1977-1978
COF 3349,NA,NA,128,NA,35.2,NA,7030,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3349,NA,NA,127,NA,36.4,NA,7730,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3351,NA,NA,141,NA,46.3,NA,5375,NA,16.7,55.1,Fundulea,Winter barley,1977-1978
COF 3396,NA,NA,134,NA,43.8,NA,3600,NA,16.8,61.2,Fundulea,Winter barley,1977-1978
COF 3428,NA,NA,137,NA,NA,NA,5900,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3428,NA,NA,138,NA,NA,NA,5920,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3466,NA,NA,144,NA,37.4,NA,4800,NA,14.7,55.6,Fundulea,Winter barley,1977-1978
COF 3511,NA,NA,138,NA,42.1,NA,4752,NA,15.3,56.4,Fundulea,Winter barley,1977-1978
COF 3512,NA,NA,144,NA,NA,NA,5880,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3643,NA,NA,137,NA,41.3,NA,4680,NA,15.9,55.9,Fundulea,Winter barley,1977-1978
COF 3643,NA,NA,137,NA,NA,NA,5230,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3643,NA,NA,132,NA,45.1,NA,5360,NA,12.59,61.01,Fundulea,Winter barley,1977-1978
COF 3841,NA,NA,135,NA,44,NA,3780,NA,14.9,57.2,Fundulea,Winter barley,1977-1978
COF 3841,NA,NA,134,NA,42.9,NA,4700,NA,14.8,57.9,Fundulea,Winter barley,1977-1978
COF 3841,NA,NA,134,NA,43.6,NA,5200,NA,14.3,61.8,Fundulea,Winter barley,1977-1978
COF 3841,NA,NA,128,NA,43.4,NA,6600,NA,13.35,62.23,Fundulea,Winter barley,1977-1978
COF 3863,NA,NA,133,NA,45,NA,3090,NA,15.4,56.2,Fundulea,Winter barley,1977-1978
COF3513,NA,NA,137,NA,NA,NA,5600,NA,NA,NA,Fundulea,Winter barley,1977-1978
COPF 2107,NA,NA,137,NA,NA,NA,4180,NA,NA,NA,Fundulea,Winter barley,1977-1978
COF 3044,NA,NA,NA,NA,NA,NA,4080,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3045,NA,NA,129,NA,NA,NA,6100,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3046,NA,NA,126,NA,NA,NA,6800,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3106,NA,NA,128,NA,NA,NA,5230,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3135,NA,NA,129,NA,NA,NA,6030,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3289,NA,NA,125,NA,NA,NA,5980,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3289,NA,NA,126,NA,NA,NA,6330,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3345,NA,NA,126,NA,NA,NA,5400,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3347,NA,NA,131,NA,41.4,NA,5310,NA,12.59,60.71,Fundulea,Winter barley,1978-1979
COF 3348,NA,NA,126,NA,NA,NA,5600,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3349,NA,NA,125,NA,33.8,NA,6340,NA,12.05,58.16,Fundulea,Winter barley,1978-1979
COF 3349,NA,NA,125,NA,34.2,NA,6510,NA,14.16,59.35,Fundulea,Winter barley,1978-1979
COF 3349,NA,NA,125,NA,29.2,NA,5780,NA,13.99,57.73,Fundulea,Winter barley,1978-1979
COF 3349,NA,NA,125,NA,31.4,NA,6010,NA,14.67,56.35,Fundulea,Winter barley,1978-1979
COF 3349,NA,NA,125,NA,33.7,NA,5460,NA,13.24,57.59,Fundulea,Winter barley,1978-1979
COF 3349,NA,NA,125,NA,34.4,NA,5580,NA,13.48,56.34,Fundulea,Winter barley,1978-1979
COF 3349,NA,NA,125,NA,41.2,NA,5240,NA,13.6,60.73,Fundulea,Winter barley,1978-1979
COF 3349,NA,NA,125,NA,NA,NA,6300,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3349,NA,NA,125,NA,NA,NA,6850,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3349,NA,NA,125,NA,NA,NA,6900,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3349,NA,NA,125,NA,NA,NA,6400,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3349,NA,NA,125,NA,NA,NA,5300,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3349,NA,NA,124,NA,NA,NA,5920,NA,13.85,57.5,Fundulea,Winter barley,1978-1979
COF 3349,NA,NA,131,NA,NA,NA,5300,NA,13.64,57.75,Fundulea,Winter barley,1978-1979
COF 3351,NA,NA,131,NA,41.6,NA,5670,NA,13.75,61.35,Fundulea,Winter barley,1978-1979
COF 3394,NA,NA,126,NA,45,NA,5860,NA,13.87,62.77,Fundulea,Winter barley,1978-1979
COF 3394,NA,NA,126,NA,NA,NA,5860,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3395,NA,NA,126,NA,41.1,NA,5980,NA,14.02,61.7,Fundulea,Winter barley,1978-1979
COF 3395,NA,NA,127,NA,NA,NA,6660,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3466,NA,NA,NA,NA,36,NA,5230,NA,14.05,59.14,Fundulea,Winter barley,1978-1979
COF 3468,NA,NA,126,NA,NA,NA,5870,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3511,NA,NA,130,NA,39.9,NA,5070,NA,13.99,62.48,Fundulea,Winter barley,1978-1979
COF 3512,NA,NA,NA,NA,33.6,NA,5430,NA,12.58,61.6,Fundulea,Winter barley,1978-1979
COF 3841,NA,NA,126,NA,43.1,NA,6600,NA,12.37,62.2,Fundulea,Winter barley,1978-1979
COF 3841,NA,NA,126,NA,NA,NA,6020,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3841,NA,NA,127,NA,NA,NA,6130,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3841,NA,NA,126,NA,NA,NA,6420,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3841,NA,NA,126,NA,NA,NA,5900,NA,15.81,56.97,Fundulea,Winter barley,1978-1979
COF 3863,NA,NA,127,NA,NA,NA,6100,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3863,NA,NA,127,NA,NA,NA,4900,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3863,NA,NA,134,NA,NA,NA,5450,NA,14.92,61.28,Fundulea,Winter barley,1978-1979
COF3513,NA,NA,131,NA,NA,NA,5150,NA,NA,NA,Fundulea,Winter barley,1978-1979
COF 3041,NA,NA,144,NA,NA,NA,2120,7,NA,NA,Fundulea,Winter barley,1979-1980
COF 3042,NA,NA,134,NA,NA,NA,1450,5,NA,NA,Fundulea,Winter barley,1979-1980
COF 3044,NA,NA,143,NA,NA,NA,2100,8,NA,NA,Fundulea,Winter barley,1979-1980
COF 3045,NA,NA,137,NA,NA,NA,2540,5,NA,NA,Fundulea,Winter barley,1979-1980
COF 3046,NA,NA,135,NA,NA,NA,4380,5,NA,NA,Fundulea,Winter barley,1979-1980
COF 3093,NA,NA,143,NA,NA,NA,2590,9,NA,NA,Fundulea,Winter barley,1979-1980
COF 3106,NA,NA,137,NA,NA,NA,3180,2,NA,NA,Fundulea,Winter barley,1979-1980
COF 3116,NA,NA,142,NA,NA,NA,2740,6,NA,NA,Fundulea,Winter barley,1979-1980
COF 3117,NA,NA,143,NA,NA,NA,2750,6,NA,NA,Fundulea,Winter barley,1979-1980
COF 3135,NA,NA,139,NA,NA,NA,2950,8,NA,NA,Fundulea,Winter barley,1979-1980
COF 3286,NA,NA,143,NA,NA,NA,2970,7,NA,NA,Fundulea,Winter barley,1979-1980
COF 3289,NA,NA,132,NA,36.4,NA,3980,NA,16.23,57.79,Fundulea,Winter barley,1979-1980
COF 3289,NA,NA,132,NA,NA,NA,2850,1,NA,NA,Fundulea,Winter barley,1979-1980
COF 3291,NA,NA,137,NA,NA,NA,3050,6,NA,NA,Fundulea,Winter barley,1979-1980
COF 3345,NA,NA,133,NA,NA,NA,3300,4,NA,NA,Fundulea,Winter barley,1979-1980
COF 3347,NA,NA,139,NA,NA,NA,2450,2,NA,NA,Fundulea,Winter barley,1979-1980
COF 3348,NA,NA,133,NA,NA,NA,3380,4,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,25.4,NA,3960,NA,15.04,51.21,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,26.9,NA,4550,NA,13.87,53.99,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,26.4,NA,4616,NA,14.43,53.7,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,26.1,NA,3966,NA,13.76,54.46,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,28.6,NA,3960,NA,14.95,55.93,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,26.8,NA,4160,NA,15.27,54.02,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,NA,NA,4900,2,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,NA,NA,5000,1,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,NA,NA,3870,2,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,NA,NA,3150,2,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,NA,NA,4430,1,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,NA,NA,4500,2,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,NA,NA,3730,4,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,NA,NA,4740,1,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,NA,NA,3970,2,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,NA,NA,2780,3,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,NA,NA,4380,2,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,NA,NA,NA,5,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,NA,NA,NA,3,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,133,NA,NA,NA,NA,5,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,Fundulea,Winter barley,1979-1980
COF 3349,NA,NA,132,NA,28.8,NA,4300,NA,NA,NA,Fundulea,Winter barley,1979-1980
COF 3351,NA,NA,139,NA,NA,NA,3880,6,NA,NA,Fundulea,Winter barley,1979-1980
COF 3394,NA,NA,133,NA,NA,NA,2900,5,NA,NA,Fundulea,Winter barley,1979-1980
COF 3394,NA,NA,134,NA,NA,NA,3030,6,NA,NA,Fundulea,Winter barley,1979-1980
COF 3395,NA,NA,134,NA,NA,NA,3560,5,NA,NA,Fundulea,Winter barley,1979-1980
COF 3395,NA,NA,136,NA,NA,NA,2270,6,NA,NA,Fundulea,Winter barley,1979-1980
COF 3396,NA,NA,135,NA,31.1,NA,3580,NA,14.86,60.31,Fundulea,Winter barley,1979-1980
COF 3466,NA,NA,146,NA,NA,NA,2790,5,NA,NA,Fundulea,Winter barley,1979-1980
COF 3468,NA,NA,133,NA,NA,NA,2530,5,NA,NA,Fundulea,Winter barley,1979-1980
COF 3471,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,Fundulea,Winter barley,1979-1980
COF 3478,NA,NA,133,NA,NA,NA,NA,4,NA,NA,Fundulea,Winter barley,1979-1980
COF 3510,NA,NA,140,NA,NA,NA,1820,9,NA,NA,Fundulea,Winter barley,1979-1980
COF 3511,NA,NA,141,NA,NA,NA,2530,8,NA,NA,Fundulea,Winter barley,1979-1980
COF 3512,NA,NA,145,NA,NA,NA,3300,4,NA,NA,Fundulea,Winter barley,1979-1980
COF 3513,NA,NA,139,NA,NA,NA,2290,5,NA,NA,Fundulea,Winter barley,1979-1980
COF 3682,NA,NA,135,NA,NA,NA,NA,3,NA,NA,Fundulea,Winter barley,1979-1980
COF 3841,NA,NA,136,NA,33.4,NA,3760,NA,13.65,60.6,Fundulea,Winter barley,1979-1980
COF 3841,NA,NA,136,NA,34.8,NA,3900,NA,14.58,57.68,Fundulea,Winter barley,1979-1980
COF 3841,NA,NA,136,NA,34.5,NA,4480,NA,15.81,55.49,Fundulea,Winter barley,1979-1980
COF 3841,NA,NA,138,NA,37.3,NA,3750,NA,NA,NA,Fundulea,Winter barley,1979-1980
COF 3863,NA,NA,136,NA,35.1,NA,4300,NA,14.93,58.9,Fundulea,Winter barley,1979-1980
COF 3863,NA,NA,137,NA,NA,NA,2500,1,NA,NA,Fundulea,Winter barley,1979-1980
COPF2041,NA,NA,141,NA,NA,NA,2050,7,NA,NA,Fundulea,Winter barley,1979-1980
COF 3044,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1980-1981
COF 3088,NA,NA,132,NA,37.7,NA,5150,NA,10.32,61.03,Fundulea,Winter barley,1980-1981
COF 3116,NA,NA,141,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1980-1981
COF 3117,NA,NA,139,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1980-1981
COF 3180,NA,NA,138,NA,38.8,NA,5210,NA,10.82,59.11,Fundulea,Winter barley,1980-1981
COF 3223,NA,NA,136,NA,34.1,NA,3600,NA,11.58,59.75,Fundulea,Winter barley,1980-1981
COF 3289,NA,NA,124,NA,46.5,NA,4690,NA,12.36,61.15,Fundulea,Winter barley,1980-1981
COF 3289,NA,NA,131,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1980-1981
COF 3291,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1980-1981
COF 3294,NA,NA,134,NA,36.3,NA,5700,NA,10.82,61.59,Fundulea,Winter barley,1980-1981
COF 3345,NA,NA,129,NA,34.2,NA,5040,NA,10.28,62.05,Fundulea,Winter barley,1980-1981
COF 3345,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1980-1981
COF 3348,NA,NA,131,NA,34.6,NA,4710,NA,10.8,61.54,Fundulea,Winter barley,1980-1981
COF 3348,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1980-1981
COF 3394,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1980-1981
COF 3394,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1980-1981
COF 3395,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1980-1981
COF 3466,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1980-1981
COF 3468,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1980-1981
COF 3500,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,Fundulea,Winter barley,1980-1981
COF 3511,NA,NA,136,NA,37.2,NA,4310,NA,11.32,61.56,Fundulea,Winter barley,1980-1981
COF 3512,NA,NA,137,NA,31.8,NA,4570,NA,11.58,59.08,Fundulea,Winter barley,1980-1981
