genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
COF 3186,130.71,NA,43.42
COF 3187,131.22,NA,42.26
COF 3188,129.81,NA,42.19
COF 3189,129.81,NA,43.62
COF 3190,132.24,NA,44.04
COF 3191,131.24,NA,45.36
COF 3192,131.73,NA,42.29
COF 3193,130.9,NA,43.98
COF 3194,131.73,NA,35.02
COF 3195,131.24,NA,43.61
COF 3196,131.49,NA,42.7
COF 3197,132.56,NA,42.38
COF 3198,129.26,NA,35.19
COF 3199,131.26,NA,39.38
COF 3200,130.73,NA,42.74
COF 3201,132.77,NA,40.53
COF 3202,130.17,NA,40.35
COF 3203,130.75,NA,40.92
COF 3204,130.93,NA,44.68
COF 3205,128.79,NA,35.81
COF 3206,131.73,NA,38.84
COF 3207,132.93,NA,39.27
COF 3208,131.24,NA,34.75
COF 3209,129.27,NA,36
COF 3210,131.82,NA,39.86
COF 3211,128.71,NA,35.09
COF 3212,129.2,NA,35.02
COF 3213,129.68,NA,37.33
COF 3214,132.66,NA,38.31
COF 3215,129.79,NA,41.12
COF 3216,133.64,NA,39.71
COF 3217,133.45,NA,39.71
COF 3218,130.69,NA,39.33
COF 3219,132.69,98.66,41.01
COF 3220,128.37,103.85,36.5
COF 3221,132.31,104.37,41.48
COF 3222,130.19,NA,41.31
COF 3223,131.56,NA,35.5
COF 3224,130.99,NA,38.67
COF 3225,131.73,NA,39.56
COF 3226,132.79,NA,40.21
COF 3227,130.85,NA,33.63
COF 3228,131.79,NA,42.43
COF 3229,133.22,NA,37.63
COF 3230,132.22,NA,40.22
COF 3231,131.93,110.85,35.23
COF 3232,131.36,NA,36.96
COF 3233,127.64,NA,35.61
COF 3234,132.68,NA,37.76
COF 3235,131.2,NA,41.2
COF 3236,132.83,NA,41.94
COF 3238,134.19,NA,39.08
COF 3239,134.48,NA,38.59
COF 3240,135.76,NA,35.72
COF 3241,131.38,99.1,41.99
COF 3242,131.13,NA,42.49
COF 3243,135.11,NA,39.62
COF 3244,131.71,NA,35.87
COF 3245,132.64,NA,39.4
COF 3246,130,NA,41.46
COF 3247,132.25,NA,38.62
COF 3248,132.05,NA,35.87
COF 3249,131.7,NA,37.11
COF 3250,131.73,NA,36.12
COF 3251,133.33,NA,38.64
COF 3252,131.49,NA,41.55
COF 3253,133.4,NA,37.41
COF 3254,132.22,NA,40.19
COF 3255,133.68,NA,36.68
COF 3256,131.73,NA,39.06
COF 3257,132.73,NA,42.26
COF 3258,134.17,NA,42.45
COF 3259,135.2,NA,39.53
COF 3260,133.15,NA,34.06
COF 3261,133.72,NA,38.25
COF 3262,131.47,NA,37.55
COF 3263,132.97,99.99,38.67
COF 3264,130.07,NA,40.83
COF 3265,133.26,97.99,40.05
COF 3266,125.69,104.85,35.56
COF 3267,132,109.57,39.76
COF 3268,132.35,NA,39.38
COF 3269,129.41,NA,38.33
COF 3270,128.18,NA,33.86
COF 3271,134.66,NA,38.8
COF 3272,NA,NA,33.61
COF 3273,NA,NA,43.62
COF 3274,131.85,NA,41.46
COF 3275,NA,NA,38.7
COF 3276,129.73,NA,38.06
COF 3277,130.71,NA,36.35
COF 3278,130.71,NA,45.56
COF 3279,132.13,NA,40.92
COF 3280,NA,NA,39.07
COF 3281,134.71,NA,37.09
COF 3282,132.74,NA,35.94
COF 3283,135.22,NA,37.53
COF 3284,132.77,86.67,38.19
COF 3285,134.62,NA,40.21
COF 3286,134.28,NA,38.14
COF 3287,133.74,89.56,36.45
COF 3288,134.68,NA,38.26
COF 3289,129.54,NA,43.95
COF 3290,135.17,NA,40.66
COF 3291,130.53,NA,37.84
COF 3292,130.58,NA,37.33
COF 3293,131.73,NA,37.66
COF 3294,131.66,NA,36.51
COF 3295,131.32,NA,35.9
COF 3296,132.26,NA,39.26
COF 3297,131.24,NA,37.19
COF 3298,134.73,NA,43.62
COF 3299,133.26,NA,40.3
COF 3300,132.77,NA,40.05
COF 3301,132.14,NA,40.78
COF 3302,131.42,NA,41.52
COF 3303,NA,NA,31.62
COF 3304,NA,NA,34.89
COF 3305,NA,NA,33.75
COF 3306,135.75,NA,44.07
COF 3307,NA,NA,35.42
COF 3308,NA,NA,37.62
COF 3309,129.75,NA,41.84
COF 3310,131,NA,42.77
COF 3311,NA,NA,42.79
COF 3312,133.22,NA,42.9
COF 3313,132.75,NA,46.84
COF 3314,131.03,NA,44.41
COF 3315,133.71,NA,43.49
COF 3316,132.73,NA,44.56
COF 3317,132.73,NA,37.55
COF 3318,132.5,NA,43.69
COF 3319,129.54,106.04,32.56
COF 3320,133.71,NA,44.82
COF 3321,134.2,NA,38.14
COF 3322,132.22,NA,35.95
COF 3323,132.22,NA,35.01
COF 3324,129.64,NA,35.02
COF 3325,132.14,NA,48.62
COF 3326,131.77,NA,42.71
COF 3327,132.74,NA,40.05
COF 3328,131.69,NA,37.17
COF 3329,130.55,NA,39.32
COF 3330,129.91,NA,41.69
COF 3331,128.54,NA,43.7
COF 3332,134.08,NA,44.19
COF 3333,130.52,105.05,36.75
COF 3334,130.85,NA,38.74
COF 3335,133.89,NA,41.97
COF 3336,134.09,90.29,38.06
COF 3337,132.96,94.99,42.67
COF 3338,128.77,102.79,34.57
COF 3339,133.18,NA,39.82
COF 3340,132.44,83.33,38.65
COF 3341,132.49,85.57,37.53
COF 3342,132.61,NA,39.22
COF 3343,132.31,NA,44.27
COF 3344,133.73,NA,40.49
COF 3345,128.6,NA,37.54
COF 3346,130.17,NA,39.43
COF 3347,132.88,NA,40.2
COF 3348,129.37,NA,37.44
COF 3349,127.24,NA,34.77
COF 3350,133.2,NA,40.26
COF 3351,132.81,NA,43.21
COF 3352,132.71,NA,43.51
COF 3353,132.24,NA,35.49
COF 3354,131.75,NA,39.24
COF 3355,130.98,NA,41.02
COF 3356,132.68,NA,37.65
COF 3357,133.73,NA,41.19
COF 3358,133.71,NA,46.14
COF 3359,131.71,NA,43.12
COF 3360,133.66,NA,40.13
COF 3361,132.22,NA,41.15
COF 3362,131.73,NA,46.75
COF 3363,133.24,NA,48.78
COF 3364,133.71,NA,44.04
COF 3365,134.22,NA,47.44
COF 3366,132.24,NA,41.24
COF 3367,131.75,NA,42.04
COF 3368,131.24,NA,40.94
COF 3369,132.24,NA,36.11
COF 3370,133.24,NA,41.1
COF 3372,132.35,NA,37.5
COF 3373,132.68,NA,41.44
COF 3374,133.16,NA,43.17
COF 3375,132.73,NA,40.93
COF 3376,131.73,NA,40.64
COF 3377,130.73,NA,45.41
COF 3378,133.72,NA,45.59
COF 3379,132.24,NA,47.9
COF 3380,131.28,NA,41.84
COF 3381,132.02,NA,39
COF 3382,133.22,NA,39.88
COF 3383,132.11,NA,37.55
COF 3384,132.73,NA,41.62
COF 3385,130.11,NA,40.98
COF 3386,133.06,NA,45.26
COF 3387,132.2,NA,38.76
COF 3388,131.98,NA,33.31
COF 3389,131.74,NA,42.8
COF 3390,133.23,NA,38.11
COF 3391,133.37,NA,40.16
COF 3392,135.25,NA,41.3
COF 3393,130.61,NA,39.38
COF 3394,129.09,NA,37.31
COF 3395,130.12,NA,38.03
COF 3396,131.62,NA,39.71
COF 3397,132.71,NA,37.58
COF 3398,132.16,NA,39.77
COF 3399,132.68,NA,40.92
COF 3400,132.17,NA,39.58
