genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
4140,159.81,155.76,36.97
4141,156.27,138.46,41.03
4142,152.62,144.33,46.5
4143,157.54,142.56,37.71
4144,155.6,143.19,47.94
4145,153.9,133.12,34.65
4146,155.08,144.49,42.42
4147,154.73,142.07,41.1
4148,154.01,140.23,47.07
4149,151.83,138.33,50.9
4150,153.69,148.35,43.76
4151,156.54,146.57,47.74
4152,154.81,137.89,45.64
4153,155.1,146.88,47.4
4154,156.09,145.24,44.34
4155,160.13,147.09,48.19
4156,154.97,139.62,45.1
4157,153.21,149.14,NA
4158,159.56,147.21,40.76
4159,151.63,144.34,44.15
4160,155.95,142.17,42.85
4161,154.44,147.31,48.3
4162,155.02,145.2,40.45
4163,153.5,139.33,42.11
4164,155.02,142.67,44.27
4165,154.54,131.82,38.74
4166,153.22,140.55,48.1
4167,154.13,143.31,41.92
4168,154.18,137.19,42.69
4169,154.86,148.67,49.15
4170,153.25,140.05,46.47
4171,160.04,137.83,38.91
4172,159.35,143.39,41.73
4173,155.15,137.2,40.99
4174,156.23,127.5,42.09
4175,154.1,144.8,46.41
4176,156.8,156.66,NA
4177,151.98,152.25,NA
4178,159.43,138.05,37.35
4179,153.89,153.44,NA
4180,153.56,144.78,48.32
4181,153.03,145.11,43.34
4182,153.89,139.81,41.4
4183,155.23,147.52,48.21
4184,153.77,146.94,NA
4185,153.86,135.16,46.44
4186,157.62,154.54,38.29
4188,159.16,123.63,NA
4189,151.84,149.7,NA
4190,157.48,154.33,NA
4191,151.82,151.56,NA
4192,152.12,146.95,NA
4193,159.73,149.48,NA
4194,146.73,154,NA
4195,148.6,116.06,NA
4196,152.93,154.32,NA
4197,148.47,151.5,NA
4198,148.37,147.98,NA
4199,151.42,144.26,NA
4200,150.65,147.25,NA
4201,151.22,144.16,NA
4202,148.52,146.28,NA
4203,154.75,151.99,NA
4204,149.74,151.88,NA
4205,158.99,94.58,NA
4206,149.87,159.05,NA
4207,151.66,156.82,NA
4208,151.67,143.74,NA
4210,149.95,156.48,NA
4211,152.78,147.02,NA
4212,151.29,144.1,NA
4213,150.25,139.76,NA
4214,157.22,136.25,NA
4215,155.14,140.62,NA
4216,154.96,136.57,NA
4217,155.67,163.54,NA
4218,156.33,138.54,NA
4219,154.57,153.71,NA
4221,150.66,125.28,NA
4222,151.57,139.32,NA
4223,152.38,143.62,NA
4224,154.19,134.92,NA
4225,152.45,114.24,NA
4226,158.98,141.62,NA
4227,148.18,130.47,NA
4228,154.42,143.26,NA
4229,151.53,140.12,NA
4230,151.37,143.02,NA
4231,155.74,159.1,NA
4232,152.74,143.71,NA
4233,157.63,144.95,NA
4234,154.69,152.42,NA
4235,155.64,119.33,NA
4236,154.47,150.35,NA
4237,153.14,144.11,NA
4238,151.14,136.62,NA
4239,153.25,149.45,NA
4240,150.61,159.76,NA
4241,151.24,160.26,NA
4242,153.95,159.36,NA
4243,153.22,140.93,NA
4244,150.86,159.69,NA
4245,154.99,140.35,NA
4246,152.11,161.84,NA
4247,151.91,157.25,NA
4248,152.64,140.23,NA
4249,154.59,148.81,NA
4250,151.79,144.39,NA
4251,151.55,152.65,NA
4252,152.17,147.82,NA
4253,153.92,173.01,NA
4254,145.6,91.25,NA
4255,151.22,171.13,NA
4256,152.45,171.01,NA
4257,147.54,146.39,NA
4258,151.08,149.58,NA
4259,150.16,169.01,NA
4260,152.4,164.09,NA
4262,151.69,150.94,NA
4263,155.05,165.46,NA
4264,151.15,162.29,NA
4266,154.63,132.87,NA
4267,158.64,133.06,NA
4268,150.57,113.83,NA
4270,147.59,128.07,NA
4271,151.69,129.62,NA
4272,156.63,145.57,NA
4279,NA,NA,NA
4319,159.93,128.17,NA
4321,150.69,129.92,NA
4322,149.19,137.42,NA
4324,155.19,132.42,NA
4325,141.69,147.42,NA
4327,142.69,127.42,NA
4328,NA,NA,NA
4329,152.69,144.92,NA
4330,149.19,154.92,NA
4331,155.69,137.42,NA
4332,152.69,167.42,NA
4334,NA,134.92,NA
4335,140.19,NA,NA
4337,NA,NA,NA
4338,NA,NA,NA
4340,NA,NA,NA
4341,NA,NA,NA
4342,NA,NA,NA
4343,NA,NA,NA
4346,146.19,119.92,NA
4348,150.19,NA,NA
4350,164.1,134.47,NA
4352,NA,NA,NA
4353,151.19,159.92,NA
4356,142.69,127.42,NA
4357,150.69,NA,NA
4359,141.69,142.42,NA
4360,150.69,139.92,NA
4361,156.34,114.81,NA
4363,157.02,116.29,NA
4364,140.19,137.42,NA
4365,144.19,134.92,NA
4366,154.19,NA,NA
4367,148.69,164.92,NA
4368,153.69,157.42,NA
4369,154.19,157.42,NA
4370,167,121.46,NA
4371,168.38,142.31,NA
4373,NA,NA,NA
4374,160.9,148.77,NA
4375,146.69,147.42,NA
4376,147.19,159.92,NA
4378,166.09,130.88,NA
4380,149.69,152.42,NA
4385,144.69,137.42,NA
4386,151.19,NA,NA
4387,153.19,157.42,NA
4389,153.19,157.42,NA
4392,156.19,157.42,NA
4394,144.19,152.42,NA
4395,142.19,134.92,NA
4396,143.69,137.42,NA
4397,NA,NA,NA
4398,141.69,122.42,NA
4400,157.37,122.11,NA
4401,142.19,129.92,NA
4402,154.69,154.92,NA
4403,162.19,144.92,NA
4405,142.19,142.42,NA
4407,159.15,131.85,NA
4409,157.19,144.92,NA
4410,146.19,144.92,NA
4411,149.69,144.92,NA
4415,134.19,124.92,NA
4416,149.41,108.16,NA
4417,139.69,129.92,NA
4419,140.19,122.42,NA
4420,133.19,NA,NA
4421,155.51,123.18,NA
4422,151.69,154.92,NA
4425,139.69,NA,NA
4428,151.69,157.42,NA
4430,155.19,132.42,NA
446,159.62,128.81,NA
4503,NA,NA,NA
4506,NA,NA,NA
4508,NA,NA,NA
4543,NA,NA,NA
4558,NA,NA,NA
4563,157.48,111.52,NA
4568,NA,NA,NA
4573,NA,NA,NA
4579,154.69,NA,NA
4618,NA,NA,NA
4628,NA,NA,NA
4638,NA,NA,NA
4648,NA,NA,NA
4658,NA,NA,NA
4668,NA,NA,NA
4670,NA,108.6,NA
4689,146.19,99.92,NA
4728,NA,NA,NA
4758,NA,NA,NA
4778,NA,NA,NA
4780,NA,NA,NA
4782,149.89,106.84,NA
4788,NA,NA,NA
4798,NA,NA,NA
4808,NA,NA,NA
4818,NA,NA,NA
4898,NA,NA,NA
4906,NA,NA,NA
4907,NA,NA,NA
4908,NA,NA,NA
4909,NA,NA,NA
4926,NA,NA,NA
4928,NA,NA,NA
4938,NA,NA,NA
4948,NA,NA,NA
4968,NA,NA,NA
4978,NA,NA,NA
4998,NA,NA,NA
5008,NA,NA,NA
5018,NA,NA,NA
5028,NA,NA,NA
5038,NA,NA,NA
5065,NA,NA,NA
5066,NA,NA,NA
5068,NA,NA,NA
5076,NA,NA,NA
5077,NA,NA,NA
5078,NA,NA,NA
5086,NA,NA,NA
5088,NA,NA,NA
5096,NA,NA,NA
5098,NA,NA,NA
5103,NA,NA,NA
5106,NA,NA,NA
5116,NA,NA,NA
5118,NA,NA,NA
5128,153.93,98.8,NA
5136,NA,NA,NA
5206,NA,NA,NA
5217,NA,NA,NA
5218,NA,NA,NA
5228,NA,NA,NA
5229,NA,NA,NA
5246,NA,NA,NA
5248,NA,NA,NA
5254,153.08,98.8,NA
5258,NA,NA,NA
5266,NA,NA,NA
5268,NA,NA,NA
5276,NA,NA,NA
5277,NA,NA,NA
5278,NA,NA,NA
5286,NA,NA,NA
5288,NA,NA,NA
5296,NA,NA,NA
5304,NA,NA,NA
5306,NA,NA,NA
5308,NA,NA,NA
5323,NA,NA,NA
5329,139.69,NA,NA
5358,NA,NA,NA
5389,NA,NA,NA
5420,NA,NA,NA
5437,NA,NA,NA
5452,NA,NA,NA
5519,NA,NA,NA
5522,NA,NA,NA
5536,NA,NA,NA
5537,NA,NA,NA
5539,NA,NA,NA
5540,NA,NA,NA
5541,NA,NA,NA
5543,NA,NA,NA
5546,NA,NA,NA
5548,NA,NA,NA
5551,NA,NA,NA
5552,NA,NA,NA
5591,155.48,106.03,44.38
5596,NA,NA,NA
5646,166.58,84.61,37.76
5672,NA,NA,NA
5714,NA,NA,NA
5729,NA,NA,NA
5764,145.47,83.06,NA
5777,154.4,87.04,NA
5823,139.69,89.92,NA
5825,149.19,87.42,NA
5976,NA,NA,NA
6009,NA,NA,NA
6013,NA,NA,NA
6025,150.09,90.09,40.06
6065,NA,NA,NA
6069,NA,NA,NA
6070,NA,NA,NA
6074,154.73,99.23,37.27
6184,NA,NA,NA
6191,155.83,90.71,47.03
6213,153.34,91.14,35.8
6237,151.33,94.54,42.08
6287,150.18,86.59,38.26
6351,NA,NA,NA
6356,NA,NA,NA
6376,NA,NA,NA
6396,NA,NA,NA
640,148.56,123.61,48.27
6400,NA,NA,NA
6401,NA,NA,NA
6436,NA,NA,NA
6438,NA,NA,NA
6439,NA,NA,NA
6441,NA,NA,NA
6451,NA,NA,NA
6456,152.4,93.34,35.95
6460,NA,NA,NA
6469,153.1,92.41,41.43
6492,NA,NA,NA
6519,NA,NA,NA
6526,166.71,96.07,36.46
6542,NA,NA,NA
6551,152.32,101.13,38.02
6563,153.8,94.18,39.06
6587,158.06,99.79,38.73
6589,NA,NA,NA
6603,149.14,91.59,40.91
6647,NA,NA,NA
6691,NA,NA,NA
6699,152.07,85.49,44.86
6702,NA,NA,NA
6713,NA,NA,NA
6720,NA,NA,NA
6737,NA,NA,NA
6739,NA,NA,NA
6740,NA,NA,NA
6751,NA,NA,NA
6756,154.62,93.59,39.41
6781,166.7,87.61,36.36
6800,164.2,91.39,34.01
6803,163.89,86.29,39.04
6822,NA,NA,NA
6823,NA,NA,NA
6824,NA,NA,NA
6845,161.2,91.61,41.37
6847,168.33,97.61,39.49
6847 (=6302),NA,NA,NA
6848,165.94,81.58,36.1
6849,153.13,94.86,41.86
6850,151.82,84.25,45.15
6852,NA,NA,NA
6857,162.25,90.2,40.52
6860,NA,NA,NA
6866,NA,NA,NA
6867,NA,NA,NA
6871,NA,NA,NA
6872,NA,NA,NA
6880,NA,NA,NA
6880 (=7114),NA,NA,NA
6882,154.89,82.75,39.5
6906,151.65,87.71,39.42
6951,157.93,84.59,37.97
7067,165.01,87.72,38.44
