genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE,leaf_rust_BLUE,septoria_tritici_ssp_BLUE,protein_content_BLUE,sds_sedimentation_volume_BLUE
TA00102,122.22,99,42.96,2.37,3.31,NA,NA
TA00103,135.85,107.86,45.7,NA,NA,NA,NA
TA00104,132.69,121.76,46.48,NA,NA,NA,NA
TA00105,135.17,122.57,53.75,NA,NA,NA,NA
TA00106,126.36,63.38,NA,NA,NA,NA,NA
TA00107,NA,NA,NA,NA,NA,NA,NA
TA00108,124.85,80.32,35.25,3.48,3.08,NA,NA
TA00109,126.48,81.93,NA,3.19,3.31,NA,NA
TA00110,124.35,111.64,43.98,-0.41,3.08,NA,NA
TA00111,135.33,129.46,43.47,3.74,3.08,NA,NA
TA00112,115.97,84.13,36.67,2.76,3.49,17.79,41.35
TA00113,118.14,86.9,NA,2.36,3.31,NA,NA
TA00114,121.4,104.17,41.25,3.61,3.31,NA,NA
TA00115,129.85,91.7,47.48,2.36,3.08,NA,NA
TA00116,133.05,109.65,46.01,0.98,2.86,NA,NA
TA00117,129.66,85.34,33.01,0.49,3.08,NA,NA
TA00118,122.65,69.27,33.04,0.66,3.23,14.07,42.88
TA00119,122.53,89.7,45.78,2.62,3.12,14.57,48.06
TA00120,142.16,100.2,38.7,NA,NA,NA,NA
TA00121,133.29,71.55,39.51,2.36,3.08,NA,NA
TA00122,126.01,58.79,36.46,3.06,3.19,13.64,51.27
TA00123,122.4,106.71,39.26,1.74,2.86,NA,NA
TA00124,128.1,98.34,40.5,2.36,3.08,NA,NA
TA00125,131.44,85.49,33.29,3.74,3.31,NA,NA
TA00126,123.75,92.71,29.96,2.98,3.31,NA,NA
TA00127,126.41,91.98,39.24,2.34,3.31,NA,NA
TA00128,118.82,73.64,27.24,NA,NA,NA,NA
TA00129,NA,76.11,NA,NA,NA,NA,NA
TA00130,126.15,107.3,34.74,-0.26,3.08,NA,NA
TA00131,123.76,97.1,NA,4.36,3.54,NA,NA
TA00132,120.44,104.06,45.19,1.82,3.57,14.02,37.28
TA00133,136.67,133.68,NA,0.07,NA,NA,NA
TA00134,137.36,135.63,41.33,1.7,2.78,15.48,38.95
TA00135,134.72,128.23,43.03,3.37,2.9,13.28,40.61
TA00136,135.28,136.23,NA,-0.41,2.86,NA,NA
TA00137,134.92,134.19,NA,-0.26,2.86,NA,NA
TA00138,122.47,104.99,46.7,3.05,3.31,NA,NA
TA00139,134.28,134.55,47.34,2.22,2.89,15.67,40.4
TA00140,131.93,124.15,45.53,2.61,3.03,15.21,42.65
TA00141,131.94,130.03,50.04,3.03,3.06,15.55,37.17
TA00142,121.66,60.86,36.58,3.51,3.23,13.68,48.88
TA00143,136.46,62.89,39.75,3.74,2.86,NA,NA
TA00144,123.88,57.41,33.21,2.36,3.31,NA,NA
TA00145,124.23,66.94,41.1,3.11,3.54,13.46,51.48
TA00146,125.18,85.77,37.46,NA,NA,NA,NA
TA00147,125.28,85.47,33.73,NA,NA,NA,NA
TA00148,123.54,85.92,39.47,1.89,NA,NA,NA
TA00149,121.81,98.27,33.49,0.1,NA,NA,NA
TA00150,123.33,101.29,36.25,NA,NA,NA,NA
TA00151,125.6,98.68,37.74,NA,NA,NA,NA
TA00152,NA,NA,NA,NA,NA,NA,NA
TA00153,127.13,62.17,40.69,1.93,3.84,13.55,52.56
TA00154,121.4,99.02,NA,3.74,3.31,NA,NA
TA00155,126.67,106.18,44.22,2.98,3.31,NA,NA
TA00156,125.18,95.14,40.25,4.86,3.31,NA,NA
TA00157,NA,NA,NA,NA,NA,NA,NA
TA00158,126.74,64.65,38,2.88,2.66,12.91,41.91
TA00159,127.3,57.79,34.81,3.94,2.48,14.49,55.29
TA00160,120.5,92.41,41.26,3.74,3.31,NA,NA
TA00161,124.27,66.99,40.52,2.95,3.31,NA,NA
TA00162,126.19,75.4,40.72,1.54,3.08,NA,NA
TA00163,139.07,102.91,41.01,NA,NA,NA,NA
TA00164,NA,98.63,NA,NA,NA,NA,NA
TA00165,120.33,68.47,45.1,4.47,3.49,14.92,53.5
TA00166,130.08,104.67,37.71,2.34,NA,NA,NA
TA00167,NA,119.43,NA,NA,NA,NA,NA
TA00168,134.6,115.49,38.75,1.87,3.08,NA,NA
TA00169,118.05,101.27,NA,3.05,3.31,NA,NA
TA00170,128.23,120.19,37.49,NA,NA,NA,NA
TA00171,125.36,60.38,NA,NA,NA,NA,NA
TA00172,123.75,97.59,41.49,2.36,3.31,NA,NA
TA00173,132.71,120.51,34.25,3.11,3.08,NA,NA
TA00174,123.01,101.05,45.5,2.98,3.31,NA,NA
TA00175,129.44,125.67,52.81,1.88,2.9,15.7,36.37
TA00176,128.56,121.15,NA,1.87,3.08,NA,NA
TA00177,126.51,59.24,39.73,2.98,3.08,NA,NA
TA00178,130.86,122.67,44.23,0.94,2.86,NA,NA
TA00179,129.32,114.3,50,1.76,3.08,NA,NA
TA00180,123.4,76.07,29.23,2.36,3.08,NA,NA
TA00181,123.84,109.36,47.97,1.61,3.08,NA,NA
TA00182,132.77,110.6,34.49,5.27,3.31,NA,NA
TA00183,NA,131.28,NA,NA,NA,NA,NA
TA00184,130.14,120.33,56.21,4.02,3.08,NA,NA
TA00185,135.67,121.12,43.48,1.66,2.86,NA,NA
TA00186,NA,98.35,NA,NA,NA,NA,NA
TA00187,129.48,85.23,44.03,NA,NA,NA,NA
TA00188,130,75.62,41.22,3.11,3.08,NA,NA
TA00189,132.43,80.46,38.52,NA,NA,NA,NA
TA00190,139.87,106.72,30,2.42,2.86,NA,NA
TA00191,128.14,66.12,NA,NA,NA,NA,NA
TA00192,131.18,127.94,48.19,3.01,2.38,14.04,45.53
TA00193,121.07,85.28,41.31,3,3.39,14.8,38.95
TA00194,124.92,121.42,47.98,NA,NA,NA,NA
TA00195,122.61,79.93,40.98,2.3,3.31,NA,NA
TA00196,141.13,121.53,36.35,2.72,2.73,14.69,34.52
TA00197,137.19,125.87,38.75,2.49,3.08,NA,NA
TA00198,124.62,93.3,39.79,2.51,3.33,14.39,25.93
TA00199,123.26,110.44,46.22,5.61,4.86,NA,NA
TA00200,123.48,59.53,39.07,3.8,2.93,14.11,51.5
TA00201,131.91,119.85,50.73,2.49,2.86,NA,NA
TA00202,129.75,78.31,NA,NA,NA,NA,NA
TA00203,124.6,97.1,39.01,1.65,NA,NA,NA
TA00204,124.56,92.99,40.98,2.12,3.31,NA,NA
TA00205,134.01,127.3,48.73,3.12,3.08,NA,NA
TA00206,133.04,125.84,NA,2.37,4.63,NA,NA
TA00207,133.81,128.48,NA,2.94,4.4,NA,NA
TA00208,127.64,65.21,36.98,1.74,3.08,NA,NA
TA00209,124.1,62.95,40.25,2.36,3.08,NA,NA
TA00210,120.5,79.21,42.72,2.79,3.08,16.05,39.71
TA00211,117.44,105.34,36.85,2.7,3.05,17.1,61.43
TA00212,123.6,67.41,37.04,2.46,3.23,13.94,47.25
TA00213,130.86,120.96,49.25,2.19,3.08,NA,NA
TA00214,129.67,122.18,NA,2.41,3.08,NA,NA
TA00215,125.07,90.3,42,3.61,3.31,NA,NA
TA00216,128.29,78.04,41.25,3.37,3.08,NA,NA
TA00217,134.05,96.68,NA,1.87,2.86,NA,NA
TA00218,132.94,114.01,32.01,2.23,2.86,NA,NA
TA00219,125.53,113.84,NA,-0.26,3.08,NA,NA
TA00220,128.75,111.97,34.5,1.74,2.86,NA,NA
TA00221,121.54,63.38,39.48,3.63,4.32,13.66,48.04
TA00222,125.82,69.69,39.22,2.42,4.85,14,48.11
TA00223,130.09,70.12,NA,NA,NA,NA,NA
TA00224,129.04,119.39,49.99,2.52,2.86,NA,NA
TA00225,131.16,128.25,63.64,0.94,2.62,15.85,40.16
TA00226,131.75,131.23,68.12,1.15,2.96,16.21,40.04
TA00227,123.7,100.85,42.62,3.26,3.54,14.22,49.83
TA00228,129.75,134.22,53.18,1.77,2.83,15.54,45.68
TA00229,132.77,128.83,44.65,1.24,3.36,15.46,33.63
TA00230,132.59,133.17,48.78,0.91,2.6,14.4,38.06
TA00231,132.12,135.88,47.88,1.57,2.38,14.92,40.53
TA00232,128.62,77.51,47.77,2.36,3.08,NA,NA
TA00233,121.53,81.5,NA,3.74,3.54,NA,NA
TA00234,NA,78.4,NA,NA,NA,NA,NA
TA00235,NA,86.67,NA,NA,NA,NA,NA
TA00236,131.7,117.36,NA,3.61,2.86,NA,NA
TA00237,122.47,80.52,34.48,3.74,3.31,NA,NA
TA00238,137.19,118.24,NA,-0.13,2.86,NA,NA
TA00239,118.07,103.48,43.13,3.08,3.34,15.93,34.52
TA00240,120.05,108.39,44.04,3.39,3.19,15.82,36.16
TA00241,128.01,114.7,NA,2.84,3.31,NA,NA
TA00242,124.17,95.13,40.25,2.49,3.08,NA,NA
TA00243,131.45,119.55,43.01,2.49,3.08,NA,NA
TA00244,126.6,62.4,33.49,3.74,3.31,NA,NA
TA00245,122.43,62.08,35.25,0.98,4.63,NA,NA
TA00246,126.65,64.37,30.25,1.11,2.86,NA,NA
TA00247,122.7,75.79,NA,1.11,2.86,NA,NA
TA00248,132.57,114.73,39.22,0.59,2.86,NA,NA
TA00249,140.25,110.59,34.8,0.69,2.63,NA,NA
TA00250,NA,NA,NA,NA,NA,NA,NA
TA00251,127.3,75.37,39,0.98,3.08,NA,NA
TA00252,126.02,75.5,39.24,3.11,3.08,NA,NA
TA00253,137.53,124.36,NA,0.98,2.63,NA,NA
TA00254,NA,71.38,NA,NA,NA,NA,NA
TA00255,135.67,119.92,46.49,3.11,2.86,NA,NA
TA00256,123.04,72.33,40.2,2.52,3.03,13.76,41.68
TA00257,120.09,82.43,NA,2.49,3.08,NA,NA
TA00258,123.6,57.52,30.52,3.11,2.86,NA,NA
TA00259,121.77,90.04,51.24,2.36,2.86,NA,NA
TA00260,128.14,63.99,NA,1.74,2.63,NA,NA
TA00261,NA,NA,NA,NA,NA,NA,NA
TA00262,118.45,92.32,NA,NA,NA,NA,NA
TA00263,126.57,73.14,37.22,2.36,2.86,NA,NA
TA00264,121.26,74.63,NA,2.36,1.94,NA,NA
TA00265,121.69,73.74,44.51,1.61,2.86,NA,NA
