genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE,leaf_rust_BLUE,septoria_tritici_ssp_BLUE,protein_content_BLUE,sds_sedimentation_volume_BLUE
TA00453,133.06,127.51,NA,1.79,NA,NA,NA
TA00454,132.7,135.62,50.62,2.55,2.93,15.89,43.5
TA00455,130.61,125.97,50.99,1.63,2.78,16.08,51.99
TA00456,133.26,114.26,NA,NA,NA,NA,NA
TA00457,NA,NA,NA,NA,NA,NA,NA
TA00458,132.45,122.5,NA,2.11,NA,NA,NA
TA00459,133.07,116.19,NA,NA,NA,NA,NA
TA00460,133.07,122.83,NA,NA,NA,NA,NA
TA00461,133.66,129.76,NA,NA,NA,NA,NA
TA00462,121.82,100.72,47.47,0.83,NA,NA,NA
TA00463,132.51,69.44,NA,0.83,NA,NA,NA
TA00464,126.28,66.86,40.51,3.14,3.1,14.02,42.55
TA00465,128.04,67.61,45.77,1.35,NA,NA,NA
TA00466,128.66,66.82,NA,3.38,NA,NA,NA
TA00467,124.95,72.42,41.24,2.11,NA,NA,NA
TA00468,122.6,70.37,34.99,0.83,NA,NA,NA
TA00469,120.84,72.81,32.49,NA,NA,NA,NA
TA00470,123.06,82.47,NA,2.79,NA,NA,NA
TA00471,120.74,73.98,NA,6.82,NA,NA,NA
TA00472,121.88,74.72,NA,2.9,NA,NA,NA
TA00473,121.61,66.69,40.24,2.11,NA,NA,NA
TA00474,120.81,67.04,42.8,3.13,3.11,16.01,49.96
TA00475,122.26,95.76,NA,NA,NA,NA,NA
TA00476,123.15,65.92,NA,2.11,NA,NA,NA
TA00477,119.98,48.41,33.79,1.9,4.03,15.79,51.99
TA00478,125.64,73.41,NA,0.83,NA,NA,NA
TA00479,137.26,92.33,NA,NA,NA,NA,NA
TA00480,124.53,68.58,NA,0.83,NA,NA,NA
TA00481,122.94,94.62,NA,2.11,NA,NA,NA
TA00482,127.15,63.74,NA,0.83,NA,NA,NA
TA00483,135.14,119.3,NA,3.89,NA,NA,NA
TA00484,135.3,122.5,NA,1.35,NA,NA,NA
TA00485,131.92,121.94,52.46,0.93,NA,NA,NA
TA00486,134.06,124.11,58.51,2.11,NA,NA,NA
TA00487,125.37,54.79,34.24,1.35,NA,NA,NA
TA00488,138.98,121,NA,3.19,NA,NA,NA
TA00489,133.27,130.84,47.49,0.93,NA,NA,NA
TA00490,121.74,81.14,41.83,1.77,3.02,14.88,49.32
TA00491,136.51,106.89,36.26,2.37,NA,NA,NA
TA00492,134,112.58,NA,1.24,NA,NA,NA
TA00493,132.64,107.74,39.75,1.76,3.37,14.17,42.23
TA00494,125.06,73.57,NA,NA,NA,NA,NA
TA00495,128.26,67.95,NA,NA,NA,NA,NA
TA00496,124.61,81.41,45.24,1.91,NA,NA,NA
TA00497,130.01,55.59,29.26,0.8,NA,NA,NA
TA00498,129.31,59.63,42,1.35,NA,NA,NA
TA00499,119.87,75.27,NA,NA,NA,NA,NA
TA00500,123.3,84.07,49.25,NA,NA,NA,NA
TA00501,123.19,83.78,43.77,NA,NA,NA,NA
TA00502,120.97,75.82,NA,1.91,NA,NA,NA
TA00503,123,74.99,32.26,2.9,NA,NA,NA
TA00504,121.92,72.29,31.74,NA,NA,NA,NA
TA00505,121.79,86.2,41.78,NA,NA,NA,NA
TA00506,117.86,77.07,49.78,NA,NA,NA,NA
TA00507,124.38,85.78,NA,1.24,NA,NA,NA
TA00508,139.37,115,34.73,NA,NA,NA,NA
TA00509,126.49,91.78,45.22,NA,NA,NA,NA
TA00510,134.47,102.83,41,NA,NA,NA,NA
TA00511,135.94,105.33,40.76,NA,NA,NA,NA
TA00512,134.5,98.88,32.26,NA,NA,NA,NA
TA00513,130.61,103.64,47.74,NA,NA,NA,NA
TA00514,121.65,97.5,36.24,NA,NA,NA,NA
TA00515,120.14,86.23,37.99,NA,NA,NA,NA
TA00516,138.33,113.64,NA,NA,NA,NA,NA
TA00517,136.31,101.4,NA,NA,NA,NA,NA
TA00518,124.06,82.64,NA,0.83,NA,NA,NA
TA00519,122.1,74,NA,2.9,NA,NA,NA
TA00520,125.92,78.56,NA,3.03,NA,NA,NA
TA00521,133.48,127.65,49.01,1.93,NA,NA,NA
TA00522,127.41,63.8,NA,0.83,NA,NA,NA
TA00523,125.26,66.98,NA,2.11,NA,NA,NA
TA00524,128.7,81.37,38.25,2.11,NA,NA,NA
TA00525,122.57,65.89,35.49,0.83,NA,NA,NA
TA00526,133.5,96.75,NA,4.47,NA,NA,NA
TA00527,138.88,106.59,47.25,7.47,NA,NA,NA
TA00528,120.51,86.72,36.33,3.07,3.01,15.35,54.35
TA00529,NA,NA,NA,NA,NA,NA,NA
TA00530,123.7,85.7,NA,4.83,NA,NA,NA
TA00531,122.42,71.68,37.62,2.72,3.3,15.03,50
TA00532,134.39,106.42,NA,5.92,NA,NA,NA
TA00533,135.66,123.25,45.21,1.23,2.63,15.44,43.61
TA00534,133.49,133.42,45.42,2.83,2.98,15.43,32.17
TA00535,135.84,118.51,46.95,0.8,3.02,14.44,39.65
TA00536,133.68,130.77,43.86,1.63,3.34,15.5,40.8
TA00537,122.01,80.67,43.84,3.39,3.64,15.66,42.67
TA00538,133.23,129.36,44.25,0.38,3.02,15.6,31.3
TA00539,136.17,118.28,49.32,1.32,3.28,14.49,43.62
TA00540,137.6,115.7,51.87,0.21,2.75,14.32,36.62
TA00541,137.57,112.21,42.23,1.48,2.84,14.08,37.22
TA00542,126.86,59.76,NA,2.11,NA,NA,NA
TA00543,123.87,64.51,NA,2.11,NA,NA,NA
TA00544,131.3,81.03,NA,1.68,NA,NA,NA
TA00545,122.25,65.71,39.77,2.81,3.19,13.5,50.12
TA00546,125.34,80.03,NA,2.11,NA,NA,NA
TA00549,128.44,69.1,41.49,2.27,2.96,12.27,44.91
TA00550,126.66,73.32,NA,NA,NA,NA,NA
TA00551,118.87,71.88,NA,NA,NA,NA,NA
TA00552,127.26,80.83,NA,3.38,NA,NA,NA
TA00553,123.7,82.67,NA,2.11,NA,NA,NA
TA00554,124.57,83.37,NA,3.38,NA,NA,NA
TA00555,131.96,100.62,NA,2.11,NA,NA,NA
TA00556,120.39,73.78,NA,5.29,NA,NA,NA
TA00557,120.04,93.39,NA,3.38,NA,NA,NA
TA00558,127.29,108.03,NA,NA,NA,NA,NA
TA00559,121.58,94.83,NA,NA,NA,NA,NA
TA00560,123.77,82.63,NA,5.29,NA,NA,NA
TA00561,127.22,113.88,NA,6.75,NA,NA,NA
TA00562,124.46,79.61,NA,3.29,NA,NA,NA
TA00563,123.77,81.16,NA,6.75,NA,NA,NA
TA00564,125.71,76.68,NA,2.37,NA,NA,NA
TA00565,124.44,103.89,NA,3.75,NA,NA,NA
TA00566,125.21,100.62,NA,5.83,NA,NA,NA
TA00567,126.71,97.96,NA,3.89,NA,NA,NA
TA00568,127.78,102.96,NA,2.37,NA,NA,NA
TA00569,119.33,66.19,NA,NA,NA,NA,NA
TA00570,135.94,130.44,NA,NA,NA,NA,NA
TA00571,134.96,111.66,NA,NA,NA,NA,NA
TA00572,NA,NA,NA,NA,NA,NA,NA
TA00573,132.16,117.9,NA,3.29,NA,NA,NA
TA00574,135.32,94.52,NA,NA,NA,NA,NA
TA00575,135.32,98.39,NA,NA,NA,NA,NA
TA00576,126.31,64.79,NA,NA,NA,NA,NA
TA00577,125.22,69.5,NA,NA,NA,NA,NA
TA00578,121.58,56.57,NA,NA,NA,NA,NA
TA00579,121.58,65.97,NA,NA,NA,NA,NA
TA00580,125.25,60.19,23.8,NA,NA,NA,NA
TA00581,124.98,65.66,NA,NA,NA,NA,NA
TA00582,127.87,58.23,NA,NA,NA,NA,NA
TA00583,132.17,73.77,NA,NA,NA,NA,NA
TA00584,122.51,92.42,NA,NA,NA,NA,NA
TA00585,122.58,91.01,NA,NA,NA,NA,NA
TA00586,122.96,91.41,40.46,3.15,2.99,13.46,38.8
TA00587,124.12,81.83,NA,2.37,NA,NA,NA
TA00588,122.04,70.86,38.62,1.7,3.38,13.29,44.93
TA00589,122.58,86.5,NA,NA,NA,NA,NA
TA00590,125.66,80.93,NA,NA,NA,NA,NA
TA00591,122.12,66.15,42.02,2.68,3.15,13.49,46.88
TA00592,124.19,69.26,NA,NA,NA,NA,NA
TA00593,NA,NA,NA,NA,NA,NA,NA
TA00594,121.13,87.2,41.01,3.78,2.93,13.52,25.04
TA00595,123.73,63.85,34.34,1.42,3.65,14.5,46.07
TA00596,125.99,89.07,43.62,1.21,3.08,15.8,40.83
TA00597,120.86,63.38,NA,5.29,NA,NA,NA
TA00598,121.03,85.61,43.12,0.24,2.84,16.88,52.45
TA00599,124.57,88.8,46.85,3.96,3.13,15.21,50.23
TA00600,124.85,93.56,35.29,0.88,3.19,15.11,38.5
TA00601,NA,NA,NA,NA,NA,NA,NA
TA00602,122.71,93.08,NA,NA,NA,NA,NA
TA00604,126.03,84.72,NA,NA,NA,NA,NA
TA00605,130.47,97.25,NA,NA,NA,NA,NA
TA00606,115.76,84.26,NA,NA,NA,NA,NA
TA00607,122.77,62.13,NA,NA,NA,NA,NA
TA00608,NA,NA,NA,NA,NA,NA,NA
TA00609,NA,NA,NA,NA,NA,NA,NA
TA00610,122.71,61.56,NA,1.62,NA,NA,NA
TA00611,119.02,77.13,NA,NA,NA,NA,NA
TA00612,123.14,71.66,NA,NA,NA,NA,NA
TA00613,123.76,76.88,NA,3.29,NA,NA,NA
TA00614,125.95,61.39,NA,3.29,NA,NA,NA
TA00615,130.93,58.14,NA,5.83,NA,NA,NA
TA00616,123.21,73.01,NA,0.37,NA,NA,NA
TA00617,120.91,65.1,NA,2.37,NA,NA,NA
TA00618,125,60.27,NA,1.91,NA,NA,NA
TA00619,123.1,59.11,NA,0.98,NA,NA,NA
TA00620,122.29,58.67,NA,0.98,NA,NA,NA
TA00621,126.04,60.87,NA,1.75,NA,NA,NA
TA00622,125.93,67.56,NA,0.37,NA,NA,NA
TA00623,NA,NA,NA,NA,NA,NA,NA
TA00625,123.51,95.12,NA,NA,NA,NA,NA
TA00626,121.89,58.48,NA,NA,NA,NA,NA
TA00627,123.87,74.9,40.63,2.72,2.84,13.67,44.07
TA00628,126.07,84.68,44.26,1.91,3.17,15.04,50.33
TA00629,120.17,76.12,47.2,1.06,2.93,13.37,51.52
TA00630,122.31,73.77,39.82,NA,NA,NA,NA
TA00631,123.94,75.64,NA,NA,NA,NA,NA
TA00633,129.73,88.64,40.25,NA,NA,NA,NA
TA00634,NA,NA,NA,NA,NA,NA,NA
TA00635,132.69,80.57,28.24,NA,NA,NA,NA
TA00636,128.57,91.99,39.98,3.2,NA,NA,NA
TA00637,128.76,88.69,37.98,NA,NA,NA,NA
TA00638,125.7,121.3,44.22,NA,NA,NA,NA
TA00639,130.07,118.23,44.75,NA,NA,NA,NA
TA00640,122.68,74.41,39.73,NA,NA,NA,NA
TA00641,NA,NA,NA,NA,NA,NA,NA
TA00642,122.02,84.75,29.51,NA,NA,NA,NA
TA00643,135.3,98.78,NA,0.98,NA,NA,NA
TA00644,120.41,90.16,NA,0.37,NA,NA,NA
TA00645,131.86,65.68,NA,0.98,NA,NA,NA
TA00646,127.25,85.64,32.29,2.37,NA,NA,NA
TA00647,127.68,73.47,36.97,3.13,NA,NA,NA
TA00648,128.79,112.66,53.23,2.37,NA,NA,NA
TA00649,126.97,64.01,NA,2.37,NA,NA,NA
TA00650,123.83,67.71,36.73,NA,NA,NA,NA
TA00651,125.46,70.13,35,NA,NA,NA,NA
TA00652,124.57,82.89,35.24,NA,NA,NA,NA
TA00654,NA,NA,NA,NA,NA,NA,NA
TA00655,125.2,75.14,34.74,0.98,NA,NA,NA
TA00656,124.19,85.38,NA,2.37,NA,NA,NA
TA00657,131.72,124.14,46.59,2.74,3.32,15.29,50.05
TA00658,135.22,129.67,45.68,3.46,3.01,15.78,32.53
TA00659,132.46,118.5,46.22,4.34,2.84,16.05,33.95
TA00660,132.41,118.05,45.82,1.33,3.06,16.01,29.7
TA00661,120.7,54.59,40.24,1.5,3.77,17,56.07
TA00662,122.58,79.41,42.44,3.09,3.31,13.16,49.99
TA00663,123.93,67.5,38.44,3.74,3.71,15.11,41.57
TA00664,127.1,67.28,37.91,3.78,3.18,15.04,42.37
TA00665,124.51,115.88,48.98,NA,NA,NA,NA
TA00666,128.16,87.13,29.02,NA,NA,NA,NA
TA00667,122.64,77.37,35.23,NA,NA,NA,NA
TA00668,125.3,78.18,36.25,NA,NA,NA,NA
TA00669,133.44,117.38,36.01,NA,NA,NA,NA
TA00670,125.07,86.04,34.49,NA,NA,NA,NA
TA00671,122.71,81.81,39.22,NA,NA,NA,NA
TA00672,123.57,85.86,35.73,NA,NA,NA,NA
TA00673,122.82,72.37,35.25,NA,NA,NA,NA
TA00674,129.38,109.46,30.73,NA,NA,NA,NA
TA00675,118.75,95.81,39.98,NA,NA,NA,NA
TA00676,117.98,73.42,40.25,1.85,4.64,17.05,57.2
TA00677,NA,NA,NA,NA,NA,NA,NA
TA00678,125.86,72.15,29.24,NA,NA,NA,NA
TA00679,124.3,68.09,37.02,2.29,3.31,15.22,52.29
TA00680,138.52,135.38,39.11,2.15,2.98,15.39,41.01
TA00681,118.85,66.14,42.7,2.12,4.45,15.42,63.14
TA00682,137.23,136.78,39.44,1.72,2.56,15.75,37.76
TA00683,135.93,117,NA,NA,NA,NA,NA
TA00684,135.3,131.65,39.69,1.78,2.84,15.54,39.02
TA00685,124.69,91.63,43.09,3.36,3.26,12.74,36.31
TA00686,135.22,136.38,38.49,4.21,2.89,15.3,48.15
TA00687,123.33,108.64,39.17,2.12,3.19,16.71,32.52
TA00688,135.39,120.04,41.16,-0.92,4.78,16.7,23.18
TA00690,137.12,132.3,38.51,2.22,2.78,15.68,39.02
TA00691,129.1,130.56,NA,NA,NA,NA,NA
TA00692,132.82,134.44,38.13,2.32,2.15,15.96,41.03
TA00693,133.36,139.48,36.19,1.29,1.75,16.31,46.72
TA00694,137.37,110.11,NA,NA,NA,NA,NA
TA00695,129.25,57.71,30.73,NA,NA,NA,NA
TA00696,124.02,63.17,34.83,1.95,3.56,15.21,47.53
TA00697,124.01,64.79,32,NA,NA,NA,NA
TA00698,127.38,68.98,31.25,NA,NA,NA,NA
TA00699,137.18,99.86,NA,NA,NA,NA,NA
TA00700,120.14,89.55,43.23,NA,NA,NA,NA
TA00701,118.37,87.53,43.65,3.68,3.19,15.29,40.1
TA00702,116.97,98.17,44.05,4.17,3.04,15.13,36.72
TA00703,117.97,104.53,NA,2.37,NA,NA,NA
TA00704,NA,NA,NA,NA,NA,NA,NA
TA00705,125.39,110.38,40,2.05,2.84,15.43,33.1
TA00706,121.41,102.24,NA,0.37,NA,NA,NA
TA00707,125.26,95.79,49.46,NA,NA,NA,NA
TA00708,123.67,54.22,33.97,1.67,4.75,14.82,54.62
TA00709,122.76,76.79,30.24,NA,NA,NA,NA
TA00710,143.1,128.22,NA,NA,NA,NA,NA
TA00712,121.93,101.72,36.24,NA,NA,NA,NA
TA00713,123.93,79.7,35.98,NA,NA,NA,NA
TA00714,NA,NA,NA,NA,NA,NA,NA
TA00715,122.33,76.24,37.78,2.53,3.19,14.6,39.78
TA00716,129.05,79.5,38.75,3.13,NA,NA,NA
TA00717,131.2,95.44,40.49,1.13,NA,NA,NA
TA00718,132.9,87.22,29.25,-0.25,NA,NA,NA
TA00719,125.56,71.23,32.27,NA,NA,NA,NA
TA00720,123.62,78.49,41.24,NA,NA,NA,NA
TA00721,131.29,133.79,43.5,2.37,3.25,15.61,30.94
TA00722,131.43,126.82,45.85,2.68,3.12,15.3,29.5
TA00723,NA,NA,NA,NA,NA,NA,NA
TA00724,NA,NA,NA,NA,NA,NA,NA
TA00725,130.95,127.11,48.73,4.68,NA,NA,NA
TA00726,121.23,106.04,45.25,3.75,NA,NA,NA
TA00727,139.25,88.79,44.25,NA,NA,NA,NA
TA00728,NA,NA,NA,NA,NA,NA,NA
TA00729,124.51,79.36,40.25,NA,NA,NA,NA
TA00730,127.14,97.09,40.22,NA,NA,NA,NA
TA00731,128.26,76.56,30.25,NA,NA,NA,NA
TA00732,140.25,106.77,38.25,NA,NA,NA,NA
TA00733,124.57,78.19,34.5,NA,NA,NA,NA
TA00734,135.93,113.47,46.52,3.13,NA,NA,NA
TA00735,124.76,54.21,26.76,NA,NA,NA,NA
TA00736,127.55,58.14,32.74,NA,NA,NA,NA
TA00737,NA,NA,NA,NA,NA,NA,NA
TA00738,133.24,131.79,49.49,2.37,NA,NA,NA
TA00739,135.29,135.99,NA,1.8,NA,NA,NA
TA00740,135.29,118.46,NA,0.98,NA,NA,NA
TA00742,129.63,129.05,45.77,NA,NA,NA,NA
TA00743,127.31,92.31,49.98,NA,NA,NA,NA
TA00744,128.65,64.69,37.49,0.37,NA,NA,NA
TA00745,126.44,69.49,41.01,2.37,NA,NA,NA
TA00746,123.5,84.46,52.99,0.98,NA,NA,NA
TA00747,129.75,100.97,46.73,-0.25,NA,NA,NA
TA00748,132.74,102.89,39.02,2.41,NA,NA,NA
TA00749,119.3,85.99,42.49,2.37,NA,NA,NA
TA00750,121.41,79.95,NA,0.37,NA,NA,NA
TA00751,119.3,94.22,44.74,2.52,NA,NA,NA
TA00752,122.15,90.53,39.49,1.11,NA,NA,NA
TA00753,121.97,83.3,NA,0.98,NA,NA,NA
TA00754,124.05,67.54,32.99,-0.25,NA,NA,NA
TA00755,128.93,89.44,NA,-0.25,NA,NA,NA
TA00756,123.63,86.64,49.25,-0.25,NA,NA,NA
TA00757,119.76,89.74,51.98,1.13,NA,NA,NA
TA00758,123.65,98.1,41.22,3.91,NA,NA,NA
TA00759,123.54,92.77,38.73,6.75,NA,NA,NA
TA00760,126.81,77.87,45.74,1.75,NA,NA,NA
TA00761,131.15,103.65,41.77,0.37,NA,NA,NA
TA00762,122.1,68.68,41.03,0.98,NA,NA,NA
TA00763,125.89,88.16,42.73,3.13,NA,NA,NA
TA00764,NA,NA,NA,NA,NA,NA,NA
TA00765,129.19,75.36,NA,0.37,NA,NA,NA
TA00766,123.89,85.58,52.76,-0.25,NA,NA,NA
TA00767,135.72,112.13,32.73,NA,NA,NA,NA
TA00768,124.74,110.37,NA,7.37,NA,NA,NA
TA00769,123.72,68.41,34.56,2.71,3.04,13.48,54.8
TA00770,130.93,77.74,37.26,NA,NA,NA,NA
TA00771,123.26,101.07,32.25,NA,NA,NA,NA
TA00772,125.19,57.86,36.49,NA,NA,NA,NA
TA00773,128.3,65.52,36.25,NA,NA,NA,NA
TA00774,123.94,88.41,39.25,NA,NA,NA,NA
TA00775,127.1,123.22,45.77,NA,NA,NA,NA
TA00776,134.01,61.13,31.25,0.98,NA,NA,NA
TA00777,124.1,69.65,44.31,3.15,3.02,13.35,30.85
TA00778,125.69,70.46,31.5,NA,NA,NA,NA
TA00779,119.84,92.17,37,NA,NA,NA,NA
TA00780,118.8,95.39,38.98,4.68,NA,NA,NA
TA00781,122.12,84.36,36.98,2.37,NA,NA,NA
TA00782,134.62,125.47,43.26,4.14,NA,NA,NA
TA00783,135.06,129.45,42.01,NA,NA,NA,NA
TA00784,130.95,111.77,40.75,NA,NA,NA,NA
TA00785,130.2,114.91,44.49,NA,NA,NA,NA
TA00786,135.37,118.78,44.26,NA,NA,NA,NA
TA00787,NA,NA,NA,NA,NA,NA,NA
TA00788,123.24,75.29,37.01,0.37,NA,NA,NA
TA00789,120.52,80.47,NA,3.29,NA,NA,NA
TA00790,121.3,82.86,NA,3.13,NA,NA,NA
TA00791,NA,NA,NA,NA,NA,NA,NA
TA00792,124.39,75.8,42.98,NA,NA,NA,NA
TA00793,120.48,65.56,43.04,3.33,2.78,13.64,52.5
TA00794,123.25,65.41,40.84,3.35,2.78,13.64,58.51
TA00795,127.47,58.71,33.01,NA,NA,NA,NA
TA00796,121.14,65.36,43.85,1.2,3.08,14.52,59.48
TA00797,124.62,97.35,31.01,NA,NA,NA,NA
TA00799,123.82,62.5,37.76,NA,NA,NA,NA
TA00800,128.72,74.27,NA,NA,NA,NA,NA
TA00802,135.27,91.66,40.02,NA,NA,NA,NA
TA00803,128.75,124.78,43.25,NA,NA,NA,NA
TA00804,128.04,133.56,46.25,NA,NA,NA,NA
TA00805,NA,NA,NA,NA,NA,NA,NA
TA00806,NA,NA,NA,NA,NA,NA,NA
TA00807,NA,NA,NA,NA,NA,NA,NA
TA00808,121.06,83.35,35.49,NA,NA,NA,NA
TA00809,123.83,NA,32.73,NA,NA,NA,NA
TA00810,128.49,112.22,44.76,NA,NA,NA,NA
TA00811,128.31,69.81,38.52,NA,NA,NA,NA
TA00812,113.83,91.36,45.49,NA,NA,NA,NA
TA00813,122.89,87.77,36.23,2.37,NA,NA,NA
TA00814,123.51,65.13,34.24,2.56,NA,NA,NA
TA00816,127.23,64.08,40.95,1.65,3.12,12.52,48.93
TA00817,131.85,116.68,43.98,-0.25,NA,NA,NA
TA00818,122.53,90.87,42.73,3.75,NA,NA,NA
TA00819,115.23,84.99,43.59,6.22,2.85,14.49,47.63
TA00820,137.84,131.99,42.73,2.36,2.56,13.73,36.18
TA00821,126.63,102.56,NA,7.37,NA,NA,NA
TA00822,138.42,104.37,38.25,NA,NA,NA,NA
TA00823,126.33,87.3,37.24,NA,NA,NA,NA
TA00824,NA,NA,NA,NA,NA,NA,NA
TA00825,127.26,67.4,42.76,NA,NA,NA,NA
TA00826,137.88,118,43.99,NA,NA,NA,NA
TA00827,119.64,91,29.7,NA,NA,NA,NA
TA00828,125.69,94.16,34.77,NA,NA,NA,NA
TA00829,120.83,84.21,NA,NA,NA,NA,NA
TA00830,NA,NA,NA,NA,NA,NA,NA
TA00831,124.83,76.58,40.54,2.92,3.08,12.91,33.77
TA00833,127.02,77.41,37.49,NA,NA,NA,NA
TA00835,119.2,99.45,NA,NA,NA,NA,NA
TA00836,132.13,124.14,NA,NA,NA,NA,NA
TA00837,NA,NA,NA,NA,NA,NA,NA
TA00838,123.81,95.27,37.73,2.37,NA,NA,NA
TA00839,122.5,78.84,37,0.37,NA,NA,NA
TA00840,124.47,66.03,43,NA,NA,NA,NA
TA00841,120.79,70.93,38,NA,NA,NA,NA
TA00842,NA,NA,NA,NA,NA,NA,NA
TA00843,122.01,73.28,33.25,NA,NA,NA,NA
TA00844,125.4,70.9,32.25,-0.25,NA,NA,NA
TA00845,131.6,106.24,43.25,NA,NA,NA,NA
TA00846,136.91,107.54,40.5,NA,NA,NA,NA
TA00847,125.06,58.62,37.73,NA,NA,NA,NA
TA00848,NA,NA,NA,NA,NA,NA,NA
TA00849,140.99,85.34,41.99,NA,NA,NA,NA
TA00850,138.73,78.12,42.99,NA,NA,NA,NA
TA00851,122.3,63.19,43.71,NA,NA,NA,NA
TA00852,NA,NA,NA,NA,NA,NA,NA
TA00853,123.13,81.51,39.98,NA,NA,NA,NA
TA00854,127.33,74.22,NA,NA,NA,NA,NA
TA00855,123.74,68.57,42.22,NA,NA,NA,NA
TA00856,121.08,73.96,39.48,NA,NA,NA,NA
TA00857,123.86,64.11,34.01,2.54,NA,NA,NA
TA00858,124.47,67.53,43.74,2.39,NA,NA,NA
TA00859,129.06,97.98,44.51,5.11,NA,NA,NA
TA00860,129.82,97.08,43,NA,NA,NA,NA
TA00861,134.4,93.78,44.73,NA,NA,NA,NA
TA00862,126.74,91.57,42.45,NA,NA,NA,NA
TA00863,133.87,93.49,46.23,NA,NA,NA,NA
TA00864,128.54,77.95,43.7,NA,NA,NA,NA
TA00865,129.33,93.66,39.98,NA,NA,NA,NA
TA00866,134.28,105.38,44.24,NA,NA,NA,NA
TA00867,136.13,109.45,39.46,NA,NA,NA,NA
TA00868,124.93,60.73,25.74,NA,NA,NA,NA
TA00869,139.13,108.16,36.25,NA,NA,NA,NA
TA00870,131.6,106.03,37.74,NA,NA,NA,NA
TA00871,128.64,74.58,39.46,NA,NA,NA,NA
TA00872,123.33,73.9,48.5,NA,NA,NA,NA
TA00873,135.13,84.5,43.26,NA,NA,NA,NA
TA00874,127.33,65.85,28.49,NA,NA,NA,NA
TA00875,118.67,94.14,38.21,NA,NA,NA,NA
TA00876,132.99,111.97,36.22,NA,NA,NA,NA
TA00877,122.86,79.67,30.22,NA,NA,NA,NA
TA00878,132.52,112.96,48.23,NA,NA,NA,NA
TA00879,129.21,93.92,39.72,NA,NA,NA,NA
TA00880,132.33,127.08,46.7,NA,NA,NA,NA
TA00881,134.48,130.81,44.19,2.81,1.75,15.27,49.72
TA00882,132.89,131.78,48.97,1.36,2.65,15.1,46.84
TA00883,131.47,127.54,47.26,2.21,3.19,14.82,48.9
TA00884,133.08,130.78,45.81,1.96,2.78,15.11,45.38
TA00885,131.8,126.12,46.18,2.17,2.69,15.97,44.49
TA00886,133.82,134.77,46.3,1.55,1.75,14.13,42.34
TA00887,133.34,128.68,46.44,1.96,1.75,15.03,40.01
TA00888,133.28,136.92,45.51,2.66,2.42,15.57,42.7
TA00889,132.94,132.91,45.53,2.7,2.87,16.02,42.48
TA00890,132.47,130.35,48.53,2.6,2.58,15.95,42.13
TA00891,NA,NA,NA,NA,NA,NA,NA
TA00892,123.52,102.38,46,NA,NA,NA,NA
TA00893,126.25,78.58,37.23,NA,NA,NA,NA
TA00894,127.4,70.87,34.74,NA,NA,NA,NA
TA00895,135.06,73.89,43.49,NA,NA,NA,NA
TA00896,125,92.55,42.22,-0.25,NA,NA,NA
TA00897,124.33,103.29,40.75,NA,NA,NA,NA
TA00898,130.98,109.22,39.74,NA,NA,NA,NA
TA00899,125.67,121.52,44.25,NA,NA,NA,NA
TA00900,127.86,79.19,30.74,NA,NA,NA,NA
TA00901,123.48,94.95,47.25,3.02,3.11,13.69,46.07
TA00902,135.26,112.14,45.73,0.98,NA,NA,NA
TA00903,132.52,116.76,43.01,NA,NA,NA,NA
TA00904,132.74,142.99,51.26,1.56,2.03,15.7,32.56
TA00905,121.89,97.14,43.33,1.84,3.26,16.64,26.85
TA00906,136.57,133.18,42.65,2.08,2.82,16.18,47.73
TA00907,133.78,120.8,NA,3.48,NA,NA,NA
TA00908,134.59,116.38,NA,2.54,2.86,NA,NA
TA00909,133.23,127.35,47.57,3.03,2.38,15.93,33.68
TA00910,133.3,130.77,49.29,3.24,2.39,16,37.65
TA00911,125.18,71.75,38.75,1.49,NA,NA,NA
TA00912,127.55,77.25,46.52,1.69,NA,NA,NA
TA00913,125.18,107.19,52.47,1.29,NA,NA,NA
TA00914,132.05,89.19,40.24,4.68,NA,NA,NA
TA00915,133.99,78.41,43.27,NA,NA,NA,NA
TA00916,135.44,75.67,NA,3.07,NA,NA,NA
TA00917,NA,NA,NA,NA,NA,NA,NA
TA00918,121.68,99.01,NA,3.07,NA,NA,NA
TA00919,123,61.98,NA,2.48,NA,NA,NA
TA00920,131.14,76.75,43.49,1.29,NA,NA,NA
TA00921,132.78,108.19,39.73,3.48,NA,NA,NA
TA00922,142.59,111.1,23.74,1.69,NA,NA,NA
TA00923,124.87,64.11,40.01,3.09,3.26,NA,NA
TA00924,124.63,70.82,41.74,0.96,3.1,NA,NA
TA00925,123.29,67.43,34.22,2.89,NA,NA,NA
TA00926,124.84,78.47,37.48,1.69,NA,NA,NA
TA00927,124.45,71.41,42.96,1.24,2.86,NA,NA
TA00928,122.66,59.32,40.99,1.69,NA,NA,NA
TA00929,123.36,62.59,54.73,0.96,2.86,NA,NA
TA00930,123.93,71.14,31.74,2.07,2.86,NA,NA
TA00931,123.39,76.43,37.98,2.09,NA,NA,NA
TA00932,125.48,85.15,41.22,3.07,NA,NA,NA
TA00933,124.71,72.99,43.49,1.69,NA,NA,NA
TA00934,123.64,73.36,35.98,1.29,NA,NA,NA
TA00935,128.25,103.31,42.99,1.69,NA,NA,NA
TA00936,124.64,60.88,39.25,2.68,NA,NA,NA
