accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign
IG 44289,AW_32167,NA,160,30,92,CE9217,NA,1991-1992
IG 44290,AW_29196,NA,163,35,98,CE9217,NA,1991-1992
IG 44291,AW_26372,NA,163,34,92,CE9217,NA,1991-1992
IG 44292,AW_15110,NA,153,31,68,CE9217,NA,1991-1992
IG 44293,AW_15111,NA,151,35,78,CE9217,NA,1991-1992
IG 44294,AW_26373,NA,153,34,88,CE9217,NA,1991-1992
IG 44295,AW_20691,NA,153,39,92,CE9217,NA,1991-1992
IG 44296,AW_32168,NA,151,31,78,CE9217,NA,1991-1992
IG 44297,AW_15112,NA,151,35,82,CE9217,NA,1991-1992
IG 44298,AW_34911,NA,163,35,108,CE9217,NA,1991-1992
IG 44299,AW_20692,NA,160,39,115,CE9217,NA,1991-1992
IG 84859,AW_18979,NA,151,43,82,CE9211,NA,1991-1992
IG 84859,AW_18979,NA,151,43,82,CE9212,NA,1991-1992
IG 84859,AW_18979,NA,151,39,78,CE9213,NA,1991-1992
IG 99045,AW_37077,NA,151,44,92,CE9213,NA,1991-1992
IG 99046,AW_31527,NA,151,41,90,CE9213,NA,1991-1992
IG 99047,AW_17300,NA,151,42,90,CE9213,NA,1991-1992
IG 99048,AW_37078,NA,147,46,82,CE9213,NA,1991-1992
IG 99049,AW_37079,NA,151,39,88,CE9213,NA,1991-1992
IG 99050,AW_22917,NA,147,49,92,CE9213,NA,1991-1992
IG 99051,AW_17301,NA,147,43,98,CE9213,NA,1991-1992
IG 99105,AW_20120,NA,153,49,58,CE9211,NA,1991-1992
IG 99106,AW_28599,NA,153,43,58,CE9211,NA,1991-1992
IG 99107,AW_31528,NA,157,42,72,CE9211,NA,1991-1992
IG 99108,AW_20121,NA,157,44,68,CE9211,NA,1991-1992
IG 99109,AW_17302,NA,165,46,82,CE9211,NA,1991-1992
IG 99110,AW_17338,NA,153,48,62,CE9211,NA,1991-1992
IG 99111,AW_28635,NA,151,45,66,CE9211,NA,1991-1992
IG 99112,AW_34358,NA,151,43,68,CE9211,NA,1991-1992
IG 99113,AW_31572,NA,153,43,68,CE9211,NA,1991-1992
IG 99114,AW_20163,NA,153,45,72,CE9211,NA,1991-1992
IG 99115,AW_28636,NA,153,43,72,CE9211,NA,1991-1992
IG 99116,AW_34359,NA,160,39,48,CE9211,NA,1991-1992
IG 99117,AW_28637,NA,151,45,62,CE9211,NA,1991-1992
IG 99118,AW_37123,NA,151,44,68,CE9211,NA,1991-1992
IG 99119,AW_28638,NA,153,45,78,CE9211,NA,1991-1992
IG 99120,AW_37124,NA,163,50,90,CE9211,NA,1991-1992
IG 99121,AW_22952,NA,160,54,105,CE9211,NA,1991-1992
IG 99122,AW_37125,NA,151,44,68,CE9211,NA,1991-1992
IG 99123,AW_31573,NA,157,42,72,CE9211,NA,1991-1992
IG 99124,AW_37126,NA,166,47,92,CE9211,NA,1991-1992
IG 99125,AW_17339,NA,160,52,102,CE9211,NA,1991-1992
IG 99126,AW_31574,NA,151,47,62,CE9211,NA,1991-1992
IG 99127,AW_17340,NA,151,48,72,CE9211,NA,1991-1992
IG 99128,AW_20164,NA,160,54,102,CE9211,NA,1991-1992
IG 99129,AW_28639,NA,151,43,78,CE9211,NA,1991-1992
IG 99130,AW_25788,NA,151,45,78,CE9211,NA,1991-1992
IG 99131,AW_28640,NA,151,51,68,CE9211,NA,1991-1992
IG 99132,AW_31575,NA,151,47,62,CE9211,NA,1991-1992
IG 99133,AW_28641,NA,160,45,112,CE9211,NA,1991-1992
IG 99134,AW_31576,NA,160,44,102,CE9211,NA,1991-1992
IG 99135,AW_34360,NA,151,50,68,CE9211,NA,1991-1992
IG 99136,AW_31577,NA,151,52,68,CE9211,NA,1991-1992
IG 99137,AW_25789,NA,151,56,68,CE9211,NA,1991-1992
IG 99138,AW_31578,NA,151,56,58,CE9211,NA,1991-1992
IG 99139,AW_28642,NA,151,47,68,CE9211,NA,1991-1992
IG 99140,AW_20165,NA,151,46,62,CE9211,NA,1991-1992
IG 99141,AW_17341,NA,151,46,62,CE9211,NA,1991-1992
IG 99142,AW_31579,NA,151,47,58,CE9211,NA,1991-1992
IG 99143,AW_25790,NA,153,41,58,CE9211,NA,1991-1992
IG 99144,AW_17342,NA,151,42,62,CE9211,NA,1991-1992
IG 99145,AW_22953,NA,151,45,58,CE9211,NA,1991-1992
IG 99146,AW_17343,NA,151,44,68,CE9211,NA,1991-1992
IG 99147,AW_17344,NA,166,47,98,CE9211,NA,1991-1992
IG 99148,AW_28643,NA,166,48,98,CE9211,NA,1991-1992
IG 99149,AW_31580,NA,151,43,68,CE9211,NA,1991-1992
IG 99150,AW_31581,NA,153,40,68,CE9211,NA,1991-1992
IG 99151,AW_25791,NA,160,49,118,CE9211,NA,1991-1992
IG 99152,AW_37127,NA,153,42,88,CE9211,NA,1991-1992
IG 99153,AW_22954,NA,151,44,82,CE9211,NA,1991-1992
IG 99154,AW_25792,NA,151,46,88,CE9211,NA,1991-1992
IG 99155,AW_17345,NA,151,47,82,CE9211,NA,1991-1992
IG 99156,AW_22955,NA,163,42,102,CE9211,NA,1991-1992
IG 99157,AW_17346,NA,151,47,68,CE9211,NA,1991-1992
IG 99158,AW_22956,NA,163,37,82,CE9211,NA,1991-1992
IG 99159,AW_17347,NA,160,40,72,CE9211,NA,1991-1992
IG 99160,AW_37128,NA,157,37,78,CE9211,NA,1991-1992
IG 99161,AW_20166,NA,163,56,102,CE9211,NA,1991-1992
IG 99162,AW_25793,NA,160,58,78,CE9211,NA,1991-1992
IG 99163,AW_34361,NA,160,36,72,CE9211,NA,1991-1992
IG 99164,AW_37129,NA,160,35,62,CE9211,NA,1991-1992
IG 99165,AW_20167,NA,160,33,58,CE9211,NA,1991-1992
IG 99166,AW_28644,NA,153,40,58,CE9211,NA,1991-1992
IG 99167,AW_17348,NA,160,37,88,CE9211,NA,1991-1992
IG 99168,AW_17349,NA,160,38,92,CE9211,NA,1991-1992
IG 99169,AW_17350,NA,163,50,108,CE9211,NA,1991-1992
