genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
LRC_SSD_IG_144002,NA,NA,NA
LRC_SSD_IG_144019,93.1,NA,NA
LRC_SSD_IG_144060,NA,NA,NA
LRC_SSD_IG_144061,NA,NA,NA
LRC_SSD_IG_144130,NA,NA,NA
LRC_SSD_IG_144153,NA,NA,NA
LRC_SSD_IG_144155,NA,NA,NA
LRC_SSD_IG_144156,NA,NA,NA
LRC_SSD_IG_145637,NA,NA,NA
LRC_SSD_IG_146922,NA,NA,NA
LRC_SSD_IG_147170,NA,NA,NA
LRC_SSD_IG_147267,NA,NA,NA
LRC_SSD_IG_16877,NA,NA,NA
LRC_SSD_IG_16878,NA,NA,NA
LRC_SSD_IG_16896,NA,NA,NA
LRC_SSD_IG_16904,NA,NA,NA
LRC_SSD_IG_16906,NA,NA,NA
LRC_SSD_IG_16907,NA,NA,NA
LRC_SSD_IG_16910,NA,NA,NA
LRC_SSD_IG_16916,NA,NA,NA
LRC_SSD_IG_16921,NA,NA,NA
LRC_SSD_IG_16925,102.92,NA,NA
LRC_SSD_IG_16940,109.56,NA,NA
LRC_SSD_IG_17017,NA,NA,NA
LRC_SSD_IG_17020,NA,NA,NA
LRC_SSD_IG_17164,NA,NA,NA
LRC_SSD_IG_17168,84.06,NA,NA
LRC_SSD_IG_17314,NA,NA,NA
LRC_SSD_IG_17336,NA,NA,NA
LRC_SSD_IG_17353,NA,NA,31.48
LRC_SSD_IG_17362,NA,NA,NA
LRC_SSD_IG_17365,103.18,NA,NA
LRC_SSD_IG_17369,NA,NA,NA
LRC_SSD_IG_17370,NA,NA,36.09
LRC_SSD_IG_17375,84.37,NA,NA
LRC_SSD_IG_17391,NA,NA,NA
LRC_SSD_IG_17430,NA,NA,NA
LRC_SSD_IG_17441,NA,NA,NA
LRC_SSD_IG_17442,NA,NA,NA
LRC_SSD_IG_17445,NA,NA,NA
LRC_SSD_IG_17450,NA,NA,NA
LRC_SSD_IG_17550,NA,NA,NA
LRC_SSD_IG_17567,NA,NA,NA
LRC_SSD_IG_18014,107.73,NA,NA
LRC_SSD_IG_18587,NA,NA,NA
LRC_SSD_IG_18593,NA,NA,NA
LRC_SSD_IG_18747,71.17,NA,37.44
LRC_SSD_IG_18786,67.86,124.97,43.31
LRC_SSD_IG_18807,82.05,NA,NA
LRC_SSD_IG_18819,NA,NA,NA
LRC_SSD_IG_18836,78.75,138.25,46.31
LRC_SSD_IG_18873,82.78,NA,36.12
LRC_SSD_IG_18952,84.56,NA,NA
LRC_SSD_IG_18988,89.56,NA,42.01
LRC_SSD_IG_19051,86.17,NA,37.92
LRC_SSD_IG_19114,100.43,NA,NA
LRC_SSD_IG_19121,102.35,NA,27.98
LRC_SSD_IG_19158,101.03,NA,37.89
LRC_SSD_IG_19421,NA,NA,NA
LRC_SSD_IG_19579,89.84,NA,39.06
LRC_SSD_IG_19592,NA,NA,42.04
LRC_SSD_IG_19706,88.52,153.23,NA
LRC_SSD_IG_19838,NA,NA,NA
LRC_SSD_IG_19948,NA,NA,39.31
LRC_SSD_IG_20866,NA,NA,NA
LRC_SSD_IG_21429,NA,NA,NA
LRC_SSD_IG_21502,NA,NA,NA
LRC_SSD_IG_21736,NA,NA,NA
LRC_SSD_IG_22053,NA,NA,NA
LRC_SSD_IG_22101,NA,NA,NA
LRC_SSD_IG_22410,NA,NA,NA
LRC_SSD_IG_22774,NA,NA,NA
LRC_SSD_IG_22837,NA,NA,NA
LRC_SSD_IG_22838,NA,NA,NA
LRC_SSD_IG_22875,NA,NA,NA
LRC_SSD_IG_22922,NA,NA,NA
LRC_SSD_IG_22985,NA,NA,NA
LRC_SSD_IG_23003,NA,NA,NA
LRC_SSD_IG_23252,NA,NA,NA
LRC_SSD_IG_23281,NA,NA,NA
LRC_SSD_IG_23335,NA,NA,NA
LRC_SSD_IG_23341,NA,NA,NA
LRC_SSD_IG_23511,NA,NA,NA
LRC_SSD_IG_23577,NA,NA,NA
LRC_SSD_IG_23583,NA,NA,NA
LRC_SSD_IG_23585,NA,NA,NA
LRC_SSD_IG_23596,NA,NA,NA
LRC_SSD_IG_23597,NA,NA,NA
LRC_SSD_IG_23607,NA,NA,NA
LRC_SSD_IG_23609,NA,NA,NA
LRC_SSD_IG_23610,NA,NA,NA
LRC_SSD_IG_23618,NA,NA,NA
LRC_SSD_IG_23620,NA,NA,NA
LRC_SSD_IG_23624,NA,NA,NA
LRC_SSD_IG_23628,NA,NA,NA
LRC_SSD_IG_23682,NA,NA,NA
LRC_SSD_IG_23942,NA,NA,NA
LRC_SSD_IG_24408,NA,NA,NA
LRC_SSD_IG_24411,NA,NA,27.01
LRC_SSD_IG_24415,NA,NA,29.11
LRC_SSD_IG_24424,NA,NA,NA
LRC_SSD_IG_24432,NA,NA,NA
LRC_SSD_IG_24434,NA,NA,NA
LRC_SSD_IG_24436,NA,NA,27.31
LRC_SSD_IG_24441,NA,NA,NA
LRC_SSD_IG_24446,NA,NA,NA
LRC_SSD_IG_24448,NA,NA,34.51
LRC_SSD_IG_24453,NA,NA,27.21
LRC_SSD_IG_24461,NA,NA,28.51
LRC_SSD_IG_24462,NA,NA,30.91
LRC_SSD_IG_24463,NA,NA,NA
LRC_SSD_IG_24464,NA,NA,NA
LRC_SSD_IG_24466,NA,NA,NA
LRC_SSD_IG_24471,NA,NA,30.41
LRC_SSD_IG_24513,NA,NA,NA
LRC_SSD_IG_24615,NA,NA,NA
LRC_SSD_IG_24616,NA,NA,NA
LRC_SSD_IG_24621,NA,NA,NA
LRC_SSD_IG_24632,NA,NA,NA
LRC_SSD_IG_24637,NA,NA,NA
LRC_SSD_IG_24646,NA,NA,NA
LRC_SSD_IG_24651,NA,NA,NA
LRC_SSD_IG_24664,NA,NA,NA
LRC_SSD_IG_24668,NA,NA,NA
LRC_SSD_IG_24669,NA,NA,NA
LRC_SSD_IG_24670,NA,NA,NA
LRC_SSD_IG_24671,NA,NA,NA
LRC_SSD_IG_24718,NA,NA,NA
LRC_SSD_IG_24719,NA,NA,NA
LRC_SSD_IG_24744,NA,NA,NA
LRC_SSD_IG_24753,NA,NA,NA
LRC_SSD_IG_24755,NA,NA,NA
LRC_SSD_IG_24764,NA,NA,NA
LRC_SSD_IG_24779,NA,NA,NA
LRC_SSD_IG_24780,NA,NA,NA
LRC_SSD_IG_24861,NA,NA,NA
LRC_SSD_IG_24872,NA,NA,NA
LRC_SSD_IG_24920,NA,NA,NA
LRC_SSD_IG_24938,NA,NA,NA
LRC_SSD_IG_24941,NA,NA,NA
LRC_SSD_IG_24944,NA,NA,NA
LRC_SSD_IG_25075,NA,NA,NA
LRC_SSD_IG_25162,NA,NA,NA
LRC_SSD_IG_25186,NA,NA,NA
LRC_SSD_IG_25205,NA,NA,NA
LRC_SSD_IG_25283,NA,NA,NA
LRC_SSD_IG_25319,NA,NA,NA
LRC_SSD_IG_25460,NA,NA,NA
LRC_SSD_IG_25468,NA,NA,NA
LRC_SSD_IG_25539,NA,NA,NA
LRC_SSD_IG_25556,NA,NA,NA
LRC_SSD_IG_25605,NA,NA,NA
LRC_SSD_IG_25617,NA,NA,NA
LRC_SSD_IG_25619,NA,NA,NA
LRC_SSD_IG_25679,NA,NA,NA
LRC_SSD_IG_25701,NA,NA,NA
LRC_SSD_IG_25747,NA,NA,NA
LRC_SSD_IG_25748,NA,NA,NA
LRC_SSD_IG_25752,NA,NA,NA
LRC_SSD_IG_25754,NA,NA,NA
LRC_SSD_IG_25756,NA,NA,NA
LRC_SSD_IG_25828,73.59,NA,40.31
LRC_SSD_IG_25872,NA,NA,NA
LRC_SSD_IG_25887,NA,NA,NA
LRC_SSD_IG_25936,NA,NA,NA
LRC_SSD_IG_26016,NA,NA,NA
LRC_SSD_IG_26288,NA,NA,NA
LRC_SSD_IG_26294,NA,NA,NA
LRC_SSD_IG_26295,NA,NA,NA
LRC_SSD_IG_26297,NA,NA,NA
LRC_SSD_IG_26298,NA,NA,NA
LRC_SSD_IG_26315,NA,NA,NA
LRC_SSD_IG_26325,NA,NA,NA
LRC_SSD_IG_26350,NA,NA,NA
LRC_SSD_IG_26357,NA,NA,NA
LRC_SSD_IG_26372,NA,NA,NA
LRC_SSD_IG_26404,NA,NA,NA
LRC_SSD_IG_26423,NA,NA,NA
LRC_SSD_IG_26535,NA,NA,NA
LRC_SSD_IG_26771,NA,NA,NA
LRC_SSD_IG_26804,NA,NA,NA
LRC_SSD_IG_27052,NA,NA,NA
LRC_SSD_IG_27184,79.28,132.93,NA
LRC_SSD_IG_27235,NA,NA,NA
LRC_SSD_IG_27246,82.19,153.24,NA
LRC_SSD_IG_27247,NA,NA,NA
LRC_SSD_IG_27250,NA,NA,NA
LRC_SSD_IG_27252,69.8,135.09,NA
LRC_SSD_IG_27259,84.18,NA,42.31
LRC_SSD_IG_27261,NA,NA,NA
LRC_SSD_IG_27265,81.32,NA,41.81
LRC_SSD_IG_27269,NA,NA,NA
LRC_SSD_IG_27328,NA,NA,NA
