experiment_id,instcode,genus,accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign,site_name,longitude,latitude,remarks
2,LBN002,Hordeum,LRC_SSD_IG_22053,AB_04327,NA,50,36.6,123,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_22101,AB_04086,NA,40,41.3,130,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_22410,AB_04478,NA,50,39.1,135,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_22774,AB_04573,NA,50,37.7,130,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_22837,AB_04331,NA,50,44.5,147,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_22838,AB_03988,NA,50,41.4,146,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_22875,AB_04255,NA,50,39,122,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_22922,AB_04087,NA,50,45.8,134,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_22985,AB_04474,NA,50,NA,118,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23003,AB_04088,NA,55,52.2,132,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23252,AB_04174,NA,45,36.1,122,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23281,AB_04089,NA,45,38.3,136,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23335,AB_04017,NA,50,37.3,125,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23341,AB_04093,NA,70,34.5,139,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23511,AB_04190,NA,55,55.8,124,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23577,AB_04491,NA,60,33,140,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23583,AB_04298,NA,55,33.1,139,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23585,AB_04529,NA,55,28.2,140,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23596,AB_04272,NA,50,26.4,147,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23597,AB_04530,NA,50,24.6,160,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23607,AB_04339,NA,50,24.8,161,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23609,AB_04416,NA,50,27.2,164,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23610,AB_04417,NA,55,27.4,153,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23618,AB_04574,NA,55,NA,148,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23620,AB_04104,NA,50,45.9,139,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23624,AB_04332,NA,50,37.8,138,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23628,AB_04261,NA,50,39.4,137,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23682,AB_04479,NA,50,44.4,123,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_23942,AB_04262,NA,55,35,118,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24408,AB_04385,NA,NA,41.2,136,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24411,AB_04068,NA,50,30.4,143,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24415,AB_04531,NA,35,32.5,136,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24424,AB_04459,NA,50,37.1,136,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24432,AB_04223,NA,50,30.5,138,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24434,AB_04453,NA,40,23.4,131,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24436,AB_04454,NA,60,30.7,142,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24441,AB_04069,NA,70,35.7,138,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24446,AB_04455,NA,50,38.8,137,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24448,AB_04224,NA,70,37.9,137,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24453,AB_03982,NA,70,30.6,138,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24461,AB_04143,NA,70,31.9,138,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24462,AB_03983,NA,70,34.3,138,Cat.1B,NA,1983-1984,NA,NA,NA,NA
