genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
IG 108818,132.33,90.07,NA
IG 108819,NA,86.73,NA
IG 108820,132.46,101.02,44.31
IG 108821,128.86,95.25,32.86
IG 108822,NA,NA,NA
IG 108823,136.55,95.01,NA
IG 108824,133.54,105.19,42.31
IG 108825,132.25,97.92,NA
IG 108826,129.64,92.22,NA
IG 108827,134.82,96.09,NA
IG 108831,137.66,99.93,NA
IG 108894,128.37,100.05,31.95
IG 108895,138.07,104.06,52
IG 108896,128.96,101.69,NA
IG 108897,129.04,90.01,NA
IG 110706,135.62,81.2,43.48
IG 110707,134.49,93.82,27.19
IG 110708,146.07,91.37,27.88
IG 110709,139.88,102.69,NA
IG 110711,130.79,77.34,40.17
IG 110712,136.93,95.82,39.31
IG 110713,136.97,94.73,42.67
IG 110714,NA,93.91,50.5
IG 110715,132.55,75.8,39.59
IG 110716,133.17,90.06,42.48
IG 110717,136.97,88.61,42.76
IG 110718,132.57,69.39,36.5
IG 110719,NA,71.67,NA
IG 110720,NA,74.93,NA
IG 110721,133.26,91.39,38.09
IG 110722,NA,92.96,38.63
IG 110723,NA,93.16,NA
IG 110724,NA,121.71,NA
IG 110847,138.69,118.21,NA
IG 110848,138.74,107.36,34.75
IG 110849,139.88,100.38,40.57
IG 110850,139.38,111.74,39.9
IG 110852,141.87,105.69,40.57
IG 110853,138.35,104.88,NA
IG 110854,138.55,111.61,45.41
IG 110855,141.98,94.08,38.57
IG 110856,138.67,92.8,38.59
IG 110858,140.2,119.52,NA
IG 110859,137.7,104.88,NA
IG 110860,141.74,104.16,38.57
IG 110861,136.26,99.99,NA
IG 110864,136.15,93.21,NA
IG 110865,135.45,100.1,38.57
IG 110866,137.63,95.05,40.03
IG 110867,145.15,112.82,38.57
IG 110868,136.45,105.48,35.35
IG 110869,139.23,94.28,NA
IG 110871,139.52,117.85,NA
IG 110872,141.64,118.68,38.57
IG 110873,139.4,116.28,48.84
IG 110874,131.45,90.82,48.57
IG 110875,138.47,93.21,NA
IG 110876,123.96,82.66,38.57
IG 110877,125.55,76.72,36.57
IG 110878,128.27,76.52,41.72
IG 110879,141.7,105.69,40.57
IG 110880,146.69,91.28,NA
IG 110881,118.89,110.2,44.57
IG 110882,139.57,120.59,NA
IG 110883,129,96.2,38.57
IG 110884,125.03,82.92,42.57
IG 110885,137.59,91.77,44.24
IG 110888,141.01,107.38,40.57
IG 110889,138.42,111.27,38.42
IG 110890,126.79,87.94,NA
IG 110891,126.43,92.24,30.57
IG 110892,129.08,75.48,46.35
IG 110893,126.66,102.24,38.57
IG 110894,136.07,89.72,40.5
IG 110896,135.71,100.31,38.57
IG 110897,137.6,94.75,36.55
IG 110898,133.14,93.06,42.57
IG 110900,139.92,106.21,42.57
IG 110901,129.16,104.64,41.32
IG 110902,139.76,110.96,40.57
IG 110903,140.53,121.37,51.7
IG 110904,138.32,109.76,NA
IG 110907,141.25,102.43,38.57
IG 110908,139.59,117.9,51.52
IG 110910,140.42,119.35,55.75
IG 110911,138.25,103.14,38.57
IG 110912,136.15,101.31,NA
IG 110913,140.31,88.18,36.57
IG 113059,126.73,75.97,28.57
IG 113064,134.57,86.78,30.57
IG 113065,126.25,72.85,NA
IG 113069,134,93.53,NA
IG 113070,141.14,92.02,26.57
IG 113071,138.35,90.35,NA
IG 113072,144.59,88.35,28.57
IG 113075,136.67,93.25,NA
IG 113081,130.74,76.46,34.57
IG 113089,121.33,86.05,36.57
IG 113090,129.1,93.11,38.57
