accenumb,campaign,plant_height
LRC_SSD_IG_120575,1998-1999,128
LRC_SSD_IG_120577,1998-1999,143
LRC_SSD_IG_120580,1998-1999,133
LRC_SSD_IG_120581,1998-1999,135
LRC_SSD_IG_120582,1998-1999,135
LRC_SSD_IG_120585,1998-1999,135
LRC_SSD_IG_120588,1998-1999,133
LRC_SSD_IG_120589,1998-1999,135
LRC_SSD_IG_120592,1998-1999,135
LRC_SSD_IG_120593,1998-1999,124
LRC_SSD_IG_120612,1998-1999,130
LRC_SSD_IG_120613,1998-1999,135
LRC_SSD_IG_120615,1998-1999,135
LRC_SSD_IG_120620,1998-1999,140
LRC_SSD_IG_120621,1998-1999,135
LRC_SSD_IG_120643,1998-1999,132
LRC_SSD_IG_120669,1998-1999,120
LRC_SSD_IG_120680,1998-1999,120
LRC_SSD_IG_120684,1998-1999,124
LRC_SSD_IG_125792,1998-1999,117
LRC_SSD_IG_110857,2000-2001,131
LRC_SSD_IG_31513,2000-2001,118
LRC_SSD_IG_31522,2000-2001,120
LRC_SSD_IG_31870,2000-2001,110
LRC_SSD_IG_31876,2000-2001,124
LRC_SSD_IG_31891,2000-2001,126
LRC_SSD_IG_31923,2000-2001,124
LRC_SSD_IG_31927,2000-2001,124
LRC_SSD_IG_31935,2000-2001,120
LRC_SSD_IG_31938,2000-2001,113
LRC_SSD_IG_31942,2000-2001,118
LRC_SSD_IG_31945,2000-2001,118
LRC_SSD_IG_31968,2000-2001,131
LRC_SSD_IG_31975,2000-2001,131
LRC_SSD_IG_31988,2000-2001,124
LRC_SSD_IG_31995,2000-2001,124
LRC_SSD_IG_32000,2000-2001,126
LRC_SSD_IG_32004,2000-2001,131
LRC_SSD_IG_32012,2000-2001,126
LRC_SSD_IG_32022,2000-2001,126
LRC_SSD_IG_32031,2000-2001,124
LRC_SSD_IG_32037,2000-2001,126
LRC_SSD_IG_32041,2000-2001,131
LRC_SSD_IG_32066,2000-2001,131
LRC_SSD_IG_32083,2000-2001,126
LRC_SSD_IG_32088,2000-2001,126
LRC_SSD_IG_32575,2000-2001,120
LRC_SSD_IG_32596,2000-2001,120
LRC_SSD_IG_32598,2000-2001,120
LRC_SSD_IG_32710,2000-2001,126
LRC_SSD_IG_32733,2000-2001,131
LRC_SSD_IG_32774,2000-2001,124
LRC_SSD_IG_32801,2000-2001,120
LRC_SSD_IG_32803,2000-2001,124
LRC_SSD_IG_32804,2000-2001,124
LRC_SSD_IG_33088,2000-2001,124
LRC_SSD_IG_35377,2000-2001,118
LRC_SSD_IG_35385,2000-2001,126
LRC_SSD_IG_35390,2000-2001,120
LRC_SSD_IG_35398,2000-2001,126
LRC_SSD_IG_35399,2000-2001,126
LRC_SSD_IG_125792,2001-2002,145
LRC_SSD_IG_132314,2001-2002,151
LRC_SSD_IG_33021,2001-2002,141
LRC_SSD_IG_37066,2001-2002,145
LRC_SSD_IG_37784,2001-2002,132
LRC_SSD_IG_37800,2001-2002,134
LRC_SSD_IG_28959,2007-2008,143
LRC_SSD_IG_33015,2007-2008,139
LRC_SSD_IG_33026,2007-2008,139
LRC_SSD_IG_33054,2007-2008,139
LRC_SSD_IG_33056,2007-2008,139
LRC_SSD_IG_110857,2008-2009,123
LRC_SSD_IG_115970,2008-2009,125
LRC_SSD_IG_115978,2008-2009,130
LRC_SSD_IG_115985,2008-2009,123
LRC_SSD_IG_115990,2008-2009,123
LRC_SSD_IG_18786,2008-2009,108
LRC_SSD_IG_18836,2008-2009,120
LRC_SSD_IG_25828,2008-2009,94
LRC_SSD_IG_27259,2008-2009,115
LRC_SSD_IG_27265,2008-2009,125
LRC_SSD_IG_28727,2008-2009,127
LRC_SSD_IG_28729,2008-2009,117
LRC_SSD_IG_32748,2008-2009,130
LRC_SSD_IG_32756,2008-2009,118
LRC_SSD_IG_32777,2008-2009,115
LRC_SSD_IG_32802,2008-2009,115
LRC_SSD_IG_33005,2008-2009,121
LRC_SSD_IG_33007,2008-2009,124
LRC_SSD_IG_33010,2008-2009,124
LRC_SSD_IG_33015,2008-2009,117
LRC_SSD_IG_33017,2008-2009,123
LRC_SSD_IG_33017,2008-2009,115
LRC_SSD_IG_33021,2008-2009,115
LRC_SSD_IG_33026,2008-2009,115
LRC_SSD_IG_33042,2008-2009,123
LRC_SSD_IG_33042,2008-2009,120
LRC_SSD_IG_33054,2008-2009,115
LRC_SSD_IG_33056,2008-2009,115
LRC_SSD_IG_33065,2008-2009,136
LRC_SSD_IG_33088,2008-2009,120
LRC_SSD_IG_35201,2008-2009,118
LRC_SSD_IG_35220,2008-2009,120
LRC_SSD_IG_35274,2008-2009,107
LRC_SSD_IG_35276,2008-2009,120
LRC_SSD_IG_35278,2008-2009,103
LRC_SSD_IG_35280,2008-2009,101
LRC_SSD_IG_35291,2008-2009,108
LRC_SSD_IG_35292,2008-2009,101
LRC_SSD_IG_35308,2008-2009,108
LRC_SSD_IG_35313,2008-2009,108
LRC_SSD_IG_35329,2008-2009,117
LRC_SSD_IG_35341,2008-2009,115
LRC_SSD_IG_35343,2008-2009,107
LRC_SSD_IG_35347,2008-2009,108
LRC_SSD_IG_35348,2008-2009,108
LRC_SSD_IG_35351,2008-2009,108
LRC_SSD_IG_35354,2008-2009,108
LRC_SSD_IG_35382,2008-2009,115
LRC_SSD_IG_35385,2008-2009,115
LRC_SSD_IG_35390,2008-2009,120
LRC_SSD_IG_35398,2008-2009,120
LRC_SSD_IG_37784,2008-2009,105
LRC_SSD_IG_37788,2008-2009,99
LRC_SSD_IG_38285,2008-2009,115
LRC_SSD_IG_38519,2008-2009,133
LRC_SSD_IG_115990,2010-2011,97
LRC_SSD_IG_18786,2010-2011,92
LRC_SSD_IG_25828,2010-2011,87
LRC_SSD_IG_33015,2010-2011,88
LRC_SSD_IG_33026,2010-2011,99
LRC_SSD_IG_33088,2010-2011,93.5
LRC_SSD_IG_35220,2010-2011,91.5
LRC_SSD_IG_35278,2010-2011,89
LRC_SSD_IG_35308,2010-2011,95.5
LRC_SSD_IG_35329,2010-2011,90
LRC_SSD_IG_35343,2010-2011,99
LRC_SSD_IG_35347,2010-2011,90
LRC_SSD_IG_35348,2010-2011,93.5
LRC_SSD_IG_35351,2010-2011,92.5
LRC_SSD_IG_35382,2010-2011,91
LRC_SSD_IG_35390,2010-2011,91
LRC_SSD_IG_37788,2010-2011,88
LRC_SSD_IG_17353,2015-2016,146
LRC_SSD_IG_17362,2015-2016,120
LRC_SSD_IG_17370,2015-2016,146
LRC_SSD_IG_19421,2015-2016,131
LRC_SSD_IG_19592,2015-2016,136
LRC_SSD_IG_23583,2015-2016,133
LRC_SSD_IG_23585,2015-2016,131
LRC_SSD_IG_23597,2015-2016,146
LRC_SSD_IG_24408,2015-2016,130
LRC_SSD_IG_24411,2015-2016,131
LRC_SSD_IG_24415,2015-2016,130
LRC_SSD_IG_24432,2015-2016,131
LRC_SSD_IG_24434,2015-2016,143
LRC_SSD_IG_24436,2015-2016,147
LRC_SSD_IG_24441,2015-2016,144
LRC_SSD_IG_24446,2015-2016,146
LRC_SSD_IG_24448,2015-2016,147
LRC_SSD_IG_24453,2015-2016,142
LRC_SSD_IG_24461,2015-2016,147
LRC_SSD_IG_24462,2015-2016,145
LRC_SSD_IG_24464,2015-2016,147
LRC_SSD_IG_24466,2015-2016,147
LRC_SSD_IG_24471,2015-2016,145
LRC_SSD_IG_27376,2015-2016,132
LRC_SSD_IG_132314,2016-2017,146
LRC_SSD_IG_18014,2016-2017,139
LRC_SSD_IG_28713,2016-2017,132
LRC_SSD_IG_32598,2016-2017,133
LRC_SSD_IG_32710,2016-2017,139
LRC_SSD_IG_32756,2016-2017,133
LRC_SSD_IG_32777,2016-2017,133
LRC_SSD_IG_33065,2016-2017,149
LRC_SSD_IG_35399,2016-2017,139
LRC_SSD_IG_37177,2016-2017,123
LRC_SSD_IG_37180,2016-2017,124
LRC_SSD_IG_37181,2016-2017,123
LRC_SSD_IG_37182,2016-2017,124
LRC_SSD_IG_37185,2016-2017,125
LRC_SSD_IG_37186,2016-2017,125
LRC_SSD_IG_38519,2016-2017,146
