accenumb,agent_id,doi,plant_height,days_to_heading,early_growth_tendency,thousand_kernel_weight,name,description,campaign
CGN01307,NA,10.18730/13XYM,85,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01308,NA,10.18730/13XZN,85,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01309,NA,10.18730/13Y0P,85,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01310,NA,10.18730/13Y1Q,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01311,NA,10.18730/13Y2R,80,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01312,NA,10.18730/13Y3S,85,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01313,NA,10.18730/13Y4T,100,NA,6,31.3,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01314,NA,10.18730/13Y5V,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01315,NA,10.18730/13Y6W,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01316,NA,10.18730/13Y7X,85,160,5,34.5,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01317,NA,10.18730/13Y8Y,95,NA,6,49.5,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01318,NA,10.18730/13Y9Z,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01319,NA,10.18730/13YA*,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01320,NA,10.18730/13YB~,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01321,NA,10.18730/13YC$,105,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01322,NA,10.18730/13YD=,90,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01323,NA,10.18730/13YEU,100,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01324,NA,10.18730/13YF0,100,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01325,NA,10.18730/13YG1,95,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01326,NA,10.18730/13YH2,100,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01327,NA,10.18730/13YJ3,95,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01328,NA,10.18730/13YK4,95,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01329,NA,10.18730/13YM5,95,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01330,NA,10.18730/13YN6,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01331,NA,10.18730/13YP7,100,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01332,NA,10.18730/13YQ8,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01333,NA,10.18730/13YR9,85,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01334,NA,10.18730/13YSA,95,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01335,NA,10.18730/13YTB,90,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01336,NA,10.18730/13YVC,90,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01337,NA,10.18730/13YWD,90,NA,6,37.5,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01338,NA,10.18730/13YXE,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01339,NA,10.18730/13YYF,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01340,NA,10.18730/13YZG,80,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01341,NA,10.18730/13Z0H,90,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01342,NA,10.18730/13Z1J,80,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01343,NA,10.18730/13Z2K,80,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01344,NA,10.18730/13Z3M,85,NA,4,32.4,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01345,NA,10.18730/13Z4N,90,NA,4,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01346,NA,10.18730/13Z5P,85,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01347,NA,10.18730/13Z6Q,80,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01348,NA,10.18730/13Z7R,95,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01349,NA,10.18730/13Z8S,95,NA,6,38.2,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01350,NA,10.18730/13Z9T,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01351,NA,10.18730/13ZAV,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01352,NA,10.18730/13ZBW,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01353,NA,10.18730/13ZCX,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01354,NA,10.18730/13ZDY,85,NA,4,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01355,NA,10.18730/13ZEZ,90,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01356,NA,10.18730/13ZF*,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01357,NA,10.18730/13ZG~,95,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01358,NA,10.18730/13ZH$,90,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01359,NA,10.18730/13ZJ=,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01361,NA,10.18730/13ZKU,90,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01362,NA,10.18730/13ZM0,85,NA,6,44,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01363,NA,10.18730/13ZN1,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01364,NA,10.18730/13ZP2,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01365,NA,10.18730/13ZQ3,70,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01366,NA,10.18730/13ZR4,65,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01367,NA,10.18730/13ZS5,75,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01368,NA,10.18730/13ZT6,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01369,NA,10.18730/13ZV7,75,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01370,NA,10.18730/13ZW8,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01371,NA,10.18730/13ZX9,70,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01372,NA,10.18730/13ZYA,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01373,NA,10.18730/13ZZB,70,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01374,NA,10.18730/1400C,65,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01375,NA,10.18730/1401D,65,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01376,NA,10.18730/1402E,70,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01377,NA,10.18730/1403F,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01378,NA,10.18730/1404G,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01379,NA,10.18730/1405H,65,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01380,NA,10.18730/1406J,70,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01381,NA,10.18730/1407K,70,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01382,NA,10.18730/1408M,65,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01383,NA,10.18730/1409N,75,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01384,NA,10.18730/140AP,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01385,NA,10.18730/140BQ,70,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01386,NA,10.18730/140CR,70,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01387,NA,10.18730/140DS,70,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01388,NA,10.18730/140ET,70,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01389,NA,10.18730/140FV,75,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01390,NA,10.18730/140GW,65,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01391,NA,10.18730/140HX,80,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01392,NA,10.18730/140JY,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01393,NA,10.18730/140KZ,70,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01394,NA,10.18730/140M*,65,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01395,NA,10.18730/140N~,65,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01396,NA,10.18730/140P$,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01397,NA,10.18730/140Q=,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01398,NA,10.18730/140RU,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01399,NA,10.18730/140S0,80,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01400,NA,10.18730/140T1,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01401,NA,10.18730/140V2,70,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01402,NA,10.18730/140W3,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01403,NA,10.18730/140X4,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01404,NA,10.18730/140Y5,70,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01405,NA,10.18730/140Z6,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01406,NA,10.18730/14107,75,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01407,NA,10.18730/14118,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01408,NA,10.18730/14129,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01409,NA,10.18730/1413A,95,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01410,NA,10.18730/1414B,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01411,NA,10.18730/1415C,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01412,NA,10.18730/1416D,85,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01413,NA,10.18730/1417E,95,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01414,NA,10.18730/1418F,70,NA,4,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01415,NA,10.18730/1419G,80,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01416,NA,10.18730/141AH,70,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01417,NA,10.18730/141BJ,70,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01418,NA,10.18730/141CK,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01419,NA,10.18730/141DM,75,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01420,NA,10.18730/141EN,85,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01421,NA,10.18730/141FP,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01422,NA,10.18730/141GQ,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01423,NA,10.18730/141HR,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01424,NA,10.18730/141JS,75,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01425,NA,10.18730/141KT,85,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01426,NA,10.18730/141MV,70,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01427,NA,10.18730/141NW,65,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01428,NA,10.18730/141PX,85,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01429,NA,10.18730/141QY,75,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01430,NA,10.18730/141RZ,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01431,NA,10.18730/141S*,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01432,NA,10.18730/141T~,70,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01433,NA,10.18730/141V$,75,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01434,NA,10.18730/141W=,65,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01436,NA,10.18730/141XU,60,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01437,NA,10.18730/141Y0,70,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01438,NA,10.18730/141Z1,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01439,NA,10.18730/14202,75,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01440,NA,10.18730/14213,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01441,NA,10.18730/14224,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01442,NA,10.18730/14235,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01443,NA,10.18730/14246,80,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01444,NA,10.18730/14257,80,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01445,NA,10.18730/14268,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01446,NA,10.18730/14279,75,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01447,NA,10.18730/1428A,75,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01448,NA,10.18730/1429B,75,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01449,NA,10.18730/142AC,80,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN01450,NA,10.18730/142BD,75,160,5,45.3,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02426,NA,10.18730/14M1R,70,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02434,NA,10.18730/14M9*,70,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02436,NA,10.18730/14MB$,75,NA,5,41.3,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02438,NA,10.18730/14MDU,70,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02439,NA,10.18730/14ME0,60,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02441,NA,10.18730/14MG2,65,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02442,NA,10.18730/14MH3,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02444,NA,10.18730/14MK5,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02447,NA,10.18730/14MP8,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02450,NA,10.18730/14MSB,70,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02452,NA,10.18730/14MVD,65,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02454,NA,10.18730/14MXF,65,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02457,NA,10.18730/14N0J,75,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02458,NA,10.18730/14N1K,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02459,NA,10.18730/14N2M,70,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02463,NA,10.18730/14N6R,95,NA,7,50.1,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02469,NA,10.18730/14NCY,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02470,NA,10.18730/14NDZ,85,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02472,NA,10.18730/14NF~,80,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02474,NA,10.18730/14NH=,95,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02475,NA,10.18730/14NJU,95,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02477,NA,10.18730/14NM1,80,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02478,NA,10.18730/14NN2,70,160,4,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02479,NA,10.18730/14NP3,70,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02480,NA,10.18730/14NQ4,70,NA,4,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02481,NA,10.18730/14NR5,75,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02482,NA,10.18730/14NS6,85,160,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02483,NA,10.18730/14NT7,70,NA,4,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02484,NA,10.18730/14NV8,100,NA,7,44.6,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02485,NA,10.18730/14NW9,10,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02486,NA,10.18730/14NXA,95,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02489,NA,10.18730/14P0D,90,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02491,NA,10.18730/14P2F,105,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02492,NA,10.18730/14P3G,85,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
CGN02494,NA,10.18730/14P5J,95,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil, sowing date 08041986",1986-1986
