accenumb,agent_id,doi,plant_height,days_to_heading,early_growth_tendency,thousand_kernel_weight,name,description,campaign
CGN00038,NA,10.18730/12Y41,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00039,NA,10.18730/12Y52,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00040,NA,10.18730/12Y63,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00041,NA,10.18730/12Y74,85,156,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00042,NA,10.18730/12Y85,115,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00043,NA,10.18730/12Y96,90,156,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00044,NA,10.18730/12YA7,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00045,NA,10.18730/12YB8,110,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00046,NA,10.18730/12YC9,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00047,NA,10.18730/12YDA,95,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00048,NA,10.18730/12YEB,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00049,NA,10.18730/12YFC,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00050,NA,10.18730/12YGD,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00051,NA,10.18730/12YHE,85,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00052,NA,10.18730/12YJF,95,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00053,NA,10.18730/12YKG,85,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00054,NA,10.18730/12YMH,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00056,NA,10.18730/12YPK,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00091,NA,10.18730/12ZSH,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00092,NA,10.18730/12ZTJ,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00094,NA,10.18730/12ZWM,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00096,NA,10.18730/12ZYP,85,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00137,NA,10.18730/1316S,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00138,NA,10.18730/1317T,105,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
