accenumb,campaign,plant_height
CGN12114,1988-1988,55
CGN12122,1988-1988,80
CGN12263,1988-1988,95
CGN12268,1988-1988,90
CGN12279,1988-1988,100
CGN12281,1988-1988,110
CGN12285,1988-1988,100
CGN12290,1988-1988,125
CGN12292,1988-1988,90
CGN13138,1988-1988,80
CGN13143,1988-1988,80
CGN16052,1988-1988,125
CGN16060,1988-1988,75
CGN16103,1988-1988,90
CGN04304,1988-1989,130
CGN04357,1988-1989,155
CGN04362,1988-1989,150
CGN04403,1988-1989,125
CGN04420,1988-1989,130
CGN04421,1988-1989,140
CGN05382,1988-1989,135
CGN05397,1988-1989,160
CGN06532,1988-1989,115
CGN06547,1988-1989,160
CGN08312,1988-1989,135
CGN10414,1988-1989,130
CGN11448,1988-1989,120
CGN11453,1988-1989,120
CGN11454,1988-1989,125
CGN11458,1988-1989,140
CGN11465,1988-1989,135
CGN11468,1988-1989,125
CGN11472,1988-1989,105
CGN11475,1988-1989,125
CGN11477,1988-1989,135
CGN11480,1988-1989,120
CGN11484,1988-1989,140
CGN11487,1988-1989,115
CGN11489,1988-1989,130
CGN11491,1988-1989,145
CGN11507,1988-1989,135
CGN11512,1988-1989,80
CGN11512,1988-1989,125
CGN11513,1988-1989,80
CGN11513,1988-1989,140
CGN11516,1988-1989,95
CGN11516,1988-1989,135
CGN11517,1988-1989,90
CGN11517,1988-1989,135
CGN11518,1988-1989,85
CGN11518,1988-1989,125
CGN11519,1988-1989,95
CGN11519,1988-1989,100
CGN11520,1988-1989,90
CGN11520,1988-1989,115
CGN11523,1988-1989,80
CGN11523,1988-1989,135
CGN11530,1988-1989,75
CGN11530,1988-1989,135
CGN11531,1988-1989,85
CGN11531,1988-1989,125
CGN11533,1988-1989,95
CGN11533,1988-1989,135
CGN11536,1988-1989,95
CGN11536,1988-1989,145
CGN11538,1988-1989,95
CGN11538,1988-1989,135
CGN11550,1988-1989,80
CGN11550,1988-1989,140
CGN11553,1988-1989,80
CGN11553,1988-1989,130
CGN11554,1988-1989,90
CGN11554,1988-1989,140
CGN11558,1988-1989,90
CGN11558,1988-1989,125
CGN11562,1988-1989,115
CGN11563,1988-1989,120
CGN11567,1988-1989,110
CGN11573,1988-1989,115
CGN11575,1988-1989,115
CGN11576,1988-1989,135
CGN11580,1988-1989,120
CGN11581,1988-1989,115
CGN11588,1988-1989,125
CGN11605,1988-1989,120
CGN11606,1988-1989,125
CGN11607,1988-1989,130
CGN11608,1988-1989,105
CGN11609,1988-1989,125
CGN11610,1988-1989,120
CGN11611,1988-1989,115
CGN11612,1988-1989,110
CGN11613,1988-1989,120
CGN11614,1988-1989,120
CGN11944,1988-1989,100
CGN12126,1988-1989,80
CGN12129,1988-1989,80
CGN12137,1988-1989,100
CGN12215,1988-1989,75
CGN12225,1988-1989,65
CGN12230,1988-1989,80
CGN12231,1988-1989,85
CGN12235,1988-1989,80
CGN12253,1988-1989,90
CGN16020,1988-1989,70
CGN16023,1988-1989,70
CGN16024,1988-1989,60
CGN16027,1988-1989,70
CGN16032,1988-1989,105
CGN16033,1988-1989,120
CGN16034,1988-1989,110
CGN16035,1988-1989,110
CGN16036,1988-1989,125
CGN16037,1988-1989,105
CGN16046,1988-1989,95
CGN06131,1989-1989,60
CGN06397,1989-1989,95
CGN06544,1989-1989,140
CGN06597,1989-1989,80
CGN10392,1989-1989,55
CGN10395,1989-1989,70
CGN10401,1989-1989,80
CGN10405,1989-1989,70
CGN10406,1989-1989,60
CGN10407,1989-1989,70
CGN10408,1989-1989,80
CGN11472,1989-1989,105
CGN11487,1989-1989,120
CGN11489,1989-1989,80
CGN11605,1989-1989,110
CGN11606,1989-1989,125
CGN11607,1989-1989,125
CGN11608,1989-1989,115
CGN11609,1989-1989,110
CGN11610,1989-1989,135
CGN11611,1989-1989,125
CGN11612,1989-1989,125
CGN11613,1989-1989,120
CGN11614,1989-1989,120
CGN11944,1989-1989,110
CGN11945,1989-1989,95
CGN11946,1989-1989,105
CGN11947,1989-1989,115
CGN11948,1989-1989,110
CGN11949,1989-1989,65
CGN11950,1989-1989,70
CGN11951,1989-1989,100
CGN11952,1989-1989,130
CGN11953,1989-1989,90
CGN12263,1989-1989,90
CGN12264,1989-1989,75
CGN12265,1989-1989,65
CGN12266,1989-1989,105
CGN12267,1989-1989,90
CGN12268,1989-1989,70
CGN12269,1989-1989,100
CGN12270,1989-1989,105
CGN12273,1989-1989,110
CGN12275,1989-1989,110
CGN12276,1989-1989,100
CGN12277,1989-1989,120
CGN12278,1989-1989,95
CGN12279,1989-1989,90
CGN12281,1989-1989,70
CGN12283,1989-1989,130
CGN12284,1989-1989,130
CGN12285,1989-1989,120
CGN12286,1989-1989,100
CGN12288,1989-1989,130
CGN12289,1989-1989,130
CGN12291,1989-1989,120
CGN12292,1989-1989,115
CGN12293,1989-1989,120
CGN12294,1989-1989,110
CGN12296,1989-1989,120
CGN12297,1989-1989,110
CGN12298,1989-1989,120
CGN12299,1989-1989,90
CGN12300,1989-1989,75
CGN16049,1989-1989,90
CGN16052,1989-1989,90
CGN16056,1989-1989,100
CGN16094,1989-1989,120
CGN16095,1989-1989,110
CGN16103,1989-1989,90
CGN16105,1989-1989,80
CGN21064,1989-1989,70
CGN04304,1990-1991,100
CGN04357,1990-1991,120
CGN04362,1990-1991,115
CGN04403,1990-1991,110
CGN04420,1990-1991,100
CGN04421,1990-1991,100
CGN05382,1990-1991,110
CGN06547,1990-1991,120
CGN10551,1990-1991,85
CGN11468,1990-1991,115
CGN11491,1990-1991,105
CGN11507,1990-1991,100
CGN12102,1990-1991,90
CGN16023,1990-1991,100
CGN16024,1990-1991,95
CGN16027,1990-1991,95
CGN16028,1990-1991,65
CGN16030,1990-1991,115
CGN16032,1990-1991,85
CGN16033,1990-1991,95
CGN16034,1990-1991,85
CGN16035,1990-1991,90
CGN16036,1990-1991,85
CGN16037,1990-1991,90
CGN16038,1990-1991,100
CGN16042,1990-1991,85
CGN16043,1990-1991,95
CGN16046,1990-1991,100
CGN16047,1990-1991,95
CGN08102,1991-1991,80
CGN12290,1991-1991,110
CGN16049,1991-1991,110
CGN16052,1991-1991,125
CGN16053,1991-1991,115
CGN16056,1991-1991,130
CGN16059,1991-1991,100
CGN16061,1991-1991,100
CGN16062,1991-1991,120
CGN16070,1991-1991,100
CGN16071,1991-1991,80
CGN16072,1991-1991,100
CGN16094,1991-1991,120
CGN16095,1991-1991,120
CGN16100,1991-1991,130
CGN16103,1991-1991,110
CGN16105,1991-1991,90
CGN21063,1991-1991,100
CGN21064,1991-1991,110
