accession_match,responsibility,instcode,crop,genus,species,species_authority,accenumb,declatitude,declongitude
CREA_wheat/TA00536,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00536,44.4937578,11.3430308
CREA_wheat/TA00715,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00715,44.4937578,11.3430308
CREA_wheat/TA00716,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00716,45.7580222,7.0354328
CREA_wheat/TA00717,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00717,45.7580222,7.0354328
CREA_wheat/TA00718,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00718,45.7580222,7.0354328
CREA_wheat/TA00720,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00720,45.2333206,11.4657778
CREA_wheat/TA00726,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00726,42.4016906,12.8629992
CREA_wheat/TA00727,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00727,NA,NA
CREA_wheat/TA00730,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00730,NA,NA
CREA_wheat/TA00732,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00732,NA,NA
CREA_wheat/TA00733,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00733,NA,NA
CREA_wheat/TA00738,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00738,42.4016906,12.8629992
CREA_wheat/TA00739,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00739,38.1035389,15.6397556
CREA_wheat/TA00742,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00742,44.43743,7.3753269
CREA_wheat/TA00744,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00744,44.4937578,11.3430308
CREA_wheat/TA00748,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00748,44.4937578,11.3430308
CREA_wheat/TA00751,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00751,44.4937578,11.3430308
CREA_wheat/TA00752,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00752,44.4937578,11.3430308
CREA_wheat/TA00757,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00757,44.4937578,11.3430308
CREA_wheat/TA00759,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00759,44.4937578,11.3430308
CREA_wheat/TA00767,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00767,42.4016906,12.8629992
CREA_wheat/TA00771,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00771,NA,NA
CREA_wheat/TA00773,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00773,44.4937578,11.3430308
CREA_wheat/TA00777,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00777,44.4937578,11.3430308
CREA_wheat/TA00779,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00779,45.7980814,8.4069508
CREA_wheat/TA00782,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00782,41.1257842,16.8620292
CREA_wheat/TA00786,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00786,41.1257842,16.8620292
CREA_wheat/TA00792,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00792,44.4937578,11.3430308
CREA_wheat/TA00799,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00799,44.4937578,11.3430308
CREA_wheat/TA00800,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00800,NA,NA
CREA_wheat/TA00803,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00803,45.6658506,12.2455414
CREA_wheat/TA00808,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00808,NA,NA
CREA_wheat/TA00814,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00814,NA,NA
CREA_wheat/TA00817,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00817,NA,NA
CREA_wheat/TA00819,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00819,NA,NA
CREA_wheat/TA00821,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00821,42.4016906,12.8629992
CREA_wheat/TA00823,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00823,NA,NA
CREA_wheat/TA00828,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00828,42.4016906,12.8629992
CREA_wheat/TA00831,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00831,44.4937578,11.3430308
CREA_wheat/TA00836,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00836,44.4937578,11.3430308
CREA_wheat/TA00839,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00839,44.4937578,11.3430308
CREA_wheat/TA00844,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00844,42.4016906,12.8629992
CREA_wheat/TA00846,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00846,NA,NA
CREA_wheat/TA00847,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00847,43.4035083,13.5486017
CREA_wheat/TA00850,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00850,NA,NA
CREA_wheat/TA00853,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00853,44.4937578,11.3430308
CREA_wheat/TA00857,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00857,44.4937578,11.3430308
CREA_wheat/TA00545,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00545,44.4937578,11.3430308
CREA_wheat/TA00546,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00546,41.1295586,14.7824639
CREA_wheat/TA00549,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00549,NA,NA
CREA_wheat/TA00552,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00552,42.4016906,12.8629992
CREA_wheat/TA00553,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00553,42.4016906,12.8629992
CREA_wheat/TA00560,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00560,44.9129225,8.6153208
CREA_wheat/TA00566,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00566,44.9129225,8.6153208
CREA_wheat/TA00567,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00567,44.9129225,8.6153208
CREA_wheat/TA00570,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00570,NA,NA
CREA_wheat/TA00577,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00577,45.3881156,11.38799
CREA_wheat/TA00580,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00580,45.5976933,9.0180614
CREA_wheat/TA00582,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00582,NA,NA
CREA_wheat/TA00586,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00586,45.3881156,11.38799
CREA_wheat/TA00592,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00592,45.3881156,11.38799
CREA_wheat/TA00596,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00596,42.4016906,12.8629992
CREA_wheat/TA00602,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00602,45.3881156,11.38799
CREA_wheat/TA00611,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00611,NA,NA
CREA_wheat/TA00613,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00613,45.3881156,11.38799
CREA_wheat/TA00615,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00615,45.3881156,11.38799
CREA_wheat/TA00616,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00616,45.3881156,11.38799
CREA_wheat/TA00618,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00618,45.3881156,11.38799
CREA_wheat/TA00620,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00620,45.3881156,11.38799
CREA_wheat/TA00626,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00626,NA,NA
CREA_wheat/TA00630,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00630,NA,NA
CREA_wheat/TA00636,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00636,41.0820828,14.3347081
CREA_wheat/TA00652,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00652,43.4628956,11.8781675
CREA_wheat/TA00657,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00657,38.1112267,13.3524433
CREA_wheat/TA00663,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00663,42.9231661,10.5268192
CREA_wheat/TA00665,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00665,NA,NA
CREA_wheat/TA00666,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00666,43.7159394,10.4018622
CREA_wheat/TA00670,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00670,45.2380669,9.4086558
CREA_wheat/TA00674,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00674,45.2380669,9.4086558
CREA_wheat/TA00676,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00676,37.3880481,14.6926808
CREA_wheat/TA00679,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00679,42.9231661,10.5268192
CREA_wheat/TA00682,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00682,45.4668,9.1905
CREA_wheat/TA00684,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00684,44.6723442,8.4735278
CREA_wheat/TA00002,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00002,45.3603142,11.7897833
CREA_wheat/TA00006,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00006,42.9231661,10.5268192
CREA_wheat/TA00007,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00007,NA,NA
CREA_wheat/TA00008,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00008,NA,NA
CREA_wheat/TA00009,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00009,NA,NA
CREA_wheat/TA00010,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00010,45.1334797,10.0248717
CREA_wheat/TA00011,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00011,NA,NA
CREA_wheat/TA00012,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00012,45.3603142,11.7897833
CREA_wheat/TA00013,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00013,41.8933203,12.4829319
CREA_wheat/TA00018,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00018,NA,NA
CREA_wheat/TA00023,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00023,42.4016906,12.8629992
CREA_wheat/TA00025,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00025,44.4937578,11.3430308
CREA_wheat/TA00027,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00027,44.4937578,11.3430308
CREA_wheat/TA00029,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00029,42.4016906,12.8629992
CREA_wheat/TA00034,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00034,41.8933203,12.4829319
CREA_wheat/TA00036,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00036,NA,NA
CREA_wheat/TA00040,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00040,43.7159394,10.4018622
CREA_wheat/TA00045,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00045,NA,NA
CREA_wheat/TA00048,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00048,42.4016906,12.8629992
CREA_wheat/TA00055,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00055,45.3603142,11.7897833
CREA_wheat/TA00062,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00062,42.4016906,12.8629992
CREA_wheat/TA00064,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00064,44.4937578,11.3430308
CREA_wheat/TA00067,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00067,NA,NA
CREA_wheat/TA00070,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00070,45.3603142,11.7897833
CREA_wheat/TA00073,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00073,NA,NA
CREA_wheat/TA00082,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00082,41.8933203,12.4829319
CREA_wheat/TA00092,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00092,NA,NA
CREA_wheat/TA00097,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00097,42.9231661,10.5268192
CREA_wheat/TA00101,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00101,43.7159394,10.4018622
CREA_wheat/TA00103,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00103,43.7159394,10.4018622
CREA_wheat/TA00105,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00105,43.7159394,10.4018622
CREA_wheat/TA00112,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00112,42.4016906,12.8629992
CREA_wheat/TA00114,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00114,NA,NA
CREA_wheat/TA00116,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00116,NA,NA
CREA_wheat/TA00118,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00118,41.8933203,12.4829319
CREA_wheat/TA00123,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00123,NA,NA
CREA_wheat/TA00125,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00125,NA,NA
CREA_wheat/TA00126,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00126,NA,NA
CREA_wheat/TA00128,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00128,42.4016906,12.8629992
CREA_wheat/TA00131,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00131,45.3881156,11.38799
CREA_wheat/TA00139,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00139,40.89761,14.1905281
CREA_wheat/TA00146,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00146,44.4937578,11.3430308
CREA_wheat/TA00149,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00149,44.4937578,11.3430308
CREA_wheat/TA00156,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00156,NA,NA
CREA_wheat/TA00168,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00168,44.4937578,11.3430308
CREA_wheat/TA00172,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00172,NA,NA
CREA_wheat/TA00174,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00174,NA,NA
CREA_wheat/TA00178,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00178,43.7159394,10.4018622
CREA_wheat/TA00179,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00179,43.7159394,10.4018622
CREA_wheat/TA00180,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00180,42.9231661,10.5268192
CREA_wheat/TA00182,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00182,45.8753769,11.5106997
CREA_wheat/TA00184,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00184,NA,NA
CREA_wheat/TA00185,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00185,42.4016906,12.8629992
CREA_wheat/TA00187,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00187,NA,NA
CREA_wheat/TA00188,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00188,NA,NA
CREA_wheat/TA00193,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00193,41.8933203,12.4829319
CREA_wheat/TA00194,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00194,NA,NA
CREA_wheat/TA00195,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00195,37.5022356,15.08738
CREA_wheat/TA00196,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00196,42.4016906,12.8629992
CREA_wheat/TA00200,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00200,42.4016906,12.8629992
CREA_wheat/TA00203,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00203,42.4016906,12.8629992
CREA_wheat/TA00204,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00204,42.4016906,12.8629992
CREA_wheat/TA00208,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00208,NA,NA
CREA_wheat/TA00220,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00220,45.2380669,9.4086558
CREA_wheat/TA00224,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00224,45.7833708,12.4937783
CREA_wheat/TA00228,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00228,45.7833708,12.4937783
CREA_wheat/TA00244,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00244,45.3881156,11.38799
CREA_wheat/TA00248,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00248,40.89761,14.1905281
CREA_wheat/TA00251,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00251,NA,NA
CREA_wheat/TA00255,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00255,42.4016906,12.8629992
CREA_wheat/TA00262,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00262,NA,NA
CREA_wheat/TA00265,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00265,NA,NA
CREA_wheat/TA00266,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00266,46.0634631,13.2358378
CREA_wheat/TA00271,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00271,42.4016906,12.8629992
CREA_wheat/TA00278,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00278,44.4715667,11.4048592
CREA_wheat/TA00282,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00282,45.1334797,10.0248717
CREA_wheat/TA00285,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00285,NA,NA
CREA_wheat/TA00287,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00287,NA,NA
CREA_wheat/TA00290,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00290,NA,NA
CREA_wheat/TA00296,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00296,43.7159394,10.4018622
CREA_wheat/TA00298,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00298,NA,NA
CREA_wheat/TA00306,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00306,NA,NA
CREA_wheat/TA00312,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00312,41.1257842,16.8620292
CREA_wheat/TA00314,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00314,NA,NA
CREA_wheat/TA00322,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00322,44.4937578,11.3430308
CREA_wheat/TA00324,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00324,43.7698711,11.2555756
CREA_wheat/TA00328,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00328,45.3603142,11.7897833
CREA_wheat/TA00337,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00337,42.4016906,12.8629992
CREA_wheat/TA00339,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00339,45.231855,8.1016281
CREA_wheat/TA00341,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00341,44.4937578,11.3430308
CREA_wheat/TA00343,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00343,44.4937578,11.3430308
CREA_wheat/TA00348,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00348,44.4937578,11.3430308
CREA_wheat/TA00355,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00355,NA,NA
CREA_wheat/TA00357,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00357,44.8013678,10.3280833
CREA_wheat/TA00359,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00359,NA,NA
CREA_wheat/TA00362,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00362,41.8933203,12.4829319
CREA_wheat/TA00364,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00364,44.4937578,11.3430308
CREA_wheat/TA00367,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00367,42.4016906,12.8629992
CREA_wheat/TA00372,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00372,NA,NA
CREA_wheat/TA00374,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00374,NA,NA
CREA_wheat/TA00380,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00380,45.2380669,9.4086558
CREA_wheat/TA00385,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00385,45.2380669,9.4086558
CREA_wheat/TA00386,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00386,45.2380669,9.4086558
CREA_wheat/TA00388,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00388,NA,NA
CREA_wheat/TA00394,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00394,44.9129225,8.6153208
CREA_wheat/TA00396,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00396,NA,NA
CREA_wheat/TA00397,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00397,42.9231661,10.5268192
CREA_wheat/TA00404,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00404,NA,NA
CREA_wheat/TA00409,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00409,44.4937578,11.3430308
CREA_wheat/TA00411,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00411,44.4937578,11.3430308
CREA_wheat/TA00412,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00412,44.4937578,11.3430308
CREA_wheat/TA00418,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00418,44.4937578,11.3430308
CREA_wheat/TA00420,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00420,44.4937578,11.3430308
CREA_wheat/TA00424,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00424,NA,NA
CREA_wheat/TA00426,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00426,NA,NA
CREA_wheat/TA00428,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00428,44.4715667,11.4048592
CREA_wheat/TA00435,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00435,42.9231661,10.5268192
CREA_wheat/TA00448,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00448,43.7698711,11.2555756
CREA_wheat/TA00449,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00449,43.7698711,11.2555756
CREA_wheat/TA00452,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00452,43.7698711,11.2555756
CREA_wheat/TA00462,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00462,42.9231661,10.5268192
CREA_wheat/TA00467,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00467,NA,NA
CREA_wheat/TA00480,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00480,44.4715667,11.4048592
CREA_wheat/TA00485,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00485,NA,NA
CREA_wheat/TA00487,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00487,NA,NA
CREA_wheat/TA00497,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00497,44.4937578,11.3430308
CREA_wheat/TA00501,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00501,44.4937578,11.3430308
CREA_wheat/TA00504,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00504,44.4937578,11.3430308
CREA_wheat/TA00506,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00506,44.4937578,11.3430308
CREA_wheat/TA00511,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00511,43.7698711,11.2555756
CREA_wheat/TA00513,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00513,43.7698711,11.2555756
CREA_wheat/TA00515,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00515,43.7698711,11.2555756
CREA_wheat/TA00518,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00518,NA,NA
CREA_wheat/TA00521,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00521,NA,NA
CREA_wheat/TA00531,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00531,NA,NA
CREA_wheat/TA00532,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00532,NA,NA
CREA_wheat/TA01103,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01103,41.8933203,12.4829319
CREA_wheat/TA01105,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01105,41.8933203,12.4829319
CREA_wheat/TA01109,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01109,NA,NA
CREA_wheat/TA01111,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01111,45.2380669,9.4086558
CREA_wheat/TA01115,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01115,44.4715667,11.4048592
CREA_wheat/TA01117,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01117,NA,NA
CREA_wheat/TA01120,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01120,44.4937578,11.3430308
CREA_wheat/TA01122,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01122,NA,NA
CREA_wheat/TA01126,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01126,42.9231661,10.5268192
CREA_wheat/TA01129,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01129,NA,NA
CREA_wheat/TA01130,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01130,44.4715667,11.4048592
CREA_wheat/TA01131,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01131,42.4016906,12.8629992
CREA_wheat/TA01132,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01132,42.4016906,12.8629992
CREA_wheat/TA01134,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01134,39.2169525,9.1128514
CREA_wheat/TA01135,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01135,39.2169525,9.1128514
CREA_wheat/TA01136,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01136,39.2169525,9.1128514
CREA_wheat/TA01137,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01137,NA,NA
CREA_wheat/TA01143,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01143,NA,NA
CREA_wheat/TA01145,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01145,42.4016906,12.8629992
CREA_wheat/TA01146,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01146,42.4016906,12.8629992
CREA_wheat/TA01147,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA01147,NA,NA
