accession_match,responsibility,instcode,crop,genus,species,species_authority,accenumb,declatitude,declongitude
IPGR-Sadovo_wheat/1979-TRT-AE-320,IPGR-Sadovo,BGR001,Wheat,Triticum,aestivum,L.,1979-TRT-AE-320,NA,NA
IPGR-Sadovo_wheat/1982-TRT-AE-917,IPGR-Sadovo,BGR001,Wheat,Triticum,aestivum,L.,1982-TRT-AE-917,NA,NA
INIA_wheat/NC028051,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC028051,NA,NA
INIA_wheat/NC011734,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC011734,NA,NA
INIA_wheat/NC027913,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027913,NA,NA
INIA_wheat/NC028616,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC028616,NA,NA
INIA_wheat/NC027922,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027922,NA,NA
INIA_wheat/NC028043,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC028043,NA,NA
INIA_wheat/NC027635,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027635,NA,NA
INIA_wheat/NC011703,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC011703,NA,NA
INIA_wheat/NC035409,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC035409,NA,NA
INIA_wheat/NC028506,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC028506,NA,NA
INIA_wheat/NC027523,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027523,NA,NA
INIA_wheat/NC027933,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027933,NA,NA
INIA_wheat/NC028005,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC028005,NA,NA
INIA_wheat/NC011720,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC011720,NA,NA
INIA_wheat/NC028019,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC028019,NA,NA
INIA_wheat/NC027638,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027638,NA,NA
INIA_wheat/NC006521,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC006521,NA,NA
INIA_wheat/NC027660,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027660,NA,NA
INIA_wheat/NC028509,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC028509,NA,NA
INIA_wheat/NC027510,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027510,NA,NA
INIA_wheat/NC088360,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC088360,NA,NA
INIA_wheat/NC027547,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027547,NA,NA
INIA_wheat/NC038575,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC038575,NA,NA
INIA_wheat/NC027585,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027585,NA,NA
INIA_wheat/NC027528,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027528,NA,NA
INIA_wheat/NC027529,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027529,NA,NA
INIA_wheat/NC027672,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027672,NA,NA
INIA_wheat/NC088315,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC088315,NA,NA
INIA_wheat/NC088309,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC088309,NA,NA
INIA_wheat/NC027658,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027658,NA,NA
INIA_wheat/NC027997,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027997,NA,NA
INIA_wheat/NC006481,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC006481,NA,NA
INIA_wheat/NC003570,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC003570,NA,NA
INIA_wheat/NC011716,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC011716,NA,NA
INIA_wheat/NC028460,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC028460,NA,NA
INIA_wheat/NC028553,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC028553,NA,NA
INIA_wheat/NC028595,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC028595,NA,NA
