accenumb,campaign,days_to_heading
NC092173,2010-2011,177
NC003561,2011-2012,164
NC003561,2011-2012,166
NC028560,2011-2012,171
NC028560,2011-2012,169
NC056493,2011-2012,174
NC006534,2011-2012,181
NC006582,2011-2012,172
NC006474,2011-2012,179
NC092127,2011-2012,176
NC092128,2011-2012,173
NC092173,2011-2012,173
NC003558,2011-2012,180
NC006510,2011-2012,168
NC006516,2011-2012,179
NC006555,2011-2012,171
NC027526,2011-2012,178
NC027540,2011-2012,178
NC027552,2011-2012,179
NC027580,2011-2012,173
NC027590,2011-2012,175
NC027948,2011-2012,161
NC027960,2011-2012,169
NC027963,2011-2012,162
NC028018,2011-2012,161
NC028025,2011-2012,176
NC028037,2011-2012,181
NC028045,2011-2012,178
NC028047,2011-2012,177
NC028054,2011-2012,174
NC028057,2011-2012,168
NC028058,2011-2012,174
NC028059,2011-2012,173
NC028061,2011-2012,154
NC003561,2012-2013,163
NC028560,2012-2013,173
NC006582,2012-2013,175
NC003558,2012-2013,184
NC006516,2012-2013,187
NC006555,2012-2013,176
NC027526,2012-2013,181
NC027540,2012-2013,179
NC027552,2012-2013,177
NC027580,2012-2013,178
NC027590,2012-2013,178
NC027948,2012-2013,162
NC027960,2012-2013,166
NC027963,2012-2013,171
NC028018,2012-2013,165
NC028025,2012-2013,177
NC028037,2012-2013,182
NC028045,2012-2013,179
NC028047,2012-2013,179
NC028054,2012-2013,178
NC028057,2012-2013,164
NC028058,2012-2013,172
NC028059,2012-2013,174
NC028061,2012-2013,158
NC003561,2013-2014,163
NC011926,2013-2014,183
NC012100,2013-2014,186
NC050294,2013-2014,176
NC027548,2013-2014,183
NC086549,2013-2014,180
NC086550,2013-2014,179
NC086551,2013-2014,164
NC088356,2013-2014,166
NC091672,2013-2014,180
NC092128,2013-2014,180
NC001207,2013-2014,183
NC003578,2013-2014,173
NC018874,2013-2014,180
NC035379,2013-2014,180
NC039551,2013-2014,173
NC040593,2013-2014,184
NC040596,2013-2014,182
NC098983,2013-2014,178
NC101739,2013-2014,186
NC101749,2013-2014,180
NC101776,2013-2014,183
NC101790,2013-2014,180
NC101794,2013-2014,180
NC102727,2013-2014,175
NC003561,2014-2015,164
NC028368,2014-2015,179
NC028560,2014-2015,174
NC011926,2014-2015,177
NC012100,2014-2015,182
NC050294,2014-2015,172
NC024060,2014-2015,167
NC027548,2014-2015,180
NC027229,2014-2015,171
NC035554,2014-2015,178
NC088356,2014-2015,172
NC091672,2014-2015,180
NC001207,2014-2015,177
NC003578,2014-2015,172
NC018874,2014-2015,175
NC039551,2014-2015,174
NC040593,2014-2015,178
NC040596,2014-2015,178
NC098983,2014-2015,175
NC101739,2014-2015,178
NC101749,2014-2015,177
NC101776,2014-2015,178
NC101790,2014-2015,178
NC101794,2014-2015,178
NC102727,2014-2015,171
NC003561,2015-2016,174
NC028560,2015-2016,186
NC091672,2015-2016,193
NC040596,2015-2016,195
NC098983,2015-2016,189
NC101739,2015-2016,193
NC101749,2015-2016,190
NC101776,2015-2016,190
NC101790,2015-2016,190
NC101794,2015-2016,190
NC102727,2015-2016,181
NC003561,2016-2017,163
NC003561,2016-2017,161
NC003561,2016-2017,158
NC003561,2016-2017,159
NC003561,2016-2017,160
NC006565,2016-2017,188
NC006586,2016-2017,180
NC020603,2016-2017,182
NC020605,2016-2017,179
NC020638,2016-2017,177
NC024102,2016-2017,166
NC024286,2016-2017,173
NC024774,2016-2017,177
NC026258,2016-2017,169
NC027266,2016-2017,180
NC027560,2016-2017,164
NC027604,2016-2017,160
NC027605,2016-2017,165
NC027619,2016-2017,173
NC027620,2016-2017,171
NC027663,2016-2017,174
NC027762,2016-2017,158
NC027788,2016-2017,173
NC027811,2016-2017,173
NC027822,2016-2017,177
NC027982,2016-2017,180
NC028015,2016-2017,170
NC028016,2016-2017,155
NC028355,2016-2017,178
NC028378,2016-2017,163
NC028380,2016-2017,171
NC028560,2016-2017,169
