accenumb,campaign,plant_height
NC027934,2007-2008,95
NC028373,2007-2008,104
NC028560,2007-2008,105
NC028560,2007-2008,112
NC035532,2007-2008,91
NC040109,2007-2008,101
NC050294,2007-2008,92
NC050466,2007-2008,118
NC050506,2007-2008,98
NC072827,2007-2008,101
NC079028,2007-2008,87
NC082405,2007-2008,115
NC082510,2007-2008,107
NC082511,2007-2008,101
NC003561,2009-2010,84
NC027220,2009-2010,111
NC027934,2009-2010,109
NC028560,2009-2010,111
NC086549,2009-2010,119
NC086550,2009-2010,120
NC086551,2009-2010,127
NC003561,2010-2011,95
NC011704,2010-2011,125
NC011713,2010-2011,117
NC012768,2010-2011,119
NC019844,2010-2011,109
NC024268,2010-2011,115
NC027229,2010-2011,120
NC027500,2010-2011,132
NC027971,2010-2011,113
NC028560,2010-2011,117
NC035554,2010-2011,106
NC088356,2010-2011,66
NC091672,2010-2011,121
NC092127,2010-2011,119
NC092128,2010-2011,125
NC092173,2010-2011,124
NC003558,2011-2012,68
NC003561,2011-2012,82
NC006474,2011-2012,89
NC006510,2011-2012,91
NC006516,2011-2012,85
NC006534,2011-2012,67
NC006555,2011-2012,102
NC006582,2011-2012,79
NC027526,2011-2012,75
NC027540,2011-2012,81
NC027552,2011-2012,64
NC027580,2011-2012,72
NC027590,2011-2012,86
NC027948,2011-2012,90
NC027960,2011-2012,100
NC027963,2011-2012,62
NC028018,2011-2012,92
NC028025,2011-2012,97
NC028037,2011-2012,76
NC028045,2011-2012,82
NC028047,2011-2012,84
NC028054,2011-2012,102
NC028057,2011-2012,80
NC028058,2011-2012,83
NC028059,2011-2012,74
NC028061,2011-2012,59
NC028560,2011-2012,112
NC028560,2011-2012,87
NC056493,2011-2012,82
NC092127,2011-2012,87
NC092128,2011-2012,87
NC092173,2011-2012,111
NC003558,2012-2013,113.6
NC003561,2012-2013,90
NC003561,2012-2013,96
NC006516,2012-2013,117.4
NC006555,2012-2013,129.4
NC006582,2012-2013,116.4
NC027526,2012-2013,116.6
NC027540,2012-2013,118.2
NC027552,2012-2013,108.6
NC027580,2012-2013,102.6
NC027590,2012-2013,112.8
NC027948,2012-2013,122
NC027960,2012-2013,123.4
NC027963,2012-2013,104.8
NC028018,2012-2013,130.4
NC028025,2012-2013,127.8
NC028037,2012-2013,104.2
NC028045,2012-2013,111.4
NC028047,2012-2013,132.6
NC028054,2012-2013,116.6
NC028057,2012-2013,136.2
NC028058,2012-2013,123.4
NC028059,2012-2013,109
NC028061,2012-2013,108.4
NC028560,2012-2013,118
NC028560,2012-2013,122
NC001207,2013-2014,71
NC003561,2013-2014,65
NC003578,2013-2014,73
NC011926,2013-2014,81
NC012100,2013-2014,92
NC018874,2013-2014,71
NC027548,2013-2014,59
NC035379,2013-2014,71
NC039551,2013-2014,83
NC040593,2013-2014,75
NC040596,2013-2014,73
NC050294,2013-2014,72
NC086549,2013-2014,72
NC086550,2013-2014,77
NC086551,2013-2014,87
NC088356,2013-2014,57
NC091672,2013-2014,91
NC092128,2013-2014,67
NC098983,2013-2014,70
NC101739,2013-2014,78
NC101749,2013-2014,78
NC101776,2013-2014,80
NC101790,2013-2014,77
NC101794,2013-2014,78
NC102727,2013-2014,84
NC001207,2014-2015,114
NC003561,2014-2015,93
NC003578,2014-2015,112.8
NC011926,2014-2015,105
NC012100,2014-2015,116
NC018874,2014-2015,105
NC024060,2014-2015,111
NC027229,2014-2015,108
NC027548,2014-2015,104.6
NC028368,2014-2015,108.2
NC028560,2014-2015,117
NC035554,2014-2015,102
NC039551,2014-2015,105.6
NC040593,2014-2015,107.6
NC040596,2014-2015,114
