accenumb,campaign,thousand_kernel_weight
NC027500,2007-2008,33.847674455
NC027548,2007-2008,36.11860469
NC027934,2007-2008,34.82093027
NC028373,2007-2008,33.631395385
NC028560,2007-2008,39.15
NC035532,2007-2008,44.877907025
NC040109,2007-2008,24.980232585
NC050294,2007-2008,43.47209307
NC050466,2007-2008,26.926744215
NC050506,2007-2008,33.95581399
NC072827,2007-2008,34.82093027
NC079028,2007-2008,39.57906981
NC082510,2007-2008,38.822093065
NC082511,2007-2008,36.7674419
NC003561,2009-2010,30.71
NC027220,2009-2010,40.336046555
NC027934,2009-2010,41.74186051
NC028560,2009-2010,45.31
NC086549,2009-2010,32.00930236
NC086550,2009-2010,41.417441905
NC086551,2009-2010,46.50000005
NC003561,2010-2011,33.74
NC011713,2010-2011,54.610465175
NC012768,2010-2011,38.06511632
NC019844,2010-2011,38.49767446
NC024268,2010-2011,38.28139539
NC027229,2010-2011,41.201162835
NC027500,2010-2011,45.959302375
NC027971,2010-2011,41.850000045
NC028560,2010-2011,44.77
NC035554,2010-2011,38.9302326
NC091672,2010-2011,32.22558143
NC092127,2010-2011,46.608139585
NC092128,2010-2011,42.60697679
NC003558,2011-2012,25.7372093023256
NC003561,2011-2012,33.2
NC006474,2011-2012,34.6046512
NC006510,2011-2012,26.494186074999998
NC006516,2011-2012,28.440697705
NC006534,2011-2012,27.68372096
NC006555,2011-2012,27.359302355
NC006582,2011-2012,26.061627935
NC009810,2011-2012,38.605813995
NC027526,2011-2012,23.250000025
NC027540,2011-2012,30.49534887
NC027580,2011-2012,29.41395352
NC027590,2011-2012,27.143023285
NC027948,2011-2012,28.1162791
NC027960,2011-2012,21.087209325
NC027963,2011-2012,29.19767445
NC028018,2011-2012,38.822093065
NC028025,2011-2012,31.79302329
NC028037,2011-2012,19.03255816
NC028045,2011-2012,23.57441863
NC028047,2011-2012,26.061627935
NC028054,2011-2012,25.629069795
NC028057,2011-2012,25.08837212
NC028058,2011-2012,23.35813956
NC028059,2011-2012,25.30465119
NC028061,2011-2012,32.4418605
NC028560,2011-2012,36.99
NC056493,2011-2012,38.3895348837209
NC092127,2011-2012,34.063953525
NC092128,2011-2012,35.361627945
NC003558,2012-2013,30.2790698
NC006516,2012-2013,31.684883755
NC006555,2012-2013,30.819767475
NC006582,2012-2013,33.30697678
NC027526,2012-2013,29.63023259
NC027540,2012-2013,38.06511632
NC027580,2012-2013,29.305813985
NC027590,2012-2013,36.443023295
NC027948,2012-2013,37.63255818
NC027960,2012-2013,30.170930265
NC027963,2012-2013,41.201162835
NC028018,2012-2013,46.824418655
NC028025,2012-2013,40.01162795
NC028037,2012-2013,24.43953491
NC028045,2012-2013,32.22558143
NC028047,2012-2013,33.09069771
