accenumb,campaign,plant_height,days_to_heading,thousand_kernel_weight
NC003588,2005-2006,117,173,34.17209306
NC003678,2005-2006,124,178,35.577907015
NC006482,2005-2006,138,175,35.25348841
NC006539,2005-2006,124,173,38.71395353
NC006569,2005-2006,109,171,36.98372097
NC006570,2005-2006,125,182,32.550000035
NC006571,2005-2006,119,178,36.875581435
NC006590,2005-2006,132,183,36.33488376
NC006600,2005-2006,120,173,32.87441864
NC011698,2005-2006,125,176,30.71162794
NC011700,2005-2006,123,174,32.22558143
NC011701,2005-2006,108,182,30.819767475
NC011704,2005-2006,113,182,31.79302329
NC015593,2005-2006,131,168,37.20000004
NC018896,2005-2006,91,184,27.359302355
NC018986,2005-2006,125,180,37.956976785
NC027220,2005-2006,126,181,NA
NC027934,2005-2006,110,193,31.901162825
NC027935,2005-2006,139,180,41.850000045
NC028560,2005-2006,NA,NA,37.31
NC028560,2005-2006,111,182,NA
NC028560,2005-2006,117,180,NA
NC028560,2005-2006,122,180,NA
NC029505,2005-2006,113,161,33.847674455
NC035380,2005-2006,124,181,34.063953525
NC051365,2005-2006,92,171,30.603488405
NC051366,2005-2006,93,164,32.117441895
NC052322,2005-2006,76,177,32.766279105
NC052458,2005-2006,106,175,37.84883725
NC052461,2005-2006,112,173,34.280232595
NC056241,2005-2006,116,195,38.9302326
NC056258,2005-2006,124,181,41.52558144
NC080166,2005-2006,118,171,40.336046555
NC082405,2005-2006,101,130,26.60232561
NC003561,2006-2007,NA,NA,29.74
NC003561,2006-2007,94,164,NA
NC003561,2006-2007,96,165,NA
NC003561,2006-2007,96,163,NA
NC003564,2006-2007,99,186,38.28139539
NC003570,2006-2007,107,163,32.333720965
NC003573,2006-2007,125,189,38.173255855
NC003581,2006-2007,122,181,38.71395353
NC003583,2006-2007,118,176,36.33488376
NC003609,2006-2007,120,188,38.389534925
NC006481,2006-2007,128,171,36.33488376
NC006500,2006-2007,98,188,40.44418609
NC006501,2006-2007,107,190,42.82325586
NC006513,2006-2007,99,163,39.79534888
NC006521,2006-2007,93,167,43.255814
NC006522,2006-2007,112,163,40.552325625
NC006534,2006-2007,90,195,33.52325585
NC006539,2006-2007,122,204,42.39069772
NC006574,2006-2007,110,166,36.875581435
NC006582,2006-2007,107,188,32.65813957
NC009795,2006-2007,124,184,47.14883726
NC009796,2006-2007,123,184,49.96046517
NC009800,2006-2007,115,185,48.44651168
NC009802,2006-2007,123,184,47.36511633
NC009804,2006-2007,120,179,48.66279075
NC009806,2006-2007,113,184,46.28372098
NC009810,2006-2007,101,193,50.501162845
NC009811,2006-2007,120,183,44.229069815
NC009812,2006-2007,121,175,44.76976749
NC011716,2006-2007,85,164,35.145348875
NC011718,2006-2007,126,168,42.066279115
NC011719,2006-2007,116,165,42.282558185
NC011720,2006-2007,90,168,38.49767446
NC013805,2006-2007,125,176,31.57674422
NC013812,2006-2007,110,171,30.2790698
NC013816,2006-2007,124,183,49.52790703
NC013818,2006-2007,119,178,51.366279125
NC013819,2006-2007,121,175,46.50000005
NC013847,2006-2007,114,184,48.338372145
NC013849,2006-2007,118,184,48.66279075
NC013850,2006-2007,118,183,41.0930233
NC013895,2006-2007,120,190,46.71627912
NC013898,2006-2007,120,176,50.17674424
NC013919,2006-2007,113,176,41.74186051
NC013921,2006-2007,119,184,48.770930285
NC013929,2006-2007,111,184,47.473255865
NC013940,2006-2007,117,182,47.5813954
NC013944,2006-2007,119,179,43.68837214
NC013948,2006-2007,128,184,51.798837265
NC013953,2006-2007,118,183,45.959302375
NC013958,2006-2007,113,186,45.959302375
NC015564,2006-2007,103,181,45.526744235
NC015591,2006-2007,109,177,36.659302365
NC024716,2006-2007,116,173,40.984883765
NC024734,2006-2007,124,184,35.25348841
NC027504,2006-2007,125,175,42.17441865
NC027508,2006-2007,124,183,39.038372135
NC027510,2006-2007,129,190,43.363953535
NC027511,2006-2007,118,188,35.68604655
NC027521,2006-2007,117,185,45.959302375
NC027528,2006-2007,100,168,35.361627945
NC027529,2006-2007,103,171,43.03953493
NC027544,2006-2007,103,170,45.094186095
NC027545,2006-2007,111,171,47.689534935
NC027546,2006-2007,97,167,42.498837255
NC027547,2006-2007,105,167,42.60697679
NC027585,2006-2007,111,157,42.60697679
NC027592,2006-2007,124,162,34.82093027
NC027609,2006-2007,138,171,47.905814005
NC027629,2006-2007,115,173,45.743023305
NC027634,2006-2007,123,172,31.79302329
NC027635,2006-2007,134,184,44.12093028
NC027642,2006-2007,138,178,35.90232562
NC027646,2006-2007,136,186,42.82325586
NC027648,2006-2007,127,195,38.173255855
NC027649,2006-2007,137,190,37.84883725
NC027650,2006-2007,134,176,29.522093055
NC027655,2006-2007,132,187,43.580232605
NC027660,2006-2007,107,171,36.443023295
NC027667,2006-2007,92,164,37.20000004
NC027672,2006-2007,102,171,35.577907015
NC027675,2006-2007,123,188,42.498837255
NC027697,2006-2007,129,195,33.95581399
NC027700,2006-2007,126,179,40.768604695
NC027704,2006-2007,117,172,29.089534915
NC027796,2006-2007,129,186,44.33720935
NC027815,2006-2007,114,182,41.201162835
NC027866,2006-2007,124,192,40.768604695
NC027878,2006-2007,107,171,39.36279074
NC027886,2006-2007,101,163,32.982558175
NC027922,2006-2007,116,183,44.33720935
NC027925,2006-2007,114,163,27.90000003
NC027944,2006-2007,129,172,43.580232605
NC027959,2006-2007,117,169,43.255814
NC027997,2006-2007,112,168,29.954651195
NC028005,2006-2007,137,178,46.93255819
NC028027,2006-2007,142,182,45.094186095
NC028043,2006-2007,126,185,45.526744235
NC028060,2006-2007,104,157,33.95581399
NC028067,2006-2007,101,166,32.4418605
NC028068,2006-2007,126,185,39.14651167
NC028361,2006-2007,110,164,34.38837213
NC028421,2006-2007,108,177,39.903488415
NC028446,2006-2007,122,184,43.580232605
NC028453,2006-2007,125,185,44.12093028
NC028458,2006-2007,125,188,41.0930233
NC028465,2006-2007,140,182,44.33720935
NC028483,2006-2007,117,175,33.198837245
NC028487,2006-2007,107,156,37.20000004
NC028494,2006-2007,130,181,46.391860515
NC028497,2006-2007,125,181,40.87674423
NC028498,2006-2007,147,183,40.44418609
NC028515,2006-2007,110,162,39.038372135
NC028560,2006-2007,NA,NA,47.69
NC028560,2006-2007,118,181,NA
NC028560,2006-2007,121,182,NA
NC028560,2006-2007,124,183,NA
NC028566,2006-2007,109,166,35.90232562
NC028597,2006-2007,122,176,36.33488376
NC028600,2006-2007,112,173,36.11860469
NC028616,2006-2007,107,174,38.49767446
NC028626,2006-2007,122,177,42.60697679
NC028628,2006-2007,111,172,32.766279105
NC028632,2006-2007,108,168,37.740697715
NC029470,2006-2007,119,183,40.66046516
NC029510,2006-2007,124,188,50.60930238
NC035408,2006-2007,119,175,46.175581445
NC083082,2006-2007,118,169,40.552325625
NC083083,2006-2007,108,162,44.33720935
NC083084,2006-2007,116,161,38.822093065
NC001203,2007-2008,122,192,38.49767446
NC001208,2007-2008,128,196,37.63255818
NC003547,2007-2008,73,167,43.255814
NC003552,2007-2008,62,167,28.873255845
NC003553,2007-2008,66,169,36.443023295
NC003561,2007-2008,NA,NA,32.01
NC003561,2007-2008,82,175,NA
NC003561,2007-2008,92,175,NA
NC006474,2007-2008,112,196,36.659302365
NC006475,2007-2008,114,188,28.76511631
NC006491,2007-2008,109,175,34.82093027
NC006507,2007-2008,86,169,34.38837213
NC006567,2007-2008,83,167,30.92790701
NC006588,2007-2008,73,167,32.550000035
NC006590,2007-2008,109,188,45.526744235
NC006608,2007-2008,86,167,41.633720975
NC010034,2007-2008,84,196,29.738372125
NC011713,2007-2008,102,181,44.55348842
NC011714,2007-2008,83,164,31.36046515
NC011734,2007-2008,89,167,36.11860469
NC011925,2007-2008,108,179,37.524418645
NC011980,2007-2008,125,196,36.55116283
NC012564,2007-2008,126,187,40.22790702
NC012568,2007-2008,129,192,39.14651167
NC012570,2007-2008,129,199,38.28139539
NC012768,2007-2008,115,189,34.82093027
NC018908,2007-2008,112,183,41.95813958
NC018938,2007-2008,109,188,39.470930275
NC024759,2007-2008,110,173,41.201162835
NC027220,2007-2008,120,188,36.33488376
NC027500,2007-2008,122,196,33.847674455
NC027515,2007-2008,112,184,37.956976785
NC027543,2007-2008,94,164,41.74186051
NC027548,2007-2008,102,198,36.11860469
NC027555,2007-2008,104,196,22.49302328
NC027582,2007-2008,102,178,44.55348842
NC027583,2007-2008,106,169,42.498837255
NC027588,2007-2008,108,185,35.46976748
NC027589,2007-2008,106,170,50.82558145
NC027624,2007-2008,102,169,35.577907015
NC027637,2007-2008,113,189,32.87441864
NC027638,2007-2008,108,189,35.577907015
NC027641,2007-2008,126,177,38.605813995
NC027645,2007-2008,113,181,41.0930233
NC027647,2007-2008,113,181,33.631395385
NC027651,2007-2008,127,188,37.956976785
NC027653,2007-2008,114,178,44.661627955
NC027654,2007-2008,121,196,37.524418645
NC027657,2007-2008,85,180,33.95581399
NC027661,2007-2008,111,177,26.061627935
NC027684,2007-2008,114,174,39.903488415
NC027689,2007-2008,99,181,33.52325585
NC027690,2007-2008,106,167,43.90465121
NC027694,2007-2008,102,167,36.55116283
NC027766,2007-2008,104,167,27.68372096
NC027793,2007-2008,111,171,43.90465121
NC027797,2007-2008,101,181,41.30930237
NC027798,2007-2008,100,169,40.44418609
NC027915,2007-2008,104,180,41.30930237
NC027920,2007-2008,105,170,49.7441861
NC027924,2007-2008,118,180,42.39069772
NC027926,2007-2008,102,171,42.498837255
NC027928,2007-2008,120,174,49.31162796
NC027934,2007-2008,95,196,34.82093027
NC027939,2007-2008,127,196,35.46976748
NC027945,2007-2008,107,181,38.173255855
NC027946,2007-2008,98,174,44.661627955
NC027947,2007-2008,100,169,44.55348842
NC027949,2007-2008,103,169,41.417441905
NC027958,2007-2008,105,181,36.7674419
NC028007,2007-2008,100,191,29.522093055
NC028026,2007-2008,101,181,35.90232562
NC028032,2007-2008,104,175,33.09069771
NC028035,2007-2008,95,190,26.710465145
NC028053,2007-2008,113,188,33.09069771
NC028055,2007-2008,97,185,28.33255817
NC028373,2007-2008,104,192,33.631395385
NC028425,2007-2008,117,185,41.0930233
NC028437,2007-2008,132,192,34.063953525
NC028438,2007-2008,110,190,36.11860469
NC028466,2007-2008,98,188,29.41395352
NC028471,2007-2008,92,167,43.147674465
NC028490,2007-2008,102,183,36.55116283
NC028499,2007-2008,113,196,26.926744215
NC028517,2007-2008,90,167,33.415116315
NC028560,2007-2008,NA,NA,39.15
NC028560,2007-2008,105,191,NA
NC028560,2007-2008,105,187,NA
NC028560,2007-2008,112,188,NA
NC028567,2007-2008,90,167,28.656976775
NC028580,2007-2008,104,181,32.4418605
NC028590,2007-2008,110,181,34.38837213
NC028608,2007-2008,103,162,32.117441895
NC035409,2007-2008,99,186,42.17441865
NC035413,2007-2008,114,190,28.656976775
NC035532,2007-2008,91,174,44.877907025
NC039550,2007-2008,103,188,44.76976749
NC040109,2007-2008,101,181,24.980232585
NC050294,2007-2008,92,189,43.47209307
NC050466,2007-2008,118,188,26.926744215
NC050506,2007-2008,98,197,33.95581399
NC072827,2007-2008,101,192,34.82093027
NC079028,2007-2008,87,181,39.57906981
NC082405,2007-2008,115,181,41.52558144
NC082510,2007-2008,107,191,38.822093065
NC082511,2007-2008,101,177,36.7674419
NC035536,2008-2009,84,173,27.143023285
NC056493,2008-2009,76,184,36.0104651162791
NC085096,2008-2009,96,186,33.52325585
NC085098,2008-2009,87,187,33.52325585
NC085101,2008-2009,77,184,39.470930275
NC085102,2008-2009,89,190,28.76511631
NC085103,2008-2009,93,176,32.00930236
NC085105,2008-2009,105,184,29.522093055
NC085106,2008-2009,99,188,27.359302355
NC085107,2008-2009,87,190,31.57674422
NC085108,2008-2009,83,183,37.20000004
NC085109,2008-2009,94,187,32.117441895
NC085110,2008-2009,92,184,37.63255818
NC085113,2008-2009,69,195,28.76511631
NC085115,2008-2009,93,184,33.95581399
NC085116,2008-2009,107,184,31.684883755
NC085117,2008-2009,95,189,25.08837212
NC085118,2008-2009,99,190,32.4418605
NC085119,2008-2009,77,185,27.03488375
NC085120,2008-2009,82,184,31.468604685
NC085121,2008-2009,76,187,30.06279073
NC085122,2008-2009,78,184,36.11860469
NC085123,2008-2009,97,184,29.954651195
NC085124,2008-2009,92,184,39.14651167
NC085125,2008-2009,93,184,33.847674455
NC085126,2008-2009,90,190,37.524418645
NC085127,2008-2009,83,187,27.791860495
NC085128,2008-2009,102,191,32.117441895
NC085129,2008-2009,121,189,34.38837213
NC085130,2008-2009,95,182,31.468604685
NC085131,2008-2009,96,196,26.16976747
NC085132,2008-2009,102,187,44.012790745
NC085133,2008-2009,100,190,35.90232562
NC085134,2008-2009,100,185,29.738372125
NC085136,2008-2009,92,184,31.57674422
NC085137,2008-2009,92,191,29.522093055
NC085138,2008-2009,99,189,28.224418635
NC085139,2008-2009,79,182,30.06279073
NC085140,2008-2009,100,177,34.17209306
NC003561,2009-2010,84,184,30.71
NC027220,2009-2010,111,203,40.336046555
NC027934,2009-2010,109,203,41.74186051
NC028560,2009-2010,111,201,45.31
NC085717,2009-2010,132,203,45.094186095
NC085872,2009-2010,130,204,39.254651205
NC086545,2009-2010,126,194,42.60697679
NC086546,2009-2010,104,198,44.877907025
NC086548,2009-2010,122,203,37.63255818
NC086549,2009-2010,119,207,32.00930236
NC086550,2009-2010,120,204,41.417441905
NC086551,2009-2010,127,189,46.50000005
NC087800,2009-2010,125,198,40.66046516
NC087810,2009-2010,123,197,45.20232563
NC003561,2010-2011,95,166,33.74
NC011704,2010-2011,125,180,NA
NC011713,2010-2011,117,167,54.610465175
NC011721,2010-2011,110,174,49.31162796
NC012768,2010-2011,119,183,38.06511632
NC018923,2010-2011,114,166,46.50000005
NC019844,2010-2011,109,181,38.49767446
NC024268,2010-2011,115,185,38.28139539
NC027229,2010-2011,120,177,41.201162835
NC027500,2010-2011,132,188,45.959302375
NC027971,2010-2011,113,185,41.850000045
NC027992,2010-2011,118,180,35.25348841
NC028560,2010-2011,117,178,44.77
NC035554,2010-2011,106,184,38.9302326
NC087912,2010-2011,69,159,41.95813958
NC088298,2010-2011,110,166,41.74186051
NC088299,2010-2011,72,167,31.36046515
NC088302,2010-2011,89,161,30.71162794
NC088303,2010-2011,87,176,35.361627945
NC088304,2010-2011,88,173,34.38837213
NC088305,2010-2011,90,182,30.06279073
NC088307,2010-2011,93,176,41.850000045
NC088308,2010-2011,99,176,34.712790735
NC088309,2010-2011,102,183,35.90232562
NC088310,2010-2011,97,166,45.094186095
NC088311,2010-2011,90,183,37.84883725
NC088314,2010-2011,91,169,37.20000004
NC088315,2010-2011,91,166,37.524418645
NC088316,2010-2011,87,166,38.06511632
NC088317,2010-2011,74,183,35.25348841
NC088318,2010-2011,90,180,33.52325585
NC088319,2010-2011,101,179,32.982558175
NC088320,2010-2011,108,184,32.117441895
NC088322,2010-2011,65,160,40.66046516
NC088323,2010-2011,93,163,36.010465155
NC088324,2010-2011,92,163,36.226744225
NC088329,2010-2011,88,167,45.4186047
NC088332,2010-2011,86,163,35.577907015
NC088333,2010-2011,82,163,36.443023295
NC088334,2010-2011,88,161,48.122093075
NC088336,2010-2011,71,168,30.387209335
NC088338,2010-2011,87,174,34.6046512
NC088339,2010-2011,89,163,40.44418609
NC088344,2010-2011,107,174,29.738372125
NC088346,2010-2011,95,172,34.82093027
NC088349,2010-2011,86,166,38.605813995
NC088350,2010-2011,80,167,37.63255818
NC088351,2010-2011,69,169,32.00930236
NC088353,2010-2011,70,161,39.470930275
NC088355,2010-2011,116,174,34.929069805
NC088356,2010-2011,66,179,29.84651166
NC088358,2010-2011,71,169,36.659302365
NC088359,2010-2011,79,166,37.84883725
NC088360,2010-2011,81,182,24.22325584
NC088361,2010-2011,80,166,33.52325585
NC088363,2010-2011,71,165,37.41627911
NC088365,2010-2011,89,169,37.84883725
NC088366,2010-2011,84,168,34.6046512
NC088367,2010-2011,78,160,43.255814
NC088373,2010-2011,88,163,41.201162835
NC088374,2010-2011,82,166,43.68837214
NC088375,2010-2011,78,167,28.98139538
NC088376,2010-2011,79,168,42.931395395
NC088380,2010-2011,78,170,40.552325625
NC088381,2010-2011,77,158,46.175581445
NC088382,2010-2011,72,173,32.4418605
NC088383,2010-2011,78,170,31.468604685
NC088384,2010-2011,70,173,38.28139539
NC088386,2010-2011,81,161,39.79534888
NC088388,2010-2011,74,160,36.55116283
NC088389,2010-2011,77,167,36.98372097
NC088390,2010-2011,69,160,37.956976785
NC088393,2010-2011,76,168,34.280232595
NC088394,2010-2011,88,168,40.22790702
NC088395,2010-2011,86,161,40.01162795
NC088399,2010-2011,70,170,36.659302365
NC088402,2010-2011,78,160,41.30930237
NC091672,2010-2011,121,188,32.22558143
NC091673,2010-2011,81,166,38.28139539
NC091674,2010-2011,119,179,43.147674465
NC092127,2010-2011,119,187,46.608139585
NC092128,2010-2011,125,175,42.60697679
NC092173,2010-2011,124,177,47.689534935
NC003558,2011-2012,68,180,25.7372093023256
NC003561,2011-2012,NA,NA,33.2
NC003561,2011-2012,82,164,NA
NC003561,2011-2012,94,166,NA
NC006474,2011-2012,89,179,34.6046512
NC006480,2011-2012,83,171,31.79302329
NC006510,2011-2012,91,168,26.494186074999998
NC006511,2011-2012,68,159,28.54883724
NC006516,2011-2012,85,179,28.440697705
NC006528,2011-2012,106,172,25.08837212
NC006532,2011-2012,110,171,27.25116282
NC006533,2011-2012,125,176,32.117441895
NC006534,2011-2012,67,181,27.68372096
NC006542,2011-2012,129,175,26.494186074999998
NC006555,2011-2012,102,171,27.359302355
NC006582,2011-2012,79,172,26.061627935
NC006583,2011-2012,91,171,23.35813956
NC006607,2011-2012,112,170,35.577907015
NC009809,2011-2012,73,174,33.52325585
NC009810,2011-2012,112,173,38.605813995
NC011703,2011-2012,76,172,28.1162791
NC027526,2011-2012,75,178,23.250000025
NC027540,2011-2012,81,178,30.49534887
NC027552,2011-2012,64,179,NA
NC027580,2011-2012,72,173,29.41395352
NC027590,2011-2012,86,175,27.143023285
NC027594,2011-2012,123,167,33.415116315
NC027639,2011-2012,90,158,33.847674455
NC027652,2011-2012,93,154,33.847674455
NC027656,2011-2012,102,176,34.17209306
NC027662,2011-2012,109,159,29.954651195
NC027705,2011-2012,109,164,31.901162825
NC027770,2011-2012,107,169,30.170930265
NC027927,2011-2012,98,161,31.36046515
NC027948,2011-2012,90,161,28.1162791
NC027960,2011-2012,100,169,21.087209325
NC027961,2011-2012,111,171,30.71162794
NC027963,2011-2012,62,162,29.19767445
NC027970,2011-2012,78,174,NA
NC028018,2011-2012,92,161,38.822093065
NC028025,2011-2012,97,176,31.79302329
NC028037,2011-2012,76,181,19.03255816
NC028045,2011-2012,82,178,23.57441863
NC028047,2011-2012,84,177,26.061627935
NC028054,2011-2012,102,174,25.629069795
NC028057,2011-2012,80,168,25.08837212
NC028058,2011-2012,83,174,23.35813956
NC028059,2011-2012,74,173,25.30465119
NC028061,2011-2012,59,154,32.4418605
NC028062,2011-2012,104,169,24.980232585
NC028434,2011-2012,115,175,39.36279074
NC028441,2011-2012,110,174,36.010465155
NC028451,2011-2012,131,175,38.49767446
NC028454,2011-2012,128,161,40.66046516
NC028514,2011-2012,105,159,36.226744225
NC028560,2011-2012,NA,NA,36.99
NC028560,2011-2012,112,171,NA
NC028560,2011-2012,87,169,NA
NC028631,2011-2012,108,163,24.331395375
NC056493,2011-2012,82,174,38.3895348837209
NC092127,2011-2012,87,176,34.063953525
NC092128,2011-2012,87,173,35.361627945
NC092173,2011-2012,111,173,28.1162791
NC094940,2011-2012,84,165,28.98139538
NC094941,2011-2012,84,169,33.73953492
NC094981,2011-2012,99,159,41.201162835
NC003558,2012-2013,113.6,184,30.2790698
NC003561,2012-2013,NA,NA,27.47
NC003561,2012-2013,90,163,NA
NC003561,2012-2013,96,163,NA
NC006516,2012-2013,117.4,187,31.684883755
NC006555,2012-2013,129.4,176,30.819767475
NC006582,2012-2013,116.4,175,33.30697678
NC027526,2012-2013,116.6,181,29.63023259
NC027540,2012-2013,118.2,179,38.06511632
NC027552,2012-2013,108.6,177,29.954651195
NC027580,2012-2013,102.6,178,29.305813985
NC027590,2012-2013,112.8,178,36.443023295
NC027948,2012-2013,122,162,37.63255818
NC027960,2012-2013,123.4,166,30.170930265
NC027963,2012-2013,104.8,171,41.201162835
NC028018,2012-2013,130.4,165,46.824418655
NC028025,2012-2013,127.8,177,40.01162795
NC028037,2012-2013,104.2,182,24.43953491
NC028045,2012-2013,111.4,179,32.22558143
NC028047,2012-2013,132.6,179,33.09069771
NC028054,2012-2013,116.6,178,31.14418608
NC028057,2012-2013,136.2,164,31.36046515
NC028058,2012-2013,123.4,172,32.982558175
NC028059,2012-2013,109,174,30.2790698
NC028061,2012-2013,108.4,158,41.201162835
NC028560,2012-2013,NA,NA,47.04
NC028560,2012-2013,118,173,NA
NC028560,2012-2013,122,173,NA
NC001207,2013-2014,71,183,NA
NC003561,2013-2014,65,163,24.44
NC003578,2013-2014,73,173,27.03488375
NC011926,2013-2014,81,183,NA
NC012100,2013-2014,92,186,NA
NC018874,2013-2014,71,180,NA
NC027235,2013-2014,71,171,28.873255845
NC027548,2013-2014,59,183,25.9534884
NC035379,2013-2014,71,180,30.819767475
NC035393,2013-2014,71,186,29.84651166
NC039551,2013-2014,83,173,NA
NC040593,2013-2014,75,184,23.7906977
NC040596,2013-2014,73,182,NA
NC050294,2013-2014,72,176,NA
NC086549,2013-2014,72,180,25.73720933
NC086550,2013-2014,77,179,29.19767445
NC086551,2013-2014,87,164,28.224418635
NC088321,2013-2014,62,174,30.06279073
NC088356,2013-2014,57,166,27.03488375
NC088378,2013-2014,59,164,24.547674445
NC091672,2013-2014,91,180,NA
NC092128,2013-2014,67,180,25.412790725
NC098983,2013-2014,70,178,NA
NC101739,2013-2014,78,186,NA
NC101749,2013-2014,78,180,28.656976744186
NC101776,2013-2014,80,183,NA
NC101790,2013-2014,77,180,NA
NC101794,2013-2014,78,180,29.3058139534884
NC102727,2013-2014,84,175,21.8441860465116
NC001204,2014-2015,97,172,21.627907
NC001207,2014-2015,114,177,31.14418608
NC003561,2014-2015,93,164,29.52
NC003578,2014-2015,112.8,172,27.90000003
NC003597,2014-2015,110,182,27.575581425
NC006526,2014-2015,113.6,178,34.6046512
NC011737,2014-2015,90,170,30.603488405
NC011926,2014-2015,105,177,33.09069771
NC012100,2014-2015,116,182,36.98372097
NC013090,2014-2015,107,182,35.90232562
NC018874,2014-2015,105,175,37.308139575
NC018915,2014-2015,110,173,32.5391860815
NC024060,2014-2015,111,167,33.09069771
NC027229,2014-2015,108,171,30.387209335
NC027548,2014-2015,104.6,180,28.656976775
NC028368,2014-2015,108.2,179,28.54883724
NC028560,2014-2015,117,174,34.17
NC035554,2014-2015,102,178,30.06279073
NC039551,2014-2015,105.6,174,33.09069771
NC040592,2014-2015,114,178,35.46976748
NC040593,2014-2015,107.6,178,33.30697678
NC040596,2014-2015,114,178,30.2790698
NC050294,2014-2015,114,172,40.552325625
NC073199,2014-2015,109,181,36.875581435
NC088313,2014-2015,82.4,173,34.929069805
NC088356,2014-2015,86.4,172,33.52325585
NC091672,2014-2015,107,180,34.496511665
NC098983,2014-2015,113,175,NA
NC101739,2014-2015,117.2,178,30.92790701
NC101749,2014-2015,113,177,32.550000035
NC101776,2014-2015,112,178,31.684883755
NC101790,2014-2015,111,178,34.6046512
NC101794,2014-2015,117,178,33.631395385
NC102727,2014-2015,108.8,171,21.627907
NC104291,2014-2015,116.4,179,32.982558175
NC104390,2014-2015,98.4,174,26.494186074999998
NC003561,2015-2016,97,174,28.33
NC027666,2015-2016,135,194,33.09069771
NC028065,2015-2016,115,181,32.00930236
NC028370,2015-2016,109,175,36.98372097
NC028408,2015-2016,93,170,29.305813985
NC028420,2015-2016,114,185,33.95581399
NC028501,2015-2016,112,175,32.65813957
NC028504,2015-2016,121,182,33.30697678
NC028505,2015-2016,113,190,32.87441864
NC028507,2015-2016,96,179,30.92790701
NC028510,2015-2016,107,169,33.30697678
NC028520,2015-2016,141,192,28.1162791
NC028522,2015-2016,110,186,31.036046545
NC028524,2015-2016,124,196,37.091860505
NC028527,2015-2016,122,183,39.038372135
NC028530,2015-2016,131,188,35.145348875
NC028531,2015-2016,129,186,41.850000045
NC028532,2015-2016,126,188,36.875581435
NC028533,2015-2016,127,187,43.47209307
NC028534,2015-2016,114,188,39.79534888
NC028535,2015-2016,120,187,36.659302365
NC028536,2015-2016,119,186,37.740697715
NC028537,2015-2016,128,187,41.95813958
NC028539,2015-2016,129,187,43.68837214
NC028541,2015-2016,119,186,44.012790745
NC028542,2015-2016,123,186,39.470930275
NC028544,2015-2016,122,185,35.25348841
NC028546,2015-2016,114,187,29.41395352
NC028548,2015-2016,118,185,40.22790702
NC028550,2015-2016,115,181,35.577907015
NC028551,2015-2016,127,186,33.198837245
NC028553,2015-2016,122,179,42.39069772
NC028554,2015-2016,117,182,29.19767445
NC028555,2015-2016,123,188,41.0930233
NC028556,2015-2016,124,188,35.361627945
NC028557,2015-2016,127,188,40.22790702
NC028558,2015-2016,127,186,35.68604655
NC028559,2015-2016,125,190,36.33488376
NC028560,2015-2016,119,186,44.23
NC028561,2015-2016,123,186,36.443023295
NC028563,2015-2016,129,186,36.55116283
NC028564,2015-2016,108,186,28.54883724
NC028565,2015-2016,109,187,30.92790701
NC028568,2015-2016,108,187,30.2790698
NC028569,2015-2016,108,189,30.819767475
NC028570,2015-2016,123,183,36.11860469
NC028572,2015-2016,123,182,36.98372097
NC028575,2015-2016,127,186,42.60697679
NC028576,2015-2016,130,187,40.01162795
NC028584,2015-2016,117,187,33.09069771
NC028586,2015-2016,125,186,39.79534888
NC028587,2015-2016,116,179,40.119767485
NC028588,2015-2016,126,184,29.84651166
NC028589,2015-2016,135,187,41.0930233
NC028594,2015-2016,128,185,35.361627945
NC028595,2015-2016,130,183,38.49767446
NC028601,2015-2016,114,186,33.73953492
NC028605,2015-2016,104,179,31.684883755
NC028606,2015-2016,116,187,30.387209335
NC028621,2015-2016,135,186,42.82325586
NC028622,2015-2016,124,187,37.84883725
NC035427,2015-2016,110,183,37.091860505
NC040596,2015-2016,135,195,34.82093027
NC091672,2015-2016,129,193,31.14418608
NC098983,2015-2016,125,189,28.656976775
NC101739,2015-2016,143,193,39.038372135
NC101749,2015-2016,140,190,43.68837214
NC101776,2015-2016,139,190,42.60697679
NC101790,2015-2016,139,190,42.931395395
NC101794,2015-2016,142,190,40.984883765
NC102727,2015-2016,128,181,28.1162791
NC001206,2016-2017,66,188,23.8015116535
NC003561,2016-2017,NA,NA,33.09
NC003561,2016-2017,60,163,NA
NC003561,2016-2017,67,161,NA
NC003561,2016-2017,76,158,NA
NC003561,2016-2017,84,158,NA
NC003561,2016-2017,80,158,NA
NC003561,2016-2017,76,159,NA
NC003561,2016-2017,77,159,NA
NC003561,2016-2017,73,158,NA
NC003561,2016-2017,69,160,NA
NC003561,2016-2017,59,160,NA
NC003561,2016-2017,61,160,NA
NC003598,2016-2017,91,170,28.0838372395
NC006498,2016-2017,105,164,24.288139561
NC006565,2016-2017,82,188,28.2784884025
NC006575,2016-2017,81,180,26.537441889
NC006586,2016-2017,83,180,25.30465119
NC008790,2016-2017,88,164,21.6819767675
NC008792,2016-2017,90,170,25.499302353
NC008793,2016-2017,90,170,34.020697711
NC008827,2016-2017,98,177,29.5977907295
NC008829,2016-2017,93,170,21.3359302555
NC008858,2016-2017,88,171,16.199302343
NC008859,2016-2017,89,162,28.5812791005
NC010034,2016-2017,71,174,22.9796511875
NC012020,2016-2017,94,164,32.3012791045
NC012098,2016-2017,102,167,32.982558175
NC012572,2016-2017,101,164,32.723023291
NC012636,2016-2017,96,173,32.355348872
NC012637,2016-2017,81,172,20.3843023475
NC012639,2016-2017,87,175,NA
NC012640,2016-2017,86,171,21.2277907205
