accenumb,campaign,plant_height,days_to_heading,thousand_kernel_weight
NC028440,1996-1997,146,175,51.04186052
NC028442,1996-1997,140,162,55.15116285
NC028443,1996-1997,133,148,53.096511685
NC028444,1996-1997,118,166,67.154651235
NC028445,1996-1997,125,166,56.2325582
NC028447,1996-1997,127,167,57.205814015
NC028448,1996-1997,124,162,51.69069773
NC028449,1996-1997,128,164,54.0697675
NC028450,1996-1997,127,164,55.58372099
NC028452,1996-1997,132,166,49.419767495
NC028455,1996-1997,119,159,38.9302326
NC028456,1996-1997,133,159,39.79534888
NC028457,1996-1997,113,167,45.743023305
NC028459,1996-1997,127,165,45.743023305
NC028460,1996-1997,126,153,48.23023261
NC028461,1996-1997,122,166,37.524418645
NC028462,1996-1997,134,162,49.852325635
NC028463,1996-1997,118,163,39.687209345
NC028464,1996-1997,98,140,46.50000005
NC028467,1996-1997,132,165,43.255814
NC028468,1996-1997,101,164,33.95581399
NC028469,1996-1997,141,155,49.419767495
NC028470,1996-1997,132,158,40.119767485
NC028473,1996-1997,103,137,35.68604655
NC028474,1996-1997,118,157,34.496511665
NC028475,1996-1997,136,159,29.41395352
NC028476,1996-1997,133,165,43.363953535
NC028477,1996-1997,137,165,56.01627913
NC028478,1996-1997,131,165,54.177907035
NC028479,1996-1997,131,165,48.44651168
NC028484,1996-1997,137,166,40.87674423
NC028485,1996-1997,139,164,53.20465122
NC028486,1996-1997,130,171,52.12325587
NC028489,1996-1997,133,155,55.58372099
NC028491,1996-1997,117,158,48.01395354
NC028492,1996-1997,133,166,46.608139585
NC028493,1996-1997,120,167,56.989534945
NC028500,1996-1997,110,150,60.233720995
NC028503,1996-1997,105,141,56.556976805
NC028506,1996-1997,100,137,55.908139595
NC028508,1996-1997,126,165,53.63720936
NC028509,1996-1997,100,142,50.933720985
NC028511,1996-1997,126,166,50.60930238
NC028512,1996-1997,122,171,43.796511675
NC028513,1996-1997,82,145,41.95813958
NC028516,1996-1997,123,166,46.391860515
NC028521,1996-1997,121,166,42.931395395
NC028526,1996-1997,129,157,61.85581402
NC028540,1996-1997,118,162,48.554651215
NC028547,1996-1997,124,160,40.552325625
NC028549,1996-1997,109,145,56.01627913
NC028552,1996-1997,85,149,42.931395395
NC028560,1996-1997,NA,NA,53.961627965
NC028560,1996-1997,129,159,NA
NC028560,1996-1997,125,159,NA
NC028560,1996-1997,126,161,NA
NC028560,1996-1997,121,159,NA
NC028560,1996-1997,121,160,NA
NC028560,1996-1997,127,161,NA
NC028560,1996-1997,122,161,NA
NC028560,1996-1997,120,162,NA
NC028560,1996-1997,120,160,NA
NC028562,1996-1997,128,160,59.04418611
NC028573,1996-1997,126,157,57.205814015
NC028574,1996-1997,91,146,39.14651167
NC028577,1996-1997,88,152,38.605813995
NC028579,1996-1997,129,163,38.605813995
NC028583,1996-1997,123,157,44.877907025
NC028591,1996-1997,103,145,46.824418655
NC028593,1996-1997,105,134,51.150000055
NC028596,1996-1997,130,165,40.01162795
NC028598,1996-1997,94,156,40.44418609
NC028599,1996-1997,120,157,35.68604655
NC028602,1996-1997,127,163,43.580232605
NC028603,1996-1997,128,157,36.010465155
NC028607,1996-1997,128,166,31.79302329
NC028609,1996-1997,120,157,42.39069772
NC028610,1996-1997,100,145,44.012790745
NC028611,1996-1997,117,179,38.822093065
NC028612,1996-1997,113,145,39.57906981
NC028613,1996-1997,127,160,34.17209306
NC028614,1996-1997,121,158,32.766279105
NC028615,1996-1997,128,157,43.68837214
NC028617,1996-1997,121,155,42.715116325
NC028619,1996-1997,132,161,53.096511685
NC028620,1996-1997,120,157,43.03953493
NC028624,1996-1997,129,156,35.145348875
NC028625,1996-1997,115,149,53.745348895
NC028627,1996-1997,98,141,38.822093065
NC028629,1996-1997,123,158,31.901162825
NC028630,1996-1997,116,157,34.063953525
NC028633,1996-1997,81,166,38.822093065
NC028635,1996-1997,121,161,41.417441905
NC028637,1996-1997,129,164,51.582558195
NC028638,1996-1997,127,163,45.20232563
NC028639,1996-1997,133,159,47.040697725
NC028640,1996-1997,116,159,51.582558195
NC028641,1996-1997,125,156,48.66279075
NC028645,1996-1997,125,156,53.961627965
NC028646,1996-1997,128,156,44.661627955
NC028648,1996-1997,108,166,48.44651168
NC028649,1996-1997,125,156,56.124418665
NC028650,1996-1997,122,159,43.796511675
NC028651,1996-1997,117,148,38.389534925
NC028653,1996-1997,120,160,40.984883765
NC028654,1996-1997,120,163,53.20465122
NC028655,1996-1997,113,162,56.01627913
NC028656,1996-1997,107,156,51.150000055
NC028657,1996-1997,110,162,32.982558175
NC028658,1996-1997,103,163,49.96046517
NC028659,1996-1997,122,147,41.74186051
NC028660,1996-1997,117,148,40.984883765
NC028661,1996-1997,127,160,37.20000004
NC028662,1996-1997,122,159,54.50232564
NC028663,1996-1997,114,154,49.7441861
NC028664,1996-1997,130,154,38.28139539
NC028667,1996-1997,119,166,54.610465175
NC028668,1996-1997,127,159,54.394186105
NC028669,1996-1997,125,159,63.045348905
NC029441,1996-1997,123,174,55.043023315
NC029460,1996-1997,118,176,49.852325635
NC029461,1996-1997,120,171,46.608139585
NC029466,1996-1997,138,166,46.50000005
NC029467,1996-1997,127,166,40.44418609
NC029474,1996-1997,103,162,41.52558144
NC029484,1996-1997,119,174,52.015116335
NC029490,1996-1997,113,160,46.71627912
NC029502,1996-1997,118,163,52.988372149999996
NC029506,1996-1997,98,162,59.47674425
NC029509,1996-1997,112,174,42.82325586
NC029510,1996-1997,102,166,56.88139541
NC029512,1996-1997,108,173,69.966279145
NC029525,1996-1997,108,165,31.036046545
NC029533,1996-1997,119,159,49.7441861
NC029534,1996-1997,102,163,46.608139585
NC035375,1996-1997,120,156,41.52558144
NC035376,1996-1997,100,145,53.961627965
NC035385,1996-1997,97,159,37.091860505
NC035386,1996-1997,110,159,48.66279075
NC035389,1996-1997,118,160,46.175581445
NC035398,1996-1997,129,158,40.66046516
NC035402,1996-1997,113,154,51.47441866
NC035405,1996-1997,124,163,43.363953535
NC035406,1996-1997,121,163,34.496511665
NC035407,1996-1997,128,163,43.68837214
NC035412,1996-1997,122,167,36.010465155
NC035415,1996-1997,83,141,43.363953535
NC035419,1996-1997,124,164,57.09767448
NC035421,1996-1997,128,176,54.177907035
NC035424,1996-1997,122,160,48.554651215
NC035428,1996-1997,129,163,42.17441865
NC035429,1996-1997,119,161,44.661627955
NC035430,1996-1997,119,166,64.343023325
NC035431,1996-1997,121,168,41.633720975
NC035432,1996-1997,103,168,47.256976795
NC035433,1996-1997,102,159,32.550000035
NC035525,1996-1997,116,167,43.03953493
NC035526,1996-1997,124,176,44.877907025
NC035528,1996-1997,101,164,53.20465122
NC035529,1996-1997,96,174,54.0697675
NC035531,1996-1997,99,169,39.14651167
NC035533,1996-1997,99,156,47.473255865
NC035534,1996-1997,100,164,58.61162797
NC035535,1996-1997,114,158,40.01162795
NC038570,1996-1997,126,172,48.23023261
NC038571,1996-1997,98,169,52.77209308
NC038572,1996-1997,104,165,46.93255819
NC040588,1996-1997,97,173,59.04418611
NC040589,1996-1997,89,171,52.12325587
NC040598,1996-1997,117,156,45.094186095
NC055980,1997-1998,92,134,50.82558145
NC056115,1997-1998,140,157,38.49767446
NC056213,1997-1998,139,158,41.74186051
NC001202,1998-1999,113,191,36.7674419
NC001205,1998-1999,85,204,NA
NC008774,1998-1999,135,203,34.82093027
NC011116,1998-1999,128,196,36.33488376
NC011854,1998-1999,110,196,32.87441864
NC011926,1998-1999,125,199,38.9302326
NC012636,1998-1999,128,198,39.14651167
NC020630,1998-1999,113,205,29.19767445
NC022123,1998-1999,113,203,39.79534888
NC022225,1998-1999,119,194,40.22790702
NC024442,1998-1999,107,202,37.41627911
NC027266,1998-1999,103,202,NA
NC027292,1998-1999,106,215,33.415116315
NC035762,1998-1999,96,203,37.41627911
NC040109,1998-1999,119,188,34.17209306
NC047313,1998-1999,110,177,31.79302329
NC047317,1998-1999,105,190,31.36046515
NC047354,1998-1999,109,172,44.76976749
NC050283,1998-1999,100,203,36.55116283
NC050493,1998-1999,123,198,32.00930236
NC052490,1998-1999,77,180,NA
NC052491,1998-1999,79,199,33.95581399
NC052574,1998-1999,71,180,25.52093026
NC052873,1998-1999,87,191,30.71162794
NC056493,1998-1999,120,198,36.98372097
NC058625,1998-1999,110,198,38.28139539
NC058627,1998-1999,122,196,40.66046516
NC058628,1998-1999,135,208,40.01162795
NC058629,1998-1999,116,191,35.90232562
NC058630,1998-1999,131,196,32.4418605
NC058631,1998-1999,124,184,34.17209306
NC058632,1998-1999,113,201,35.25348841
NC058633,1998-1999,111,199,35.03720934
NC068345,1998-1999,123,201,33.30697678
NC068351,1998-1999,99,198,31.36046515
NC072511,1998-1999,119,194,40.87674423
NC001205,1999-2000,134,186,31.036046545
NC001206,1999-2000,131,184,29.522093055
NC006562,1999-2000,128,172,41.52558144
NC008803,1999-2000,129,174,25.30465119
NC011728,1999-2000,137,170,36.875581435
NC012100,1999-2000,148,189,30.71162794
NC012571,1999-2000,139,182,35.46976748
NC038463,1999-2000,139,172,30.49534887
NC038464,1999-2000,155,165,39.14651167
NC038465,1999-2000,149,164,40.336046555
