genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
NC024729,NA,NA,NA
NC024733,NA,NA,NA
NC024734,NA,NA,NA
NC024735,NA,NA,NA
NC024736,NA,NA,NA
NC024737,NA,NA,NA
NC024738,NA,NA,NA
NC024741,188.82,112.65,36.15
NC024744,NA,NA,NA
NC024745,NA,NA,NA
NC024746,NA,NA,NA
NC024754,NA,NA,NA
NC024756,NA,NA,NA
NC024759,NA,NA,NA
NC024764,NA,NA,NA
NC024765,NA,NA,NA
NC024766,NA,NA,NA
NC024767,NA,NA,NA
NC024771,NA,NA,NA
NC024774,185.13,101.76,NA
NC024779,NA,NA,NA
NC024781,182.72,114.15,37.11
NC026187,171.2,94.17,41.96
NC026258,177.95,106.36,38.48
NC026266,NA,NA,NA
NC027210,NA,NA,NA
NC027220,179.97,120.15,36.74
NC027229,177.85,112.99,34.54
NC027235,NA,NA,NA
NC027237,NA,NA,NA
NC027266,188.33,117.09,41.14
NC027292,195.88,103.66,39.51
NC027500,188.15,130.3,36.89
NC027501,NA,NA,NA
NC027502,NA,NA,NA
NC027504,NA,NA,NA
NC027506,NA,NA,NA
NC027508,NA,NA,NA
NC027510,NA,NA,NA
NC027511,NA,NA,NA
NC027514,NA,NA,NA
NC027515,NA,NA,NA
NC027517,NA,NA,NA
NC027519,NA,NA,NA
NC027521,NA,NA,NA
NC027522,NA,NA,NA
NC027523,NA,NA,NA
NC027524,NA,NA,NA
NC027526,186.89,105.76,23.12
NC027527,NA,NA,NA
NC027528,NA,NA,NA
NC027529,NA,NA,NA
NC027530,NA,NA,NA
NC027531,NA,NA,NA
NC027532,NA,NA,NA
NC027533,NA,NA,NA
NC027534,NA,NA,NA
NC027535,NA,NA,NA
NC027536,NA,NA,NA
NC027537,NA,NA,NA
NC027538,NA,NA,NA
NC027539,NA,NA,NA
NC027540,185.01,108.54,31.56
NC027543,NA,NA,NA
NC027544,NA,NA,NA
NC027545,NA,NA,NA
NC027546,NA,NA,NA
NC027547,NA,NA,NA
NC027548,187.84,106.13,33.05
NC027549,NA,NA,NA
NC027550,NA,NA,NA
NC027552,183.2,96.95,NA
NC027555,NA,NA,NA
NC027556,NA,NA,NA
NC027557,NA,NA,NA
NC027558,NA,NA,NA
NC027559,NA,NA,NA
NC027560,174.99,134.88,43.73
NC027561,NA,NA,NA
NC027562,180.64,126.72,32.03
NC027574,NA,NA,NA
NC027579,NA,NA,NA
NC027580,183.76,94.72,22.8
NC027581,NA,NA,NA
NC027582,NA,NA,NA
NC027583,NA,NA,NA
NC027585,NA,NA,NA
NC027586,NA,NA,NA
NC027587,NA,NA,NA
NC027588,NA,NA,NA
NC027589,NA,NA,NA
NC027590,183.89,105.95,29.94
NC027592,NA,NA,NA
NC027593,NA,NA,NA
NC027594,NA,NA,NA
NC027596,NA,NA,NA
NC027599,NA,NA,NA
NC027602,188.31,114.56,35.37
NC027603,NA,NA,NA
NC027604,169.76,125.91,48.03
NC027605,178.02,130.36,36.98
NC027606,NA,NA,NA
NC027607,NA,NA,NA
NC027608,NA,NA,NA
NC027609,NA,NA,NA
NC027610,NA,NA,NA
NC027612,NA,NA,NA
NC027613,NA,NA,NA
NC027614,NA,NA,NA
NC027615,NA,NA,NA
NC027618,NA,NA,NA
NC027619,183.17,135.13,40.93
NC027620,181.17,134.39,43.34
NC027621,182.55,124.75,32.44
NC027622,NA,NA,NA
NC027624,NA,NA,NA
NC027628,NA,NA,NA
NC027629,172.65,111.59,42.6
NC027630,NA,NA,NA
NC027634,NA,NA,NA
NC027635,NA,NA,NA
NC027637,NA,NA,NA
NC027638,NA,NA,NA
NC027639,NA,NA,NA
NC027640,NA,NA,NA
NC027641,NA,NA,NA
NC027642,NA,NA,NA
NC027643,NA,NA,NA
NC027645,NA,NA,NA
NC027646,NA,NA,NA
NC027647,NA,NA,NA
NC027648,NA,NA,NA
NC027649,NA,NA,NA
NC027650,NA,NA,NA
NC027651,NA,NA,NA
NC027652,NA,NA,NA
NC027653,NA,NA,NA
NC027654,NA,NA,NA
NC027655,NA,NA,NA
NC027656,NA,NA,NA
NC027657,NA,NA,NA
NC027658,NA,NA,NA
NC027660,NA,NA,NA
NC027661,NA,NA,NA
NC027662,NA,NA,NA
NC027663,183.36,125.39,33.6
NC027664,185.24,116.24,38.83
NC027665,181.16,141.35,40.56
NC027666,NA,NA,NA
NC027667,NA,NA,NA
NC027669,NA,NA,NA
NC027672,NA,NA,NA
NC027673,NA,NA,NA
NC027674,NA,NA,NA
NC027675,NA,NA,NA
NC027679,NA,NA,NA
NC027680,NA,NA,NA
NC027681,NA,NA,NA
NC027682,NA,NA,NA
NC027683,NA,NA,NA
NC027684,NA,NA,NA
NC027689,NA,NA,NA
NC027690,NA,NA,NA
NC027691,182.72,123.35,51.02
NC027692,NA,NA,NA
NC027694,NA,NA,NA
NC027695,NA,NA,NA
NC027696,NA,NA,NA
NC027697,NA,NA,NA
NC027698,NA,NA,NA
NC027699,NA,NA,NA
NC027700,NA,NA,NA
NC027704,NA,NA,NA
NC027705,NA,NA,NA
NC027706,NA,NA,NA
NC027762,163.69,95.53,39.99
NC027766,NA,NA,NA
NC027770,NA,NA,NA
NC027772,NA,NA,NA
NC027773,NA,NA,NA
NC027774,NA,NA,NA
NC027775,NA,NA,NA
NC027778,182.2,125.93,36.43
NC027782,NA,NA,NA
NC027784,NA,NA,NA
NC027786,NA,NA,NA
NC027787,NA,NA,NA
NC027788,185.62,124.98,36.55
NC027789,NA,NA,NA
NC027790,NA,NA,NA
NC027791,NA,NA,NA
NC027793,NA,NA,NA
NC027794,NA,NA,NA
NC027795,NA,NA,NA
NC027796,NA,NA,NA
NC027797,NA,NA,NA
NC027798,NA,NA,NA
NC027803,NA,NA,NA
NC027808,NA,NA,NA
NC027811,183.58,116.47,34.53
NC027813,182.33,122.65,38.67
NC027815,NA,NA,NA
NC027816,NA,NA,NA
NC027822,186.36,122.58,38.61
NC027824,NA,NA,NA
NC027828,NA,NA,NA
NC027831,NA,NA,NA
NC027834,NA,NA,NA
NC027838,NA,NA,NA
NC027839,NA,NA,NA
NC027840,185.16,111.03,41.22
NC027844,186.38,117.5,36.65
NC027845,186.94,116.55,36.04
NC027846,NA,NA,NA
NC027847,NA,NA,NA
NC027849,NA,NA,NA
NC027852,NA,NA,NA
NC027854,NA,NA,NA
NC027855,187.31,116.93,40.44
NC027860,NA,NA,NA
NC027861,NA,NA,NA
NC027862,NA,NA,NA
NC027863,NA,NA,NA
NC027865,NA,NA,NA
NC027866,NA,NA,NA
NC027867,NA,NA,NA
NC027868,NA,NA,NA
NC027869,NA,NA,NA
NC027871,NA,NA,NA
NC027878,NA,NA,NA
NC027879,NA,NA,NA
NC027882,NA,NA,NA
NC027883,NA,NA,NA
NC027884,NA,NA,NA
NC027886,NA,NA,NA
NC027888,187.31,118.19,35.36
NC027890,NA,NA,NA
NC027891,NA,NA,NA
NC027894,NA,NA,NA
NC027895,NA,NA,NA
NC027896,NA,NA,NA
